F,DT,T,fps,Start,Hand,Grip,Tracked,Controlling
19538,0.0304724,0.0304723996669054,32.81658,False,R,False,False,False
19542,0.0166688,0.0471411999315023,59.99232,False,R,False,False,False
19544,0.0166679,0.0638091005384922,59.99556,False,R,False,False,False
19548,0.0166653,0.0804744008928537,60.00492,False,R,False,False,False
19550,0.0166667,0.0971411000937223,59.99988,False,R,False,False,False
19554,0.0166667,0.113807799294591,59.99988,False,R,False,False,False
19558,0.0166695,0.130477299913764,59.9898,False,R,False,False,False
19562,0.0166677,0.147144999355078,59.99628,False,R,False,False,False
19564,0.0166643,0.163809299468994,60.00852,False,R,False,False,False
19568,0.0166669,0.180476199835539,59.99916,False,R,False,False,False
19570,0.0166674,0.197143599390984,59.99736,False,R,False,False,False
19574,0.0166673,0.213810900226235,59.99772,False,R,False,False,False
19578,0.0166661,0.230476999655366,60.00204,False,R,False,False,False
19582,0.0166676,0.247144600376487,59.99664,False,R,False,False,False
19584,0.0166664,0.263810999691486,60.00096,False,R,False,False,False
19588,0.016667,0.280477998778224,59.9988,False,R,False,False,False
19590,0.0166666,0.2971445992589,60.00024,False,R,False,False,False
19594,0.0166669,0.313811499625444,59.99916,False,R,False,False,False
19598,0.0166665,0.330477999523282,60.0006,False,R,False,False,False
19602,0.0166683,0.347146298736334,59.99412,False,R,False,False,False
19604,0.0166663,0.363812599331141,60.00132,False,R,False,False,False
19608,0.0166668,0.380479399114847,59.99952,False,R,False,False,False
19610,0.0166664,0.397145798429847,60.00096,False,R,False,False,False
19616,0.0166674,0.413813197985291,59.99736,False,R,False,False,False
19618,0.016667,0.430480197072029,59.9988,False,R,False,False,False
19622,0.0166677,0.447147896513343,59.99628,False,R,False,False,False
19624,0.0166662,0.463814096525311,60.00168,False,R,False,False,False
19628,0.016667,0.480481095612049,59.9988,False,R,False,False,False
19630,0.0166666,0.497147696092725,60.00024,False,R,False,False,False
19636,0.016667,0.513814695179462,59.9988,False,R,False,False,False
19638,0.0166667,0.530481394380331,59.99988,False,R,False,False,False
19642,0.0166673,0.547148695215583,59.99772,False,R,False,False,False
