F,DT,T,fps,Start,Hand,Grip,Tracked,Controlling
110422,0.0242415,0.0242414996027946,41.25157,False,R,False,True,False
110424,0.0195221,0.0437636002898216,51.224,False,R,False,True,False
110428,0.0166686,0.0604321993887424,59.99305,False,R,False,True,False
110432,0.0166681,0.0771002992987633,59.99484,False,R,False,True,False
110436,0.0177643,0.0948645994067192,56.29268,False,R,False,True,False
110440,0.0166663,0.111530900001526,60.00132,False,R,False,True,False
110442,0.0166654,0.12819629907608,60.00456,False,R,False,True,False
110446,0.0196607,0.147856999188662,50.86289,False,R,False,True,False
110450,0.016667,0.164523998275399,59.9988,False,R,False,True,False
110454,0.0166669,0.181190898641944,59.99916,False,R,False,True,False
110456,0.0177024,0.198893299326301,56.48951,False,R,False,True,False
110460,0.0166678,0.215561099350452,59.99592,False,R,False,True,False
110462,0.0170035,0.23256460018456,58.81142,False,R,False,True,False
110468,0.0170136,0.249578200280666,58.77651,False,R,False,True,False
110470,0.0172934,0.26687159948051,57.82553,False,R,False,True,False
110476,0.0200883,0.286959899589419,49.78022,False,R,False,True,False
110478,0.016667,0.303626898676157,59.9988,False,R,False,True,False
110482,0.0180661,0.321692999452353,55.35229,False,R,False,True,False
110486,0.0187337,0.34042670018971,53.37974,False,R,False,True,False
110488,0.0213783,0.361804999411106,46.77641,False,R,False,True,False
110494,0.0166669,0.378471899777651,59.99916,False,R,False,True,False
110496,0.017949,0.396420899778605,55.71341,False,R,False,True,False
110500,0.0180462,0.414467100054026,55.41333,False,R,False,True,False
110506,0.0201327,0.434599800035357,49.67044,False,R,False,True,False
110510,0.0234881,0.458087900653481,42.57475,False,R,False,True,False
110512,0.0210851,0.479173000901937,47.42686,False,R,False,True,False
110518,0.0169869,0.49615989997983,58.8689,False,R,False,True,False
110520,0.0171971,0.513357000425458,58.14934,False,R,False,True,False
110524,0.0166673,0.53002430126071,59.99772,False,R,False,True,False
110526,0.0185903,0.548614600673318,53.7915,False,R,False,True,False
110530,0.0181319,0.566746501252055,55.15142,False,R,False,True,False
110534,0.0166677,0.583414200693369,59.99628,False,R,False,True,False
110538,0.0175409,0.600955100730062,57.00962,False,R,False,True,False
110540,0.0166669,0.617622001096606,59.99916,False,R,False,True,False
110542,0.0166676,0.634289601817727,59.99664,False,R,False,True,False
110546,0.0166671,0.650956701487303,59.99844,False,R,False,True,False
110550,0.0166667,0.667623400688171,59.99988,False,R,False,True,False
110552,0.0166672,0.684290600940585,59.99808,False,R,False,True,False
110556,0.0166674,0.70095800049603,59.99736,False,R,False,True,False
110560,0.0166654,0.717623399570584,60.00456,False,R,False,True,False
110564,0.0166671,0.73429049924016,59.99844,False,R,False,True,False
110566,0.0166664,0.75095689855516,60.00096,False,R,False,True,False
110572,0.0166669,0.767623798921704,59.99916,False,R,False,True,False
110574,0.0188537,0.786477498710155,53.03999,False,R,False,True,False
110578,0.0166748,0.803152298554778,59.97073,False,R,False,True,False
110580,0.0206864,0.823838697746396,48.34094,False,R,False,True,False
110586,0.0167255,0.840564196929336,59.78895,False,R,False,True,False
110588,0.0192349,0.859799096360803,51.98883,False,R,False,True,False
110594,0.0166689,0.876467997208238,59.99196,False,R,False,True,False
110596,0.0186719,0.895139897242188,53.55641,False,R,False,True,False
110598,0.0166673,0.91180719807744,59.99772,False,R,False,True,False
110602,0.0197673,0.931574497371912,50.5886,False,R,False,True,False
110606,0.0172345,0.948808997869492,58.02315,False,R,False,True,False
110610,0.0166674,0.965476397424936,59.99736,False,R,False,True,False
110614,0.0200007,0.985477097332478,49.99825,False,R,False,True,False
110620,0.0194748,1.00495189800859,51.34841,False,R,False,True,False
110622,0.0225679,1.02751979790628,44.31073,False,R,False,True,False
110626,0.0166674,1.04418719746172,59.99736,False,R,False,True,False
110628,0.0186423,1.06282949820161,53.64145,False,R,False,True,False
110634,0.0167423,1.07957179844379,59.72895,False,R,False,True,False
110638,0.0203489,1.09992069937289,49.1427,False,R,False,True,False
110640,0.0197008,1.11962149851024,50.75936,False,R,False,True,False
110644,0.0166695,1.13629099912941,59.9898,False,R,False,True,False
110646,0.0166662,1.15295719914138,60.00168,False,R,False,True,False
110652,0.0184678,1.17142499983311,54.1483,False,R,False,True,False
110656,0.0231948,1.19461979903281,43.11311,False,R,False,True,False
110660,0.0179304,1.2125501986593,55.77121,False,R,False,True,False
110664,0.0166689,1.22921909950674,59.99196,False,R,False,True,False
110666,0.0218868,1.25110589899123,45.68964,False,R,False,True,False
110670,0.0166681,1.26777399890125,59.99484,False,R,False,True,False
110672,0.0166665,1.28444049879909,60.0006,False,R,False,True,False
110678,0.0166666,1.30110709927976,60.00024,False,R,False,True,False
110680,0.0166668,1.31777389906347,59.99952,False,R,False,True,False
110684,0.0166669,1.33444079943001,59.99916,False,R,False,True,True
110686,0.0166669,1.35110769979656,59.99916,False,R,False,True,True
110692,0.0166663,1.36777400039136,60.00132,False,R,False,True,True
110694,0.0172812,1.38505520112813,57.86635,False,R,False,True,True
110698,0.0264632,1.41151840053499,37.78833,False,R,False,True,True
110700,0.0166686,1.42818699963391,59.99305,False,R,False,True,True
110704,0.0166666,1.44485360011458,60.00024,False,R,False,True,True
110708,0.0166673,1.46152090094984,59.99772,False,R,False,True,True
110712,0.0166675,1.47818840108812,59.997,False,R,False,True,True
110718,0.0166657,1.49485410191119,60.00348,False,R,False,True,True
110720,0.021633,1.51648710109293,46.22567,False,R,False,True,True
110724,0.0166681,1.53315520100296,59.99484,False,R,False,True,True
110726,0.0171216,1.5502768009901,58.40576,False,R,False,True,True
110730,0.0166678,1.56694460101426,59.99592,False,R,False,True,True
110732,0.0178587,1.58480330184102,55.99511,False,R,False,True,True
110738,0.0166674,1.60147070139647,59.99736,False,R,False,True,True
110740,0.0166667,1.61813740059733,59.99988,False,R,False,True,True
110744,0.0166668,1.63480420038104,59.99952,False,R,False,True,True
110746,0.0166662,1.65147040039301,60.00168,False,R,False,True,True
110752,0.0167902,1.66826060041785,59.55855,False,R,False,True,True
110754,0.0216331,1.68989370018244,46.22546,False,R,False,True,True
110756,0.016668,1.70656169950962,59.9952,False,R,False,True,True
110760,0.016669,1.72323069907725,59.9916,False,R,False,True,True
110764,0.0166651,1.73989579826593,60.00564,False,R,False,True,True
110766,0.0166729,1.7565686982125,59.97757,False,R,False,True,True
110770,0.0166619,1.77323059737682,60.01717,False,R,False,True,True
110774,0.0166668,1.78989739716053,59.99952,False,R,False,True,True
110778,0.0166668,1.80656419694424,59.99952,False,R,False,True,True
110780,0.0166674,1.82323159649968,59.99736,False,R,False,True,True
110784,0.0166662,1.83989779651165,60.00168,False,R,False,True,True
110788,0.0166684,1.85656619630754,59.99376,False,R,False,True,True
110792,0.0178751,1.8744412958622,55.94374,False,R,False,True,True
110796,0.0166689,1.89111019670963,59.99196,False,R,False,True,True
110798,0.0195283,1.91063849627972,51.20774,False,R,False,True,True
110800,0.0166694,1.92730789631605,59.99016,False,R,False,True,True
110806,0.0166656,1.94397349655628,60.00384,False,R,False,True,True
110810,0.0173404,1.96131389588118,57.6688,False,R,False,True,True
110812,0.020147,1.98146089538932,49.63518,False,R,False,True,True
110818,0.0166673,1.99812819622457,59.99772,False,R,False,True,True
110820,0.0193604,2.0174885969609,51.65182,False,R,False,True,True
110824,0.0166673,2.03415589779615,59.99772,False,R,False,True,False
110826,0.0168507,2.05100659839809,59.34472,False,R,False,True,False
110832,0.0169705,2.06797709874809,58.92578,False,R,False,True,False
110834,0.0186325,2.0866095982492,53.66967,False,R,False,True,False
110838,0.0182218,2.10483139753342,54.87932,False,R,False,True,True
110842,0.0207601,2.1255914978683,48.16932,False,R,False,True,True
110846,0.0166668,2.14225829765201,59.99952,False,R,False,True,True
110848,0.0201917,2.16244999691844,49.5253,False,R,False,True,True
110854,0.0166675,2.17911749705672,59.997,False,R,False,True,True
110856,0.0179589,2.19707639701664,55.6827,False,R,False,True,True
110860,0.0171061,2.21418249793351,58.45868,False,R,False,True,True
110864,0.0201326,2.234315097332,49.67068,False,R,False,True,True
110868,0.0181382,2.25245329737663,55.13226,False,R,False,True,True
110872,0.0184246,2.27087789773941,54.27526,False,R,False,True,True
110874,0.0220895,2.29296739771962,45.27038,False,R,False,True,True
110880,0.0166669,2.30963429808617,59.99916,False,R,False,True,True
110882,0.0214871,2.33112139813602,46.53955,False,R,False,True,True
110888,0.0166843,2.3478056974709,59.93659,False,R,False,True,True
110890,0.0208239,2.36862959712744,48.02174,False,R,False,True,True
110894,0.016668,2.38529759645462,59.9952,False,R,False,True,True
110896,0.0166656,2.40196319669485,60.00384,False,R,False,True,True
110902,0.016668,2.41863119602203,59.9952,False,R,False,True,True
110906,0.0196973,2.43832849524915,50.76838,False,R,False,True,True
110910,0.0252001,2.46352859586477,39.68238,False,R,False,True,True
110912,0.0192473,2.48277589678764,51.95534,False,R,False,True,True
110918,0.0171747,2.49995059706271,58.22518,False,R,False,True,True
110920,0.0180349,2.51798549667001,55.44805,False,R,False,True,True
110926,0.0183036,2.5362890958786,54.63406,False,R,False,True,True
110928,0.0197575,2.55604659579694,50.61369,False,R,False,True,True
110932,0.0184384,2.57448499649763,54.23464,False,R,False,True,True
110934,0.0191155,2.59360049664974,52.31357,False,R,False,True,True
110940,0.0166676,2.61026809737086,59.99664,False,R,False,True,True
110942,0.0193456,2.62961369752884,51.69134,False,R,False,True,True
110948,0.016669,2.64628269709647,59.9916,False,R,False,True,True
110950,0.0207829,2.66706559620798,48.11648,False,R,False,True,True
110954,0.0166675,2.68373309634626,59.997,False,R,False,True,True
110958,0.0192321,2.70296519622207,51.9964,False,R,False,True,True
110962,0.0216787,2.72464389540255,46.12823,False,R,False,True,True
110966,0.0166683,2.7413121946156,59.99412,False,R,False,True,True
110968,0.0189909,2.7603030949831,52.6568,False,R,False,True,True
110974,0.016667,2.77697009406984,59.9988,False,R,False,True,True
110976,0.0185956,2.79556569457054,53.77616,False,R,False,True,True
110982,0.0166706,2.81223629415035,59.98584,False,R,False,True,True
110984,0.0236778,2.83591409400105,42.23365,False,R,False,True,True
110986,0.0166671,2.85258119367063,59.99844,False,R,False,True,True
110992,0.0172589,2.86984009295702,57.94112,False,R,False,True,True
110994,0.0166661,2.88650619238615,60.00204,False,R,False,True,True
110998,0.0177027,2.90420889295638,56.48856,False,R,False,True,True
111000,0.021425,2.92563389241695,46.67445,False,R,False,True,True
111006,0.0166667,2.94230059161782,59.99988,False,R,False,True,True
111008,0.0194877,2.96178829111159,51.31442,False,R,False,True,True
111014,0.0166671,2.97845539078116,59.99844,False,R,False,True,True
111016,0.0221968,3.00065219029784,45.05154,False,R,False,True,True
111022,0.0166689,3.01732109114528,59.99196,False,R,False,True,True
111026,0.0200453,3.03736639022827,49.88701,False,R,False,True,True
111030,0.0257379,3.06310429051518,38.85321,False,R,False,True,True
111032,0.0210746,3.08417889103293,47.45049,False,R,False,True,True
111038,0.0166677,3.10084659047425,59.99628,False,R,False,True,True
111040,0.0189986,3.11984519101679,52.63546,False,R,False,True,True
111044,0.0166672,3.13651239126921,59.99808,False,R,False,True,True
111046,0.0166674,3.15317979082465,59.99736,False,R,False,True,True
111052,0.016671,3.16985079087317,59.98441,False,R,False,True,True
111054,0.0171098,3.1869605910033,58.44604,False,R,False,True,True
111060,0.0204363,3.20739689096808,48.93254,False,R,False,True,True
111062,0.0186679,3.22606479004025,53.56789,False,R,False,True,True
111066,0.0166668,3.24273158982396,59.99952,False,R,False,True,True
111068,0.0182636,3.26099519059062,54.75372,False,R,False,True,True
111074,0.0166681,3.27766329050064,59.99484,False,R,False,True,True
111076,0.0203277,3.29799099080265,49.19395,False,R,False,True,True
