F,DT,T,Status,GazeX,GazeY,GazeZ,GazePosition,FocusDistance,FocusStability,StatusL,LeftX,LeftY,LeftZ,PositionL,PupilL,StatusR,RightX,RightY,RightZ,PositionR,PupilR
110422,0.0242415,0.0242414996027946,VALID,0.0609217025339603,0.223202034831047,0.972866594791412,0,2,0,VALID,0.0346446335315704,0.276961803436279,0.960256159305573,-0.0319624990224838,0.0679987221956253,VALID,0.0844272822141647,0.178567722439766,0.980298757553101,0.0319624990224838,0.0782499089837074
110424,0.0195221,0.0437636002898216,VALID,0.057591587305069,0.246821343898773,0.967348158359528,0,2,0,VALID,0.0213419571518898,0.289883315563202,0.956824004650116,-0.0319624990224838,0.0676041468977928,VALID,0.0842019096016884,0.196143001317978,0.976953387260437,0.0319624990224838,0.0786674916744232
110428,0.0166686,0.0604321993887424,VALID,0.0559657141566277,0.252543240785599,0.965965688228607,0,2,0,VALID,0.0186503585428,0.29870668053627,0.95416271686554,-0.0319624990224838,0.067541629076004,VALID,0.0869382843375206,0.208765178918839,0.974093854427338,0.0319624990224838,0.079278901219368
110432,0.0166681,0.0771002992987633,VALID,0.0606539435684681,0.217397153377533,0.974196910858154,0,2,0,VALID,0.0243563000112772,0.300292164087296,0.95353627204895,-0.0319624990224838,0.0689057409763336,VALID,0.0941482558846474,0.17809921503067,0.979498207569122,0.0319624990224838,0.0792427211999893
110436,0.0177643,0.0948645994067192,VALID,0.0578547269105911,0.225057274103165,0.972626388072968,0,2,0,VALID,0.0208749603480101,0.294764876365662,0.955341756343842,-0.0319624990224838,0.0678601637482643,VALID,0.0873983129858971,0.178737625479698,0.980007350444794,0.0319624990224838,0.078479491174221
110440,0.0166663,0.111530900001526,VALID,0.041605781763792,0.207398548722267,0.977371394634247,0,2,0,VALID,-0.021204799413681,0.266014575958252,0.96373575925827,-0.0319624990224838,0.0684729516506195,VALID,0.0822329670190811,0.167277276515961,0.982474446296692,0.0319624990224838,0.0779488012194633
110442,0.0166654,0.12819629907608,VALID,0.0362490676343441,0.215563431382179,0.975816786289215,0,2,0,VALID,-0.0102084008976817,0.266615450382233,0.963748931884766,-0.0319624990224838,0.0714029595255852,VALID,0.0707577392458916,0.175288647413254,0.981971085071564,0.0319624990224838,0.0778775438666344
110446,0.0196607,0.147856999188662,VALID,0.0258605983108282,0.21284307539463,0.976744115352631,0,2,0,VALID,-0.00579463085159659,0.263495445251465,0.964643239974976,-0.0319624990224838,0.0698364898562431,VALID,0.0479612164199352,0.17435422539711,0.983514249324799,0.0319624990224838,0.0775922834873199
110450,0.016667,0.164523998275399,VALID,-0.00612135464325547,0.214211583137512,0.97676807641983,0,2,0,VALID,-0.0239314623177052,0.260149300098419,0.965271770954132,-0.0319624990224838,0.0685192942619324,VALID,0.0121878907084465,0.178925335407257,0.983787178993225,0.0319624990224838,0.0770136192440987
110454,0.0166669,0.181190898641944,VALID,-0.029061134904623,0.212449610233307,0.976739764213562,0,2,0,VALID,-0.043303944170475,0.250027298927307,0.967269957065582,-0.0319624990224838,0.0698071196675301,VALID,-0.0124850310385227,0.17750495672226,0.9840407371521,0.0319624990224838,0.0775910615921021
110456,0.0177024,0.198893299326301,VALID,-0.0436179935932159,0.210608184337616,0.97659695148468,0,2,0,VALID,-0.0596814341843128,0.240736097097397,0.9687539935112,-0.0319624990224838,0.0700673535466194,VALID,-0.0248068999499083,0.176884144544601,0.983919024467468,0.0319624990224838,0.0792601406574249
110460,0.0166678,0.215561099350452,VALID,-0.0843435898423195,0.200827553868294,0.975988984107971,0,2,0,VALID,-0.100021727383137,0.220823615789413,0.970171391963959,-0.0319624990224838,0.070550449192524,VALID,-0.0670515969395638,0.1740742623806,0.98244708776474,0.0319624990224838,0.0766754969954491
110462,0.0170035,0.23256460018456,VALID,-0.11133873462677,0.189644783735275,0.975519597530365,0,2,0,VALID,-0.124586910009384,0.210519567131996,0.969618260860443,-0.0319624990224838,0.0724434703588486,VALID,-0.0970152914524078,0.165173292160034,0.981481432914734,0.0319624990224838,0.0761270970106125
110468,0.0170136,0.249578200280666,VALID,-0.00952382106333971,0.139041379094124,0.990240752696991,0,2,0,INVALID,,,,,,VALID,-0.00384600041434169,0.131251126527786,0.991341710090637,0.0319624990224838,0.0665214210748672
110470,0.0172934,0.26687159948051,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
110476,0.0200883,0.286959899589419,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
110478,0.016667,0.303626898676157,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
110482,0.0180661,0.321692999452353,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
110486,0.0187337,0.34042670018971,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
110488,0.0213783,0.361804999411106,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
110494,0.0166669,0.378471899777651,VALID,0.415666252374649,0.0403067767620087,0.90862363576889,0,2,0,INVALID,,,,,,VALID,0.412750512361526,0.0410903766751289,0.909916818141937,0.0319624990224838,0.0825098678469658
110496,0.017949,0.396420899778605,VALID,0.439409494400024,0.0365998446941376,0.897540926933289,0,2,0,INVALID,,,,,,VALID,0.436795353889465,0.0373524874448776,0.898785054683685,0.0319624990224838,0.0808621048927307
110500,0.0180462,0.414467100054026,VALID,0.460034042596817,0.0106816738843918,0.887837052345276,0,2,0,INVALID,,,,,,VALID,0.457663178443909,0.0119525790214539,0.889045298099518,0.0319624990224838,0.0816830992698669
110506,0.0201327,0.434599800035357,VALID,0.484511941671371,-0.0460508167743683,0.873571693897247,0,2,0,INVALID,,,,,,VALID,0.482321262359619,-0.0453929342329502,0.874817490577698,0.0319624990224838,0.0822547376155853
110510,0.0234881,0.458087900653481,VALID,0.453007191419601,-0.0401126407086849,0.890604019165039,0,2,0,VALID,0.193001449108124,0.133509337902069,0.972072899341583,-0.0319624990224838,0.0700274631381035,VALID,0.457935333251953,-0.050718791782856,0.887537479400635,0.0319624990224838,0.0804921761155128
110512,0.0210851,0.479173000901937,VALID,0.443174719810486,-0.0366018228232861,0.895687699317932,0,2,0,VALID,0.362622141838074,0.0438906848430634,0.930902123451233,-0.0319624990224838,0.0683322548866272,VALID,0.447736352682114,-0.0520559959113598,0.892649054527283,0.0319624990224838,0.0773125514388084
110516,0.0169869,0.49615989997983,VALID,0.422111034393311,-0.0282425954937935,0.90610408782959,0,2,0,VALID,0.380609273910522,-0.0143406055867672,0.924624741077423,-0.0319624990224838,0.0607135184109211,VALID,0.426886826753616,-0.0352626517415047,0.903617262840271,0.0319624990224838,0.0799938291311264
110520,0.0171971,0.513357000425458,VALID,0.373916745185852,-0.0234784614294767,0.927165031433105,0,2,0,VALID,0.34380641579628,0.0116664692759514,0.938968062400818,-0.0319624990224838,0.0664504170417786,VALID,0.383808851242065,-0.0314933434128761,0.922875344753265,0.0319624990224838,0.0797125324606895
110524,0.0166673,0.53002430126071,VALID,0.337198138237,-0.00720915850251913,0.941406071186066,0,2,0,VALID,0.31982234120369,0.0283496007323265,0.94705331325531,-0.0319624990224838,0.0662259608507156,VALID,0.348354011774063,-0.0211135037243366,0.937125205993652,0.0319624990224838,0.0792509615421295
110526,0.0185903,0.548614600673318,VALID,0.313480019569397,0.00224782899022102,0.949592113494873,0,2,0,VALID,0.308686345815659,0.0288181472569704,0.950727224349976,-0.0319624990224838,0.066084012389183,VALID,0.322400122880936,-0.010851620696485,0.946541309356689,0.0319624990224838,0.0776447504758835
110530,0.0181319,0.566746501252055,VALID,0.28435879945755,0.0144476499408484,0.958609044551849,0,2,0,VALID,0.295958429574966,0.0357501059770584,0.954531610012054,-0.0319624990224838,0.0657732412219048,VALID,0.294440716505051,-0.00088751467410475,0.955669343471527,0.0319624990224838,0.0765190944075584
110532,0.0166677,0.583414200693369,VALID,0.268880039453506,0.01850994117558,0.962995827198029,0,2,0,VALID,0.277814745903015,0.0378098674118519,0.959890305995941,-0.0319624990224838,0.0654457584023476,VALID,0.278781741857529,0.00330359907820821,0.960348784923553,0.0319624990224838,0.0763595998287201
110538,0.0175409,0.600955100730062,VALID,0.229700371623039,0.0255673602223396,0.97292548418045,0,2,0,VALID,0.217812731862068,0.0403922684490681,0.975154399871826,-0.0319624990224838,0.0648324564099312,VALID,0.241547808051109,0.0116934832185507,0.97031843662262,0.0319624990224838,0.0748253464698792
110540,0.0166669,0.617622001096606,VALID,0.214932844042778,0.0289352294057608,0.976200103759766,0,2,0,VALID,0.203247517347336,0.0413176789879799,0.978255212306976,-0.0319624990224838,0.0649406835436821,VALID,0.226400896906853,0.0163037702441216,0.973897755146027,0.0319624990224838,0.0747830122709274
110542,0.0166676,0.634289601817727,VALID,0.202158570289612,0.0297851748764515,0.978899776935577,0,2,0,VALID,0.190842524170876,0.0421053618192673,0.980717241764069,-0.0319624990224838,0.0649414658546448,VALID,0.212759837508202,0.0170713681727648,0.976955354213715,0.0319624990224838,0.0742892399430275
110546,0.0166671,0.650956701487303,VALID,0.178191259503365,0.0324948951601982,0.983459174633026,0,2,0,VALID,0.168114885687828,0.0467412956058979,0.984658658504486,-0.0319624990224838,0.0646974369883537,VALID,0.186665222048759,0.0190032944083214,0.982239782810211,0.0319624990224838,0.0734020546078682
110548,0.0166667,0.667623400688171,VALID,0.163406819105148,0.0356163643300533,0.985915660858154,0,2,0,VALID,0.152815163135529,0.0510390028357506,0.986935913562775,-0.0319624990224838,0.0653282478451729,VALID,0.172911688685417,0.020920667797327,0.984715104103088,0.0319624990224838,0.0732404738664627
110552,0.0166672,0.684290600940585,VALID,0.140089049935341,0.0413716249167919,0.989274203777313,0,2,0,VALID,0.131723046302795,0.0592720098793507,0.989512920379639,-0.0319624990224838,0.0655717775225639,VALID,0.147905603051186,0.0247060060501099,0.988692820072174,0.0319624990224838,0.0736404657363892
110556,0.0166674,0.70095800049603,VALID,0.119079925119877,0.0454944334924221,0.991841852664948,0,2,0,VALID,0.114307895302773,0.071593776345253,0.990862250328064,-0.0319624990224838,0.0669724643230438,VALID,0.123795203864574,0.0251958444714546,0.991987884044647,0.0319624990224838,0.0726742595434189
110560,0.0166654,0.717623399570584,VALID,0.120509348809719,0.0405983366072178,0.991881668567657,0,2,0,VALID,0.109941743314266,0.0638222768902779,0.991886854171753,-0.0319624990224838,0.0670285224914551,VALID,0.130108430981636,0.0222264658659697,0.99125063419342,0.0319624990224838,0.0757097452878952
110564,0.0166671,0.73429049924016,VALID,0.147099032998085,-0.0353062562644482,0.988491475582123,0,2,0,VALID,0.135493963956833,-0.0280130300670862,0.990382075309753,-0.0319624990224838,0.0653878524899483,VALID,0.155740335583687,-0.0428829379379749,0.986866772174835,0.0319624990224838,0.0755438506603241
110566,0.0166664,0.75095689855516,VALID,0.165437906980515,-0.0600509010255337,0.984390258789063,0,2,0,VALID,0.154605865478516,-0.0536513067781925,0.986518383026123,-0.0319624990224838,0.0658075883984566,VALID,0.171921730041504,-0.0667505115270615,0.98284649848938,0.0319624990224838,0.0755423158407211
110572,0.0166669,0.767623798921704,VALID,0.178258374333382,-0.0949541628360748,0.97939145565033,0,2,0,VALID,0.171903103590012,-0.0971802100539207,0.980308771133423,-0.0319624990224838,0.0654682889580727,VALID,0.182917430996895,-0.0931653529405594,0.97870397567749,0.0319624990224838,0.0741850808262825
110574,0.0188537,0.786477498710155,VALID,0.176717057824135,-0.099140428006649,0.979255974292755,0,2,0,VALID,0.169420003890991,-0.102329410612583,0.980217099189758,-0.0319624990224838,0.0651843249797821,VALID,0.181672915816307,-0.096293680369854,0.978632986545563,0.0319624990224838,0.0740431174635887
110578,0.0166748,0.803152298554778,VALID,0.17088957130909,-0.107884161174297,0.979366004467011,0,2,0,VALID,0.163791537284851,-0.11021001636982,0.980319380760193,-0.0319624990224838,0.0652057975530624,VALID,0.176101446151733,-0.105639845132828,0.978687107563019,0.0319624990224838,0.073969654738903
110580,0.0206864,0.823838697746396,VALID,0.16928468644619,-0.111630812287331,0.979224801063538,0,2,0,VALID,0.161671653389931,-0.11399158090353,0.980238854885101,-0.0319624990224838,0.0642806366086006,VALID,0.174666821956635,-0.109325185418129,0.97853946685791,0.0319624990224838,0.0737936794757843
