F,DT,T,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
110422,0.0242415,0.0242414996027946,-0.7999924,0.5533194,-0.2547672,38.86549,349.9033,359.9601
110424,0.0195221,0.0437636002898216,-0.7975471,0.5552541,-0.2548981,38.5116,349.9339,359.6713
110428,0.0166686,0.0604321993887424,-0.7939038,0.5580909,-0.2551702,37.98876,350.0264,359.235
110432,0.0166681,0.0771002992987633,-0.7871339,0.5630972,-0.2558519,37.23816,350.3123,358.6091
110436,0.0177643,0.0948645994067192,-0.7836972,0.5655538,-0.2562359,36.90128,350.5305,358.3311
110440,0.0166663,0.111530900001526,-0.7750521,0.5718275,-0.2575742,36.28587,351.192,357.8245
110442,0.0166654,0.12819629907608,-0.7705752,0.5750114,-0.2581052,36.04736,351.6154,357.6439
110446,0.0196607,0.147856999188662,-0.7589367,0.5829376,-0.2595928,35.56708,352.9104,357.3654
110450,0.016667,0.164523998275399,-0.7538777,0.5863141,-0.2603181,35.38597,353.6323,357.3084
110454,0.0166669,0.181190898641944,-0.7398177,0.5954272,-0.2626051,34.93651,356.0667,357.3618
110456,0.0177024,0.198893299326301,-0.7327921,0.5999079,-0.2638782,34.72669,357.4971,357.4819
110460,0.0166678,0.215561099350452,-0.7182911,0.6090717,-0.2668585,34.36204,0.353272,357.8044
110462,0.0170035,0.23256460018456,-0.7102368,0.614035,-0.2686898,34.1727,2.088362,358.0128
110468,0.0170136,0.249578200280666,-0.6905662,0.6259176,-0.2739367,33.72839,6.969831,358.6851
110470,0.0172934,0.26687159948051,-0.6806797,0.6316613,-0.2768593,33.56523,9.163486,358.9979
110476,0.0200883,0.286959899589419,-0.6591982,0.6437215,-0.2842056,33.21293,14.5678,359.8067
110478,0.016667,0.303626898676157,-0.6478925,0.6497035,-0.2883872,33.05335,17.43206,0.2714971
110482,0.0180661,0.321692999452353,-0.6254923,0.6609294,-0.2978557,32.78919,23.21036,1.239603
110486,0.0187337,0.34042670018971,-0.603418,0.6711792,-0.308284,32.5516,28.82745,2.168046
110488,0.0213783,0.361804999411106,-0.5929571,0.675772,-0.3134055,32.3925,31.7621,2.601545
110494,0.0166669,0.378471899777651,-0.5678566,0.6863649,-0.3267751,32.04055,37.58591,3.324812
110496,0.017949,0.396420899778605,-0.5571404,0.6906874,-0.332891,31.89737,39.97181,3.590621
110500,0.0180462,0.414467100054026,-0.5306689,0.7006195,-0.348301,31.60535,45.69542,4.052314
110506,0.0201327,0.434599800035357,-0.5095225,0.7079697,-0.3614481,31.46389,49.84364,4.101099
110510,0.0234881,0.458087900653481,-0.4875989,0.7150728,-0.3754274,31.39149,53.68001,3.929981
110512,0.0210851,0.479173000901937,-0.4771498,0.7182792,-0.3821638,31.36792,55.54258,3.741577
110518,0.0169869,0.49615989997983,-0.4516333,0.7255875,-0.3985982,31.2928,58.8495,3.269484
110520,0.0171971,0.513357000425458,-0.4394197,0.728966,-0.4064075,31.25245,60.35144,2.990603
110524,0.0166673,0.53002430126071,-0.4148657,0.7351751,-0.4221377,31.21728,62.99337,2.347648
110526,0.0185903,0.548614600673318,-0.4040646,0.73773,-0.4290926,31.2171,64.07312,2.073669
110530,0.0181319,0.566746501252055,-0.3799301,0.7429966,-0.4444483,31.27072,66.37531,1.500375
110534,0.0166677,0.583414200693369,-0.367884,0.7452498,-0.452052,31.32161,67.36047,1.281022
110538,0.0175409,0.600955100730062,-0.3420716,0.7496314,-0.4681182,31.4613,69.18498,0.9251301
110540,0.0166669,0.617622001096606,-0.3300479,0.7513287,-0.4759222,31.52536,70.0381,0.7701542
110542,0.0166676,0.634289601817727,-0.3168881,0.7529776,-0.4841825,31.60318,70.92236,0.6148687
110546,0.0166671,0.650956701487303,-0.29865,0.7547677,-0.4954996,31.72898,72.05536,0.4180023
110548,0.0166667,0.667623400688171,-0.2774948,0.756471,-0.5083577,31.92301,73.23074,0.2292872
110552,0.0166672,0.684290600940585,-0.2583723,0.7576615,-0.5196354,32.11213,74.15769,0.1038206
