F,DT,T,LPos_X,LPos_Y,LPos_Z,LRot_X,LRot_Y,LRot_Z,LRot_W,LGrab,LPinch,RPos_X,RPos_Y,RPos_Z,RRot_X,RRot_Y,RRot_Z,RRot_W,RGrab,RPinch
110422,0.0242415,0.0242414996027946,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.7854418,0.00639388,-0.03937247,0.5509536,-0.09587932,0.8270155,0.05746947,0,0
110424,0.0195221,0.0437636002898216,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.7863846,0.009780915,-0.03877281,0.5497397,-0.09812673,0.8269125,0.06613003,0,0
110428,0.0166686,0.0604321993887424,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.7877808,0.01878905,-0.04403906,0.5410256,-0.101501,0.8307004,0.0832215,0,0
110432,0.0166681,0.0771002992987633,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.7889678,0.03356135,-0.05597387,0.5285093,-0.1064798,0.834573,0.11326,0,0
110436,0.0177643,0.0948645994067192,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.7872935,0.04315749,-0.05801857,0.5276198,-0.1125586,0.8312567,0.134016,0,0
110440,0.0166663,0.111530900001526,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.791064,0.04986554,-0.07359129,0.5197646,-0.1197048,0.8305652,0.1602402,0,0
110442,0.0166654,0.12819629907608,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.7869893,0.05962336,-0.07811074,-0.5207213,0.1211625,-0.8253502,-0.1815659,0,0
110446,0.0196607,0.147856999188662,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.7906536,0.06339118,-0.1005507,-0.514865,0.125397,-0.8204882,-0.2144496,0,0
110450,0.016667,0.164523998275399,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.7824163,0.06908661,-0.1085375,-0.5084473,0.1378475,-0.8133357,-0.2469099,0,0
110454,0.0166669,0.181190898641944,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.7887924,0.06345266,-0.1327023,-0.4907013,0.1341158,-0.8164463,-0.2732045,0,0
110456,0.0177024,0.198893299326301,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.776951,0.07118237,-0.1436361,0.5002908,-0.154688,0.7991508,0.295193,0.0650646612048149,0.145954981446266
110460,0.0166678,0.215561099350452,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.7828414,0.07637781,-0.1739672,-0.5140828,0.2286756,-0.7576975,-0.3306372,0.163998380303383,0.387992709875107
110462,0.0170035,0.23256460018456,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.7710745,0.08234537,-0.1860956,-0.5442215,0.2231856,-0.7381407,-0.3303929,0.369742572307587,0.689965784549713
110468,0.0170136,0.249578200280666,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.767293,0.07129717,-0.2345064,0.5159515,-0.2562814,0.7564069,0.3097783,0.705043435096741,0.983521819114685
110470,0.0172934,0.26687159948051,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.7413869,0.07992512,-0.261403,-0.5121063,0.2692479,-0.7677394,-0.2753706,0.719785809516907,1
110476,0.0200883,0.286959899589419,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.7400171,0.08058667,-0.2881449,0.4737785,-0.3029026,0.7867516,0.2545701,0.510936141014099,0.948499798774719
110478,0.016667,0.303626898676157,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.7240425,0.07927296,-0.2964274,0.4895921,-0.2777835,0.7812609,0.2697544,0.238057166337967,0.666625559329987
110482,0.0180661,0.321692999452353,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.7253094,0.0589909,-0.3212613,0.4649909,-0.4404114,0.7136583,0.2837484,0.272071808576584,0.618792951107025
110486,0.0187337,0.34042670018971,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.7195565,0.04014164,-0.3520979,0.4562064,-0.1116448,0.8665817,0.1686634,0.70023250579834,0.712385296821594
110488,0.0213783,0.361804999411106,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.732169210910797,1
110494,0.0166669,0.378471899777651,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110496,0.017949,0.396420899778605,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110500,0.0180462,0.414467100054026,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110506,0.0201327,0.434599800035357,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110510,0.0234881,0.458087900653481,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110512,0.0210851,0.479173000901937,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110518,0.0169869,0.49615989997983,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110520,0.0171971,0.513357000425458,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110524,0.0166673,0.53002430126071,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110526,0.0185903,0.548614600673318,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110530,0.0181319,0.566746501252055,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110534,0.0166677,0.583414200693369,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110538,0.0175409,0.600955100730062,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110540,0.0166669,0.617622001096606,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110542,0.0166676,0.634289601817727,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110546,0.0166671,0.650956701487303,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110548,0.0166667,0.667623400688171,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110552,0.0166672,0.684290600940585,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110556,0.0166674,0.70095800049603,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110560,0.0166654,0.717623399570584,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110564,0.0166671,0.73429049924016,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110566,0.0166664,0.75095689855516,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110572,0.0166669,0.767623798921704,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110574,0.0188537,0.786477498710155,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110578,0.0166748,0.803152298554778,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110580,0.0206864,0.823838697746396,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110586,0.0167255,0.840564196929336,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110588,0.0192349,0.859799096360803,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110594,0.0166689,0.876467997208238,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110596,0.0186719,0.895139897242188,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110598,0.0166673,0.91180719807744,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110602,0.0197673,0.931574497371912,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110606,0.0172345,0.948808997869492,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110610,0.0166674,0.965476397424936,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110614,0.0200007,0.985477097332478,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110620,0.0194748,1.00495189800859,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110622,0.0225679,1.02751979790628,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110626,0.0166674,1.04418719746172,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110628,0.0186423,1.06282949820161,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110634,0.0167423,1.07957179844379,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110638,0.0203489,1.09992069937289,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110640,0.0197008,1.11962149851024,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110644,0.0166695,1.13629099912941,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110646,0.0166662,1.15295719914138,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110652,0.0184678,1.17142499983311,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110656,0.0231948,1.19461979903281,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110660,0.0179304,1.2125501986593,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110664,0.0166689,1.22921909950674,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110666,0.0218868,1.25110589899123,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110670,0.0166681,1.26777399890125,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110672,0.0166665,1.28444049879909,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110678,0.0166666,1.30110709927976,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,-0.679219,0.04907894,-0.377039,0.513766,-0.221138,0.8120824,0.1663269,0.380087286233902,1
110680,0.0166668,1.31777389906347,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,0.5295073,0.1270875,-0.7192475,-0.9139913,0.1764143,-0.356358,-0.08066507,0.380087286233902,1
110684,0.0166669,1.33444079943001,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,0.5594681,0.1208878,-0.7158728,0.9079527,-0.1256484,0.3984027,0.03331167,0.132003307342529,0.639505386352539
110686,0.0166669,1.35110769979656,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,0.584728,0.1123018,-0.7057542,-0.9051018,0.1192888,-0.4074234,-0.02381309,0.0886882841587067,0.545062124729156
110692,0.0166663,1.36777400039136,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,0.6062781,0.1056611,-0.7024556,0.8995339,-0.09088483,0.427045,-0.01453768,0.0685783997178078,0.504336416721344
110694,0.0172812,1.38505520112813,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,0.6304963,0.1030257,-0.6882794,0.8940969,-0.09027896,0.4371197,-0.03697016,0.0529179945588112,0.469386368989944
110698,0.0264632,1.41151840053499,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,0.6487244,0.08634818,-0.6941944,-0.9063635,0.1143266,-0.3987589,0.08016128,0.0432909578084946,0.438071101903915
110700,0.0166686,1.42818699963391,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,0.6670849,0.07706332,-0.6969211,-0.8948523,0.1047155,-0.4206862,0.1062882,0.0216915905475616,0.359482437372208
110704,0.0166666,1.44485360011458,-2.455864,0.5896997,-1.110976,0.5394472,-0.1854445,-0.7112636,0.4107445,0,0,0.6825162,0.07620406,-0.6891357,-0.8805148,0.1112807,-0.4407127,0.134472,0.0782743617892265,0.458142846822739
