F,DT,T,fps,Start,Hand,Grip,Tracked,Controlling
134526,0.0168766,0.0168766006827354,59.25364,False,R,False,False,False
134528,0.0166668,0.0335434004664421,59.99952,False,R,False,False,False
134532,0.016668,0.0502113997936249,59.9952,False,R,False,False,False
134534,0.0213675,0.0715788993984461,46.80005,False,R,False,False,False
134540,0.0166667,0.0882455985993147,59.99988,False,R,False,False,False
134542,0.0177213,0.105966897681355,56.42927,False,R,False,False,False
134546,0.0166682,0.122635098174214,59.99448,False,R,False,False,False
134552,0.0166667,0.139301797375083,59.99988,False,R,False,False,False
134554,0.0198737,0.159175496548414,50.31776,False,R,False,False,False
134558,0.0166684,0.175843896344304,59.99376,False,R,False,False,False
134560,0.016666,0.192509897053242,60.0024,False,R,False,False,False
134564,0.0168933,0.20940319634974,59.19507,False,R,False,False,False
134566,0.0174271,0.226830296218395,57.38189,False,R,False,False,False
134568,0.0166676,0.243497896939516,59.99664,False,R,False,False,False
134574,0.0166705,0.260168397799134,59.9862,False,R,False,False,False
134576,0.016663,0.276831397786736,60.0132,False,R,False,False,False
134580,0.0166675,0.293498897925019,59.997,False,R,False,False,False
134582,0.0166662,0.310165097936988,60.00168,False,R,False,False,False
134586,0.0166676,0.326832698658109,59.99664,False,R,False,False,False
134590,0.0166677,0.343500398099422,59.99628,False,R,False,False,False
134594,0.0166711,0.360171498730779,59.98404,False,R,False,False,False
134596,0.0166615,0.376832999289036,60.0186,False,R,False,False,False
134600,0.0166677,0.39350069873035,59.99628,False,R,False,False,False
134604,0.0166662,0.410166898742318,60.00168,False,R,False,False,False
134606,0.0182749,0.428441798314452,54.71986,False,R,False,False,False
134610,0.0166682,0.445109998807311,59.99448,False,R,False,False,False
134614,0.0174666,0.462576597929001,57.25213,False,R,False,False,False
134618,0.0166692,0.479245798662305,59.99088,False,R,False,False,False
134620,0.016665,0.495910799130797,60.006,False,R,False,False,False
134624,0.0166684,0.512579198926687,59.99376,False,R,False,False,False
134626,0.0166658,0.529244998469949,60.00312,False,R,False,False,False
134632,0.0166683,0.545913297683001,59.99412,False,R,False,False,False
134634,0.0226097,0.568522997200489,44.22881,False,R,False,False,False
134638,0.0166679,0.585190897807479,59.99556,False,R,False,False,False
134640,0.0166667,0.601857597008348,59.99988,False,R,False,False,False
134646,0.0166671,0.618524696677923,59.99844,False,R,False,False,False
134648,0.0166665,0.635191196575761,60.0006,False,R,False,False,False
