F,DT,T,Status,GazeX,GazeY,GazeZ,GazePosition,FocusDistance,FocusStability,StatusL,LeftX,LeftY,LeftZ,PositionL,PupilL,StatusR,RightX,RightY,RightZ,PositionR,PupilR
134526,0.0168766,0.0168766006827354,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
134528,0.0166668,0.0335434004664421,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
134532,0.016668,0.0502113997936249,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
134534,0.0213675,0.0715788993984461,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
134540,0.0166667,0.0882455985993147,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
134542,0.0177213,0.105966897681355,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
134546,0.0166682,0.122635098174214,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
134552,0.0166667,0.139301797375083,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
134554,0.0198737,0.159175496548414,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
134558,0.0166684,0.175843896344304,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
134560,0.016666,0.192509897053242,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
134564,0.0168933,0.20940319634974,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
134566,0.0174271,0.226830296218395,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
134568,0.0166676,0.243497896939516,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
134574,0.0166705,0.260168397799134,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
134576,0.016663,0.276831397786736,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
134580,0.0166675,0.293498897925019,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
134582,0.0166662,0.310165097936988,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
134586,0.0166676,0.326832698658109,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
134590,0.0166677,0.343500398099422,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
134594,0.0166711,0.360171498730779,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
134596,0.0166615,0.376832999289036,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
134600,0.0166677,0.39350069873035,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
134604,0.0166662,0.410166898742318,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
