F,DT,T,LPos_X,LPos_Y,LPos_Z,LRot_X,LRot_Y,LRot_Z,LRot_W,LGrab,LPinch,RPos_X,RPos_Y,RPos_Z,RRot_X,RRot_Y,RRot_Z,RRot_W,RGrab,RPinch
134526,0.0168766,0.0168766006827354,-0.8767961,0.03930515,-0.05330788,-0.7370712,-0.06218212,0.6729413,0.003056788,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134528,0.0166668,0.0335434004664421,-0.8776911,0.04235763,-0.05155776,-0.7385483,-0.04600719,0.672594,0.006866481,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134532,0.016668,0.0502113997936249,-0.8816009,0.04779643,-0.05032849,-0.743142,-0.04415321,0.667617,0.008837202,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134534,0.0213675,0.0715788993984461,-0.8807709,0.05120015,-0.05367273,0.741915,0.03439942,-0.6695814,-0.006294501,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134540,0.0166667,0.0882455985993147,-0.8882304,0.05649221,-0.06419733,-0.7582443,-0.03613242,0.6508986,-0.00953746,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134542,0.0177213,0.105966897681355,-0.8846936,0.05722558,-0.06409542,-0.7581285,-0.03290419,0.6510994,-0.01510565,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134546,0.0166682,0.122635098174214,-0.902135,0.0610857,-0.08244357,-0.7787402,-0.01828014,0.62664,-0.02349414,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134552,0.0166667,0.139301797375083,-0.9046154,0.06233275,-0.09222031,0.7769457,0.00120127,-0.6294131,0.01390062,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134554,0.0198737,0.159175496548414,-0.8914545,0.07043886,-0.09535988,-0.7721834,0.01141284,0.6352971,0.0001570639,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134558,0.0166684,0.175843896344304,-0.9135357,0.07114947,-0.1156534,-0.7692254,0.02863219,0.6354824,-0.0602886,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
