F,DT,T,Pos_X,Pos_Y,Pos_Z,Rot_X,Rot_Y,Rot_Z,Rot_W,Grip_pos,Grip_vel,Grip_eff
169158,0.0428155,0.0428154990077019,-0.007152647,0.5995332,0.4909947,-0.0124275,0.02885551,0.9988394,-0.03650554,0.000286963331745937,0,0
169162,0.016671,0.0594864990562201,-0.007152647,0.5995332,0.4909947,-0.0124275,0.02885551,0.9988394,-0.03650554,0.000286963331745937,0,0
169164,0.016664,0.0761504992842674,-0.007152647,0.5995332,0.4909947,-0.0124275,0.02885551,0.9988394,-0.03650554,0.000286963331745937,0,0
169170,0.0166667,0.092817198485136,-0.007150284,0.5995362,0.4909944,-0.01242324,0.02885873,0.9988394,-0.03650559,0.000286963331745937,0,0
169172,0.0166669,0.109484098851681,-0.007150284,0.5995362,0.4909944,-0.01242324,0.02885873,0.9988394,-0.03650559,0.000286963331745937,0,0
169176,0.0166669,0.126150999218225,-0.007151905,0.5995364,0.4909943,-0.0124273,0.02885924,0.9988394,-0.03650512,0.000286963331745937,0,0
169178,0.0166671,0.142818098887801,-0.007151905,0.5995364,0.4909943,-0.0124273,0.02885924,0.9988394,-0.03650512,0.000286963331745937,0,0
169182,0.016667,0.159485097974539,-0.007151905,0.5995364,0.4909943,-0.0124273,0.02885924,0.9988394,-0.03650512,0.000286963331745937,0,0
169184,0.0166675,0.176152598112822,-0.007151698,0.5995365,0.4909943,-0.01242674,0.02885929,0.9988394,-0.0365056,0.000286963331745937,0,0
169190,0.0166665,0.192819098010659,-0.007151698,0.5995365,0.4909943,-0.01242674,0.02885929,0.9988394,-0.0365056,0.000286963331745937,0,0
169192,0.0166666,0.209485698491335,-0.007151698,0.5995365,0.4909943,-0.01242674,0.02885929,0.9988394,-0.0365056,0.000286963331745937,0,0
169196,0.0166673,0.226152999326587,-0.007152,0.599535,0.4909956,-0.01242519,0.02885845,0.9988394,-0.03650479,0.000286963331745937,0,0
169198,0.0166664,0.242819398641586,-0.007152,0.599535,0.4909956,-0.01242519,0.02885845,0.9988394,-0.03650479,0.000286963331745937,0,0
169202,0.0166668,0.259486198425293,-0.007152936,0.5995374,0.4909945,-0.01242688,0.02886018,0.9988393,-0.03650549,0.000286963331745937,0,0
169204,0.0166669,0.276153098791838,-0.007151026,0.5995355,0.490995,-0.01242393,0.02885835,0.9988394,-0.03650538,0.000286963331745937,0,0
169210,0.0166676,0.292820699512959,-0.007151026,0.5995355,0.490995,-0.01242393,0.02885835,0.9988394,-0.03650538,0.000286963331745937,0,0
169212,0.0166658,0.30948649905622,-0.007151026,0.5995355,0.490995,-0.01242393,0.02885835,0.9988394,-0.03650538,0.000286963331745937,0,0
169216,0.0166676,0.326154099777341,-0.007152088,0.5995371,0.4909937,-0.01242661,0.02885913,0.9988393,-0.03650597,0.000286306662019342,0,0
169218,0.0166673,0.342821400612593,-0.007152088,0.5995371,0.4909937,-0.01242661,0.02885913,0.9988393,-0.03650597,0.000286306662019342,0,0
