F,DT,T,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
169158,0.0428155,0.0428154990077019,-0.6155168,0.7659582,-0.2206336,26.57572,89.23965,24.4464
169162,0.016671,0.0594864990562201,-0.6092103,0.7672102,-0.2300361,26.48153,91.07233,23.4601
169164,0.016664,0.0761504992842674,-0.6061304,0.7677022,-0.2345879,26.49382,92.00565,22.93807
169170,0.0166667,0.092817198485136,-0.5991041,0.7686715,-0.2442898,26.63525,93.71345,22.0584
169172,0.0166669,0.109484098851681,-0.595098,0.7691568,-0.2496415,26.76634,94.56403,21.65998
169176,0.0166669,0.126150999218225,-0.5875478,0.7697897,-0.2593783,27.12216,96.0562,20.95317
169178,0.0166671,0.142818098887801,-0.5831472,0.770057,-0.264855,27.37609,96.86774,20.56139
169182,0.016667,0.159485097974539,-0.5745574,0.7703555,-0.2749346,27.97147,98.33839,19.77781
169184,0.0166675,0.176152598112822,-0.5695837,0.7704327,-0.2805011,28.27997,98.96655,19.4231
169190,0.0166665,0.192819098010659,-0.5604927,0.7703567,-0.2905467,28.87814,100.0777,18.78595
169192,0.0166666,0.209485698491335,-0.5553022,0.7701607,-0.2960763,29.2125,100.6039,18.42924
169196,0.0166673,0.226152999326587,-0.5446693,0.7696632,-0.3067467,29.8119,101.4785,17.79022
169198,0.0166664,0.242819398641586,-0.5393298,0.769312,-0.311881,30.12206,101.8957,17.47788
169202,0.0166668,0.259486198425293,-0.527126,0.7683123,-0.323043,30.87932,102.7563,16.81262
169204,0.0166669,0.276153098791838,-0.5210537,0.7678601,-0.3280496,31.25027,103.1606,16.54047
169210,0.0166676,0.292820699512959,-0.5074038,0.7665556,-0.3392935,31.96178,103.9246,16.09159
169212,0.0166658,0.30948649905622,-0.5012729,0.7658849,-0.3441525,32.3227,104.2968,15.91117
169216,0.0166676,0.326154099777341,-0.4867595,0.7641042,-0.3550889,33.06934,105.0516,15.63009
169218,0.0166673,0.342821400612593,-0.4792307,0.7630351,-0.360547,33.41023,105.3887,15.53518
169222,0.0166663,0.359487701207399,-0.4630409,0.7604893,-0.3718638,34.19474,106.0958,15.32455
169224,0.0166668,0.376154500991106,-0.4549881,0.7590895,-0.3772834,34.60333,106.4424,15.23271
