F,DT,T,tau1,tau2,tau3,tau4,tau5,tau6,tau7,con_x,con_y,con_z
169158,0.0428155,0.0428154990077019,-0.390101850032806,-21.6854038238525,1.75998139381409,23.0668182373047,0.141986951231956,2.07909321784973,-0.327597796916962,1.04716534724141,-0.130713484844513,2.40455132047561
169162,0.016671,0.0594864990562201,-0.390101850032806,-21.661600112915,1.71237397193909,23.0668182373047,0.160297498106956,2.09923481941223,-0.340415179729462,1.04711816986046,-0.238974182367962,2.40736406176152
169164,0.016664,0.0761504992842674,-0.390101850032806,-21.6854038238525,1.68460297584534,23.0430145263672,0.148395642638206,2.09923481941223,-0.301963031291962,1.05328078627413,-0.23572484579744,2.4014031403243
169170,0.0166667,0.092817198485136,-0.413905560970306,-21.6854038238525,1.71237397193909,23.0430145263672,0.148395642638206,2.07909321784973,-0.366049945354462,1.05155220341436,-0.235189492413342,2.40247778410328
169172,0.0166669,0.109484098851681,-0.413905560970306,-21.661600112915,1.73617768287659,23.0668182373047,0.153888806700706,2.08550190925598,-0.353232562541962,1.07851061687667,-0.232937303423023,2.40178055890605
169176,0.0166669,0.126150999218225,-0.465480268001556,-21.6854038238525,1.71237397193909,23.0430145263672,0.148395642638206,2.08550190925598,-0.359641253948212,1.06934977924348,-0.226841458943682,2.42171031582304
169178,0.0166671,0.142818098887801,-0.465480268001556,-21.6854038238525,1.71237397193909,23.0430145263672,0.148395642638206,2.08550190925598,-0.359641253948212,1.06934977924348,-0.226841458943682,2.42171031582304
169182,0.016667,0.159485097974539,-0.390101850032806,-21.6854038238525,1.73617768287659,23.0668182373047,0.153888806700706,2.07909321784973,-0.353232562541962,1.0688013448689,-0.216978673297049,2.4095274381972
169184,0.0166675,0.176152598112822,-0.390101850032806,-21.6854038238525,1.73617768287659,23.0668182373047,0.153888806700706,2.07909321784973,-0.353232562541962,1.0688013448689,-0.216978673297049,2.4095274381972
169190,0.0166665,0.192819098010659,-0.390101850032806,-21.6854038238525,1.73617768287659,23.0668182373047,0.153888806700706,2.07909321784973,-0.353232562541962,1.0688013448689,-0.216978673297049,2.4095274381972
169192,0.0166666,0.209485698491335,-0.390101850032806,-21.661600112915,1.73617768287659,23.0668182373047,0.148395642638206,2.09923481941223,-0.314780414104462,1.07329634499365,-0.20921477553962,2.41620491829727
169196,0.0166673,0.226152999326587,-0.413905560970306,-21.7369785308838,1.71237397193909,23.0668182373047,0.153888806700706,2.07909321784973,-0.334006488323212,1.06620711998981,-0.216109891460854,2.41284488938017
169198,0.0166664,0.242819398641586,-0.413905560970306,-21.7369785308838,1.71237397193909,23.0668182373047,0.153888806700706,2.07909321784973,-0.334006488323212,1.06620711998981,-0.216109891460854,2.41284488938017
169202,0.0166668,0.259486198425293,-0.413905560970306,-21.7369785308838,1.71237397193909,23.0668182373047,0.153888806700706,2.07268452644348,-0.346823871135712,1.052256512847,-0.216144141348422,2.4044286050467
169204,0.0166669,0.276153098791838,-0.413905560970306,-21.6854038238525,1.71237397193909,23.0430145263672,0.148395642638206,2.08550190925598,-0.340415179729462,1.05603983990945,-0.214435191464444,2.41062940677867
169210,0.0166676,0.292820699512959,-0.413905560970306,-21.6854038238525,1.71237397193909,23.0430145263672,0.148395642638206,2.08550190925598,-0.340415179729462,1.05603983990945,-0.214435191464444,2.41062940677867
169212,0.0166658,0.30948649905622,-0.437709271907806,-21.6854038238525,1.73617768287659,23.0430145263672,0.153888806700706,2.09191060066223,-0.359641253948212,1.08038016317217,-0.222039268173897,2.41233541618078
169216,0.0166676,0.326154099777341,-0.437709271907806,-21.6854038238525,1.73617768287659,23.0430145263672,0.153888806700706,2.09191060066223,-0.359641253948212,1.08038016317217,-0.222039268173897,2.41233541618078
169218,0.0166673,0.342821400612593,-0.437709271907806,-21.6854038238525,1.73617768287659,23.0430145263672,0.153888806700706,2.09191060066223,-0.359641253948212,1.08038016317217,-0.222039268173897,2.41233541618078
