F,DT,T,LeapPos_X,LeapPos_Y,LeapPos_Z,LeapRot_X,LeapRot_Y,LeapRot_Z,LeapRot_W,Grab,Pinch,cmdPos_X,cmdPos_Y,cmdPos_Z,cmdRot_X,cmdRot_Y,cmdRot_Z,cmdRot_W
205434,0.0190198,0.0190197993069887,-0.2688231,-0.05915338,-0.69944,0.8798419,-0.1010112,0.4450531,0.1326758,0.180927455425262,0.816576242446899,0,0,0,0,0,0,0
205438,0.0166675,0.0356872994452715,-0.2652749,-0.05840355,-0.6987364,-0.8798233,0.1024116,-0.4406156,-0.1458794,0.195229813456535,0.863676726818085,0,0,0,0,0,0,0
205442,0.0166673,0.0523546002805233,-0.258555,-0.05168778,-0.7013075,-0.8794467,0.1057269,-0.4463925,-0.1269999,0.206541433930397,0.900061130523682,0,0,0,0,0,0,0
205444,0.0167871,0.0691417008638382,-0.2598299,-0.0520933,-0.7023499,0.8812849,-0.110483,0.438516,0.1372375,0.245662659406662,0.958163261413574,0,0,0,0,0,0,0
205448,0.0166647,0.0858064014464617,-0.2507651,-0.04564887,-0.7029061,0.8735838,-0.1154927,0.4562824,0.1237706,0.23878125846386,0.99545818567276,0,0,0,0,0,0,0
205450,0.0166669,0.102473301813006,-0.2529693,-0.04786399,-0.705777,-0.8746054,0.1105827,-0.4570458,-0.1180937,0.199675351381302,1,0,0,0,0,0,0,0
205454,0.0166672,0.11914050206542,-0.2489994,-0.04607508,-0.7042028,0.8768691,-0.1160769,0.4479122,0.1303898,0.182804763317108,1,0,0,0,0,0,0,0
205456,0.0166672,0.135807702317834,-0.2508697,-0.04696375,-0.7069451,0.8757446,-0.1436328,0.4389813,0.1404868,0.229467362165451,1,0,0,0,0,0,0,0
205462,0.0166667,0.152474401518703,-0.2505623,-0.03933078,-0.700371,0.8738017,-0.1658985,0.4200585,0.1802753,0.312260895967484,1,0,0,0,0,0,0,0
205464,0.0166667,0.169141100719571,-0.2512819,-0.03692228,-0.7087719,0.8723529,-0.1903288,0.4022404,0.2024306,0.379620164632797,0.98620468378067,0,0,0,0,0,0,0
