F,DT,T,Pos_X,Pos_Y,Pos_Z,Rot_X,Rot_Y,Rot_Z,Rot_W,Grip_pos,Grip_vel,Grip_eff
696212,0.0370494,0.0370494015514851,0.1358169,0.2371405,0.4949996,-0.04451152,0.01364432,0.9989156,-0.0004155023,0.0398931577801704,0,0
696214,0.0186625,0.0557119008153677,0.1360809,0.2371089,0.4948921,-0.04423547,0.01360212,0.9989284,-0.0004062024,0.0398931577801704,0,0
696220,0.0166681,0.0723800007253885,0.1360809,0.2371089,0.4948921,-0.04423547,0.01360212,0.9989284,-0.0004062024,0.0398931577801704,0,0
696222,0.0166668,0.0890468005090952,0.1360809,0.2371089,0.4948921,-0.04423547,0.01360212,0.9989284,-0.0004062024,0.0398931577801704,0,0
696226,0.0166674,0.10571420006454,0.1363181,0.2370855,0.4948022,-0.04398955,0.01357151,0.9989398,-0.0004001598,0.0398931577801704,0,0
696228,0.0166667,0.122380899265409,0.1363181,0.2370855,0.4948022,-0.04398955,0.01357151,0.9989398,-0.0004001598,0.0398931577801704,0,0
696232,0.0166678,0.13904869928956,0.1363181,0.2370855,0.4948022,-0.04398955,0.01357151,0.9989398,-0.0004001598,0.0398931577801704,0,0
696236,0.0166656,0.155714299529791,0.1366805,0.2370726,0.4946868,-0.04362119,0.01355497,0.9989561,-0.0004014405,0.0398931577801704,0,0
696240,0.0168144,0.172528699040413,0.1366805,0.2370726,0.4946868,-0.04362119,0.01355497,0.9989561,-0.0004014405,0.0398931577801704,0,0
696242,0.016669,0.189197698608041,0.1366805,0.2370726,0.4946868,-0.04362119,0.01355497,0.9989561,-0.0004014405,0.0398931577801704,0,0
696246,0.0166662,0.205863898620009,0.1368041,0.2370758,0.4946539,-0.04349788,0.01355714,0.9989614,-0.0004040712,0.0398931577801704,0,0
696248,0.016666,0.222529899328947,0.1368758,0.2370714,0.494627,-0.04342151,0.0135508,0.9989648,-0.0004027843,0.0398931577801704,0,0
696252,0.0166681,0.239197999238968,0.1368758,0.2370714,0.494627,-0.04342151,0.0135508,0.9989648,-0.0004027843,0.0398931577801704,0,0
696256,0.0166664,0.255864398553967,0.1368765,0.2370539,0.4946065,-0.04341317,0.01352729,0.9989656,-0.0003950396,0.0398931577801704,0,0
696258,0.016667,0.272531397640705,0.1368765,0.2370539,0.4946065,-0.04341317,0.01352729,0.9989656,-0.0003950396,0.0398931577801704,0,0
696262,0.0166667,0.289198096841574,0.1368765,0.2370539,0.4946065,-0.04341317,0.01352729,0.9989656,-0.0003950396,0.0398931577801704,0,0
696264,0.0166668,0.30586489662528,0.1368626,0.2370075,0.4945585,-0.04341186,0.01346536,0.9989665,-0.0003749562,0.0398931577801704,0,0
696268,0.016667,0.322531895712018,0.1368626,0.2370075,0.4945585,-0.04341186,0.01346536,0.9989665,-0.0003749562,0.039893813431263,0,0
696272,0.0166675,0.339199395850301,0.1368626,0.2370075,0.4945585,-0.04341186,0.01346536,0.9989665,-0.0003749562,0.039893813431263,0,0
696276,0.0166666,0.355865996330976,0.1368534,0.2369644,0.4945135,-0.04340585,0.01340844,0.9989675,-0.0003560397,0.039893813431263,0,0
696280,0.0166667,0.372532695531845,0.1368534,0.2369644,0.4945135,-0.04340585,0.01340844,0.9989675,-0.0003560397,0.039893813431263,0,0
696282,0.0181959,0.390728594735265,0.1367893,0.2369008,0.4944631,-0.04343915,0.01332728,0.9989671,-0.0003266261,0.039893813431263,0,0
696286,0.0166671,0.40739569440484,0.1367893,0.2369008,0.4944631,-0.04343915,0.01332728,0.9989671,-0.0003266261,0.039893813431263,0,0
696288,0.0166667,0.424062393605709,0.1367893,0.2369008,0.4944631,-0.04343915,0.01332728,0.9989671,-0.0003266261,0.039893813431263,0,0
696292,0.0166669,0.440729293972254,0.1365389,0.2368875,0.4945183,-0.04353995,0.01331219,0.9989629,-0.0003060546,0.039893813431263,0,0
696296,0.0166667,0.457395993173122,0.1365389,0.2368875,0.4945183,-0.04353995,0.01331219,0.9989629,-0.0003060546,0.039893813431263,0,0
696300,0.0166671,0.474063092842698,0.1365389,0.2368875,0.4945183,-0.04353995,0.01331219,0.9989629,-0.0003060546,0.039893813431263,0,0
696302,0.0166667,0.490729792043567,0.1362741,0.2368549,0.4945582,-0.04365341,0.01327705,0.9989585,-0.000270067,0.039893813431263,0,0
696306,0.016667,0.507396791130304,0.1362741,0.2368549,0.4945582,-0.04365341,0.01327705,0.9989585,-0.000270067,0.039893813431263,0,0
696308,0.0166669,0.524063691496849,0.1362741,0.2368549,0.4945582,-0.04365341,0.01327705,0.9989585,-0.000270067,0.0398931577801704,0,0
696312,0.0166674,0.540731091052294,0.1359161,0.2367193,0.4945476,-0.04381495,0.01312673,0.9989534,-0.0001816971,0.0398931577801704,0,0
696316,0.0181404,0.558871490880847,0.1359161,0.2367193,0.4945476,-0.04381495,0.01312673,0.9989534,-0.0001816971,0.0398931577801704,0,0
696320,0.0166665,0.575537990778685,0.1355139,0.2364011,0.4944481,-0.04398044,0.01278413,0.9989506,-2.524554E-05,0.0398931577801704,0,0
696322,0.016667,0.592204989865422,0.1355139,0.2364011,0.4944481,-0.04398044,0.01278413,0.9989506,-2.524554E-05,0.0398931577801704,0,0
696326,0.0166671,0.608872089534998,0.1355139,0.2364011,0.4944481,-0.04398044,0.01278413,0.9989506,-2.524554E-05,0.0398931577801704,0,0
696328,0.0166663,0.625538390129805,0.1349131,0.2353431,0.4940178,-0.04408759,0.01174928,0.9989585,0.000365575,0.0398931577801704,0,0
696332,0.0166678,0.642206190153956,0.1349131,0.2353431,0.4940178,-0.04408759,0.01174928,0.9989585,0.000365575,0.0398931577801704,0,0
696336,0.0166661,0.658872289583087,0.1349131,0.2353431,0.4940178,-0.04408759,0.01174928,0.9989585,0.000365575,0.0398931577801704,0,0
696340,0.0166673,0.675539590418339,0.134733,0.233979,0.4936211,-0.04409723,0.01084046,0.9989682,0.0006250381,0.0398931577801704,0,0
696342,0.0166681,0.69220769032836,0.134733,0.233979,0.4936211,-0.04409723,0.01084046,0.9989682,0.0006250381,0.0398931577801704,0,0
696346,0.0166664,0.708874089643359,0.134733,0.233979,0.4936211,-0.04409723,0.01084046,0.9989682,0.0006250381,0.0398931577801704,0,0
696348,0.0166668,0.725540889427066,0.1347225,0.233251,0.4935372,-0.04405886,0.01047297,0.9989738,0.0007086832,0.0398931577801704,0,0
696352,0.0174966,0.743037490174174,0.1347225,0.233251,0.4935372,-0.04405886,0.01047297,0.9989738,0.0007086832,0.0398931577801704,0,0
696358,0.0166673,0.759704791009426,0.1347126,0.2325474,0.4934929,-0.04402969,0.01020388,0.9989778,0.0007591607,0.0398931577801704,0,0
696360,0.0166653,0.776370091363788,0.1347126,0.2325474,0.4934929,-0.04402969,0.01020388,0.9989778,0.0007591607,0.0398931577801704,0,0
696362,0.0166681,0.793038191273808,0.1347126,0.2325474,0.4934929,-0.04402969,0.01020388,0.9989778,0.0007591607,0.0398931577801704,0,0
696366,0.016667,0.809705190360546,0.1347104,0.2319146,0.4934419,-0.04400115,0.00995753,0.9989815,0.0008066179,0.0398931577801704,0,0
696368,0.0166689,0.826374091207981,0.1347104,0.2319146,0.4934419,-0.04400115,0.00995753,0.9989815,0.0008066179,0.0398931577801704,0,0
696372,0.0166658,0.843039890751243,0.1347104,0.2319146,0.4934419,-0.04400115,0.00995753,0.9989815,0.0008066179,0.0398931577801704,0,0
696376,0.0166662,0.859706090763211,0.1347094,0.2307978,0.4933642,-0.04395214,0.009561701,0.9989875,0.0008738388,0.0398931577801704,0,0
696380,0.0166675,0.876373590901494,0.1347094,0.2307978,0.4933642,-0.04395214,0.009561701,0.9989875,0.0008738388,0.0398931577801704,0,0
696382,0.0166659,0.893039491027594,0.1347094,0.2307978,0.4933642,-0.04395214,0.009561701,0.9989875,0.0008738388,0.0398931577801704,0,0
696386,0.0166677,0.909707190468907,0.134703,0.2300762,0.4933113,-0.04392897,0.009298966,0.998991,0.0009204653,0.0398931577801704,0,0
696390,0.0166693,0.926376489922404,0.134703,0.2300762,0.4933113,-0.04392897,0.009298966,0.998991,0.0009204653,0.0398931577801704,0,0
696392,0.0166687,0.943045189604163,0.134703,0.2300762,0.4933113,-0.04392897,0.009298966,0.998991,0.0009204653,0.0398931577801704,0,0
696398,0.0166631,0.959708290174603,0.1347038,0.2298725,0.4932967,-0.04391842,0.009217189,0.9989921,0.0009368823,0.0398931577801704,0,0
696400,0.0166665,0.976374790072441,0.1347038,0.2298725,0.4932967,-0.04391842,0.009217189,0.9989921,0.0009368823,0.0398931577801704,0,0
696404,0.0166674,0.993042189627886,0.134707,0.2297886,0.4932894,-0.04390582,0.009186357,0.998993,0.0009424263,0.0398931577801704,0,0
696406,0.0166727,1.00971489027143,0.134707,0.2297886,0.4932894,-0.04390582,0.009186357,0.998993,0.0009424263,0.0398931577801704,0,0
696410,0.0176114,1.02732628956437,0.134707,0.2297886,0.4932894,-0.04390582,0.009186357,0.998993,0.0009424263,0.0398931577801704,0,0
696412,0.016667,1.04399328865111,0.1347138,0.2297959,0.4932961,-0.04389772,0.009199667,0.9989932,0.0009383988,0.0398931577801704,0,0
696418,0.0166669,1.06066018901765,0.1347138,0.2297959,0.4932961,-0.04389772,0.009199667,0.9989932,0.0009383988,0.0398931577801704,0,0
