F,DT,T,LeapPos_X,LeapPos_Y,LeapPos_Z,LeapRot_X,LeapRot_Y,LeapRot_Z,LeapRot_W,Grab,Pinch,cmdPos_X,cmdPos_Y,cmdPos_Z,cmdRot_X,cmdRot_Y,cmdRot_Z,cmdRot_W
263062,0.026004,0.0260039996355772,1.053707,0.5523273,-0.3099054,-0.4569944,0.2039038,-0.8341555,-0.2318708,0,0,0.4648353,0.103689,0.1231682,0.9918846,0.05337585,0.0285401,-0.1118094
263064,0.0166669,0.0426709000021219,1.053754,0.5522983,-0.3099116,0.4572064,-0.2040392,0.8339446,0.2320926,0,0,0.4649055,0.1037074,0.1233273,0.9918822,0.05252071,0.02944319,-0.112002
263070,0.0166675,0.0593384001404047,1.053821,0.5522348,-0.3099321,-0.4579141,0.2043315,-0.8334685,-0.23215,0,0,0.4649117,0.1037541,0.1232983,0.9919224,0.05225503,0.02956496,-0.1117376
263072,0.0166667,0.0760050993412733,1.05385,0.5522503,-0.3100346,-0.4584545,0.2043211,-0.8331733,-0.2321526,0,0,0.4649322,0.1038211,0.1232348,0.9919636,0.05156731,0.03011627,-0.1115438
263076,0.0166671,0.092672199010849,1.053799,0.5527525,-0.3100899,-0.4599328,0.2034352,-0.832777,-0.2314268,0,0,0.4650347,0.1038504,0.1232503,0.9919835,0.05100178,0.03035874,-0.1115612
263078,0.0166669,0.109339099377394,1.053756,0.5526347,-0.3102921,-0.4611926,0.2024938,-0.8322657,-0.2315849,0,0,0.4650901,0.1037989,0.1237525,0.9919199,0.04950772,0.03060361,-0.1127265
263082,0.0166704,0.126009499654174,1.053704,0.5526065,-0.310566,-0.4630713,0.20103,-0.8315313,-0.2317493,0,0,0.4652923,0.1037562,0.1236347,0.9919592,0.04792028,0.0303409,-0.1131379
263084,0.0166634,0.142672900110483,1.05371,0.5525123,-0.3105986,-0.4636756,0.2005669,-0.8311853,-0.2321834,0,0,0.4655662,0.103704,0.1236065,0.9920019,0.04556078,0.02992945,-0.1138451
263090,0.0166671,0.159339999780059,1.053574,0.5523459,-0.3106007,-0.4659223,0.2000277,-0.8298402,-0.2329607,0,0,0.4655986,0.1037102,0.1235123,0.9920638,0.04467064,0.02964879,-0.1137323
263092,0.016666,0.176006000488997,1.05342,0.5522522,-0.3105407,-0.4675755,0.1997017,-0.8289686,-0.2330314,0,0,0.4656008,0.1035743,0.1233459,0.9922135,0.04192589,0.02993542,-0.1133946
263096,0.0166674,0.192673400044441,1.05312,0.5524164,-0.3106332,-0.4716997,0.1982346,-0.8270673,-0.2327279,0,0,0.4655409,0.1034203,0.1232522,0.9922574,0.04009482,0.03041045,-0.113547
263098,0.0166671,0.209340499714017,1.052959,0.5525156,-0.3108039,-0.4737888,0.1975426,-0.8259345,-0.2330955,0,0,0.4656333,0.1031201,0.1234164,0.9922723,0.0355309,0.0312485,-0.1147033
