F,DT,T,Pos_X,Pos_Y,Pos_Z,Rot_X,Rot_Y,Rot_Z,Rot_W,Grip_pos,Grip_vel,Grip_eff
95494,0.019734,0.0197340007871389,0.1042118,0.2179153,0.4791037,0.09286255,0.2256375,0.9677727,0.06229152,0.0398307740688324,0,0
95496,0.0166673,0.0364013016223907,0.1042118,0.2179153,0.4791037,0.09286255,0.2256375,0.9677727,0.06229152,0.0398307740688324,0,0
95502,0.0166676,0.0530689023435116,0.1050147,0.2178082,0.4789423,0.0937677,0.2256842,0.9676781,0.06223634,0.0398307740688324,0,0
95504,0.0186588,0.0717277023941278,0.1050147,0.2178082,0.4789423,0.0937677,0.2256842,0.9676781,0.06223634,0.0398307740688324,0,0
95508,0.0166681,0.0883958023041487,0.1050147,0.2178082,0.4789423,0.0937677,0.2256842,0.9676781,0.06223634,0.0398307740688324,0,0
95510,0.0166666,0.105062402784824,0.1052961,0.2179015,0.4789021,0.09406209,0.2259067,0.9676058,0.06210884,0.0398307740688324,0,0
95514,0.016667,0.121729401871562,0.105553,0.2180209,0.4788056,0.09433976,0.2261916,0.9675235,0.0619319,0.0398307740688324,0,0
95516,0.016666,0.1383954025805,0.105553,0.2180209,0.4788056,0.09433976,0.2261916,0.9675235,0.0619319,0.0398307740688324,0,0
95520,0.0166681,0.15506350249052,0.1058694,0.218273,0.4786633,0.09458751,0.2266316,0.9674187,0.06158205,0.0398307740688324,0,0
95522,0.0166669,0.171730402857065,0.1058694,0.218273,0.4786633,0.09458751,0.2266316,0.9674187,0.06158205,0.0398307740688324,0,0
95528,0.0166671,0.188397502526641,0.1058694,0.218273,0.4786633,0.09458751,0.2266316,0.9674187,0.06158205,0.0398307740688324,0,0
95530,0.0166657,0.20506320334971,0.1062154,0.2186591,0.4784667,0.09479477,0.2271851,0.9673018,0.06105835,0.0398307740688324,0,0
95534,0.0166685,0.221731703728437,0.1062154,0.2186591,0.4784667,0.09479477,0.2271851,0.9673018,0.06105835,0.039829459041357,0,0
95536,0.0166661,0.238397803157568,0.1062154,0.2186591,0.4784667,0.09479477,0.2271851,0.9673018,0.06105835,0.039829459041357,0,0
95540,0.0166668,0.255064602941275,0.1065439,0.2191659,0.4781345,0.09495591,0.2277511,0.9671981,0.06033745,0.039829459041357,0,0
95544,0.0166668,0.271731402724981,0.1065439,0.2191659,0.4781345,0.09495591,0.2277511,0.9671981,0.06033745,0.039829459041357,0,0
95548,0.0166671,0.288398502394557,0.1068699,0.2206271,0.4773799,0.09509443,0.2290808,0.9669805,0.0585476,0.039829459041357,0,0
95550,0.0166692,0.305067703127861,0.1068699,0.2206271,0.4773799,0.09509443,0.2290808,0.9669805,0.0585476,0.039829459041357,0,0
95554,0.0166649,0.321732603013515,0.1068699,0.2206271,0.4773799,0.09509443,0.2290808,0.9669805,0.0585476,0.039829459041357,0,0
95556,0.016666,0.338398603722453,0.1068699,0.2206271,0.4773799,0.09509443,0.2290808,0.9669805,0.0585476,0.039829459041357,0,0
95560,0.0166678,0.355066403746605,0.1064626,0.2221834,0.4767922,0.09529615,0.2299954,0.9668276,0.05714229,0.039829459041357,0,0
95564,0.0166669,0.37173330411315,0.1064626,0.2221834,0.4767922,0.09529615,0.2299954,0.9668276,0.05714229,0.039829459041357,0,0
95568,0.0166666,0.388399904593825,0.1064626,0.2221834,0.4767922,0.09529615,0.2299954,0.9668276,0.05714229,0.039829459041357,0,0
95570,0.0166672,0.405067104846239,0.1059954,0.2228381,0.4765333,0.0953434,0.2302823,0.9667801,0.05670891,0.039829459041357,0,0
95572,0.0166669,0.421734005212784,0.1059954,0.2228381,0.4765333,0.0953434,0.2302823,0.9667801,0.05670891,0.039829459041357,0,0
95576,0.016667,0.438401004299521,0.1055008,0.2232808,0.476261,0.09537829,0.2304075,0.9667612,0.05646419,0.039829459041357,0,0
95580,0.0166681,0.455069104209542,0.1055008,0.2232808,0.476261,0.09537829,0.2304075,0.9667612,0.05646419,0.039829459041357,0,0
95584,0.0166666,0.471735704690218,0.1055008,0.2232808,0.476261,0.09537829,0.2304075,0.9667612,0.05646419,0.039829459041357,0,0
95588,0.0166669,0.488402605056763,0.1047249,0.2233374,0.4759118,0.09547203,0.2303415,0.9667536,0.05670391,0.039829459041357,0,0
95590,0.0166653,0.505067905411124,0.1047249,0.2233374,0.4759118,0.09547203,0.2303415,0.9667536,0.05670391,0.039829459041357,0,0
95592,0.0166676,0.521735506132245,0.1047249,0.2233374,0.4759118,0.09547203,0.2303415,0.9667536,0.05670391,0.039829459041357,0,0
95598,0.016667,0.538402505218983,0.104491,0.2231062,0.4757635,0.09556785,0.230133,0.9667776,0.05697921,0.039829459041357,0,0
95602,0.0166665,0.55506900511682,0.1043563,0.2227686,0.4756223,0.09565246,0.229815,0.9668272,0.05727961,0.039829459041357,0,0
95604,0.0166661,0.571735104545951,0.1043563,0.2227686,0.4756223,0.09565246,0.229815,0.9668272,0.05727961,0.039829459041357,0,0
95606,0.0166684,0.588403504341841,0.1042629,0.2223499,0.4755487,0.09579413,0.2294926,0.9668654,0.05768867,0.039829459041357,0,0
95610,0.0166663,0.605069804936647,0.1042629,0.2223499,0.4755487,0.09579413,0.2294926,0.9668654,0.05768867,0.039829459041357,0,0
95612,0.0166669,0.621736705303192,0.1042629,0.2223499,0.4755487,0.09579413,0.2294926,0.9668654,0.05768867,0.039829459041357,0,0
95616,0.016667,0.63840370438993,0.1042629,0.2223499,0.4755487,0.09579413,0.2294926,0.9668654,0.05768867,0.039829459041357,0,0
95622,0.0166672,0.655070904642344,0.1041348,0.2218038,0.4754694,0.09597798,0.2291468,0.9668961,0.05824025,0.039829459041357,0,0
95624,0.0166672,0.671738104894757,0.1041348,0.2218038,0.4754694,0.09597798,0.2291468,0.9668961,0.05824025,0.039829459041357,0,0
95626,0.0166679,0.688406005501747,0.1038906,0.2204975,0.4754554,0.09650074,0.2283654,0.966942,0.0596654,0.039829459041357,0,0
95630,0.0166674,0.705073405057192,0.1038906,0.2204975,0.4754554,0.09650074,0.2283654,0.966942,0.0596654,0.039829459041357,0,0
95634,0.0185736,0.723647005856037,0.1038309,0.2198713,0.475626,0.09683854,0.2281746,0.9669036,0.06046522,0.039829459041357,0,0
95636,0.0166667,0.740313705056906,0.1038309,0.2198713,0.475626,0.09683854,0.2281746,0.9669036,0.06046522,0.039829459041357,0,0
95642,0.0166669,0.75698060542345,0.1037872,0.2192771,0.4758181,0.09718001,0.2280226,0.9668562,0.06124388,0.039829459041357,0,0
95644,0.0166664,0.77364700473845,0.1037872,0.2192771,0.4758181,0.09718001,0.2280226,0.9668562,0.06124388,0.039829459041357,0,0
95648,0.0166673,0.790314305573702,0.1037387,0.218721,0.475957,0.09750286,0.2279202,0.9668026,0.06195424,0.039829459041357,0,0
95650,0.016671,0.80698530562222,0.1037387,0.218721,0.475957,0.09750286,0.2279202,0.9668026,0.06195424,0.039829459041357,0,0
95654,0.0166631,0.82364840619266,0.1037387,0.218721,0.475957,0.09750286,0.2279202,0.9668026,0.06195424,0.039829459041357,0,0
