F,DT,T,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ,HMDRotationW
51130,0.031901,0.0319009982049465,0.8447395,0.4821472,-0.6311227,0.07592364,0.07835726,-0.03073626,0.9935548
51132,0.0177669,0.0496678985655308,0.8447845,0.482164,-0.6311368,0.07591077,0.07825777,-0.03070121,0.9935647
51136,0.0166683,0.0663361977785826,0.8448433,0.4821724,-0.6312143,0.07584371,0.0780091,-0.03064383,0.9935911
51140,0.0166658,0.0830019973218441,0.8448722,0.4821913,-0.6312395,0.07578145,0.07787966,-0.03062838,0.9936065
51144,0.0166683,0.0996702965348959,0.8449397,0.4822167,-0.631255,0.07562754,0.07759463,-0.03064032,0.9936401
51146,0.0166656,0.116335896775126,0.8449848,0.4822176,-0.6312804,0.07551438,0.07744272,-0.0306771,0.9936595
51150,0.0166679,0.133003797382116,0.8450645,0.4822273,-0.6312711,0.07530187,0.07715481,-0.0307506,0.9936957
51152,0.0166665,0.149670297279954,0.8451105,0.4822486,-0.6312808,0.07517876,0.0769976,-0.03078337,0.9937162
51156,0.016667,0.166337296366692,0.8452153,0.4822622,-0.6313019,0.07504103,0.07679565,-0.03091002,0.9937384
51160,0.016667,0.183004295453429,0.8452647,0.4823015,-0.6313334,0.07502437,0.07674627,-0.03097816,0.9937413
51162,0.0166676,0.19967189617455,0.8453294,0.4823014,-0.631363,0.07503207,0.07670946,-0.03107637,0.9937405
51166,0.0166668,0.216338695958257,0.8454742,0.4823731,-0.6314097,0.07505956,0.07666647,-0.03123062,0.9937369
51168,0.016667,0.233005695044994,0.8455634,0.4823439,-0.6314188,0.07510749,0.07667889,-0.03128747,0.9937305
51172,0.0166673,0.249672995880246,0.8457206,0.4822952,-0.6314024,0.07528051,0.07671904,-0.0313982,0.9937108
51176,0.0166666,0.266339596360922,0.8457928,0.4822598,-0.6313682,0.07536624,0.07677671,-0.031397,0.9936999
51180,0.0166682,0.283007796853781,0.8459276,0.4822504,-0.6313547,0.07548781,0.07684273,-0.03142584,0.9936847
51182,0.0166659,0.29967369697988,0.8459864,0.482227,-0.6313564,0.0755471,0.07690053,-0.03144279,0.9936752
51186,0.0166681,0.316341796889901,0.84613,0.482184,-0.6313681,0.0756091,0.0770027,-0.03148696,0.9936612
51188,0.0166663,0.333008097484708,0.8461819,0.4821524,-0.6313704,0.07563838,0.07703335,-0.03153637,0.993655
51192,0.0166694,0.349677497521043,0.8463106,0.4821201,-0.6313531,0.07567512,0.07705998,-0.03167285,0.9936458
51196,0.0166672,0.366344697773457,0.8463721,0.4820984,-0.6313441,0.07568567,0.07706168,-0.03176152,0.993642
51200,0.0166668,0.383011497557163,0.8464642,0.4820742,-0.6312988,0.07573036,0.07710184,-0.03192207,0.9936303
51202,0.0166669,0.399678397923708,0.8465187,0.4821111,-0.6312767,0.07572377,0.07713497,-0.03200547,0.9936256
51206,0.0166675,0.416345898061991,0.8466331,0.48211,-0.6312445,0.07578932,0.07726044,-0.03215054,0.9936062
51208,0.016667,0.433012897148728,0.8466998,0.4821042,-0.6312314,0.07582724,0.07735431,-0.03219866,0.9935944
51214,0.0166665,0.449679397046566,0.8467733,0.4821054,-0.6311889,0.07601848,0.07757242,-0.03226937,0.9935605
51216,0.0166672,0.46634659729898,0.8468238,0.4821093,-0.6311564,0.07613789,0.0776954,-0.03230485,0.9935406
51220,0.0166667,0.483013296499848,0.8469309,0.482001,-0.631165,0.07633027,0.07788104,-0.03243235,0.9935071
51222,0.0166672,0.499680496752262,0.8469855,0.4819631,-0.631151,0.07640325,0.07794543,-0.03250625,0.993494
51226,0.0166665,0.5163469966501,0.8471529,0.4819455,-0.6311379,0.07651846,0.07808006,-0.0327116,0.9934679
51228,0.0166669,0.533013897016644,0.8472131,0.4819329,-0.6311259,0.07656417,0.07811961,-0.03280927,0.993458
51234,0.0166667,0.549680596217513,0.8473343,0.4818574,-0.6310811,0.07668265,0.07817513,-0.03303861,0.9934369
51236,0.0166671,0.566347695887089,0.847401,0.4818312,-0.6310669,0.0767578,0.07820736,-0.03314001,0.9934252
51240,0.0166681,0.58301579579711,0.8475227,0.4817537,-0.6310146,0.07692252,0.07827663,-0.03337361,0.9933992
51242,0.016666,0.599681796506047,0.8475877,0.4817027,-0.6309622,0.07703599,0.07835525,-0.03345533,0.9933814
51246,0.0166677,0.616349495947361,0.847699,0.4817089,-0.6309648,0.07719818,0.07851619,-0.03353508,0.9933534
51248,0.0166662,0.63301569595933,0.8477657,0.4816959,-0.6309555,0.07728092,0.07862253,-0.03356403,0.9933376
51254,0.0166686,0.64968429505825,0.847903,0.4817165,-0.6308784,0.07739189,0.07883281,-0.03363441,0.99331
51256,0.0166674,0.666351694613695,0.8479699,0.4817225,-0.6308402,0.07744058,0.07893294,-0.03365687,0.9932975
51260,0.0166669,0.68301859498024,0.8480862,0.4816943,-0.6307523,0.07755002,0.07909809,-0.03365336,0.9932759
51262,0.016667,0.699685594066978,0.8481282,0.4816579,-0.6307313,0.07764988,0.07914902,-0.03365277,0.9932641
51266,0.0166681,0.716353693976998,0.8482407,0.4816199,-0.6306614,0.07790353,0.07921682,-0.03367315,0.9932381
51268,0.0166656,0.733019294217229,0.848305,0.4815888,-0.6305957,0.07806347,0.07924069,-0.03367847,0.9932234
51272,0.0166664,0.749685693532228,0.8483939,0.4815452,-0.6305497,0.07838313,0.07925658,-0.03379687,0.993193
51276,0.016668,0.766353692859411,0.8484553,0.4815271,-0.6305014,0.07851406,0.07926849,-0.03385835,0.9931796
51280,0.0166658,0.783019492402673,0.8485381,0.4814565,-0.6304582,0.07878062,0.07929657,-0.03404042,0.99315
51282,0.0166673,0.799686793237925,0.8486238,0.4814253,-0.6304401,0.07889187,0.07932563,-0.03413768,0.9931355
51286,0.0166671,0.8163538929075,0.8487698,0.4813929,-0.6303936,0.07908373,0.07928304,-0.03434423,0.9931166
51288,0.0166667,0.833020592108369,0.848833,0.4813709,-0.6303861,0.07910921,0.07927866,-0.03444493,0.9931114
51294,0.0166668,0.849687391892076,0.8489727,0.4813672,-0.6303651,0.07918546,0.0792808,-0.03466911,0.9930974
51296,0.0166672,0.866354592144489,0.8490114,0.4813682,-0.6303684,0.07917552,0.07928272,-0.03479135,0.9930937
51300,0.016667,0.883021591231227,0.8491205,0.4813942,-0.6303614,0.07914132,0.07931413,-0.03501303,0.9930862
51302,0.0166672,0.899688791483641,0.8491873,0.4814102,-0.6303516,0.07910343,0.07935458,-0.03514138,0.9930814
51306,0.0166665,0.916355291381478,0.8492948,0.4814087,-0.6302938,0.07905211,0.07945746,-0.03535435,0.9930696
51308,0.0166672,0.933022491633892,0.849341,0.4814428,-0.6302872,0.07903273,0.07951771,-0.03541327,0.9930643
51312,0.0166665,0.94968899153173,0.8493908,0.4813704,-0.6302287,0.07912636,0.07970037,-0.03548399,0.9930397
51314,0.0166674,0.966356391087174,0.8494189,0.4813623,-0.6302224,0.07918185,0.07979721,-0.03549639,0.993027
