F,DT,T,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ,HMDRotationW
247942,0.0501989,0.0501989014446735,-2.429938,0.5531504,-1.462752,0.1653746,0.09479322,-0.03057249,0.9811885
247946,0.0166678,0.0668667014688253,-2.429897,0.5531208,-1.462591,0.1654519,0.09461188,-0.03075656,0.9811872
247948,0.0166671,0.083533801138401,-2.429999,0.5530635,-1.462593,0.1654776,0.09445307,-0.0308863,0.9811941
247952,0.0166673,0.100201101973653,-2.429954,0.552996,-1.462525,0.1654806,0.09418479,-0.03115316,0.9812109
247954,0.0166675,0.116868602111936,-2.429884,0.5529223,-1.462475,0.1655055,0.09400491,-0.03135732,0.9812175
247958,0.016666,0.133534602820873,-2.429743,0.5528631,-1.462406,0.165531,0.09380716,-0.03171417,0.9812207
247962,0.0166671,0.150201702490449,-2.429548,0.5528038,-1.462388,0.1656105,0.093769,-0.03207444,0.9811992
247964,0.0166662,0.166867902502418,-2.429484,0.55276,-1.462367,0.1656969,0.09383933,-0.03224655,0.9811722
247970,0.0166678,0.183535702526569,-2.429352,0.5526876,-1.462406,0.1659072,0.09414049,-0.03249311,0.9810997
247972,0.0166661,0.2002018019557,-2.429285,0.552647,-1.462399,0.1660192,0.09436612,-0.03259437,0.9810557
247974,0.0166679,0.21686970256269,-2.429175,0.5526472,-1.462389,0.1661294,0.09468988,-0.03266309,0.9810036
247978,0.0166671,0.233536802232265,-2.429133,0.5525876,-1.462393,0.166311,0.09516012,-0.03267572,0.9809269
247980,0.0166663,0.250203102827072,-2.429137,0.5525987,-1.462366,0.1664287,0.09538028,-0.03264534,0.9808865
247986,0.0166669,0.266870003193617,-2.429212,0.5525721,-1.462334,0.1666874,0.09583626,-0.03255832,0.980801
247988,0.0166666,0.283536603674293,-2.429255,0.5525587,-1.462339,0.1668131,0.09604748,-0.03248328,0.9807615
247992,0.0166671,0.300203703343868,-2.42928,0.5526205,-1.462263,0.1669817,0.09628198,-0.03230981,0.9807156
247994,0.0166666,0.316870303824544,-2.429367,0.5526019,-1.462214,0.1670129,0.0963453,-0.03212816,0.98071
247998,0.0166669,0.333537204191089,-2.429539,0.5526599,-1.462107,0.1669486,0.09634492,-0.03168081,0.9807355
248000,0.0166667,0.350203903391957,-2.429619,0.5526823,-1.462043,0.1668774,0.09627097,-0.03140881,0.9807637
