F,DT,T,fps,Start,Hand,Grip,Tracked,Controlling
28192,0.0262373,0.0262372996658087,38.11368,False,R,False,True,True
28196,0.0166681,0.0429053995758295,59.99484,False,R,False,True,True
28200,0.0166669,0.0595722999423742,59.99916,False,R,False,True,True
28202,0.0166662,0.0762384999543428,60.00168,False,R,False,True,True
28206,0.0166681,0.0929065998643637,59.99484,False,R,False,True,True
28210,0.0166664,0.109572999179363,60.00096,False,R,False,True,True
28214,0.0166668,0.12623979896307,59.99952,False,R,False,True,True
28216,0.0166662,0.142905998975039,60.00168,False,R,False,True,True
28220,0.0166676,0.159573599696159,59.99664,False,R,False,True,True
28222,0.018499,0.178072599694133,54.05698,False,R,False,True,True
28226,0.016668,0.194740599021316,59.9952,False,R,False,True,True
28230,0.0166663,0.211406899616122,60.00132,False,R,False,True,True
28232,0.0166683,0.228075198829174,59.99412,False,R,False,True,True
28236,0.0166659,0.244741098955274,60.00276,False,R,False,True,True
28238,0.0166678,0.261408898979425,59.99592,False,R,False,True,True
28242,0.0166661,0.278074998408556,60.00204,False,R,False,True,True
28246,0.0166673,0.294742299243808,59.99772,False,R,False,True,True
28250,0.0166669,0.311409199610353,59.99916,False,R,False,True,True
28254,0.0166693,0.328078499063849,59.99052,False,R,False,True,True
28256,0.0166665,0.344744998961687,60.0006,False,R,False,True,True
28260,0.0166654,0.361410398036242,60.00456,False,R,False,True,True
28262,0.016666,0.378076398745179,60.0024,False,R,False,True,True
28266,0.0166669,0.394743299111724,59.99916,False,R,False,True,True
28270,0.0166671,0.4114103987813,59.99844,False,R,False,True,True
28272,0.0166667,0.428077097982168,59.99988,False,R,False,True,True
28276,0.0166674,0.444744497537613,59.99736,False,R,False,True,True
28278,0.0166669,0.461411397904158,59.99916,False,R,False,True,True
28282,0.0166669,0.478078298270702,59.99916,False,R,False,True,True
28286,0.0166666,0.494744898751378,60.00024,False,R,False,True,True
28290,0.0166675,0.511412398889661,59.997,False,R,False,True,True
28292,0.0166678,0.528080198913813,59.99592,False,R,False,True,True
28296,0.016668,0.544748198240995,59.9952,False,R,False,True,True
28300,0.016665,0.561413198709488,60.006,False,R,False,True,True
28302,0.0166685,0.578081699088216,59.9934,False,R,False,True,True
28308,0.0166654,0.59474709816277,60.00456,False,R,False,True,True
28310,0.0166668,0.611413897946477,59.99952,False,R,False,True,True
28314,0.0166677,0.628081597387791,59.99628,False,R,False,True,True
28316,0.0166689,0.644750498235226,59.99196,False,R,False,True,True
28320,0.0166658,0.661416297778487,60.00312,False,R,False,True,True
28322,0.0166694,0.678085697814822,59.99016,False,R,False,True,True
28326,0.0166639,0.694749597460032,60.00996,False,R,False,True,True
28330,0.016667,0.711416596546769,59.9988,False,R,False,True,True
28332,0.0166676,0.72808419726789,59.99664,False,R,False,True,True
28336,0.0166659,0.74475009739399,60.00276,False,R,False,True,True
28338,0.0166692,0.761419298127294,59.99088,False,R,False,True,True
28342,0.0166649,0.778084198012948,60.00636,False,R,False,True,True
28346,0.0166676,0.794751798734069,59.99664,False,R,False,True,True
28350,0.0166668,0.811418598517776,59.99952,False,R,False,True,True
28352,0.0166667,0.828085297718644,59.99988,False,R,False,True,True
28356,0.0166677,0.844752997159958,59.99628,False,R,False,True,True
28360,0.0166664,0.861419396474957,60.00096,False,R,False,True,True
28362,0.0166689,0.878088297322392,59.99196,False,R,False,True,True
28368,0.0166656,0.894753897562623,60.00384,False,R,False,True,True
28370,0.0166659,0.911419797688723,60.00276,False,R,False,True,True
28374,0.0166704,0.928090197965503,59.98656,False,R,False,True,True
28376,0.0166668,0.944756997749209,59.99952,False,R,False,True,True
28380,0.0166675,0.961424497887492,59.997,False,R,False,True,True
28382,0.0166677,0.978092197328806,59.99628,False,R,False,True,True
28388,0.0166651,0.994757296517491,60.00564,False,R,False,True,True
28390,0.0167777,1.01153499633074,59.60292,False,R,False,True,True
28394,0.0166694,1.02820439636707,59.99016,False,R,False,True,True
28396,0.0166667,1.04487109556794,59.99988,False,R,False,True,True
28400,0.016666,1.06153709627688,60.0024,False,R,False,True,True
28402,0.0166703,1.07820739597082,59.98692,False,R,False,True,True
28408,0.0166644,1.09487179666758,60.00816,False,R,False,True,True
28410,0.0166665,1.11153829656541,60.0006,False,R,False,True,True
28414,0.0166671,1.12820539623499,59.99844,False,R,False,True,True
28416,0.0166664,1.14487179554999,60.00096,False,R,False,True,True
28420,0.0166671,1.16153889521956,59.99844,False,R,False,True,True
28422,0.0166677,1.17820659466088,59.99628,False,R,False,True,True
28428,0.0166656,1.19487219490111,60.00384,False,R,False,True,True
28430,0.0166661,1.21153829433024,60.00204,False,R,False,True,True
28432,0.0166681,1.22820639424026,59.99484,False,R,False,True,True
28436,0.0166669,1.2448732946068,59.99916,False,R,False,True,True
28440,0.0166668,1.26154009439051,59.99952,False,R,False,True,True
28442,0.0166696,1.27820969372988,59.98944,False,R,False,True,True
28448,0.0166653,1.29487499408424,60.00492,False,R,False,True,True
28450,0.0166656,1.31154059432447,60.00384,False,R,False,True,True
28452,0.0166682,1.32820879481733,59.99448,False,R,False,True,True
28456,0.0166667,1.3448754940182,59.99988,False,R,False,True,True
28458,0.0166668,1.3615422938019,59.99952,False,R,False,True,True
28464,0.016667,1.37820929288864,59.9988,False,R,False,True,True
28468,0.0166668,1.39487609267235,59.99952,False,R,False,True,True
28470,0.0166677,1.41154379211366,59.99628,False,R,False,True,True
28474,0.0166659,1.42820969223976,60.00276,False,R,False,True,True
28476,0.0166683,1.44487799145281,59.99412,False,R,False,True,True
28480,0.0166663,1.46154429204762,60.00132,False,R,False,True,True
28482,0.0166685,1.47821279242635,59.9934,False,R,False,True,True
28488,0.0166655,1.49487829208374,60.0042,False,R,False,True,True
28490,0.0166686,1.51154689118266,59.99305,False,R,False,True,True
28494,0.0166656,1.52821249142289,60.00384,False,R,False,True,True
28496,0.0166671,1.54487959109247,59.99844,False,R,False,True,True
28500,0.0166659,1.56154549121857,60.00276,False,R,False,True,True
28502,0.0166673,1.57821279205382,59.99772,False,R,False,True,True
28508,0.0166665,1.59487929195166,60.0006,False,R,False,True,True
28510,0.016669,1.61154829151928,59.9916,False,R,False,True,True
28514,0.0167176,1.62826589122415,59.8172,False,R,False,True,True
28516,0.0166664,1.64493229053915,60.00096,False,R,False,True,True
28520,0.0166666,1.66159889101982,60.00024,False,R,False,True,True
28522,0.0166676,1.67826649174094,59.99664,False,R,False,True,True
28528,0.0166659,1.69493239186704,60.00276,False,R,False,True,True
28530,0.0166671,1.71159949153662,59.99844,False,R,False,True,True
28532,0.0166677,1.72826719097793,59.99628,False,R,False,True,True
28536,0.0166666,1.74493379145861,60.00024,False,R,False,True,True
28538,0.0166668,1.76160059124231,59.99952,False,R,False,True,True
28542,0.0166675,1.7782680913806,59.997,False,R,False,True,True
28546,0.0166664,1.7949344906956,60.00096,False,R,False,True,True
28550,0.0166671,1.81160159036517,59.99844,False,R,False,True,True
28552,0.0166673,1.82826889120042,59.99772,False,R,False,True,True
28556,0.0166682,1.84493709169328,59.99448,False,R,False,True,True
28560,0.0166659,1.86160299181938,60.00276,False,R,False,True,True
28562,0.0166667,1.87826969102025,59.99988,False,R,False,True,True
28568,0.0166665,1.89493619091809,60.0006,False,R,False,True,True
28570,0.0166659,1.91160209104419,60.00276,False,R,False,True,True
28574,0.0166684,1.92827049084008,59.99376,False,R,False,True,True
28576,0.0166679,1.94493839144707,59.99556,False,R,False,True,True
28580,0.016666,1.961604392156,60.0024,False,R,False,True,True
28582,0.0166674,1.97827179171145,59.99736,False,R,False,True,True
28588,0.0166662,1.99493799172342,60.00168,False,R,False,True,True
28590,0.0166672,2.01160519197583,59.99808,False,R,False,True,True
