F,DT,T,fps,Start,Hand,Grip,Tracked,Controlling
160834,0.0250417,0.0250416994094849,39.93339,False,R,False,True,True
160836,0.0166688,0.0417104996740818,59.99232,False,R,False,True,True
160840,0.0166799,0.058390399441123,59.9524,False,R,False,True,True
160842,0.0169894,0.0753798000514507,58.86023,False,R,False,True,True
160848,0.0205957,0.095975499600172,48.55383,False,R,False,True,True
160850,0.0170502,0.113025698810816,58.65034,False,R,False,True,True
160854,0.0212664,0.134292099624872,47.02253,False,R,False,True,True
160860,0.0166689,0.150961000472307,59.99196,False,R,False,True,True
160862,0.0215729,0.17253389954567,46.35446,False,R,False,True,True
160866,0.019429,0.191962899640203,51.46945,False,R,False,True,True
160868,0.0166669,0.208629800006747,59.99916,False,R,False,True,True
160876,0.0190125,0.227642299607396,52.59698,False,R,False,True,True
160878,0.0243885,0.252030799165368,41.00293,False,R,False,True,True
160880,0.0171751,0.269205899909139,58.22382,False,R,False,True,True
160884,0.0166687,0.285874599590898,59.99268,False,R,False,True,True
160888,0.0166661,0.302540699020028,60.00204,False,R,False,True,True
160892,0.0175357,0.320076398551464,57.02652,False,R,False,True,True
160894,0.0166672,0.336743598803878,59.99808,False,R,False,True,True
160898,0.0166683,0.35341189801693,59.99412,False,R,False,True,True
160902,0.0166651,0.370076997205615,60.00564,False,R,False,True,True
160906,0.0203344,0.390411397442222,49.17775,False,R,False,True,True
160910,0.0168371,0.407248497009277,59.39265,False,R,False,True,True
160912,0.0171546,0.424403097480536,58.2934,False,R,False,True,True
160918,0.0209915,0.445394597947598,47.63833,False,R,False,True,True
160920,0.0166667,0.462061297148466,59.99988,False,R,False,True,True
160924,0.0205557,0.482616996392608,48.64831,False,R,False,True,True
160928,0.0166719,0.499288896098733,59.98117,False,R,False,True,True
160932,0.0184005,0.517689395695925,54.34635,False,R,False,True,True
160934,0.0184751,0.536164496093988,54.1269,False,R,False,True,True
160938,0.0166671,0.552831595763564,59.99844,False,R,False,True,True
160942,0.0189473,0.571778895333409,52.77797,False,R,False,True,True
160946,0.0184853,0.59026419557631,54.09704,False,R,False,True,True
160948,0.0166672,0.606931395828724,59.99808,False,R,False,True,True
160954,0.0207773,0.627708695828915,48.12945,False,R,False,True,True
160956,0.0166671,0.64437579549849,59.99844,False,R,False,True,True
160962,0.0177816,0.662157395854592,56.23791,False,R,False,True,True
160964,0.0198939,0.682051295414567,50.26667,False,R,False,True,True
160968,0.0205476,0.7025988958776,48.66748,False,R,False,True,True
160970,0.0166685,0.719267396256328,59.9934,False,R,False,True,True
160974,0.0166664,0.735933795571327,60.00096,False,R,False,True,True
160978,0.0166672,0.752600995823741,59.99808,False,R,False,True,True
160982,0.01837,0.770970996469259,54.43658,False,R,False,True,True
160986,0.0166681,0.78763909637928,59.99484,False,R,False,True,True
160988,0.0166937,0.804332796484232,59.90284,False,R,False,True,True
160992,0.0166611,0.820993896573782,60.02005,False,R,False,True,True
160996,0.0166671,0.837660996243358,59.99844,False,R,False,True,True
160998,0.016665,0.85432599671185,60.006,False,R,False,True,True
161002,0.0183812,0.872707197442651,54.40341,False,R,False,True,True
161006,0.0172996,0.890006797388196,57.80481,False,R,False,True,True
161010,0.0178138,0.907820597290993,56.13625,False,R,False,True,True
161012,0.0177569,0.925577497109771,56.31614,False,R,False,True,True
161018,0.0209897,0.946567196398973,47.64242,False,R,False,True,True
161020,0.0166684,0.963235596194863,59.99376,False,R,False,True,True
161024,0.0183876,0.981623196974397,54.38448,False,R,False,True,True
161028,0.0211332,1.00275639630854,47.31891,False,R,False,True,True
161032,0.016667,1.01942339539528,59.9988,False,R,False,True,True
161034,0.0188953,1.03831869550049,52.92321,False,R,False,True,True
161042,0.0230472,1.06136589497328,43.38922,False,R,False,True,True
161044,0.0171662,1.07853209413588,58.25401,False,R,False,True,True
161046,0.0166669,1.09519899450243,59.99916,False,R,False,True,True
161052,0.020897,1.11609599366784,47.85376,False,R,False,True,True
161054,0.0167022,1.13279819302261,59.87235,False,R,False,True,True
161058,0.0181968,1.15099499374628,54.95472,False,R,False,True,True
161060,0.0166669,1.16766189411283,59.99916,False,R,False,True,True
161066,0.01789,1.18555189482868,55.89715,False,R,False,True,True
161070,0.0219718,1.20752369426191,45.51289,False,R,False,True,True
161072,0.0173908,1.2249144949019,57.50167,False,R,False,True,True
161076,0.016667,1.24158149398863,59.9988,False,R,False,True,True
161080,0.0191828,1.26076429337263,52.13004,False,R,False,True,True
161084,0.0200153,1.28077959269285,49.96178,False,R,False,True,True
161086,0.0166676,1.29744719341397,59.99664,False,R,False,True,True
161092,0.0167394,1.31418659351766,59.7393,False,R,False,True,True
161094,0.0170838,1.33127039298415,58.53499,False,R,False,True,True
161098,0.0206422,1.35191259346902,48.44445,False,R,False,True,True
161102,0.0189518,1.37086439318955,52.76544,False,R,False,True,True
161106,0.0166677,1.38753209263086,59.99628,False,R,False,True,True
161108,0.0170839,1.40461599268019,58.53465,False,R,False,True,True
161112,0.0166725,1.42128849215806,59.97901,False,R,False,True,True
161114,0.0166628,1.43795129284263,60.01392,False,R,False,True,True
161118,0.0166906,1.45464189350605,59.91396,False,R,False,True,True
161122,0.0166651,1.47130699269474,60.00564,False,R,False,True,True
161126,0.0166735,1.48798049241304,59.97541,False,R,False,True,True
161128,0.016659,1.50463949330151,60.02761,False,R,False,True,True
161132,0.0166678,1.52130729332566,59.99592,False,R,False,True,True
161136,0.0166688,1.53797609359026,59.99232,False,R,False,True,True
161138,0.0166647,1.55464079417288,60.00708,False,R,False,True,True
161142,0.0166672,1.5713079944253,59.99808,False,R,False,True,True
161144,0.018298,1.58960599452257,54.65078,False,R,False,True,True
161150,0.0223443,1.61195029504597,44.75414,False,R,False,True,True
161152,0.0166693,1.62861959449947,59.99052,False,R,False,True,True
161158,0.0177403,1.64635989442468,56.36883,False,R,False,True,True
161160,0.016668,1.66302789375186,59.9952,False,R,False,True,True
161164,0.0187194,1.68174729309976,53.42052,False,R,False,True,True
161166,0.0166675,1.69841479323804,59.997,False,R,False,True,True
161172,0.0169394,1.71535419300199,59.03397,False,R,False,True,True
161174,0.0166664,1.73202059231699,60.00096,False,R,False,True,True
161178,0.0193207,1.75134129263461,51.75796,False,R,False,True,True
161180,0.0182521,1.76959339343011,54.78822,False,R,False,True,True
161186,0.0176498,1.78724319301546,56.65787,False,R,False,True,True
161188,0.0166664,1.80390959233046,60.00096,False,R,False,True,True
161192,0.0166716,1.82058119215071,59.98225,False,R,False,True,True
161194,0.0166634,1.83724459260702,60.01176,False,R,False,True,True
161198,0.0166674,1.85391199216247,59.99736,False,R,False,True,True
161202,0.0166666,1.87057859264314,60.00024,False,R,False,True,True
161206,0.0166676,1.88724619336426,59.99664,False,R,False,True,True
161208,0.0166657,1.90391189418733,60.00348,False,R,False,True,True
