F,DT,T,fps,Start,Hand,Grip,Tracked,Controlling
46294,0.0544643,0.0544642992317677,18.36065,False,R,False,True,True
46296,0.0166677,0.0711319986730814,59.99628,False,R,False,True,True
46300,0.0166676,0.0877995993942022,59.99664,False,R,False,True,True
46304,0.0166671,0.104466699063778,59.99844,False,R,False,True,True
46308,0.0166657,0.121132399886847,60.00348,False,R,False,True,True
46312,0.0166698,0.137802200391889,59.98872,False,R,False,True,True
46314,0.0183771,0.156179299578071,54.41555,False,R,False,True,True
46318,0.0166678,0.172847099602222,59.99592,False,R,False,True,True
46320,0.0166746,0.189521700143814,59.97145,False,R,False,True,True
46326,0.0166674,0.206189099699259,59.99736,False,R,False,True,True
46328,0.0166662,0.222855299711227,60.00168,False,R,False,True,True
46330,0.0166682,0.239523500204086,59.99448,False,R,False,True,True
46334,0.0166666,0.256190100684762,60.00024,False,R,False,True,True
46336,0.016666,0.2728561013937,60.0024,False,R,False,True,True
46340,0.0166675,0.289523601531982,59.997,False,R,False,True,True
46346,0.0166667,0.306190300732851,59.99988,False,R,False,True,True
46348,0.0166662,0.32285650074482,60.00168,False,R,False,True,True
46350,0.0166669,0.339523401111364,59.99916,False,R,False,True,True
46354,0.0166678,0.356191201135516,59.99592,False,R,False,True,True
46358,0.0166676,0.372858801856637,59.99664,False,R,False,True,True
46360,0.0166651,0.389523901045322,60.00564,False,R,False,True,True
46366,0.0166681,0.406192000955343,59.99484,False,R,False,True,True
46368,0.0166659,0.422857901081443,60.00276,False,R,False,True,True
46372,0.016669,0.439526900649071,59.9916,False,R,False,True,True
46374,0.0172083,0.456735201179981,58.11149,False,R,False,True,True
46378,0.0166679,0.473403101786971,59.99556,False,R,False,True,True
46380,0.0166661,0.490069201216102,60.00204,False,R,False,True,True
46386,0.016669,0.50673820078373,59.9916,False,R,False,True,True
46388,0.0166646,0.523402800783515,60.00744,False,R,False,True,True
46390,0.0166674,0.54007020033896,59.99736,False,R,False,True,True
46394,0.0166676,0.556737801060081,59.99664,False,R,False,True,True
46398,0.0166667,0.573404500260949,59.99988,False,R,False,True,True
46400,0.016666,0.590070500969887,60.0024,False,R,False,True,True
46406,0.0166674,0.606737900525332,59.99736,False,R,False,True,True
46408,0.0166667,0.6234045997262,59.99988,False,R,False,True,True
46410,0.0166674,0.640071999281645,59.99736,False,R,False,True,True
46414,0.0166674,0.65673939883709,59.99736,False,R,False,True,True
46416,0.0166664,0.673405798152089,60.00096,False,R,False,True,True
46420,0.0166666,0.690072398632765,60.00024,False,R,False,True,True
46424,0.0166668,0.706739198416471,59.99952,False,R,False,True,True
46428,0.0166675,0.723406698554754,59.997,False,R,False,True,True
46430,0.0166668,0.740073498338461,59.99952,False,R,False,True,True
46434,0.0166667,0.75674019753933,59.99988,False,R,False,True,True
46436,0.0166671,0.773407297208905,59.99844,False,R,False,True,True
46440,0.0166665,0.790073797106743,60.0006,False,R,False,True,True
46444,0.0166675,0.806741297245026,59.997,False,R,False,True,True
46448,0.0166666,0.823407897725701,60.00024,False,R,False,True,True
46450,0.0166668,0.840074697509408,59.99952,False,R,False,True,True
46454,0.0166673,0.85674199834466,59.99772,False,R,False,True,True
46456,0.0166671,0.873409098014236,59.99844,False,R,False,True,True
46460,0.0166668,0.890075897797942,59.99952,False,R,False,True,True
46464,0.0166676,0.906743498519063,59.99664,False,R,False,True,True
46468,0.0166669,0.923410398885608,59.99916,False,R,False,True,True
46470,0.0166668,0.940077198669314,59.99952,False,R,False,True,True
46474,0.0166667,0.956743897870183,59.99988,False,R,False,True,True
46476,0.0166669,0.973410798236728,59.99916,False,R,False,True,True
46480,0.0166668,0.990077598020434,59.99952,False,R,False,True,True
46486,0.0166669,1.00674449838698,59.99916,False,R,False,True,True
46488,0.0166668,1.02341129817069,59.99952,False,R,False,True,True
46492,0.0166678,1.04007909819484,59.99592,False,R,False,True,True
46494,0.0166663,1.05674539878964,60.00132,False,R,False,True,True
46498,0.0166665,1.07341189868748,60.0006,False,R,False,True,True
46500,0.0166662,1.09007809869945,60.00168,False,R,False,True,True
46506,0.0166675,1.10674559883773,59.997,False,R,False,True,True
46508,0.0166666,1.12341219931841,60.00024,False,R,False,True,True
46512,0.016668,1.14008019864559,59.9952,False,R,False,True,True
46514,0.0166658,1.15674599818885,60.00312,False,R,False,True,True
46516,0.016667,1.17341299727559,59.9988,False,R,False,True,True
46520,0.0166669,1.19007989764214,59.99916,False,R,False,True,True
46524,0.0166671,1.20674699731171,59.99844,False,R,False,True,True
46528,0.0166671,1.22341409698129,59.99844,False,R,False,True,True
46530,0.016667,1.24008109606802,59.9988,False,R,False,True,True
46534,0.0166668,1.25674789585173,59.99952,False,R,False,True,True
46536,0.0166669,1.27341479621828,59.99916,False,R,False,True,True
46540,0.017853,1.29126779548824,56.013,False,R,False,True,True
46544,0.016664,1.30793179571629,60.0096,False,R,False,True,True
46548,0.0166668,1.32459859549999,59.99952,False,R,False,True,True
46550,0.0166722,1.34127079509199,59.98009,False,R,False,True,True
46554,0.0166683,1.35793909430504,59.99412,False,R,False,True,True
46556,0.0166613,1.37460039369762,60.01933,False,R,False,True,True
46562,0.016673,1.39127339422703,59.97721,False,R,False,True,True
46566,0.0166618,1.40793519467115,60.01752,False,R,False,True,True
46568,0.0166655,1.42460069432855,60.0042,False,R,False,True,True
46572,0.0166689,1.44126959517598,59.99196,False,R,False,True,True
46574,0.0166657,1.45793529599905,60.00348,False,R,False,True,True
46576,0.0166727,1.47460799664259,59.97829,False,R,False,True,True
46582,0.016669,1.49127699621022,59.9916,False,R,False,True,True
46586,0.0166628,1.50793979689479,60.01392,False,R,False,True,True
46588,0.0166681,1.52460789680481,59.99484,False,R,False,True,True
46592,0.0166708,1.5412786975503,59.98512,False,R,False,True,True
46594,0.0166646,1.55794329755008,60.00744,False,R,False,True,True
46596,0.0166659,1.57460919767618,60.00276,False,R,False,True,True
46602,0.0166725,1.59128169715405,59.97901,False,R,False,True,True
46604,0.0166616,1.6079432964325,60.01825,False,R,False,True,True
46608,0.016673,1.6246162969619,59.97721,False,R,False,True,True
46610,0.0166632,1.64127949625254,60.01249,False,R,False,True,True
46614,0.0166749,1.65795439668,59.97037,False,R,False,True,True
46616,0.0166682,1.67462259717286,59.99448,False,R,False,True,True
46622,0.016668,1.69129059650004,59.9952,False,R,False,True,True
46624,0.0167164,1.70800699666142,59.82149,False,R,False,True,True
46628,0.0166612,1.72466819733381,60.01968,False,R,False,True,True
46630,0.016667,1.74133519642055,59.9988,False,R,False,True,True
46634,0.0166733,1.75800849683583,59.97613,False,R,False,True,True
46636,0.016667,1.77467549592257,59.9988,False,R,False,True,True
46642,0.0166711,1.79134659655392,59.98404,False,R,False,True,True
46644,0.0166657,1.80801229737699,60.00348,False,R,False,True,True
46648,0.016666,1.82467829808593,60.0024,False,R,False,True,True
46650,0.0166616,1.84133989736438,60.01825,False,R,False,True,True
46654,0.0166688,1.85800869762897,59.99232,False,R,False,True,True
46656,0.0166664,1.87467509694397,60.00096,False,R,False,True,True
46662,0.0166673,1.89134239777923,59.99772,False,R,False,True,True
46664,0.0166653,1.90800769813359,60.00492,False,R,False,True,True
46668,0.0166671,1.92467479780316,59.99844,False,R,False,True,True
46670,0.016667,1.9413417968899,59.9988,False,R,False,True,True
46674,0.0166676,1.95800939761102,59.99664,False,R,False,True,True
46676,0.0166669,1.97467629797757,59.99916,False,R,False,True,True
46682,0.0166666,1.99134289845824,60.00024,False,R,False,True,True
46684,0.0166732,2.00801609829068,59.97649,False,R,False,True,True
46688,0.0166619,2.024677997455,60.01717,False,R,False,True,True
46690,0.016672,2.04134999774396,59.9808,False,R,False,True,True
46694,0.0166716,2.05802159756422,59.98225,False,R,False,True,True
46696,0.0166627,2.07468429766595,60.01428,False,R,False,True,True
46702,0.0167958,2.09148009680212,59.5387,False,R,False,True,True
46704,0.0165365,2.10801659710705,60.47229,False,R,False,True,True
46708,0.0166759,2.12469249777496,59.96678,False,R,False,True,True
46710,0.0166657,2.14135819859803,60.00348,False,R,False,True,True
46714,0.0166617,2.15801989845932,60.01789,False,R,False,True,True
46718,0.0166882,2.17470809817314,59.92258,False,R,False,True,True
46722,0.0166652,2.19137329794467,60.00528,False,R,False,True,True
46724,0.0166703,2.20804359763861,59.98692,False,R,False,True,True
46728,0.0166698,2.22471339814365,59.98872,False,R,False,True,True
46732,0.0166736,2.2413869984448,59.97505,False,R,False,True,True
46734,0.0166554,2.25804239884019,60.04058,False,R,False,True,True
46736,0.0166732,2.27471559867263,59.97649,False,R,False,True,True
46740,0.0166703,2.29138589836657,59.98692,False,R,False,True,True
46746,0.0166641,2.30804999917746,60.00924,False,R,False,True,True
46748,0.0166685,2.32471849955618,59.9934,False,R,False,True,True
46752,0.0166675,2.34138599969447,59.997,False,R,False,True,True
46754,0.0166671,2.35805309936404,59.99844,False,R,False,True,True
46758,0.0166627,2.37471579946578,60.01428,False,R,False,True,True
46760,0.0166679,2.39138370007277,59.99556,False,R,False,True,True
46766,0.0166662,2.40804990008473,60.00168,False,R,False,True,True
46768,0.0166666,2.42471650056541,60.00024,False,R,False,True,True
46772,0.016667,2.44138349965215,59.9988,False,R,False,True,True
46774,0.0166698,2.45805330015719,59.98872,False,R,False,True,True
46778,0.0166668,2.4747200999409,59.99952,False,R,False,True,True
46780,0.016667,2.49138709902763,59.9988,False,R,False,True,True
46786,0.0166667,2.5080537982285,59.99988,False,R,False,True,True
46788,0.0166711,2.52472489885986,59.98404,False,R,False,True,True
46792,0.0166705,2.54139539971948,59.9862,False,R,False,True,True
46794,0.0175842,2.55897959880531,56.86924,False,R,False,True,True
46798,0.0166684,2.5756479986012,59.99376,False,R,False,True,True
46800,0.016667,2.59231499768794,59.9988,False,R,False,True,True
46806,0.0166705,2.60898549854755,59.9862,False,R,False,True,True
46808,0.0166628,2.62564829923213,60.01392,False,R,False,True,True
46812,0.0166753,2.64232360012829,59.96893,False,R,False,True,True
46814,0.0168954,2.65921900048852,59.18771,False,R,False,True,True
46818,0.0166689,2.67588790133595,59.99196,False,R,False,True,True
46820,0.01668,2.69256790168583,59.95204,False,R,False,True,True
46826,0.0166679,2.70923580229282,59.99556,False,R,False,True,True
46828,0.0166697,2.72590550221503,59.98908,False,R,False,True,True
46832,0.0166644,2.74256990291178,60.00816,False,R,False,True,True
46834,0.0166679,2.75923780351877,59.99556,False,R,False,True,True
46838,0.0166742,2.77591200359166,59.97289,False,R,False,True,True
46842,0.0166664,2.79257840290666,60.00096,False,R,False,True,True
46844,0.0190363,2.81161470338702,52.53122,False,R,False,True,True
46848,0.016668,2.8282827027142,59.9952,False,R,False,True,True
46852,0.0166678,2.84495050273836,59.99592,False,R,False,True,True
46854,0.0166666,2.86161710321903,60.00024,False,R,False,True,True
46856,0.0166673,2.87828440405428,59.99772,False,R,False,True,True
46860,0.0166666,2.89495100453496,60.00024,False,R,False,True,True
46866,0.0166687,2.91161970421672,59.99268,False,R,False,True,True
46868,0.0166663,2.92828600481153,60.00132,False,R,False,True,True
46872,0.0166687,2.94495470449328,59.99268,False,R,False,True,True
46874,0.016665,2.96161970496178,60.006,False,R,False,True,True
46878,0.016668,2.97828770428896,59.9952,False,R,False,True,True
46880,0.0166659,2.99495360441506,60.00276,False,R,False,True,True
46886,0.0166674,3.0116210039705,59.99736,False,R,False,True,True
46888,0.0166662,3.02828720398247,60.00168,False,R,False,True,True
46892,0.016667,3.04495420306921,59.9988,False,R,False,True,True
46894,0.0169098,3.06186400353909,59.1373,False,R,False,True,True
46898,0.0166683,3.07853230275214,59.99412,False,R,False,True,True
46900,0.0166664,3.09519870206714,60.00096,False,R,False,True,True
46906,0.0166676,3.11186630278826,59.99664,False,R,False,True,True
46908,0.0166676,3.12853390350938,59.99664,False,R,False,True,True
46912,0.0166663,3.14520020410419,60.00132,False,R,False,True,True
46914,0.0166667,3.16186690330505,59.99988,False,R,False,True,True
46918,0.0166671,3.17853400297463,59.99844,False,R,False,True,True
46920,0.0166672,3.19520120322704,59.99808,False,R,False,True,True
46926,0.0166695,3.21187070384622,59.9898,False,R,False,True,True
46930,0.0166658,3.22853650338948,60.00312,False,R,False,True,True
46932,0.017246,3.24578250385821,57.98446,False,R,False,True,True
46934,0.016669,3.26245150342584,59.9916,False,R,False,True,True
46938,0.0166665,3.27911800332367,60.0006,False,R,False,True,True
46940,0.0166692,3.29578720405698,59.99088,False,R,False,True,True
46946,0.0166645,3.31245170347393,60.0078,False,R,False,True,True
46948,0.0166708,3.32912250421941,59.98512,False,R,False,True,True
46952,0.016664,3.34578650444746,60.0096,False,R,False,True,True
46954,0.0166671,3.36245360411704,59.99844,False,R,False,True,True
46958,0.0166661,3.37911970354617,60.00204,False,R,False,True,True
46960,0.0166674,3.39578710310161,59.99736,False,R,False,True,True
46966,0.0166686,3.41245570220053,59.99305,False,R,False,True,True
46968,0.0166654,3.42912110127509,60.00456,False,R,False,True,True
46972,0.0166675,3.44578860141337,59.997,False,R,False,True,True
46974,0.0166664,3.46245500072837,60.00096,False,R,False,True,True
46978,0.0166673,3.47912230156362,59.99772,False,R,False,True,True
46980,0.0166663,3.49578860215843,60.00132,False,R,False,True,True
46986,0.0166674,3.51245600171387,59.99736,False,R,False,True,True
46988,0.0166669,3.52912290208042,59.99916,False,R,False,True,True
46992,0.016668,3.5457909014076,59.9952,False,R,False,True,True
46994,0.0166655,3.56245640106499,60.0042,False,R,False,True,True
46998,0.0166682,3.57912460155785,59.99448,False,R,False,True,True
47002,0.0166693,3.59579390101135,59.99052,False,R,False,True,True
47006,0.016665,3.61245890147984,60.006,False,R,False,True,True
47008,0.0166679,3.62912680208683,59.99556,False,R,False,True,True
47012,0.0166663,3.64579310268164,60.00132,False,R,False,True,True
47014,0.0166687,3.6624618023634,59.99268,False,R,False,True,True
47018,0.0166651,3.67912690155208,60.00564,False,R,False,True,True
47020,0.0166694,3.69579630158842,59.99016,False,R,False,True,True
47026,0.0166664,3.71246270090342,60.00096,False,R,False,True,True
47030,0.0183099,3.73077260144055,54.61526,False,R,False,True,True
47034,0.022874,3.75364660099149,43.71776,False,R,False,True,True
47036,0.016873,3.77051960118115,59.26628,False,R,False,True,True
47040,0.0166684,3.78718800097704,59.99376,False,R,False,True,True
47042,0.0166654,3.80385340005159,60.00456,False,R,False,True,True
47048,0.0166677,3.82052109949291,59.99628,False,R,False,True,True
47050,0.0166665,3.83718759939075,60.0006,False,R,False,True,True
47054,0.0166676,3.85385520011187,59.99664,False,R,False,True,True
47056,0.0166661,3.870521299541,60.00204,False,R,False,True,True
47060,0.016668,3.88718929886818,59.9952,False,R,False,True,True
47062,0.0166652,3.9038544986397,60.00528,False,R,False,True,True
