F,DT,T,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ,HMDRotationW
182514,0.0220722,0.0220721997320652,0.8646464,0.4455745,-0.5482118,0.1754237,0.06874951,-0.01073214,0.982031
182518,0.0177708,0.0398430004715919,0.8644711,0.4453492,-0.5480931,0.1757317,0.06808743,-0.01036782,0.982026
182520,0.0167104,0.0565534010529518,0.8643538,0.445222,-0.5480422,0.1760005,0.06768797,-0.01016498,0.9820076
182524,0.0166682,0.0732216015458107,0.8640761,0.445013,-0.547972,0.176818,0.06681412,-0.009873552,0.9819235
182526,0.0189948,0.0922164022922516,0.8639866,0.4449336,-0.54794,0.1772076,0.06653021,-0.009818922,0.9818731
182532,0.0166677,0.108884101733565,0.8638296,0.4448577,-0.5478342,0.1779676,0.06607889,-0.009663764,0.9817677
182534,0.0225982,0.131482301279902,0.8637834,0.4448877,-0.5477923,0.1781724,0.06597726,-0.009596176,0.981738
182538,0.0166678,0.148150101304054,0.8637255,0.4449891,-0.547708,0.1783043,0.06588142,-0.009511108,0.9817213
182540,0.016667,0.164817100390792,0.8636938,0.445044,-0.5476805,0.1782916,0.0658619,-0.009513975,0.9817249
182546,0.0166666,0.181483700871468,0.8636617,0.4450802,-0.5476715,0.1780726,0.06592774,-0.009673612,0.9817587
182548,0.0166667,0.198150400072336,0.8636832,0.4450746,-0.5476515,0.1779635,0.06600427,-0.009746209,0.9817726
182552,0.0166672,0.21481760032475,0.8637202,0.4449984,-0.5476712,0.1778923,0.06616426,-0.009831703,0.9817739
182554,0.0166662,0.231483800336719,0.8637332,0.4449259,-0.5476919,0.1779716,0.06622607,-0.009839914,0.9817553
182560,0.0166672,0.248151000589132,0.8637302,0.4447807,-0.5478113,0.1782281,0.06630203,-0.009911802,0.9817029
182562,0.0166664,0.264817399904132,0.8637438,0.4446876,-0.5478581,0.1784743,0.06630719,-0.01002344,0.9816567
182566,0.0166675,0.281484900042415,0.8637684,0.4445094,-0.5479619,0.1789437,0.06626682,-0.01029255,0.9815711
182568,0.0166661,0.298150999471545,0.8638296,0.4444538,-0.5479934,0.1792676,0.06623428,-0.01048524,0.9815122
182572,0.0166677,0.314818698912859,0.8639155,0.4443757,-0.5480922,0.1798154,0.06623632,-0.01081357,0.9814083
182574,0.016666,0.331484699621797,0.8639511,0.4443948,-0.5481483,0.1800151,0.0662612,-0.0109322,0.9813687
182580,0.0166701,0.348154800012708,0.8639688,0.4445477,-0.5482067,0.1802008,0.06643163,-0.0112466,0.9813195
182582,0.0166637,0.364818500354886,0.8639964,0.4446376,-0.548236,0.1801667,0.06654011,-0.01138325,0.9813169
182586,0.0166675,0.381486000493169,0.8640081,0.4448467,-0.5482931,0.1799265,0.06686394,-0.01166686,0.9813356
182588,0.0166666,0.398152600973845,0.8640158,0.4449458,-0.5483418,0.179706,0.0670373,-0.01174083,0.9813633
182592,0.0166679,0.414820501580834,0.8640394,0.4451521,-0.5483871,0.1791851,0.06739593,-0.01176568,0.9814337
182596,0.0167371,0.431557601317763,0.8640585,0.4452401,-0.5484263,0.1789607,0.06750138,-0.01177136,0.9814673
182598,0.016667,0.448224600404501,0.8640456,0.4452834,-0.5484528,0.1785505,0.06758876,-0.01178532,0.9815359
182600,0.016667,0.464891599491239,0.8640279,0.4452745,-0.5484805,0.1784446,0.06758516,-0.01186193,0.9815544
182606,0.0166673,0.48155890032649,0.8640301,0.4452017,-0.5485603,0.1783994,0.06745806,-0.01208234,0.9815687
182608,0.0176491,0.499207999557257,0.8640345,0.4451759,-0.5485731,0.1784574,0.06735127,-0.01215341,0.9815646
182612,0.0166676,0.515875600278378,0.8640147,0.4451531,-0.5486117,0.1786738,0.06711715,-0.01222569,0.9815404
182614,0.0166662,0.532541800290346,0.8640426,0.4451551,-0.5486113,0.1788017,0.06700026,-0.01219853,0.9815254
182620,0.0166678,0.549209600314498,0.8640289,0.4452072,-0.548631,0.1789606,0.06679823,-0.01209292,0.9815115
182622,0.0166658,0.565875399857759,0.8640208,0.445243,-0.5486422,0.1790609,0.06671799,-0.01209783,0.9814987
182626,0.0166685,0.582543900236487,0.8639925,0.4453183,-0.5486761,0.179191,0.0665217,-0.01227142,0.9814861
182628,0.0166654,0.599209299311042,0.8639775,0.4453644,-0.5486882,0.1792316,0.06642668,-0.01238998,0.9814836
182632,0.0166677,0.615876998752356,0.8639235,0.4454534,-0.5487415,0.179133,0.06619675,-0.01246738,0.9815162
182634,0.0166655,0.632542498409748,0.863896,0.4454668,-0.5487528,0.1790611,0.06608094,-0.01235346,0.9815385
182638,0.0166683,0.6492107976228,0.8638704,0.4454663,-0.5487614,0.179027,0.06575173,-0.01183036,0.9815733
182642,0.0166665,0.665877297520638,0.8638602,0.4454146,-0.5487599,0.1790362,0.06550462,-0.0114203,0.981593
182646,0.0166672,0.682544497773051,0.8638499,0.4452943,-0.5487563,0.1790665,0.0648562,-0.01069627,0.9816387
182648,0.0172163,0.699760798364878,0.863865,0.4452062,-0.548757,0.1790569,0.06453349,-0.01055782,0.9816632
182652,0.0166678,0.71642859838903,0.8638833,0.4450381,-0.5487572,0.1791994,0.06374753,-0.01043366,0.9816899
182654,0.0187949,0.73522349819541,0.8639109,0.4449511,-0.5487374,0.1793447,0.06339599,-0.01038206,0.9816867
182660,0.0166705,0.751893999055028,0.8639622,0.4447897,-0.5487393,0.1798384,0.06257921,-0.0101429,0.9816512
182662,0.0166649,0.768558898940682,0.8640054,0.4447295,-0.5487372,0.1800843,0.06216247,-0.010006,0.981634
182666,0.0166682,0.785227099433541,0.8641193,0.4445903,-0.5487356,0.1804557,0.06148494,-0.009732432,0.9816113
182668,0.01668,0.801907099783421,0.8642119,0.4445355,-0.5487337,0.1806444,0.06114908,-0.009620424,0.9815987
182674,0.0166673,0.818574400618672,0.8644319,0.4444249,-0.5487031,0.1810254,0.06057672,-0.009426448,0.9815658
182676,0.0166661,0.835240500047803,0.8645285,0.4444088,-0.548721,0.1812349,0.06035171,-0.009370104,0.9815416
182680,0.0166685,0.851909000426531,0.8646842,0.4443066,-0.548763,0.1817839,0.05992169,-0.009389445,0.9814662
182686,0.0212104,0.873119400814176,0.8648395,0.4441846,-0.5487886,0.1821877,0.05973945,-0.009369275,0.9814026
182688,0.0220257,0.895145101472735,0.8649037,0.4440927,-0.5488207,0.1823862,0.05971815,-0.009325224,0.9813675
182692,0.0166681,0.911813201382756,0.8649876,0.4439669,-0.5489407,0.1830266,0.05975042,-0.009130279,0.9812481
182694,0.0199134,0.931726600974798,0.8650377,0.4439079,-0.5490154,0.1833264,0.05979918,-0.009033488,0.9811901
182700,0.0166682,0.948394801467657,0.8651305,0.4437821,-0.5491575,0.1839001,0.05992314,-0.008715286,0.981078
182702,0.0168623,0.965257100760937,0.8651694,0.4437551,-0.5491938,0.1840996,0.05993963,-0.008537075,0.9810411
182706,0.0166677,0.98192480020225,0.8652164,0.4437598,-0.5492534,0.1842986,0.05985804,-0.008253526,0.9810112
182708,0.0166669,0.998591700568795,0.865228,0.4437583,-0.5493167,0.1843026,0.05973797,-0.008172313,0.9810184
182712,0.0166675,1.01525920070708,0.8652548,0.4438163,-0.5494035,0.1841979,0.05935565,-0.008235318,0.9810608
182714,0.0178872,1.03314640000463,0.8652341,0.4438755,-0.5494357,0.184147,0.05920466,-0.008398684,0.9810781
