F,DT,T,Pos_X,Pos_Y,Pos_Z,Rot_X,Rot_Y,Rot_Z,Rot_W,Grip_pos,Grip_vel,Grip_eff
62856,0.0206223,0.0206222999840975,0.1390401,0.2726392,0.3669007,0.02421154,0.07671122,0.9967466,0.005044478,0.0398445650935173,0,0
62860,0.0166685,0.0372908003628254,0.1390401,0.2726392,0.3669007,0.02421154,0.07671122,0.9967466,0.005044478,0.0398445650935173,0,0
62864,0.0166669,0.0539577007293701,0.1390401,0.2726392,0.3669007,0.02421154,0.07671122,0.9967466,0.005044478,0.0398445650935173,0,0
62868,0.0185734,0.0725311003625393,0.1390417,0.2727916,0.3670484,0.02412905,0.07737348,0.9966992,0.004682748,0.0398445650935173,0,0
62870,0.0203495,0.0928806010633707,0.1390417,0.2727916,0.3670484,0.02412905,0.07737348,0.9966992,0.004682748,0.0398445650935173,0,0
62876,0.0166678,0.109548401087523,0.1390417,0.2727916,0.3670484,0.02412905,0.07737348,0.9966992,0.004682748,0.0398445650935173,0,0
62878,0.0166668,0.126215200871229,0.1390153,0.2728525,0.3671166,0.02406069,0.07766559,0.9966788,0.004518236,0.0398445650935173,0,0
62882,0.0166662,0.142881400883198,0.1390153,0.2728525,0.3671166,0.02406069,0.07766559,0.9966788,0.004518236,0.0398445650935173,0,0
62884,0.016667,0.159548399969935,0.1389922,0.2728973,0.3671684,0.02400403,0.07792807,0.9966604,0.004366919,0.0398445650935173,0,0
62888,0.0166678,0.176216199994087,0.1389922,0.2728973,0.3671684,0.02400403,0.07792807,0.9966604,0.004366919,0.0398445650935173,0,0
62892,0.0177074,0.193923600018024,0.1389922,0.2728973,0.3671684,0.02400403,0.07792807,0.9966604,0.004366919,0.0398458763957024,0,0
62896,0.0166677,0.210591299459338,0.1389506,0.2729367,0.3672162,0.02392379,0.07818967,0.9966425,0.004214336,0.0398458763957024,0,0
62898,0.0179099,0.228501198813319,0.1389506,0.2729367,0.3672162,0.02392379,0.07818967,0.9966425,0.004214336,0.0398458763957024,0,0
62904,0.016668,0.245169198140502,0.1389047,0.2729586,0.3672391,0.02384539,0.07864221,0.9966099,0.003934172,0.0398458763957024,0,0
62906,0.0202563,0.265425497666001,0.1389047,0.2729586,0.3672391,0.02384539,0.07864221,0.9966099,0.003934172,0.0398458763957024,0,0
62910,0.0166678,0.282093297690153,0.1389047,0.2729586,0.3672391,0.02384539,0.07864221,0.9966099,0.003934172,0.0398458763957024,0,0
62912,0.0166703,0.298763597384095,0.1388852,0.2729929,0.3672705,0.02380206,0.07891557,0.99659,0.003772371,0.0398458763957024,0,0
62916,0.0166678,0.315431397408247,0.1388727,0.2730438,0.3673198,0.02375494,0.07921601,0.9965679,0.003599141,0.0398458763957024,0,0
62918,0.0166655,0.33209689706564,0.1388727,0.2730438,0.3673198,0.02375494,0.07921601,0.9965679,0.003599141,0.0398458763957024,0,0
62922,0.0166664,0.348763296380639,0.1388727,0.2730438,0.3673198,0.02375494,0.07921601,0.9965679,0.003599141,0.0398458763957024,0,0
62924,0.0166738,0.365437095984817,0.1388824,0.273105,0.3673742,0.02373671,0.07954877,0.9965425,0.003412619,0.0398445650935173,0,0
62930,0.0166611,0.382098196074367,0.1388824,0.273105,0.3673742,0.02373671,0.07954877,0.9965425,0.003412619,0.0398445650935173,0,0
62932,0.0173686,0.39946679584682,0.1388877,0.2731713,0.3674335,0.02370833,0.07983997,0.9965204,0.003252789,0.0398445650935173,0,0
62936,0.0166674,0.416134195402265,0.1388877,0.2731713,0.3674335,0.02370833,0.07983997,0.9965204,0.003252789,0.0398445650935173,0,0
62938,0.0166669,0.432801095768809,0.1388877,0.2731713,0.3674335,0.02370833,0.07983997,0.9965204,0.003252789,0.0398445650935173,0,0
62944,0.0166829,0.449483996257186,0.1388799,0.2732304,0.3674932,0.02366475,0.08012122,0.9964994,0.003094988,0.0398445650935173,0,0
62946,0.0179218,0.467405796051025,0.1388799,0.2732304,0.3674932,0.02366475,0.08012122,0.9964994,0.003094988,0.0398445650935173,0,0
62950,0.0166682,0.484073996543884,0.1388331,0.2733333,0.3676052,0.02354344,0.080652,0.9964603,0.002792615,0.0398445650935173,0,0
62954,0.0198432,0.503917196765542,0.1388331,0.2733333,0.3676052,0.02354344,0.080652,0.9964603,0.002792615,0.0398445650935173,0,0
62958,0.0166677,0.520584896206856,0.1388331,0.2733333,0.3676052,0.02354344,0.080652,0.9964603,0.002792615,0.0398445650935173,0,0
62960,0.0178863,0.538471195846796,0.1387552,0.2733576,0.3676337,0.02342059,0.08122568,0.9964176,0.002433416,0.0398445650935173,0,0
