F,DT,T,LeapPos_X,LeapPos_Y,LeapPos_Z,LeapRot_X,LeapRot_Y,LeapRot_Z,LeapRot_W,Grab,Pinch,cmdPos_X,cmdPos_Y,cmdPos_Z,cmdRot_X,cmdRot_Y,cmdRot_Z,cmdRot_W
0,0.0209194,0.0209193993359804,1.13619,0.5641019,-0.2934475,-0.7086807,0.182263,-0.5428689,-0.4121229,0,0,0.4485308,0.186595,0.1353263,0.9393183,-0.327351,0.07873985,0.06574578
0,0.0166681,0.0375874992460012,1.13566,0.5638231,-0.2933054,-0.708904,0.1821225,-0.542761,-0.4119432,0,0,0.4484476,0.1861902,0.1351019,0.9392921,-0.3273921,0.07883549,0.06580108
0,0.016667,0.0542544983327389,1.134987,0.5635643,-0.2931525,-0.7089406,0.1823081,-0.5426768,-0.411909,0,0,0.4483055,0.1856599,0.1348231,0.939219,-0.3276273,0.07891042,0.0655838
0,0.0166671,0.0709215980023146,1.134256,0.5633019,-0.2928838,-0.7086344,0.183485,-0.542438,-0.4122276,0,0,0.4481526,0.1849874,0.1345643,0.9391985,-0.3276234,0.07910277,0.06566507
0,0.0166664,0.0875879973173141,1.133609,0.5631665,-0.2927067,-0.7085456,0.1840571,-0.5423972,-0.412179,0,0,0.4478839,0.1842564,0.1343019,0.9392341,-0.3271551,0.07982124,0.06661409
0,0.0166673,0.104255298152566,1.13306,0.5631641,-0.292698,0.7086048,-0.184589,0.542583,0.4115945,0,0,0.4477069,0.1836088,0.1341665,0.9392676,-0.3268952,0.08027007,0.06687691
0,0.016667,0.120922297239304,1.132555,0.5631415,-0.2927549,-0.7089792,0.1843318,-0.5428287,-0.41074,0,0,0.4476982,0.1830595,0.1341641,0.9393529,-0.3265432,0.08094025,0.0665902
0,0.0166666,0.137588897719979,1.132201,0.5631083,-0.2929738,-0.7089978,0.1843776,-0.5434178,-0.4099073,0,0,0.447755,0.1825555,0.1341415,0.9393678,-0.326626,0.08121512,0.06563408
0,0.0166667,0.154255596920848,1.131787,0.5627496,-0.2932492,-0.7087011,0.1850696,-0.5439525,-0.4093994,0,0,0.4479739,0.182201,0.1341083,0.9395586,-0.3261689,0.08151905,0.06479429
0,0.0166668,0.170922396704555,1.131608,0.5625252,-0.2935577,-0.7084309,0.1858821,-0.5444695,-0.4088111,0,0,0.4482494,0.1817873,0.1337496,0.9398121,-0.3253358,0.08207956,0.06459836
