F,DT,T,LeapPos_X,LeapPos_Y,LeapPos_Z,LeapRot_X,LeapRot_Y,LeapRot_Z,LeapRot_W,Grab,Pinch,cmdPos_X,cmdPos_Y,cmdPos_Z,cmdRot_X,cmdRot_Y,cmdRot_Z,cmdRot_W
509780,0.0166656,0.0166656002402306,1.070748,0.146181,-0.381855,-0.6200296,0.296876,-0.6316007,-0.3584808,0.0550662688910961,0,0.4115968,0.1207375,0.1608336,0.9736564,-0.1646168,0.1430905,0.0664809
509784,0.0185076,0.035173200070858,1.071226,0.1465798,-0.3819197,-0.6203632,0.296288,-0.6324126,-0.3569554,0.0568890273571014,0,0.411855,0.1207479,0.161181,0.9735588,-0.1650044,0.1436581,0.06571952
509786,0.0166677,0.0518408995121717,1.071363,0.146598,-0.3823031,-0.6203258,0.2964494,-0.6326606,-0.3564468,0.0567948669195175,0,0.4119197,0.1212263,0.1615798,0.9736933,-0.16476,0.1438504,0.06389517
509792,0.0277135,0.0795543994754553,1.071808,0.1472718,-0.3823219,-0.6205616,0.2960936,-0.6329567,-0.3558058,0.0552433021366596,0,0.412303,0.1213626,0.161598,0.9737282,-0.1644485,0.1441478,0.06349403
509796,0.0166685,0.0962228998541832,1.071775,0.1476816,-0.3827262,-0.6211426,0.2952253,-0.6330636,-0.3553232,0.0528519973158836,0,0.4123218,0.1218082,0.1622718,0.9737706,-0.1644795,0.1441865,0.06267139
509798,0.0166665,0.112889399752021,1.071954,0.1478601,-0.3826734,0.6213046,-0.2942108,0.6336176,0.3548935,0.0530708767473698,0,0.4127262,0.1217753,0.1626816,0.9737699,-0.1650821,0.1439107,0.06172437
509802,0.0166692,0.129558600485325,1.071991,0.1484938,-0.3826867,0.6216784,-0.2927518,0.6348596,0.3532218,0.0539559163153172,0,0.4126734,0.121954,0.1628601,0.9739105,-0.1652094,0.143253,0.06068591
509804,0.0166653,0.146223900839686,1.071978,0.1488342,-0.3828935,-0.6210651,0.2921427,-0.6354342,-0.3537714,0.0531876720488071,0,0.4126867,0.1219911,0.1634938,0.9741611,-0.1650666,0.1427522,0.0581817
509810,0.0166673,0.162891201674938,1.071738,0.1494932,-0.3829363,0.6206002,-0.2926014,0.6357159,0.3537019,0.0496660433709621,0,0.4128935,0.1219782,0.1638342,0.9743835,-0.1646484,0.1416805,0.05826075
509812,0.0166664,0.179557600989938,1.07176,0.1497844,-0.3831616,0.6205728,-0.2923906,0.6358758,0.353637,0.0429499000310898,0,0.4129363,0.1217381,0.1644932,0.9744622,-0.1639779,0.1418497,0.05842347
509816,0.0166668,0.196224400773644,1.071752,0.1501625,-0.3833448,0.6206473,-0.2918259,0.6362686,0.3532662,0.0403266102075577,0,0.4131616,0.1217603,0.1647844,0.9745064,-0.1639409,0.1416707,0.05822454
509818,0.0166665,0.212890900671482,1.072082,0.1503458,-0.3836131,0.6210489,-0.2911592,0.6365889,0.3525328,0.0375107303261757,0,0.4133447,0.1217524,0.1651625,0.9745976,-0.1639316,0.1413424,0.05751729
509822,0.0166676,0.229558501392603,1.072224,0.1507276,-0.3835146,-0.6213154,0.2901301,-0.637136,-0.3519224,0.0386262945830822,0,0.4136131,0.1220816,0.1653458,0.9746369,-0.1641693,0.1412331,0.0564329
509824,0.0166663,0.24622480198741,1.072502,0.1508907,-0.3836569,-0.6217083,0.2898727,-0.6369232,-0.351826,0.0396412909030914,0,0.4135146,0.1222243,0.1657276,0.974755,-0.1643479,0.1406862,0.05522571
509830,0.0166671,0.262891901656985,1.072773,0.1512211,-0.3835437,0.6224167,-0.2891396,0.637109,0.3508389,0.0375913828611374,0,0.4136568,0.1225024,0.1658907,0.9746826,-0.1648237,0.1407123,0.05501863
509832,0.0166668,0.279558701440692,1.073175,0.1513159,-0.3835288,0.6226155,-0.2888526,0.6369222,0.3510617,0.0356403216719627,0,0.4135436,0.1227733,0.1662211,0.9746574,-0.1653327,0.1408053,0.05368464
509836,0.0166675,0.296226201578975,1.073171,0.1513261,-0.3833597,0.6225656,-0.2887271,0.6370671,0.3509904,0.0331706739962101,0,0.4135287,0.1231752,0.1663159,0.9746192,-0.1657237,0.140586,0.05374682
509838,0.0166663,0.312892502173781,1.0734,0.1513703,-0.3833442,-0.6227657,0.2885662,-0.6367548,-0.3513345,0.0274241082370281,0,0.4133596,0.1231708,0.1663262,0.9746574,-0.1656452,0.1404722,0.05359273
509842,0.0166669,0.329559402540326,1.073358,0.151308,-0.3836374,-0.6223795,0.2893372,-0.6363541,-0.3521096,0.0275311302393675,0,0.4133441,0.1234005,0.1663702,0.974591,-0.1660784,0.1403226,0.05385225
509844,0.0166679,0.346227303147316,1.073761,0.1512502,-0.3837866,0.6227862,-0.2892793,0.635864,0.3523236,0.0253622438758612,0,0.4136374,0.1233583,0.166308,0.9745331,-0.1658631,0.1405168,0.05504282
509850,0.0166664,0.362893702462316,1.073774,0.151244,-0.3837312,0.6228463,-0.2896086,0.6357849,0.3520896,0.0245060250163078,0,0.4137866,0.1237614,0.1662501,0.974401,-0.1664773,0.140619,0.05526577
509852,0.0166664,0.379560101777315,1.074129,0.1512323,-0.3837696,0.6229854,-0.2896129,0.6356226,0.3521329,0.0232742242515087,0,0.4137312,0.1237742,0.166244,0.9743572,-0.1663962,0.1410244,0.05525082
509856,0.0166673,0.396227402612567,1.074288,0.151156,-0.3833167,-0.6232116,0.289508,-0.6355558,-0.3519395,0.0206985827535391,0,0.4137695,0.1241292,0.1662323,0.9743111,-0.1665888,0.141091,0.05531308
509858,0.0166696,0.412897001951933,1.074619,0.1513722,-0.3831367,-0.6237463,0.2889774,-0.6352679,-0.351948,0.0198013577610254,0,0.4133167,0.1242883,0.166156,0.9742745,-0.1667919,0.1411924,0.05508659
509862,0.0166655,0.429562501609325,1.074693,0.1516625,-0.383133,0.6241384,-0.289068,0.6348164,0.3519931,0.0198013577610254,0,0.4131366,0.1246189,0.1663722,0.9741868,-0.1675317,0.141021,0.05482944
509866,0.0166665,0.446229001507163,1.074782,0.1520865,-0.3826835,-0.6242179,0.2887867,-0.63479,-0.3521306,0.020815035328269,0,0.413133,0.124693,0.1666625,0.9740517,-0.1680282,0.141305,0.0549791
509868,0.0166697,0.462898701429367,1.075154,0.1524708,-0.3825394,0.6244294,-0.2884131,0.6345841,0.3524327,0.021901311352849,0,0.4126835,0.1247819,0.1670865,0.9740551,-0.1682303,0.1410537,0.05494737
509872,0.0166641,0.479562802240252,1.075337,0.1528539,-0.3825162,0.6249103,-0.2880184,0.6342807,0.3524493,0.023418951779604,0,0.4125394,0.1251536,0.1674708,0.9740167,-0.1686875,0.140738,0.05503507
