F,DT,T,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ,HMDRotationW
43338,0.0223194,0.0223194006830454,1.036994,0.4178013,-0.7339248,0.03766331,-0.04772714,0.03550479,0.9975184
43340,0.0166667,0.038986099883914,1.037022,0.4178058,-0.7339094,0.03787952,-0.04758286,0.03542086,0.9975201
43342,0.0166677,0.0556537993252277,1.037034,0.4177669,-0.7338991,0.03796327,-0.04733441,0.03533409,0.9975319
43348,0.0166675,0.0723212994635105,1.037004,0.4177918,-0.7338768,0.03762662,-0.0470105,0.03552375,0.9975532
43352,0.0191415,0.0914628002792597,1.037023,0.4178007,-0.7339117,0.03747229,-0.04678656,0.03580451,0.9975595
43354,0.0224209,0.113883700221777,1.037017,0.4178013,-0.7339138,0.03737549,-0.04661229,0.03598866,0.9975646
43358,0.0166704,0.130554100498557,1.037056,0.4177512,-0.7338943,0.03747544,-0.04634541,0.03641532,0.9975578
43360,0.016679,0.147233100607991,1.037068,0.417713,-0.7339106,0.03757024,-0.04629926,0.03663865,0.9975482
43366,0.0166683,0.163901399821043,1.037056,0.4176924,-0.7339955,0.03765786,-0.04623478,0.03730533,0.9975232
43368,0.0167368,0.180638199672103,1.03703,0.4176952,-0.7340097,0.03759806,-0.04617967,0.03754766,0.997519
43370,0.0166705,0.197308700531721,1.036991,0.4177764,-0.7340512,0.03743748,-0.04623165,0.03774911,0.997515
43374,0.0166649,0.213973600417376,1.036985,0.4177738,-0.7340791,0.0372012,-0.04630048,0.03791595,0.9975143
43378,0.0166689,0.230642501264811,1.036933,0.4178825,-0.7340873,0.03691848,-0.04636055,0.03813388,0.9975137
43380,0.0166647,0.247307201847434,1.036911,0.4179058,-0.7341162,0.03671717,-0.04645003,0.0383058,0.9975104
43384,0.0166679,0.263975102454424,1.036871,0.4179572,-0.7341434,0.0364548,-0.04651205,0.03852069,0.9975088
43386,0.0166662,0.280641302466393,1.036838,0.4180014,-0.7341705,0.03613656,-0.04657656,0.03877514,0.9975076
43390,0.0166673,0.297308603301644,1.036786,0.4181041,-0.734218,0.03570998,-0.04664943,0.03899865,0.9975108
43394,0.0166666,0.31397520378232,1.036715,0.418216,-0.7342554,0.03529242,-0.04670962,0.03921041,0.9975145
43396,0.0166717,0.330646904185414,1.036649,0.4182887,-0.7342918,0.03488474,-0.04684502,0.03936495,0.9975165
43402,0.0166628,0.347309704869986,1.036502,0.4183574,-0.734309,0.03445191,-0.04707379,0.03962811,0.9975103
43404,0.0166689,0.363978605717421,1.036351,0.4184239,-0.7344105,0.03420885,-0.04730235,0.03979802,0.9975011
43408,0.0166647,0.380643306300044,1.036288,0.4184335,-0.7344573,0.03412822,-0.04745639,0.03987541,0.9974934
43412,0.0166689,0.397312207147479,1.036177,0.4183982,-0.7345444,0.03405079,-0.04778782,0.04012483,0.9974703
43414,0.0173482,0.414660407230258,1.036149,0.4183351,-0.7345889,0.03404859,-0.04793118,0.04018812,0.9974609
43420,0.0166679,0.431328307837248,1.035981,0.4182792,-0.7347237,0.03405201,-0.04824015,0.04042008,0.9974365
43424,0.0217126,0.453040907159448,1.035861,0.418254,-0.7348644,0.03406794,-0.04854131,0.04051077,0.9974177
43426,0.0193227,0.472363607957959,1.035823,0.4182683,-0.7349412,0.034003,-0.04872384,0.04055493,0.9974092
43430,0.016668,0.489031607285142,1.035715,0.4182586,-0.7349694,0.03391312,-0.04900857,0.04062507,0.9973955
43432,0.0166667,0.505698306486011,1.035665,0.418322,-0.735005,0.0337895,-0.04915356,0.04065969,0.9973911
43438,0.0166673,0.522365607321262,1.035592,0.4183395,-0.7349615,0.03346616,-0.04936752,0.04055985,0.9973955
