F,DT,T,fps,Start,Hand,Grip,Tracked,Controlling
68588,0.0202453,0.0202453006058931,49.39418,False,R,False,True,True
68590,0.0169752,0.0372205004096031,58.90947,False,R,False,True,True
68594,0.0166687,0.053889200091362,59.99268,False,R,False,True,True
68596,0.0197454,0.0736346002668142,50.64471,False,R,False,True,True
68602,0.0166681,0.0903027001768351,59.99484,False,R,False,True,True
68606,0.0186037,0.108906399458647,53.75275,False,R,False,True,True
68608,0.0182598,0.127166198566556,54.76511,False,R,False,True,True
68612,0.0166686,0.143834797665477,59.99305,False,R,False,True,True
68614,0.0172047,0.161039497703314,58.12365,False,R,False,True,True
68618,0.0166684,0.177707897499204,59.99376,False,R,False,True,True
68622,0.0166662,0.194374097511172,60.00168,False,R,False,True,True
68626,0.0166677,0.211041796952486,59.99628,False,R,False,True,True
68628,0.0166652,0.22770699672401,60.00528,False,R,False,True,True
68632,0.0166682,0.244375197216868,59.99448,False,R,False,True,True
68634,0.0176287,0.26200389675796,56.72568,False,R,False,True,True
68640,0.0166682,0.278672097250819,59.99448,False,R,False,True,True
68642,0.0166662,0.295338297262788,60.00168,False,R,False,True,True
68646,0.0166677,0.312005996704102,59.99628,False,R,False,True,True
68648,0.0166655,0.328671496361494,60.0042,False,R,False,True,True
68652,0.0166679,0.345339396968484,59.99556,False,R,False,True,True
68654,0.0166665,0.362005896866322,60.0006,False,R,False,True,True
68660,0.0166673,0.378673197701573,59.99772,False,R,False,True,True
68662,0.0184555,0.397128697484732,54.18439,False,R,False,True,True
68666,0.016668,0.413796696811914,59.9952,False,R,False,True,True
68668,0.0166665,0.430463196709752,60.0006,False,R,False,True,True
68674,0.0166674,0.447130596265197,59.99736,False,R,False,True,True
68676,0.0226355,0.469766097143292,44.17839,False,R,False,True,True
68680,0.016669,0.48643509671092,59.9916,False,R,False,True,True
68682,0.0166648,0.503099896013737,60.00672,False,R,False,True,True
68688,0.0166676,0.519767496734858,59.99664,False,R,False,True,True
68690,0.0182489,0.538016397505999,54.79782,False,R,False,True,True
68694,0.0166855,0.554701898247004,59.93227,False,R,False,True,True
68696,0.0166648,0.57136669754982,60.00672,False,R,False,True,True
68700,0.0166719,0.588038597255945,59.98117,False,R,False,True,True
68704,0.0166623,0.604700896888971,60.01572,False,R,False,True,True
68708,0.0166709,0.621371796354651,59.98476,False,R,False,True,True
68712,0.0181584,0.639530196785927,55.07093,False,R,False,True,True
68714,0.02024,0.659770196303725,49.40712,False,R,False,True,True
68718,0.0166688,0.676438996568322,59.99232,False,R,False,True,True
68722,0.0172849,0.69372389651835,57.85397,False,R,False,True,True
68726,0.0166692,0.710393097251654,59.99088,False,R,False,True,True
68728,0.0178844,0.728277496993542,55.91465,False,R,False,True,True
68734,0.0166681,0.744945596903563,59.99484,False,R,False,True,True
68736,0.019498,0.764443596825004,51.28731,False,R,False,True,True
68740,0.0166683,0.781111896038055,59.99412,False,R,False,True,True
68742,0.0166661,0.797777995467186,60.00204,False,R,False,True,True
68746,0.0166676,0.814445596188307,59.99664,False,R,False,True,True
68750,0.0208281,0.835273696109653,48.01206,False,R,False,True,True
