F,DT,T,Status,GazeX,GazeY,GazeZ,GazePosition,FocusDistance,FocusStability,StatusL,LeftX,LeftY,LeftZ,PositionL,PupilL,StatusR,RightX,RightY,RightZ,PositionR,PupilR
68588,0.0202453,0.0202453006058931,VALID,0.0764276757836342,0.0251265000551939,0.996758460998535,0,0.702004730701447,0,VALID,0.110173292458057,0.00954931974411011,0.993866503238678,-0.0313749983906746,0.0539165921509266,VALID,0.0421933606266975,0.0474132299423218,0.997983813285828,0.0313749983906746,0.0553057454526424
68590,0.0169752,0.0372205004096031,VALID,0.0735720470547676,0.0283976886421442,0.996885538101196,0,0.657667517662048,0,VALID,0.109429888427258,0.012213678099215,0.993919491767883,-0.0313749983906746,0.053675189614296,VALID,0.0362543277442455,0.0522723756730556,0.997974574565887,0.0313749983906746,0.0582869239151478
68594,0.0166687,0.053889200091362,VALID,0.069635882973671,0.0351516269147396,0.996952950954437,0,0.589182734489441,0,VALID,0.106189094483852,0.0123922135680914,0.994268715381622,-0.0313749983906746,0.0536445789039135,VALID,0.0320355072617531,0.061176273971796,0.997612774372101,0.0313749983906746,0.0552311651408672
68596,0.0197454,0.0736346002668142,VALID,0.0682004392147064,0.033654049038887,0.997103869915009,0,0.572818458080292,0,VALID,0.104203686118126,0.00937735568732023,0.994511783123016,-0.0313749983906746,0.0518945455551147,VALID,0.0314308591187,0.0609362907707691,0.997646689414978,0.0313749983906746,0.0550960600376129
68602,0.0166681,0.0903027001768351,VALID,0.0658161118626595,0.0371856354176998,0.997138619422913,0,0.493484735488892,0,VALID,0.0967321693897247,0.0072197001427412,0.995284259319305,-0.0313749983906746,0.05422368273139,VALID,0.0325821042060852,0.0707079395651817,0.996964812278748,0.0313749983906746,0.0498153381049633
68606,0.0186037,0.108906399458647,VALID,0.0653829276561737,0.0345694348216057,0.99726128578186,0,0.548497021198273,0,VALID,0.0919519364833832,0.00670114159584045,0.99574089050293,-0.0313749983906746,0.0521277971565723,VALID,0.0352898016571999,0.0638321712613106,0.997336506843567,0.0313749983906746,0.0546263121068478
68608,0.0182598,0.127166198566556,VALID,0.0651429742574692,0.0341239124536514,0.997292280197144,0,0.578983962535858,0,VALID,0.0909635126590729,0.0060313162393868,0.995835959911346,-0.0313749983906746,0.052610244601965,VALID,0.0358168482780457,0.060144379734993,0.997546911239624,0.0313749983906746,0.0599594637751579
68612,0.0166686,0.143834797665477,VALID,0.0597097277641296,0.033588919788599,0.997650504112244,0,0.55583119392395,0,VALID,0.0886097922921181,0.00450473697856069,0.996056258678436,-0.0313749983906746,0.0530758984386921,VALID,0.0309198088943958,0.0608680583536625,0.997666776180267,0.0313749983906746,0.0526706241071224
68614,0.0172047,0.161039497703314,VALID,0.0577281787991524,0.0321628004312515,0.997814118862152,0,0.574864864349365,0,VALID,0.0873270407319069,0.00412508053705096,0.996171176433563,-0.0313749983906746,0.0534525886178017,VALID,0.0285718515515327,0.0584689304232597,0.997880280017853,0.0313749983906746,0.0537342354655266
68618,0.0166684,0.177707897499204,VALID,0.0539555251598358,0.0300389155745506,0.998091399669647,0,0.599136292934418,0,VALID,0.085584282875061,0.00340594723820686,0.996325135231018,-0.0313749983906746,0.0532923266291618,VALID,0.0227002874016762,0.0546170696616173,0.998249292373657,0.0313749983906746,0.0526724196970463
68622,0.0166662,0.194374097511172,VALID,0.0469896867871284,0.0238542426377535,0.998610496520996,0,2,0,VALID,0.073076993227005,-0.00151802413165569,0.997325122356415,-0.0313749983906746,0.0528219304978848,INVALID,,,,,
68626,0.0166677,0.211041796952486,VALID,0.041263397783041,0.0223360322415829,0.99889862537384,0,0.577581822872162,0,VALID,0.0713068544864655,-0.00197956757619977,0.997452437877655,-0.0313749983906746,0.0528597459197044,VALID,0.0112129244953394,0.0519729256629944,0.998585522174835,0.0313749983906746,0.0557249188423157
68628,0.0166652,0.22770699672401,VALID,0.0347137451171875,0.0189522299915552,0.999217569828033,0,0.593641459941864,0,VALID,0.0711235851049423,-0.00246615009382367,0.9974644780159,-0.0313749983906746,0.0529156476259232,VALID,-0.00536991329863667,0.0446920320391655,0.99898636341095,0.0313749983906746,0.0522938668727875
68632,0.0166682,0.244375197216868,VALID,0.0356104858219624,0.0177362132817507,0.999208331108093,0,0.64027988910675,0,VALID,0.0702700540423393,-0.0029650405049324,0.997523605823517,-0.0313749983906746,0.0526038259267807,VALID,-0.000642864208202809,0.0407655946910381,0.999168515205383,0.0313749983906746,0.0551485233008862
68634,0.0176287,0.26200389675796,VALID,0.0360295623540878,0.0166648346930742,0.99921178817749,0,0.678153336048126,0,VALID,0.0697785541415215,-0.00288994563743472,0.997558295726776,-0.0313749983906746,0.0528776794672012,VALID,0.00110283074900508,0.0374856702983379,0.999296545982361,0.0313749983906746,0.056739866733551
68640,0.0166682,0.278672097250819,VALID,0.0366881191730499,0.0201358795166016,0.999123871326447,0,0.662080585956573,0,VALID,0.0691502019762993,-0.00129028374794871,0.997605443000793,-0.0313749983906746,0.0532073080539703,VALID,0.00318594416603446,0.0422238931059837,0.99910306930542,0.0313749983906746,0.0543925166130066
68642,0.0166662,0.295338297262788,VALID,0.0361912548542023,0.020484808832407,0.99913489818573,0,0.671310424804688,0,VALID,0.0683733448386192,-0.000540694745723158,0.997659683227539,-0.0313749983906746,0.053888164460659,VALID,0.00304924137890339,0.0422625951468945,0.999101877212524,0.0313749983906746,0.0551529936492443
68646,0.0166677,0.312005996704102,VALID,0.036298856139183,0.0207362193614244,0.999125838279724,0,0.701021671295166,0,VALID,0.0666335895657539,0.00153569946996868,0.997776329517365,-0.0313749983906746,0.0534196607768536,VALID,0.00293208798393607,0.0420120097696781,0.999112784862518,0.0313749983906746,0.0575301833450794
68648,0.0166655,0.328671496361494,VALID,0.0368346869945526,0.0219603404402733,0.999080061912537,0,0.383016049861908,0,VALID,0.0662502720952034,0.00283204391598701,0.997799038887024,-0.0313749983906746,0.0538768246769905,VALID,-0.00219025323167443,0.0835241004824638,0.996503353118896,0.0313749983906746,0.0571351796388626
68652,0.0166679,0.345339396968484,VALID,0.0360856913030148,0.0305145028978586,0.998882710933685,0,0.59293395280838,0,VALID,0.0658488869667053,0.00484160892665386,0.997817873954773,-0.0313749983906746,0.0541411824524403,VALID,0.00248408038169146,0.0566569566726685,0.99839061498642,0.0313749983906746,0
68654,0.0166665,0.362005896866322,VALID,0.0362925603985786,0.0318460464477539,0.998833656311035,0,0.592588901519775,0,VALID,0.0657748952507973,0.00592751894146204,0.997816860675812,-0.0313749983906746,0.0540035478770733,VALID,0.00319359172135592,0.0579338595271111,0.998315334320068,0.0313749983906746,0.0637084022164345
68660,0.0166673,0.378673197701573,VALID,0.0360300056636333,0.0360394939780235,0.998700678348541,0,0.527517914772034,0,VALID,0.0659878104925156,0.00685991579666734,0.997796833515167,-0.0313749983906746,0.0536366738379002,VALID,0.00355336093343794,0.0662049427628517,0.997799694538116,0.0313749983906746,0.0548099689185619
68662,0.0184555,0.397128697484732,VALID,0.0356009900569916,0.0373910441994667,0.998666346073151,0,0.512675046920776,0,VALID,0.066197857260704,0.00735164852812886,0.997779428958893,-0.0313749983906746,0.0529430396854877,VALID,0.0027873853687197,0.068448580801487,0.997650742530823,0.0313749983906746,0.0554862767457962
68666,0.016668,0.413796696811914,VALID,0.0334111638367176,0.033295888453722,0.998886942863464,0,0.575878262519836,0,VALID,0.0642328932881355,0.00628112349659204,0.997915148735046,-0.0313749983906746,0.052478339523077,VALID,0.00117774261161685,0.0600287951529026,0.998195946216583,0.0313749983906746,0.0664162561297417
68668,0.0166665,0.430463196709752,VALID,0.0318179316818714,0.0343877412378788,0.998901963233948,0,0.576196789741516,0,VALID,0.0634494796395302,0.00657304655760527,0.997963428497314,-0.0313749983906746,0.0527023561298847,VALID,-0.000881523708812892,0.0600634627044201,0.99819415807724,0.0313749983906746,0.0591254495084286
