F,DT,T,LeapPos_X,LeapPos_Y,LeapPos_Z,LeapRot_X,LeapRot_Y,LeapRot_Z,LeapRot_W,Grab,Pinch,cmdPos_X,cmdPos_Y,cmdPos_Z,cmdRot_X,cmdRot_Y,cmdRot_Z,cmdRot_W
68588,0.0202453,0.0202453006058931,1.084061,0.1389439,-0.4089803,-0.5652862,0.2629812,-0.7106153,-0.3260648,0,0.070642501115799,0.4384955,0.1337722,0.1536249,0.9914337,-0.08633602,0.09769129,0.007859589
68590,0.0169752,0.0372205004096031,1.083934,0.1398838,-0.4097134,-0.5668414,0.2613181,-0.7103022,-0.3253838,0,0.0721753388643265,0.4389803,0.1340614,0.1539439,0.9912595,-0.08994044,0.09610679,0.008879463
68594,0.0166687,0.053889200091362,1.080143,0.1413947,-0.4124009,-0.569575,0.2575421,-0.7103876,-0.3234283,0,0.0787671655416489,0.4397134,0.1339341,0.1548838,0.991144,-0.09173557,0.09573061,0.007340427
68596,0.0197454,0.0736346002668142,1.081773,0.1427047,-0.4128929,-0.5718346,0.2546391,-0.709885,-0.3228428,0,0.0793786123394966,0.4424009,0.1301432,0.1563947,0.9909908,-0.09472594,0.09461813,0.003421445
68602,0.0166681,0.0903027001768351,1.080186,0.142709,-0.4133018,-0.5738673,0.251777,-0.7100184,-0.3211831,0,0.0750332549214363,0.4428929,0.1317732,0.1577046,0.9908206,-0.09761335,0.09351181,0.0012908
68606,0.0186037,0.108906399458647,1.080495,0.1432699,-0.4133554,0.5748442,-0.25111,0.7100133,0.3199673,0,0.0655679553747177,0.4433017,0.1301861,0.157709,0.9906783,-0.09977853,0.09272298,-0.001834071
68608,0.0182598,0.127166198566556,1.08154,0.1435302,-0.4133091,0.5762154,-0.2505156,0.7094803,0.3191482,0,0.03880525380373,0.4433554,0.1304945,0.1582699,0.9905638,-0.1005146,0.09310947,-0.003308356
68612,0.0166686,0.143834797665477,1.082227,0.1429828,-0.41106,0.5758299,-0.2516697,0.7097971,0.3182304,0,0.0337865501642227,0.4433091,0.1315395,0.1585303,0.9903736,-0.101867,0.09361874,-0.004339789
68614,0.0172047,0.161039497703314,1.08343,0.1426475,-0.4106294,0.5747293,-0.251147,0.7104121,0.3192586,0,0.0140658169984818,0.44106,0.1322269,0.1579828,0.9903726,-0.1008169,0.09474926,-0.004545814
68618,0.0166684,0.177707897499204,1.084126,0.1417018,-0.408018,-0.5745411,0.2500121,-0.7110069,-0.3191639,0,0.00983656570315361,0.4406294,0.1334304,0.1576475,0.9905842,-0.1000717,0.09334337,-0.003959861
68622,0.0166662,0.194374097511172,1.085135,0.141059,-0.4074318,-0.5749916,0.2494653,-0.7108706,-0.3190842,0,0.00976576376706362,0.438018,0.134126,0.1567018,0.9906834,-0.1000202,0.09230423,-0.00473052
