Participant Number,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3
0,84,85,82,13,15,15,12,14,15,10,13,14,12,13,13,9,8,12
1,82,88,85,7,6,8,7,9,6,3,7,4,6,4,7,6,5,2
2,78,78,87,11,11,7,14,13,13,3,4,7,10,11,7,4,7,7
3,81,89,85,4,6,4,4,3,4,3,5,7,4,6,5,1,5,3
4,63,66,68,8,5,7,5,7,5,5,4,4,2,3,5,5,4,5
5,79,76,86,3,3,4,0,3,1,0,1,0,2,1,1,2,1,0
6,76,83,88,6,5,4,3,4,5,4,4,3,1,3,2,2,4,5
7,54,61,65,6,7,7,4,9,9,8,8,5,8,5,5,7,5,8
8,76,80,75,8,7,8,10,10,11,3,3,5,6,7,7,6,6,8
9,69,78,82,11,4,8,4,6,7,2,1,3,5,6,5,3,6,5
10,63,71,74,12,12,12,9,2,4,10,10,5,6,6,5,4,7,6
11,65,79,82,8,5,8,7,6,8,4,6,3,6,4,6,3,5,4
12,69,66,74,5,3,5,5,3,7,4,4,3,5,4,3,4,3,2
13,64,66,73,2,4,5,4,9,9,2,2,2,5,4,3,3,2,4
14,79,85,85,3,2,3,1,5,5,2,3,4,5,5,5,3,5,1
15,59,53,75,8,8,12,5,6,8,9,6,9,7,5,10,2,3,5
16,47,75,80,6,5,6,4,2,4,5,5,2,4,3,3,5,8,5
17,75,84,90,8,7,7,6,3,8,6,3,1,6,2,7,0,2,2
18,71,82,86,10,7,10,11,12,11,6,5,6,4,2,5,8,6,4
19,52,67,72,5,5,5,5,4,2,5,5,6,7,5,6,6,5,8
20,81,85,92,9,6,8,7,8,10,3,3,3,6,4,7,6,1,4
21,74,88,90,5,4,3,5,2,6,4,2,4,7,6,5,4,3,3
22,62,73,78,8,11,9,8,5,8,10,11,9,4,6,7,8,5,7
23,56,58,56,4,6,4,3,6,3,3,2,3,3,3,4,1,2,3
24,48,60,72,8,8,9,6,7,9,5,8,6,4,5,3,7,8,3
25,78,78,80,12,13,14,12,10,14,5,7,5,6,8,9,6,7,8
26,77,83,87,7,5,2,7,5,5,5,4,6,4,5,4,1,2,4
