Timestamp,Participant number:,Age,Sex,Handedness,Vision,Nationality,Occupation,How do you rate your experience with virtual or mixed reality?,How do you rate your experience with teleoperation?,How do you rate your experience with robotics?,Which condition was played? (filled in by experimenter),With which hand was the condition executed?  (filled in by experimenter),"Trial 1: Overall, the participant found this trial:  (filled in by experimenter)",Comments by experimenter:,"Trial 2: Overall, the participant found this trial:  (filled in by experimenter)",Comments by experimenter:,"Trial 3:  Overall, the participant found this trial:  (filled in by experimenter)",Comments by experimenter:,UMUX questionnaire [The system's capabilities meet my requirements],UMUX questionnaire [Using this system is a frustrating experience],UMUX questionnaire [The system is easy to use],UMUX questionnaire [I have to spend too much time correcting things with this system],Which condition was played? (filled in by experimenter),With which hand was the condition executed?  (filled in by experimenter),"Trial 1: Overall, the participant found this trial:  (filled in by experimenter)",Comments by experimenter:,"Trial 2: Overall, the participant found this trial:  (filled in by experimenter)",Comments by experimenter:,"Trial 3:  Overall, the participant found this trial:  (filled in by experimenter)",Comments by experimenter:,UMUX questionnaire [The system's capabilities meet my requirements],UMUX questionnaire [Using this system is a frustrating experience],UMUX questionnaire [The system is easy to use],UMUX questionnaire [I have to spend too much time correcting things with this system],Which condition was played? (filled in by experimenter),With which hand was the condition executed?  (filled in by experimenter),"Trial 1: Overall, the participant found this trial:  (filled in by experimenter)",Comments by experimenter:,"Trial 2: Overall, the participant found this trial:  (filled in by experimenter)",Comments by experimenter:,"Trial 3:  Overall, the participant found this trial:  (filled in by experimenter)",Comments by experimenter:,UMUX questionnaire [The system's capabilities meet my requirements],UMUX questionnaire [Using this system is a frustrating experience],UMUX questionnaire [The system is easy to use],UMUX questionnaire [I have to spend too much time correcting things with this system],Which condition was played? (filled in by experimenter),With which hand was the condition executed?  (filled in by experimenter),"Trial 1: Overall, the participant found this trial:  (filled in by experimenter)",Comments by experimenter:,"Trial 2: Overall, the participant found this trial:  (filled in by experimenter)",Comments by experimenter:,"Trial 3:  Overall, the participant found this trial:  (filled in by experimenter)",Comments by experimenter:,UMUX questionnaire [The system's capabilities meet my requirements],UMUX questionnaire [Using this system is a frustrating experience],UMUX questionnaire [The system is easy to use],UMUX questionnaire [I have to spend too much time correcting things with this system],Which condition was played? (filled in by experimenter),With which hand was the condition executed?  (filled in by experimenter),"Trial 1: Overall, the participant found this trial:  (filled in by experimenter)",Comments by experimenter:,"Trial 2:  Overall, the participant found this trial:  (filled in by experimenter)",Comments by experimenter:,"Trial 3:  Overall, the participant found this trial:  (filled in by experimenter)",Comments by experimenter:,UMUX questionnaire [The system's capabilities meet my requirements],UMUX questionnaire [Using this system is a frustrating experience],UMUX questionnaire [The system is easy to use],UMUX questionnaire [I have to spend too much time correcting things with this system],Which condition was played? (filled in by experimenter),With which hand was the condition executed?  (filled in by experimenter),"Trial 1: Overall, the participant found this trial:  (filled in by experimenter)",Comments by experimenter:,"Trial 2:  Overall, the participant found this trial:  (filled in by experimenter)",Comments by experimenter:,"Trial 3:  Overall, the participant found this trial:  (filled in by experimenter)",Comments by experimenter:,UMUX questionnaire [The system's capabilities meet my requirements],UMUX questionnaire [Using this system is a frustrating experience],UMUX questionnaire [The system is easy to use],UMUX questionnaire [I have to spend too much time correcting things with this system]
12/7/2022 15:38:50,1,23,Male,Right,My vision is fine,Germany,Student,Some experience,No experience,No experience,Condition B - Gesture operation in real life (No HMD),Right hand,5,,4,gripper problem,6,gripper didn't work,....,.,.....,....,Condition D -  Gesture tele-operation in 3D (With digital twin),Right hand,3,,4,,4,,..,.....,..,...,Condition C - Gesture operation in real life (With HMD),Right hand,5,,6,,5,Gripper problem,.....,.,....,..,Condition E - Gesture tele-operation in 3D (no Digital twin),Right hand,4,,4,,5,,..,...,...,....,Condition A - Manual opration in real life,Right hand,7,,7,,7,,Strongly agree,Strongly disagree,Strongly agree,.,Condition F - Gesture tele-operation in 2D,Right hand,4,,4,,3,,...,....,.,.....
12/19/2022 16:03:31,2,24,Male,Right,I wear glasses during the experiment,Dutch,Student,Medium experience,Medium experience,Professional experience,Condition D -  Gesture tele-operation in 3D (With digital twin),Right hand,5,,6,Arm Got stuck,7,,.....,..,....,..,Condition F - Gesture tele-operation in 2D,Right hand,3,,4,,5,,....,...,....,...,Condition B - Gesture operation in real life (No HMD),Right hand,7,,7,,5,Lost tracking once. ,Strongly agree,.,.....,Strongly disagree,Condition C - Gesture operation in real life (With HMD),Right hand,7,,7,,6,,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Condition E - Gesture tele-operation in 3D (no Digital twin),Right hand,5,,6,,5,,.....,.,.....,.,Condition A - Manual opration in real life,Right hand,7,,7,,7,,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree
12/20/2022 12:43:42,3,24,Male,Right,My vision is fine,Dutch,Master robotic student,Some experience,No experience,Some experience,Condition C - Gesture operation in real life (With HMD),Right hand,3,lost tracking (5x),4,lost tracking (3x),4,lost tracking (4x),.,.....,..,.....,Condition B - Gesture operation in real life (No HMD),Right hand,5,,5,,4,,...,....,....,.....,Condition A - Manual opration in real life,Right hand,7,,7,,7,,Strongly agree,.,Strongly agree,.,Condition F - Gesture tele-operation in 2D,Right hand,1,,3,,2,,..,.....,...,.....,Condition D -  Gesture tele-operation in 3D (With digital twin),Right hand,3,,3,,4,,....,..,.....,..,Condition E - Gesture tele-operation in 3D (no Digital twin),Right hand,3,,4,,3,,....,....,...,..
12/20/2022 14:46:59,4,26,Female,Right,I wear glasses during the experiment,Chinese,PhD student,No experience,No experience,Medium experience,Condition E - Gesture tele-operation in 3D (no Digital twin),Right hand,2,Lost tracking (1x),3,,5,,Strongly agree,.,..,.....,Condition C - Gesture operation in real life (With HMD),Right hand,4,,6,,3,Lost tracking (2x),.....,.,....,...,Condition F - Gesture tele-operation in 2D,Right hand,2,,2,,3,,....,....,.,.....,Condition A - Manual opration in real life,Right hand,7,,7,,7,,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Condition B - Gesture operation in real life (No HMD),Right hand,4,Lost tracking (1x),3,,4,,....,.,....,...,Condition D -  Gesture tele-operation in 3D (With digital twin),Right hand,3,,2,,2,,....,...,..,.....
12/21/2022 14:54:33,5,24,Female,Right,I wear contact lensens during the experiment,Mexican-American (U.S. citizen),Mechanical engineering exchange student ,Some experience,No experience,Some experience,Condition F - Gesture tele-operation in 2D,Right hand,3,,4,,3,,.,.....,....,Strongly agree,Condition A - Manual opration in real life,Right hand,7,,7,,7,,Strongly agree,.,Strongly agree,Strongly agree,Condition E - Gesture tele-operation in 3D (no Digital twin),Right hand,2,,2,,2,,.,Strongly agree,.,Strongly agree,Condition D -  Gesture tele-operation in 3D (With digital twin),Right hand,2,,3,,2,,Strongly disagree,Strongly agree,.,Strongly agree,Condition C - Gesture operation in real life (With HMD),Right hand,3,,4,lost tracking (4x),3,lost tracking (3x),..,.....,.....,.....,Condition B - Gesture operation in real life (No HMD),Right hand,4,lost tracking (3x),5,lost tracking (4x),5,lost tracking (3x),....,....,...,.....
12/21/2022 16:32:27,6,28,Male,Right,My vision is fine,Chinese,PhD candidate,No experience,No experience,No experience,Condition A - Manual opration in real life,Right hand,7,,7,,7,,.,.....,.....,.....,Condition E - Gesture tele-operation in 3D (no Digital twin),Right hand,2,,3,,3,,.,.....,.,.....,Condition D -  Gesture tele-operation in 3D (With digital twin),Right hand,4,,4,,4,,..,....,..,....,Condition B - Gesture operation in real life (No HMD),Right hand,5,,5,Unity crashed.,5,,...,....,....,...,Condition F - Gesture tele-operation in 2D,Right hand,4,,4,,4,,...,....,....,.....,Condition C - Gesture operation in real life (With HMD),Right hand,4,,4,Losing tracking (7x),4,,....,....,...,....
12/22/2022 12:05:47,7,25,Male,Right,My vision is fine,Dutch,Student / self-employed,Some experience,No experience,Some experience,Condition B - Gesture operation in real life (No HMD),Right hand,3,6,3,7,4,,..,....,.,.....,Condition D -  Gesture tele-operation in 3D (With digital twin),Right hand,2,8,2,8,2,,.,Strongly agree,..,....,Condition C - Gesture operation in real life (With HMD),Right hand,2,4,4,8,5,9,....,....,...,....,Condition E - Gesture tele-operation in 3D (no Digital twin),Right hand,3,8,2,,2,5,.,.....,.,....,Condition A - Manual opration in real life,Right hand,7,54,7,61,7,65,Strongly agree,.,Strongly agree,Strongly disagree,Condition F - Gesture tele-operation in 2D,Right hand,3,7,2,5,3,,.,.....,..,.....
12/22/2022 15:49:53,8,28,Male,Right,My vision is fine,Dutch,PhD Candidate,Professional experience,Medium experience,Medium experience,Condition D -  Gesture tele-operation in 3D (With digital twin),Right hand,3,,3,,4,,.....,....,....,..,Condition F - Gesture tele-operation in 2D,Right hand,4,,3,,5,,.....,..,....,....,Condition B - Gesture operation in real life (No HMD),Right hand,6,,6,,6,,.....,.,Strongly agree,.,Condition C - Gesture operation in real life (With HMD),Right hand,5,,5,,5,,.....,.,.....,..,Condition E - Gesture tele-operation in 3D (no Digital twin),Right hand,2,,2,,3,,..,.....,Strongly disagree,....,Condition A - Manual opration in real life,Right hand,7,,7,,7,,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree
1/11/2023 15:05:48,9,28,Male,Right,My vision is fine,Maltese,PhD Candidate,Professional experience,No experience,Some experience,Condition C - Gesture operation in real life (With HMD),Right hand,4,,5,,6,,....,....,....,....,Condition B - Gesture operation in real life (No HMD),Right hand,7,,5,gripper error,5,,..,....,...,.....,Condition A - Manual opration in real life,Right hand,7,,7,replicate propper movement like robot. = not trhowing,7,,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Condition F - Gesture tele-operation in 2D,Right hand,3,,5,,4,,..,....,...,....,Condition D -  Gesture tele-operation in 3D (With digital twin),Right hand,2,,1,,3,,Strongly disagree,.....,.,.....,Condition E - Gesture tele-operation in 3D (no Digital twin),Right hand,4,,4,,4,,...,.....,.,.....
1/12/2023 15:03:40,10,26,Female,Right,My vision is fine,Dutch,Master Robotics and Game Technology Student,Professional experience,Some experience,Alot of experience,Condition E - Gesture tele-operation in 3D (no Digital twin),Right hand,3,,2,,2,,.....,....,.....,...,Condition C - Gesture operation in real life (With HMD),Right hand,5,Lost tracking (2x),1,Lost tracking (8x),1,Lost tracking (7x),.,Strongly agree,Strongly disagree,Strongly agree,Condition F - Gesture tele-operation in 2D,Right hand,2,Lost tracking (4x),5,,4,,....,..,....,..,Condition A - Manual opration in real life,Right hand,7,,7,,7,,Strongly agree,.,Strongly agree,Strongly disagree,Condition B - Gesture operation in real life (No HMD),Right hand,5,Lost tracking (2x),6,Lost tracking (2x),5,Lost tracking (2x),.....,..,.....,..,Condition D -  Gesture tele-operation in 3D (With digital twin),Right hand,5,Can't see if moving something - comment by participant,5,,4,,.....,..,.....,...
