F,DT,T,Status,GazeX,GazeY,GazeZ,GazePosition,FocusDistance,FocusStability,StatusL,LeftX,LeftY,LeftZ,PositionL,PupilL,StatusR,RightX,RightY,RightZ,PositionR,PupilR
142662,0.0220701,0.022070100530982,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142662,0.0172476,0.0393177010118961,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142662,0.0175036,0.0568213015794754,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142662,0.0166679,0.0734892021864653,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142662,0.0166669,0.09015610255301,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142662,0.0166672,0.106823302805424,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142662,0.0166671,0.123490402474999,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142700,0.0166662,0.140156602486968,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142700,0.0166674,0.156824002042413,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142700,0.0166669,0.173490902408957,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142700,0.0166693,0.190160201862454,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142700,0.0166641,0.20682430267334,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142700,0.0166683,0.223492601886392,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142722,0.0166663,0.240158902481198,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142722,0.0166674,0.256826302036643,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142722,0.0166666,0.273492902517319,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142722,0.0166673,0.290160203352571,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142722,0.0166657,0.306825904175639,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142722,0.0166682,0.323494104668498,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142722,0.0166658,0.34015990421176,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142722,0.0166681,0.35682800412178,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142722,0.0166662,0.373494204133749,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142722,0.0166673,0.390161504969001,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142722,0.0166653,0.406826805323362,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142722,0.0166677,0.423494504764676,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142762,0.0166676,0.440162105485797,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142762,0.0166668,0.456828905269504,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142762,0.016666,0.473494905978441,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142762,0.0166677,0.490162605419755,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142762,0.0166659,0.506828505545855,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142762,0.0166675,0.523496005684137,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142762,0.016667,0.540163004770875,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142762,0.016667,0.556830003857613,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142762,0.0166657,0.573495704680681,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142762,0.016668,0.590163704007864,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142762,0.0166667,0.606830403208733,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142800,0.0166688,0.62349920347333,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142800,0.0166659,0.640165103599429,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142800,0.0166667,0.656831802800298,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142800,0.0166657,0.673497503623366,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142800,0.0166678,0.690165303647518,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142800,0.0166673,0.70683260448277,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142800,0.0166665,0.723499104380608,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142822,0.0166672,0.740166304633021,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142822,0.0166657,0.75683200545609,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142822,0.0166679,0.77349990606308,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142822,0.0166673,0.790167206898332,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142822,0.0166669,0.806834107264876,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142822,0.0166664,0.823500506579876,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142840,0.0166671,0.840167606249452,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142840,0.0166668,0.856834406033158,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142840,0.0166671,0.873501505702734,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142840,0.0166668,0.890168305486441,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142840,0.0166661,0.906834404915571,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142840,0.0166677,0.923502104356885,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142862,0.0166666,0.940168704837561,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142862,0.0166676,0.956836305558681,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142862,0.0166663,0.973502606153488,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142862,0.0166673,0.99016990698874,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142862,0.0166664,1.00683630630374,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142862,0.0166668,1.02350310608745,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142862,0.016667,1.04017010517418,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142862,0.0166679,1.05683800578117,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142862,0.0166667,1.07350470498204,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142862,0.0166664,1.09017110429704,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142862,0.0166669,1.10683800466359,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142862,0.0166669,1.12350490503013,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142900,0.0166671,1.14017200469971,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142900,0.0166665,1.15683850459754,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142900,0.016666,1.17350450530648,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142900,0.0166677,1.1901722047478,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142900,0.0166668,1.2068390045315,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142900,0.0166674,1.22350640408695,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142922,0.0166668,1.24017320387065,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142922,0.0166667,1.25683990307152,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142922,0.0166671,1.2735070027411,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142922,0.0166673,1.29017430357635,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142922,0.0166659,1.30684020370245,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142940,0.0166675,1.32350770384073,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142940,0.0166659,1.34017360396683,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142940,0.0166678,1.35684140399098,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142940,0.0166665,1.37350790388882,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142940,0.0166677,1.39017560333014,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142940,0.0166669,1.40684250369668,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142940,0.0166663,1.42350880429149,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142962,0.0166666,1.44017540477216,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142962,0.0166669,1.45684230513871,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142962,0.0166666,1.47350890561938,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142962,0.0166684,1.49017730541527,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142962,0.0166655,1.50684280507267,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142962,0.016667,1.5235098041594,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142962,0.016667,1.54017680324614,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142962,0.0166673,1.55684410408139,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142962,0.0166669,1.57351100444794,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142962,0.0166673,1.59017830528319,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
142962,0.0166655,1.60684380494058,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143000,0.0166675,1.62351130507886,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143000,0.0166668,1.64017810486257,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143000,0.0166675,1.65684560500085,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143000,0.0166661,1.67351170442998,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143000,0.0166675,1.69017920456827,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143000,0.0166667,1.70684590376914,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143000,0.016667,1.72351290285587,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143022,0.0166676,1.74018050357699,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143022,0.0166666,1.75684710405767,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143022,0.0166661,1.7735132034868,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143022,0.0166676,1.79018080420792,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143022,0.0166667,1.80684750340879,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143040,0.0166672,1.8235147036612,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143040,0.0166666,1.84018130414188,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143040,0.0166676,1.856848904863,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143040,0.0166658,1.87351470440626,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143040,0.016668,1.89018270373344,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143040,0.0166663,1.90684900432825,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143040,0.0166678,1.9235168043524,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143062,0.0166656,1.94018240459263,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143062,0.0166674,1.95684980414808,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143062,0.0166668,1.97351660393178,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143062,0.0166676,1.99018420465291,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143062,0.0166664,2.00685060396791,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143062,0.0166673,2.02351790480316,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143062,0.0166662,2.04018410481513,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143062,0.0166675,2.05685160495341,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143062,0.0166666,2.07351820543408,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143062,0.0166675,2.09018570557237,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143062,0.016665,2.10685070604086,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143062,0.0166666,2.12351730652153,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143100,0.0166681,2.14018540643156,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143100,0.0166661,2.15685150586069,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143100,0.0166678,2.17351930588484,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143100,0.0166659,2.19018520601094,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
143100,0.016668,2.20685320533812,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
