F,DT,T,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ,HMDRotationW
161974,0.0166663,0.0166663005948067,0.6114641,0.02854721,0.0676817,0.0004470814,0.01314752,0.007629123,0.9998844
161974,0.016668,0.0333342999219894,0.6114735,0.02852705,0.06767261,0.0004585067,0.01313241,0.007642759,0.9998845
161974,0.0166663,0.0500006005167961,0.6114665,0.02853581,0.06773806,0.0004552456,0.01318166,0.007634555,0.9998839
161974,0.016667,0.0666675996035337,0.6114685,0.02851028,0.06769837,0.0004347902,0.0131784,0.007616547,0.9998841
161974,0.0166671,0.0833346992731094,0.6114918,0.02853324,0.06772906,0.0004390543,0.01320458,0.007613051,0.9998838
161974,0.0166661,0.10000079870224,0.6115037,0.02858789,0.06777176,0.00045465,0.01322469,0.007630247,0.9998834
161974,0.0166691,0.116669898852706,0.61147,0.02860305,0.06778444,0.0004668327,0.01323925,0.007607937,0.9998834
161974,0.0166645,0.133334398269653,0.6114751,0.02859445,0.06778628,0.0004360348,0.01322523,0.007601754,0.9998836
161974,0.0166678,0.150002198293805,0.6114475,0.02861135,0.06771678,0.000444132,0.01323955,0.007577465,0.9998836
161974,0.0166817,0.16668389737606,0.6114226,0.0285826,0.06769743,0.0004589462,0.0132488,0.007575369,0.9998835
161974,0.0166683,0.183352196589112,0.6114383,0.0285608,0.06768312,0.0004955204,0.01321939,0.007590541,0.9998837
161974,0.0166662,0.200018396601081,0.6114482,0.02855811,0.06769291,0.0005193243,0.0131968,0.007574824,0.9998841
161974,0.016667,0.216685395687819,0.6114473,0.02852099,0.06772359,0.0005181602,0.01324693,0.007588648,0.9998834
162034,0.0166672,0.233352595940232,0.6114163,0.02855263,0.06773817,0.0004900055,0.01325166,0.007601132,0.9998832
162034,0.016667,0.25001959502697,0.6114164,0.02853571,0.06773777,0.0005020292,0.01325753,0.007617145,0.999883
162034,0.0166668,0.266686394810677,0.6114671,0.02856075,0.06771675,0.0005545788,0.01323058,0.007602541,0.9998834
162034,0.0166675,0.283353894948959,0.6114775,0.02857367,0.06771708,0.0005446009,0.01321947,0.007605253,0.9998836
162034,0.0166678,0.300021694973111,0.6114472,0.02858683,0.06771185,0.0005442444,0.01323133,0.007579186,0.9998836
162034,0.016666,0.316687695682049,0.6114501,0.02861396,0.06776569,0.0005367089,0.01327418,0.007566447,0.9998831
162034,0.0166665,0.333354195579886,0.6114733,0.0286065,0.06773394,0.0005105537,0.01326261,0.007584066,0.9998832
162034,0.0166674,0.350021595135331,0.611469,0.02861897,0.06774324,0.0004919512,0.01326873,0.007579518,0.9998831
162034,0.0166667,0.3666882943362,0.611441,0.02864119,0.06774198,0.0004790488,0.01327785,0.007566759,0.9998831
162034,0.016667,0.383355293422937,0.6114148,0.0286276,0.06769218,0.0004715352,0.01324021,0.007578269,0.9998835
162034,0.0166667,0.400021992623806,0.611461,0.02858581,0.0676404,0.0004248298,0.01317701,0.007613979,0.9998841
162034,0.0166667,0.416688691824675,0.6114464,0.02859208,0.06771148,0.00049951,0.01318642,0.007624961,0.9998839
162074,0.0166671,0.43335579149425,0.6114886,0.02866554,0.06773943,0.0004947165,0.01320208,0.00759987,0.9998839
162074,0.016667,0.450022790580988,0.6115007,0.02865176,0.06773775,0.000507765,0.01320296,0.007628432,0.9998837
162074,0.016667,0.466689789667726,0.6114654,0.02866104,0.06767788,0.0004830595,0.01319215,0.007616682,0.9998839
162074,0.0166673,0.483357090502977,0.6114527,0.02863261,0.06765335,0.000501256,0.01318984,0.00762033,0.9998839
162074,0.0166742,0.500031290575862,0.6114354,0.02860484,0.06770286,0.0005049257,0.01323542,0.00760155,0.9998834
162074,0.0166644,0.516695691272616,0.6114455,0.02863953,0.06772652,0.0004980338,0.01323744,0.007619801,0.9998832
162074,0.0166677,0.53336339071393,0.6114411,0.02866444,0.06774122,0.0004898473,0.01325043,0.007605379,0.9998832
162074,0.0166664,0.55002979002893,0.6114491,0.0286554,0.06774478,0.000463058,0.01325782,0.007591945,0.9998832
162074,0.0166667,0.566696489229798,0.6114354,0.02866232,0.06773306,0.0004356188,0.01325046,0.00755816,0.9998836
162074,0.0166672,0.583363689482212,0.6114379,0.02866642,0.06773542,0.000438829,0.01325813,0.007544565,0.9998836
162074,0.016667,0.60003068856895,0.6114197,0.0286315,0.06769294,0.0004612238,0.01319812,0.007549066,0.9998843
162074,0.0166666,0.616697289049625,0.6114224,0.0286133,0.06770943,0.000480691,0.01322208,0.007547429,0.999884
162074,0.0166677,0.633364988490939,0.6114326,0.02861471,0.06772845,0.0005194664,0.01321852,0.007493975,0.9998844
162074,0.016666,0.650030989199877,0.6114329,0.02862102,0.06773064,0.0005341491,0.01323554,0.007472722,0.9998844
162074,0.0166668,0.666697788983583,0.6114734,0.0286526,0.06774959,0.0005016918,0.01325779,0.007447967,0.9998842
162074,0.0166669,0.683364689350128,0.6114721,0.02867147,0.06775216,0.0005272473,0.01326569,0.007455952,0.9998841
162074,0.0166674,0.700032088905573,0.61146,0.02860625,0.06772958,0.0005401865,0.01326544,0.007478885,0.9998839
162074,0.0166669,0.716698989272118,0.6114129,0.02859298,0.06769855,0.0005338425,0.01326955,0.007475091,0.9998839
162134,0.016667,0.733365988358855,0.6114508,0.02861698,0.0677566,0.000525734,0.01331049,0.007439319,0.9998836
162134,0.0166673,0.750033289194107,0.611445,0.02863187,0.06771386,0.0005281554,0.0133063,0.007436472,0.9998837
162134,0.0166663,0.766699589788914,0.6114131,0.02863463,0.06768689,0.0004834012,0.01324643,0.007442105,0.9998845
162134,0.0166673,0.783366890624166,0.61141,0.02862252,0.06768725,0.0005055431,0.01325004,0.007446721,0.9998844
162134,0.0166667,0.800033589825034,0.611419,0.02861079,0.06769358,0.0005206646,0.01324411,0.007442424,0.9998845
162134,0.0166668,0.816700389608741,0.6114295,0.02861456,0.06771358,0.0005329052,0.01325068,0.007473599,0.9998841
162134,0.0166669,0.833367289975286,0.6114156,0.02860386,0.06771879,0.0005145824,0.01328134,0.007446254,0.9998839
162134,0.0166669,0.85003419034183,0.6114344,0.028604,0.06767564,0.0005169548,0.01323621,0.007426641,0.9998847
162134,0.0166673,0.866701491177082,0.6114838,0.02865918,0.06771847,0.0005558981,0.01319235,0.007457006,0.999885
162134,0.0166663,0.883367791771889,0.6114948,0.02864935,0.06773035,0.0005422505,0.01320418,0.007468867,0.9998848
162134,0.0166673,0.900035092607141,0.6115022,0.0286453,0.06773895,0.000549192,0.01321595,0.007503358,0.9998844
162134,0.0166695,0.916704593226314,0.6114903,0.02866551,0.0677235,0.0005456954,0.01322525,0.007502441,0.9998842
162174,0.0166666,0.933371193706989,0.6114469,0.02868635,0.06773944,0.0005429053,0.01326356,0.00750559,0.9998837
162174,0.0166671,0.950038293376565,0.6114689,0.02868332,0.06772701,0.0005545866,0.01324365,0.007512583,0.9998839
162174,0.0166668,0.966705093160272,0.6114526,0.02868719,0.06771788,0.000558227,0.01323812,0.007454365,0.9998845
162174,0.0166669,0.983371993526816,0.6114591,0.02868747,0.06771914,0.0005549364,0.01323063,0.007461431,0.9998845
162174,0.0166674,1.00003939308226,0.6114209,0.02867805,0.06769881,0.0005491761,0.01324572,0.007449037,0.9998844
162174,0.0166664,1.01670579239726,0.611431,0.02866778,0.06768873,0.0005594369,0.01322678,0.0074513,0.9998846
162174,0.0166673,1.03337309323251,0.6114557,0.02859448,0.06771751,0.0005583538,0.01320676,0.00745599,0.9998848
162174,0.0166672,1.05004029348493,0.6114213,0.02859922,0.06772762,0.000539341,0.01322729,0.007468627,0.9998845
162174,0.0174952,1.06753549352288,0.6113964,0.02858862,0.06769975,0.0005041358,0.01318696,0.007457103,0.9998851
162174,0.0166671,1.08420259319246,0.6114405,0.02860276,0.06774146,0.0004945289,0.01323903,0.007441338,0.9998845
162174,0.0166661,1.10086869262159,0.6114303,0.02863078,0.06774442,0.0004863607,0.01322406,0.007429051,0.9998848
162174,0.0166667,1.11753539182246,0.6114365,0.02861563,0.06773888,0.0004802309,0.01323416,0.007428138,0.9998847
162174,0.0166671,1.13420249149203,0.6114169,0.02860519,0.06768426,0.0004959276,0.01319023,0.007443585,0.9998852
162174,0.0166671,1.15086959116161,0.6114399,0.02855904,0.06771396,0.0004856779,0.01321406,0.007477324,0.9998847
162174,0.0166667,1.16753629036248,0.6114581,0.0285953,0.06769202,0.0004856774,0.01319227,0.007444286,0.9998851
