F,DT,T,fps,Start,Hand,Grip,Tracked,Controlling
372932,0.0175764,0.0175764001905918,56.89447,False,R,False,True,True
372936,0.0166682,0.0342446006834507,59.99448,False,R,False,True,True
372938,0.0166668,0.0509114004671574,59.99952,False,R,False,True,True
372942,0.0166666,0.0675780009478331,60.00024,False,R,False,True,True
372944,0.0166669,0.0842449013143778,59.99916,False,R,False,True,True
372948,0.0166668,0.100911701098084,59.99952,False,R,False,True,True
372950,0.0166668,0.117578500881791,59.99952,False,R,False,True,True
372956,0.017515,0.135093500837684,57.09392,False,R,False,True,True
372958,0.0166667,0.151760200038552,59.99988,False,R,False,True,True
372962,0.0166675,0.168427700176835,59.997,False,R,False,True,True
372964,0.0166714,0.18509910069406,59.98296,False,R,False,True,True
372968,0.0166652,0.201764300465584,60.00528,False,R,False,True,True
372972,0.0166667,0.218430999666452,59.99988,False,R,False,True,True
372976,0.0166669,0.235097900032997,59.99916,False,R,False,True,True
372978,0.0166666,0.251764500513673,60.00024,False,R,False,True,True
372982,0.0166681,0.268432600423694,59.99484,False,R,False,True,True
372984,0.0166686,0.285101199522614,59.99305,False,R,False,True,True
372990,0.0166659,0.301767099648714,60.00276,False,R,False,True,True
372992,0.0166682,0.318435300141573,59.99448,False,R,False,True,True
372996,0.0166657,0.335101000964642,60.00348,False,R,False,True,True
372998,0.0166668,0.351767800748348,59.99952,False,R,False,True,True
373002,0.0166679,0.368435701355338,59.99556,False,R,False,True,True
373004,0.0166674,0.385103100910783,59.99736,False,R,False,True,True
373010,0.0166659,0.401769001036882,60.00276,False,R,False,True,True
373012,0.0166668,0.418435800820589,59.99952,False,R,False,True,True
373016,0.0166669,0.435102701187134,59.99916,False,R,False,True,True
373018,0.0166668,0.45176950097084,59.99952,False,R,False,True,True
373022,0.0166669,0.468436401337385,59.99916,False,R,False,True,True
373024,0.0166672,0.485103601589799,59.99808,False,R,False,True,True
373028,0.0166668,0.501770401373506,59.99952,False,R,False,True,True
373030,0.0166668,0.518437201157212,59.99952,False,R,False,True,True
373036,0.0166674,0.535104600712657,59.99736,False,R,False,True,True
373038,0.0166666,0.551771201193333,60.00024,False,R,False,True,True
373042,0.0166773,0.568448500707746,59.96175,False,R,False,True,True
373044,0.016667,0.585115499794483,59.9988,False,R,False,True,True
373048,0.0166672,0.601782700046897,59.99808,False,R,False,True,True
373052,0.0166666,0.618449300527573,60.00024,False,R,False,True,True
373056,0.0166669,0.635116200894117,59.99916,False,R,False,True,True
373058,0.016667,0.651783199980855,59.9988,False,R,False,True,True
373062,0.0166668,0.668449999764562,59.99952,False,R,False,True,True
373064,0.0166684,0.685118399560452,59.99376,False,R,False,True,True
373068,0.0166668,0.701785199344158,59.99952,False,R,False,True,True
373072,0.016666,0.718451200053096,60.0024,False,R,False,True,True
373076,0.0166667,0.735117899253964,59.99988,False,R,False,True,True
373078,0.016667,0.751784898340702,59.9988,False,R,False,True,True
373082,0.0166672,0.768452098593116,59.99808,False,R,False,True,True
373084,0.0166675,0.785119598731399,59.997,False,R,False,True,True
373088,0.0166665,0.801786098629236,60.0006,False,R,False,True,True
373092,0.0166675,0.818453598767519,59.997,False,R,False,True,True
373096,0.0166667,0.835120297968388,59.99988,False,R,False,True,True
373098,0.0166667,0.851786997169256,59.99988,False,R,False,True,True
373102,0.0166675,0.868454497307539,59.997,False,R,False,True,True
373104,0.0166662,0.885120697319508,60.00168,False,R,False,True,True
373108,0.0166667,0.901787396520376,59.99988,False,R,False,True,True
373112,0.016668,0.918455395847559,59.9952,False,R,False,True,True
373116,0.0166662,0.935121595859528,60.00168,False,R,False,True,True
373118,0.0166674,0.951788995414972,59.99736,False,R,False,True,True
373122,0.0166664,0.968455394729972,60.00096,False,R,False,True,True
373124,0.0166676,0.985122995451093,59.99664,False,R,False,True,True
373128,0.0166667,1.00178969465196,59.99988,False,R,False,True,True
373132,0.0166673,1.01845699548721,59.99772,False,R,False,True,True
373136,0.0166681,1.03512509539723,59.99484,False,R,False,True,True
373138,0.0166653,1.0517903957516,60.00492,False,R,False,True,True
373142,0.0166674,1.06845779530704,59.99736,False,R,False,True,True
373144,0.0166668,1.08512459509075,59.99952,False,R,False,True,True
373148,0.0166668,1.10179139487445,59.99952,False,R,False,True,True
373150,0.0166674,1.1184587944299,59.99736,False,R,False,True,True
373156,0.0166692,1.1351279951632,59.99088,False,R,False,True,True
373160,0.0166653,1.15179329551756,60.00492,False,R,False,True,True
373162,0.0174355,1.16922879591584,57.35425,False,R,False,True,True
373164,0.0166679,1.18589669652283,59.99556,False,R,False,True,True
373168,0.0166676,1.20256429724395,59.99664,False,R,False,True,True
373172,0.0166667,1.21923099644482,59.99988,False,R,False,True,True
373176,0.0166689,1.23589989729226,59.99196,False,R,False,True,True
373178,0.0166655,1.25256539694965,60.0042,False,R,False,True,True
373182,0.0166684,1.26923379674554,59.99376,False,R,False,True,True
373184,0.0166692,1.28590299747884,59.99088,False,R,False,True,True
373188,0.0166644,1.3025673981756,60.00816,False,R,False,True,True
373192,0.0166673,1.31923469901085,59.99772,False,R,False,True,True
373196,0.0166659,1.33590059913695,60.00276,False,R,False,True,True
373200,0.0166671,1.35256769880652,59.99844,False,R,False,True,True
