F,DT,T,Pos_X,Pos_Y,Pos_Z,Rot_X,Rot_Y,Rot_Z,Rot_W,Grip_pos,Grip_vel,Grip_eff
372932,0.0175764,0.0175764001905918,0.1272399,0.2486831,0.3919933,-0.06210348,0.04664426,0.9968873,-0.01353179,0.0398741140961647,0,0
372936,0.0166682,0.0342446006834507,0.1272399,0.2486831,0.3919933,-0.06210348,0.04664426,0.9968873,-0.01353179,0.0398741140961647,0,0
372938,0.0166668,0.0509114004671574,0.1271344,0.2487742,0.3918895,-0.06132827,0.04741341,0.9968946,-0.01385348,0.0398741140961647,0,0
372942,0.0166666,0.0675780009478331,0.1271344,0.2487742,0.3918895,-0.06132827,0.04741341,0.9968946,-0.01385348,0.0398741140961647,0,0
372944,0.0166669,0.0842449013143778,0.1271344,0.2487742,0.3918895,-0.06132827,0.04741341,0.9968946,-0.01385348,0.0398741140961647,0,0
372948,0.0166668,0.100911701098084,0.1270987,0.2489064,0.3918701,-0.060011,0.04819265,0.9969337,-0.01412011,0.0398741140961647,0,0
372950,0.0166668,0.117578500881791,0.1270987,0.2489064,0.3918701,-0.060011,0.04819265,0.9969337,-0.01412011,0.0398741140961647,0,0
372956,0.017515,0.135093500837684,0.1271419,0.2490925,0.3919936,-0.05803588,0.04909542,0.9970044,-0.01427383,0.0398741140961647,0,0
372958,0.0166667,0.151760200038552,0.1271419,0.2490925,0.3919936,-0.05803588,0.04909542,0.9970044,-0.01427383,0.0398741140961647,0,0
372962,0.0166675,0.168427700176835,0.1271419,0.2490925,0.3919936,-0.05803588,0.04909542,0.9970044,-0.01427383,0.0398741140961647,0,0
372964,0.0166714,0.18509910069406,0.1273917,0.2494016,0.3922337,-0.052568,0.05088222,0.9972218,-0.01401121,0.0398747697472572,0,0
372968,0.0166652,0.201764300465584,0.1273917,0.2494016,0.3922337,-0.052568,0.05088222,0.9972218,-0.01401121,0.0398747697472572,0,0
372972,0.0166667,0.218430999666452,0.1273917,0.2494016,0.3922337,-0.052568,0.05088222,0.9972218,-0.01401121,0.0398747697472572,0,0
372976,0.0166669,0.235097900032997,0.1277818,0.2497501,0.3924819,-0.04436439,0.05272272,0.997538,-0.0130389,0.0398747697472572,0,0
372978,0.0166666,0.251764500513673,0.1277818,0.2497501,0.3924819,-0.04436439,0.05272272,0.997538,-0.0130389,0.0398747697472572,0,0
372982,0.0166681,0.268432600423694,0.128082,0.2499962,0.3926631,-0.03914288,0.05378354,0.9977114,-0.01212764,0.0398747697472572,0,0
372984,0.0166686,0.285101199522614,0.128082,0.2499962,0.3926631,-0.03914288,0.05378354,0.9977114,-0.01212764,0.0398747697472572,0,0
372990,0.0166659,0.301767099648714,0.128082,0.2499962,0.3926631,-0.03914288,0.05378354,0.9977114,-0.01212764,0.0398747697472572,0,0
372992,0.0166682,0.318435300141573,0.128082,0.2499962,0.3926631,-0.03914288,0.05378354,0.9977114,-0.01212764,0.0398747697472572,0,0
372996,0.0166657,0.335101000964642,0.1283691,0.2502516,0.3928627,-0.03403711,0.05485165,0.9978544,-0.01092908,0.0398747697472572,0,0
372998,0.0166668,0.351767800748348,0.1283691,0.2502516,0.3928627,-0.03403711,0.05485165,0.9978544,-0.01092908,0.0398747697472572,0,0
373002,0.0166679,0.368435701355338,0.1286917,0.2504733,0.3930087,-0.02810774,0.05591397,0.9979957,-0.00939365,0.0398747697472572,0,0
373004,0.0166674,0.385103100910783,0.1286917,0.2504733,0.3930087,-0.02810774,0.05591397,0.9979957,-0.00939365,0.0398747697472572,0,0
373010,0.0166659,0.401769001036882,0.1286917,0.2504733,0.3930087,-0.02810774,0.05591397,0.9979957,-0.00939365,0.0398747697472572,0,0
373012,0.0166668,0.418435800820589,0.1286917,0.2504733,0.3930087,-0.02810774,0.05591397,0.9979957,-0.00939365,0.0398747697472572,0,0
373016,0.0166669,0.435102701187134,0.1293458,0.2507527,0.3930867,-0.01552883,0.05804235,0.9981763,-0.005825866,0.0398747697472572,0,0
373018,0.0166668,0.45176950097084,0.1293458,0.2507527,0.3930867,-0.01552883,0.05804235,0.9981763,-0.005825866,0.0398747697472572,0,0
373022,0.0166669,0.468436401337385,0.1296431,0.2507822,0.392996,-0.009227934,0.05903057,0.9982062,-0.003818374,0.0398747697472572,0,0
373024,0.0166672,0.485103601589799,0.130012,0.2508062,0.3928685,-0.002193551,0.06012402,0.9981875,-0.001432742,0.0398747697472572,0,0
373028,0.0166668,0.501770401373506,0.130012,0.2508062,0.3928685,-0.002193551,0.06012402,0.9981875,-0.001432742,0.0398747697472572,0,0
373030,0.0166668,0.518437201157212,0.1303114,0.2508088,0.3927435,0.004074145,0.0610215,0.9981279,0.0006711906,0.0398747697472572,0,0
373036,0.0166674,0.535104600712657,0.1303114,0.2508088,0.3927435,0.004074145,0.0610215,0.9981279,0.0006711906,0.0398747697472572,0,0
373038,0.0166666,0.551771201193333,0.1303114,0.2508088,0.3927435,0.004074145,0.0610215,0.9981279,0.0006711906,0.0398747697472572,0,0
373042,0.0166773,0.568448500707746,0.1306343,0.2508013,0.3925964,0.0110636,0.06190373,0.9980165,0.002918084,0.0398747697472572,0,0
373044,0.016667,0.585115499794483,0.1306343,0.2508013,0.3925964,0.0110636,0.06190373,0.9980165,0.002918084,0.0398747697472572,0,0
373048,0.0166672,0.601782700046897,0.1308222,0.2507647,0.392459,0.01738575,0.06267613,0.9978693,0.005131045,0.0398747697472572,0,0
373052,0.0166666,0.618449300527573,0.1308222,0.2507647,0.392459,0.01738575,0.06267613,0.9978693,0.005131045,0.0398747697472572,0,0
373056,0.0166669,0.635116200894117,0.1308222,0.2507647,0.392459,0.01738575,0.06267613,0.9978693,0.005131045,0.0398747697472572,0,0
373058,0.016667,0.651783199980855,0.1310569,0.2505441,0.3920502,0.03069571,0.06402997,0.9974279,0.009774367,0.0398747697472572,0,0
373062,0.0166668,0.668449999764562,0.1310569,0.2505441,0.3920502,0.03069571,0.06402997,0.9974279,0.009774367,0.0398747697472572,0,0
373064,0.0166684,0.685118399560452,0.1310569,0.2505441,0.3920502,0.03069571,0.06402997,0.9974279,0.009774367,0.0398747697472572,0,0
373068,0.0166668,0.701785199344158,0.1312263,0.2502562,0.3915816,0.04314275,0.06514979,0.9968411,0.01421164,0.0398747697472572,0,0
373072,0.016666,0.718451200053096,0.1312263,0.2502562,0.3915816,0.04314275,0.06514979,0.9968411,0.01421164,0.0398747697472572,0,0
373076,0.0166667,0.735117899253964,0.1312263,0.2502562,0.3915816,0.04314275,0.06514979,0.9968411,0.01421164,0.0398747697472572,0,0
373078,0.016667,0.751784898340702,0.1313735,0.2501303,0.3913549,0.04876034,0.06565281,0.9965187,0.01620344,0.0398747697472572,0,0
373082,0.0166672,0.768452098593116,0.1313735,0.2501303,0.3913549,0.04876034,0.06565281,0.9965187,0.01620344,0.0398747697472572,0,0
373084,0.0166675,0.785119598731399,0.1313735,0.2501303,0.3913549,0.04876034,0.06565281,0.9965187,0.01620344,0.0398747697472572,0,0
373088,0.0166665,0.801786098629236,0.1316627,0.2500191,0.3910899,0.05479418,0.06615536,0.996138,0.01816791,0.0398747697472572,0,0
373092,0.0166675,0.818453598767519,0.1316627,0.2500191,0.3910899,0.05479418,0.06615536,0.996138,0.01816791,0.0398747697472572,0,0
373096,0.0166667,0.835120297968388,0.1322701,0.2499437,0.3907371,0.0638687,0.06723155,0.9954595,0.0214721,0.0398747697472572,0,0
373098,0.0166667,0.851786997169256,0.1322701,0.2499437,0.3907371,0.0638687,0.06723155,0.9954595,0.0214721,0.0398747697472572,0,0
373102,0.0166675,0.868454497307539,0.1322701,0.2499437,0.3907371,0.0638687,0.06723155,0.9954595,0.0214721,0.0398747697472572,0,0
373104,0.0166662,0.885120697319508,0.1325652,0.2499145,0.3905799,0.06760176,0.06769524,0.9951507,0.02285856,0.0398747697472572,0,0
373108,0.0166667,0.901787396520376,0.1328415,0.249919,0.3904459,0.07104289,0.06815491,0.9948499,0.02411268,0.0398747697472572,0,0
373112,0.016668,0.918455395847559,0.1328415,0.249919,0.3904459,0.07104289,0.06815491,0.9948499,0.02411268,0.0398747697472572,0,0
373116,0.0166662,0.935121595859528,0.1328415,0.249919,0.3904459,0.07104289,0.06815491,0.9948499,0.02411268,0.0398747697472572,0,0
373118,0.0166674,0.951788995414972,0.1330344,0.249993,0.3904013,0.07348999,0.068537,0.9946261,0.0249168,0.0398747697472572,0,0
373122,0.0166664,0.968455394729972,0.1330344,0.249993,0.3904013,0.07348999,0.068537,0.9946261,0.0249168,0.0398747697472572,0,0
373124,0.0166676,0.985122995451093,0.1330344,0.249993,0.3904013,0.07348999,0.068537,0.9946261,0.0249168,0.0398747697472572,0,0
373128,0.0166667,1.00178969465196,0.1331899,0.2501119,0.3903828,0.07534765,0.06891067,0.9944459,0.02552126,0.0398747697472572,0,0
373132,0.0166673,1.01845699548721,0.1331899,0.2501119,0.3903828,0.07534765,0.06891067,0.9944459,0.02552126,0.0398747697472572,0,0
373136,0.0166681,1.03512509539723,0.1333218,0.250234,0.3903403,0.07682073,0.06925143,0.9942965,0.02602518,0.0398747697472572,0,0
373138,0.0166653,1.0517903957516,0.1333218,0.250234,0.3903403,0.07682073,0.06925143,0.9942965,0.02602518,0.0398747697472572,0,0
373142,0.0166674,1.06845779530704,0.1333218,0.250234,0.3903403,0.07682073,0.06925143,0.9942965,0.02602518,0.0398747697472572,0,0
373144,0.0166668,1.08512459509075,0.1333218,0.250234,0.3903403,0.07682073,0.06925143,0.9942965,0.02602518,0.0398747697472572,0,0
373148,0.0166668,1.10179139487445,0.133435,0.2504617,0.3903172,0.07794654,0.06967523,0.99417,0.02637779,0.0398747697472572,0,0
373150,0.0166674,1.1184587944299,0.133435,0.2504617,0.3903172,0.07794654,0.06967523,0.99417,0.02637779,0.0398747697472572,0,0
