F,DT,T,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ,HMDRotationW
251978,0.021693,0.0216930005699396,0.9793524,0.5311629,-0.583331,0.2005259,0.04098054,0.01598045,0.9787005
251980,0.0223979,0.0440909005701542,0.9796939,0.5308428,-0.5833297,0.2023225,0.04212659,0.01525817,0.9782935
251984,0.016668,0.060758899897337,0.9801075,0.5304508,-0.5832943,0.2040448,0.04316793,0.01442575,0.9779029
251990,0.016667,0.0774258989840746,0.9807076,0.5300558,-0.583106,0.2057753,0.04423221,0.01285049,0.9775147
251992,0.0212119,0.0986377988010645,0.9811147,0.529928,-0.5829059,0.2060128,0.04490441,0.01190437,0.977446
251994,0.0166675,0.115305298939347,0.9812548,0.5299171,-0.5827767,0.205808,0.0452911,0.01160945,0.9774748
252000,0.0166671,0.131972398608923,0.981639,0.5300462,-0.5826035,0.2050376,0.04599269,0.01148649,0.9776054
252002,0.0166666,0.148638999089599,0.9818213,0.5301028,-0.5825201,0.2046279,0.04627199,0.01161763,0.9776765
252006,0.0166677,0.165306698530912,0.9820901,0.5303177,-0.5823873,0.2038487,0.04653916,0.0119786,0.9778222
252008,0.0168872,0.182193897664547,0.9821964,0.5304451,-0.5823212,0.2033988,0.04659395,0.01216893,0.977911
252012,0.0166675,0.19886139780283,0.9823714,0.5307657,-0.5821821,0.20215,0.0465297,0.01252202,0.9781685
252014,0.0166662,0.215527597814798,0.9824484,0.5309243,-0.5820771,0.2012978,0.04643168,0.01270148,0.9783466
252018,0.0166678,0.23219539783895,0.982481,0.5313643,-0.5819405,0.1992668,0.04603851,0.01295203,0.9787775
252022,0.0166659,0.24886129796505,0.9824983,0.5316017,-0.5818794,0.1981993,0.04575544,0.0130173,0.9790067
252026,0.0166684,0.26552969776094,0.9824843,0.5320979,-0.581725,0.1958514,0.04498987,0.01312863,0.979513
252028,0.0166652,0.282194897532463,0.9824551,0.5323147,-0.5816388,0.1947153,0.04458869,0.01319918,0.9797569
252032,0.0166673,0.298862198367715,0.9823809,0.5327557,-0.5814601,0.1926172,0.0436192,0.01340976,0.9802123
252034,0.0175366,0.316398797556758,0.9823499,0.5329245,-0.5814081,0.1918788,0.04323154,0.01347794,0.9803734
252040,0.0166685,0.333067297935486,0.9822641,0.5332624,-0.5812887,0.1902104,0.04210157,0.01365892,0.9807451
252042,0.0166662,0.349733497947454,0.9821697,0.5333496,-0.58126,0.1896244,0.04158278,0.01372607,0.9808798
252046,0.0166676,0.366401098668575,0.9820373,0.5335175,-0.5812125,0.1887117,0.04058587,0.01377026,0.9810969
252048,0.0170899,0.38349099829793,0.9819561,0.5335791,-0.5811847,0.1883385,0.04008282,0.01376902,0.9811893
252052,0.0166676,0.400158599019051,0.9818217,0.5336436,-0.5812037,0.1877507,0.03920494,0.01369814,0.9813384
252054,0.016666,0.416824599727988,0.9817821,0.5336628,-0.5811968,0.1875262,0.03881306,0.0136587,0.9813974
252060,0.0166689,0.433493500575423,0.9816722,0.5337182,-0.5812079,0.1872195,0.03818185,0.01364154,0.981481
252062,0.0166651,0.450158599764109,0.9816623,0.5337268,-0.5811956,0.1870895,0.03788895,0.01363241,0.9815173
252066,0.0166679,0.466826500371099,0.9816019,0.533724,-0.5811598,0.1869945,0.03724617,0.01354553,0.9815612
252068,0.016666,0.483492501080036,0.98159,0.533706,-0.5811473,0.1869268,0.03697786,0.01348261,0.9815851
252070,0.0166678,0.500160301104188,0.9815566,0.5337211,-0.581126,0.1868008,0.03659691,0.01342103,0.9816242
252074,0.0166679,0.516828201711178,0.9815459,0.5337774,-0.5810823,0.1864542,0.03616358,0.01333659,0.9817073
252078,0.0166674,0.533495601266623,0.9815803,0.5338764,-0.5810519,0.1858214,0.03584138,0.01326284,0.9818401
252080,0.0166677,0.550163300707936,0.9815708,0.5340489,-0.5810349,0.184931,0.03566075,0.01325809,0.9820148
252084,0.0166656,0.566828900948167,0.9815428,0.5342172,-0.5810171,0.1837157,0.03554257,0.01337876,0.9822455
252088,0.0166683,0.583497200161219,0.9815481,0.5344876,-0.580962,0.1820997,0.03552617,0.01363864,0.9825435
252092,0.0166651,0.600162299349904,0.9815448,0.5347901,-0.580958,0.1804586,0.03552971,0.013932,0.982842
252094,0.0177235,0.617885800078511,0.9815529,0.5349578,-0.5809753,0.1795235,0.03558025,0.01408567,0.9830092
252100,0.0166681,0.634553899988532,0.9815461,0.5352994,-0.5810651,0.1777651,0.03565928,0.0143416,0.9833221
252102,0.016666,0.65121990069747,0.9815393,0.5354377,-0.5811251,0.1769568,0.03568219,0.01445343,0.9834654
252106,0.0166676,0.667887501418591,0.9814815,0.5358288,-0.5812202,0.1750688,0.03571278,0.01462503,0.9837996
252108,0.0166666,0.684554101899266,0.9814313,0.5360199,-0.5813128,0.1741331,0.03570994,0.01465961,0.9839653
252112,0.0166672,0.70122130215168,0.9813504,0.5364007,-0.5814989,0.1723517,0.03555065,0.01465268,0.9842847
252114,0.0166671,0.717888401821256,0.9813101,0.5365764,-0.5815735,0.1715222,0.0354403,0.01461734,0.9844341
252120,0.0166669,0.7345553021878,0.9812027,0.5369115,-0.5817418,0.1698777,0.03511995,0.01452377,0.9847321
252122,0.0169342,0.751489501446486,0.9811413,0.5370798,-0.5818267,0.1691711,0.03491125,0.01445496,0.9848621
252126,0.0166693,0.768158800899982,0.9810404,0.5373344,-0.5819526,0.1681318,0.03454923,0.01433201,0.9850547
252128,0.0166649,0.784823700785637,0.9809763,0.537471,-0.5820141,0.167573,0.03433298,0.01427162,0.9851583
252132,0.0166682,0.801491901278496,0.9808791,0.5376515,-0.5822114,0.1667778,0.03385641,0.01411794,0.9853119
252136,0.0166659,0.818157801404595,0.9808589,0.5377067,-0.5822924,0.1664318,0.03361541,0.01399818,0.9853804
252140,0.0166679,0.834825702011585,0.9808323,0.5377848,-0.5824986,0.1660012,0.03319548,0.01370577,0.9854714
252142,0.0166653,0.851491002365947,0.9807999,0.5378175,-0.5826012,0.1658296,0.0330504,0.0135994,0.9855067
