F,DT,T,Pos_X,Pos_Y,Pos_Z,Rot_X,Rot_Y,Rot_Z,Rot_W,Grip_pos,Grip_vel,Grip_eff
53402,0.0271453,0.0271453000605106,0.1847268,0.3272884,0.3230773,0.002423009,0.07439806,0.9911517,0.1098969,0.0398859344422817,0,0
53408,0.016668,0.0438132993876934,0.1847268,0.3272884,0.3230773,0.002423009,0.07439806,0.9911517,0.1098969,0.0398859344422817,0,0
53410,0.0166658,0.0604790989309549,0.1847268,0.3272884,0.3230773,0.002423009,0.07439806,0.9911517,0.1098969,0.0398859344422817,0,0
53414,0.0166678,0.0771468989551067,0.1844368,0.3276608,0.3232919,0.0001735636,0.07462126,0.9912376,0.1089942,0.0398859344422817,0,0
53416,0.0166666,0.0938134994357824,0.1844368,0.3276608,0.3232919,0.0001735636,0.07462126,0.9912376,0.1089942,0.0398859344422817,0,0
53420,0.0166676,0.110481100156903,0.1844368,0.3276608,0.3232919,0.0001735636,0.07462126,0.9912376,0.1089942,0.0398859344422817,0,0
53422,0.0166664,0.127147499471903,0.1840227,0.3285657,0.3236401,-0.004242426,0.07510795,0.9914052,0.1070352,0.0398859344422817,0,0
53426,0.0166669,0.143814399838448,0.1840227,0.3285657,0.3236401,-0.004242426,0.07510795,0.9914052,0.1070352,0.0398859344422817,0,0
53428,0.016667,0.160481398925185,0.1838238,0.3290896,0.3237948,-0.006546408,0.07529292,0.9915028,0.105879,0.0398859344422817,0,0
53434,0.016667,0.177148398011923,0.1836732,0.3295902,0.323911,-0.008832168,0.07535378,0.9916148,0.1046134,0.0398859344422817,0,0
53436,0.0166677,0.193816097453237,0.1836732,0.3295902,0.323911,-0.008832168,0.07535378,0.9916148,0.1046134,0.0398859344422817,0,0
53440,0.0166665,0.210482597351074,0.1836732,0.3295902,0.323911,-0.008832168,0.07535378,0.9916148,0.1046134,0.0398859344422817,0,0
53442,0.0166673,0.227149898186326,0.1835934,0.330088,0.3239839,-0.01113376,0.07524816,0.9917548,0.1031322,0.0398859344422817,0,0
53446,0.0166664,0.243816297501326,0.1835934,0.330088,0.3239839,-0.01113376,0.07524816,0.9917548,0.1031322,0.0398859344422817,0,0
53450,0.0166669,0.26048319786787,0.1835934,0.330088,0.3239839,-0.01113376,0.07524816,0.9917548,0.1031322,0.0398859344422817,0,0
53454,0.0166671,0.277150297537446,0.183529,0.3305707,0.3240401,-0.01363048,0.07501537,0.9919112,0.1014838,0.0398859344422817,0,0
