F,DT,T,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ,HMDRotationW
142662,0.0220701,0.022070100530982,0.6114808,0.02864315,0.06771766,0.0008747402,0.01320604,0.007562222,0.9998838
142662,0.0172476,0.0393177010118961,0.6114807,0.02860165,0.06769541,0.0008832421,0.01323466,0.007623607,0.999883
142662,0.0175036,0.0568213015794754,0.611472,0.02860172,0.0676992,0.000885545,0.01322765,0.007621105,0.9998831
142662,0.0166679,0.0734892021864653,0.611454,0.02865243,0.06766148,0.00086432,0.01320688,0.007612865,0.9998835
142662,0.0166669,0.09015610255301,0.6114705,0.028602,0.06768256,0.0008472817,0.01327149,0.007614638,0.9998826
142662,0.0166672,0.106823302805424,0.6114745,0.02861251,0.06767665,0.0008536458,0.01325871,0.007544356,0.9998833
142662,0.0166671,0.123490402474999,0.6114821,0.02857696,0.0676823,0.0008541486,0.01325541,0.00754276,0.9998834
142700,0.0166662,0.140156602486968,0.6114854,0.02857663,0.06768553,0.0008542883,0.01326255,0.007548722,0.9998832
142700,0.0166674,0.156824002042413,0.6114655,0.02862719,0.0676624,0.0008476224,0.01326141,0.00753254,0.9998834
142700,0.0166669,0.173490902408957,0.6115058,0.02861537,0.06771413,0.0008231854,0.01325799,0.007555472,0.9998832
142700,0.0166693,0.190160201862454,0.6114608,0.02860961,0.06771918,0.0008141306,0.01329355,0.007550055,0.9998828
142700,0.0166641,0.20682430267334,0.6114832,0.02860613,0.06769379,0.0008394241,0.01328761,0.007568057,0.9998828
142700,0.0166683,0.223492601886392,0.6114848,0.02869073,0.06770208,0.0008325413,0.01328571,0.007552276,0.9998829
142722,0.0166663,0.240158902481198,0.6114946,0.02870008,0.06770824,0.000841123,0.01329247,0.007549862,0.9998828
142722,0.0166674,0.256826302036643,0.6114593,0.02865377,0.06766989,0.0007622853,0.01327589,0.007522818,0.9998833
142722,0.0166666,0.273492902517319,0.6114641,0.02865708,0.06766868,0.0007769745,0.01325624,0.007533845,0.9998835
142722,0.0166673,0.290160203352571,0.6114879,0.02868714,0.06767046,0.0007918788,0.01327441,0.007493922,0.9998835
142722,0.0166657,0.306825904175639,0.6115229,0.0287063,0.06770832,0.0008217456,0.0132671,0.007487343,0.9998837
142722,0.0166682,0.323494104668498,0.6114529,0.02867853,0.06770892,0.0008156612,0.01327274,0.007472433,0.9998837
142722,0.0166658,0.34015990421176,0.611456,0.02869005,0.06770183,0.0008064155,0.01328462,0.007469363,0.9998835
142722,0.0166681,0.35682800412178,0.6114361,0.02866828,0.06764175,0.000782266,0.01327591,0.007501786,0.9998835
142722,0.0166662,0.373494204133749,0.611432,0.02867179,0.06763052,0.0007998979,0.01327638,0.007505692,0.9998834
142722,0.0166673,0.390161504969001,0.6114773,0.02869008,0.06762281,0.000778557,0.01325901,0.007556459,0.9998833
142722,0.0166653,0.406826805323362,0.6114718,0.02865834,0.06755511,0.0007659405,0.01322985,0.007555395,0.9998837
142722,0.0166677,0.423494504764676,0.6114691,0.02872023,0.06762561,0.00081007,0.01325474,0.007530892,0.9998835
142762,0.0166676,0.440162105485797,0.6114653,0.02869688,0.06766282,0.0008118622,0.0132753,0.007510695,0.9998834
142762,0.0166668,0.456828905269504,0.6114244,0.02870229,0.06761096,0.0007824301,0.0132431,0.007522056,0.9998837
142762,0.016666,0.473494905978441,0.6114216,0.02869782,0.06760859,0.0007905198,0.01324306,0.007515042,0.9998838
142762,0.0166677,0.490162605419755,0.6114584,0.02863832,0.06768187,0.000809048,0.0132717,0.007485248,0.9998836
142762,0.0166659,0.506828505545855,0.611494,0.02866373,0.0677109,0.0008242042,0.01328357,0.007467163,0.9998836
142762,0.0166675,0.523496005684137,0.6114611,0.02863042,0.06767367,0.0007454142,0.01325162,0.007500519,0.9998838
142762,0.016667,0.540163004770875,0.6114723,0.02858317,0.06768978,0.0007595196,0.01327903,0.00750619,0.9998834
142762,0.016667,0.556830003857613,0.6114796,0.02857123,0.06768824,0.0007946834,0.01325717,0.007532876,0.9998835
142762,0.0166657,0.573495704680681,0.6114774,0.02856345,0.06769201,0.0007817987,0.01325445,0.007570677,0.9998832
142762,0.016668,0.590163704007864,0.6114373,0.02861964,0.06765605,0.0007599993,0.01327386,0.00757169,0.9998829
142762,0.0166667,0.606830403208733,0.6114304,0.0286203,0.06765453,0.000760539,0.01327721,0.007577071,0.9998829
142800,0.0166688,0.62349920347333,0.6114629,0.0286499,0.06767993,0.0008118345,0.01325993,0.00757565,0.9998831
142800,0.0166659,0.640165103599429,0.6114723,0.02868244,0.06769006,0.0008108907,0.01325823,0.007580872,0.9998831
142800,0.0166667,0.656831802800298,0.6114421,0.02863495,0.06766495,0.0007976138,0.01323719,0.007555085,0.9998835
142800,0.0166657,0.673497503623366,0.6114395,0.02862223,0.06766234,0.0007929727,0.01323176,0.007586769,0.9998834
142800,0.0166678,0.690165303647518,0.6115063,0.02864261,0.06766449,0.0008021861,0.01322966,0.007585494,0.9998834
142800,0.0166673,0.70683260448277,0.6115276,0.0286499,0.06767111,0.0008222732,0.01323116,0.007576413,0.9998835
142800,0.0166665,0.723499104380608,0.6115029,0.02865937,0.06762137,0.0007943619,0.01320747,0.007554478,0.9998839
142822,0.0166672,0.740166304633021,0.6114713,0.02865726,0.06766619,0.0008049592,0.01323164,0.007570497,0.9998835
142822,0.0166657,0.75683200545609,0.6115087,0.02864775,0.0676894,0.0008102178,0.01323704,0.00757398,0.9998834
142822,0.0166679,0.77349990606308,0.611494,0.02862819,0.06769012,0.000806172,0.01325092,0.007558862,0.9998834
142822,0.0166673,0.790167206898332,0.6114765,0.0285942,0.06769164,0.0007890723,0.01323576,0.007525704,0.9998838
