F,DT,T,LeapPos_X,LeapPos_Y,LeapPos_Z,LeapRot_X,LeapRot_Y,LeapRot_Z,LeapRot_W,Grab,Pinch,cmdPos_X,cmdPos_Y,cmdPos_Z,cmdRot_X,cmdRot_Y,cmdRot_Z,cmdRot_W
161974,0.0166663,0.0166663005948067,1.066128,0.5737331,-0.2510424,-0.4143993,0.3521473,-0.7501008,-0.3763171,0,0,0.4062684,0.1157942,0.1450577,0.9886224,0.06678041,0.0813469,0.1074659
161974,0.016668,0.0333342999219894,1.066603,0.5733204,-0.2508273,-0.41323,0.3543558,-0.7488214,-0.3780736,0,0,0.4060425,0.1161276,0.1447331,0.9884523,0.06682647,0.08146981,0.1088989
161974,0.0166663,0.0500006005167961,1.067009,0.5728763,-0.2507052,-0.4119786,0.3562686,-0.7478921,-0.3794785,0,0,0.4058273,0.1166027,0.1443204,0.9879925,0.06753147,0.0822498,0.1120054
161974,0.016667,0.0666675996035337,1.067186,0.5726885,-0.2506904,-0.4114222,0.3571686,-0.7473992,-0.3802066,0,0,0.4057053,0.1170095,0.1438763,0.9875824,0.06843782,0.08285803,0.1145942
161974,0.0166671,0.0833346992731094,1.067415,0.5724617,-0.2507066,0.411005,-0.3584891,0.7463749,0.3814252,0,0,0.4056905,0.1171859,0.1436885,0.9873843,0.06879841,0.08313623,0.1158773
161974,0.0166661,0.10000079870224,1.067515,0.5723373,-0.2507163,-0.4109589,0.3588289,-0.7459854,-0.3819168,0,0,0.4057067,0.1174152,0.1434617,0.9870965,0.06884136,0.08367797,0.1178956
161974,0.0166691,0.116669898852706,1.067673,0.5723178,-0.2507889,0.4112058,-0.3594291,0.7451662,0.3826854,0,0,0.4057165,0.1175151,0.1433373,0.9870144,0.06870699,0.08378284,0.118585
161974,0.0166645,0.133334398269653,1.067749,0.5723575,-0.2508213,-0.4112989,0.3596188,-0.7448968,-0.3829316,0,0,0.405789,0.1176727,0.1433178,0.9868851,0.06817267,0.08415706,0.1196988
161974,0.0166678,0.150002198293805,1.067852,0.5725722,-0.2508668,-0.4115576,0.3593456,-0.7447897,-0.3831179,0,0,0.4058214,0.1177493,0.1433575,0.9868443,0.06798647,0.08428141,0.1200539
161974,0.0166817,0.16668389737606,1.06788,0.5727458,-0.2509183,0.41163,-0.3591479,0.7448343,0.383139,0,0,0.4058669,0.1178518,0.1435722,0.986887,0.06759836,0.08409342,0.1200533
161974,0.0166683,0.183352196589112,1.067882,0.5731575,-0.2511283,0.4118194,-0.3590853,0.7447836,0.3830926,0,0,0.4059184,0.1178797,0.1437458,0.9869202,0.06748918,0.08394416,0.1199462
161974,0.0166662,0.200018396601081,1.067896,0.5733787,-0.2512488,-0.41192,0.3589892,-0.7448331,-0.3829783,0,0,0.4061284,0.1178818,0.1441575,0.9869394,0.06730549,0.08399364,0.1198572
161974,0.016667,0.216685395687819,1.067928,0.5736558,-0.2513946,-0.4120681,0.3587309,-0.7449403,-0.3828526,0,0,0.4062489,0.1178961,0.1443787,0.9869646,0.06724112,0.08399592,0.1196838
162034,0.0166672,0.233352595940232,1.068043,0.5741969,-0.251599,0.4125099,-0.3579941,0.7452647,0.3824348,0,0,0.4063947,0.1179283,0.1446558,0.9870182,0.06711259,0.08388067,0.1193951
162034,0.016667,0.25001959502697,1.06816,0.5745639,-0.2517286,-0.4127888,0.357561,-0.7455066,-0.3820675,0,0,0.4065991,0.118043,0.1451969,0.987174,0.06675267,0.08358206,0.118515
162034,0.0166668,0.266686394810677,1.068393,0.5751897,-0.2519438,-0.4130277,0.3569947,-0.7458879,-0.3815945,0,0,0.4067287,0.1181598,0.1455639,0.9872723,0.06657621,0.08345886,0.1178802
162034,0.0166675,0.283353894948959,1.068539,0.5755703,-0.252062,-0.4131861,0.356636,-0.7461205,-0.3813033,0,0,0.4069439,0.1183928,0.1461897,0.9873955,0.06647301,0.08323674,0.1170606
162034,0.0166678,0.300021694973111,1.068819,0.5762913,-0.2523052,0.4135514,-0.3562272,0.7463337,0.3808721,0,0,0.4070621,0.1185394,0.1465703,0.9874729,0.06639603,0.08309652,0.1165497
162034,0.016666,0.316687695682049,1.068956,0.57669,-0.2524608,-0.4137828,0.3558932,-0.746417,-0.3807698,0,0,0.4073052,0.1188191,0.1472913,0.9875722,0.06616081,0.08305857,0.1158675
162034,0.0166665,0.333354195579886,1.069129,0.5773586,-0.2527726,-0.4143909,0.3550494,-0.7466486,-0.3804422,0,0,0.4074609,0.1189561,0.14769,0.9876376,0.0659247,0.08290712,0.1155522
162034,0.0166674,0.350021595135331,1.069199,0.5776803,-0.2529334,0.4146438,-0.354555,0.7468457,0.3802405,0,0,0.4077727,0.1191292,0.1483586,0.9878066,0.06533418,0.08256041,0.1146889
162034,0.0166667,0.3666882943362,1.069271,0.5782149,-0.2532569,0.4152359,-0.3537976,0.747062,0.3798746,0,0,0.4079335,0.1191986,0.1486803,0.987902,0.06510004,0.08231251,0.1141764
162034,0.016667,0.383355293422937,1.069292,0.5784283,-0.2534016,-0.4155717,0.3532228,-0.747283,-0.3796079,0,0,0.4082571,0.1192709,0.1492149,0.988057,0.06455332,0.08204913,0.1133323
162034,0.0166667,0.400021992623806,1.069359,0.5787923,-0.2536986,-0.4160468,0.3522933,-0.7476956,-0.3791385,0,0,0.4084017,0.1192921,0.1494283,0.9881697,0.06425156,0.08179232,0.1127051
162034,0.0166667,0.416688691824675,1.06942,0.5789369,-0.2538482,0.4162872,-0.3516926,0.7479633,0.3789042,0,0,0.4086987,0.1193591,0.1497923,0.9883505,0.06385085,0.08135919,0.1116565
162074,0.0166671,0.43335579149425,1.069498,0.5789953,-0.2540094,-0.4168755,0.3503892,-0.7484434,-0.3785165,0,0,0.4088483,0.1194203,0.1499369,0.988461,0.0636296,0.08102369,0.111047
162074,0.016667,0.450022790580988,1.069559,0.5789769,-0.2540835,0.4172045,-0.3496355,0.7486777,0.378388,0,0,0.4090095,0.1194978,0.1499953,0.9886949,0.06302413,0.0802843,0.1098397
162074,0.016667,0.466689789667726,1.069795,0.5789758,-0.2542292,-0.4179699,0.3477492,-0.7492742,-0.3781006,0,0,0.4090835,0.1195589,0.1499769,0.9888241,0.0626418,0.07981749,0.109234
162074,0.0166673,0.483357090502977,1.069927,0.5789864,-0.2542915,0.4182412,-0.3470517,0.7495055,0.377983,0,0,0.4092293,0.1197956,0.1499758,0.9891407,0.06172756,0.07861086,0.1077539
162074,0.0166742,0.500031290575862,1.070174,0.5789188,-0.2544091,-0.4185505,0.3458863,-0.749804,-0.3781169,0,0,0.4092916,0.1199275,0.1499864,0.9892566,0.06140625,0.07816357,0.1071965
162074,0.0166644,0.516695691272616,1.070286,0.5788311,-0.2544602,0.4186078,-0.3454303,0.7499509,0.3781787,0,0,0.4094092,0.1201745,0.1499188,0.989429,0.06086934,0.07723085,0.1065859
