F,DT,T,Status,GazeX,GazeY,GazeZ,GazePosition,FocusDistance,FocusStability,StatusL,LeftX,LeftY,LeftZ,PositionL,PupilL,StatusR,RightX,RightY,RightZ,PositionR,PupilR
182526,0.0504436,0.0504436008632183,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182526,0.0205923,0.0710359010845423,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182548,0.016668,0.087703900411725,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182548,0.0166668,0.104370700195432,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182548,0.0166677,0.121038399636745,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182548,0.0166667,0.137705098837614,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182548,0.0166665,0.154371598735452,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182548,0.0166675,0.171039098873734,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182548,0.016667,0.187706097960472,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182548,0.0166665,0.20437259785831,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182548,0.0166669,0.221039498224854,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182548,0.016666,0.237705498933792,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182548,0.0166678,0.254373298957944,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182548,0.0166669,0.271040199324489,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182586,0.0166675,0.287707699462771,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182586,0.0166665,0.304374199360609,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182586,0.0166672,0.321041399613023,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182586,0.016667,0.33770839869976,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182586,0.0166669,0.354375299066305,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182586,0.0166683,0.371043598279357,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182586,0.0166657,0.387709299102426,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182586,0.0166673,0.404376599937677,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182586,0.0166663,0.421042900532484,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182586,0.0166667,0.437709599733353,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182586,0.0166676,0.454377200454474,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182586,0.016667,0.471044199541211,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182626,0.016667,0.487711198627949,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182626,0.0166668,0.504377998411655,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182626,0.016667,0.521044997498393,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182626,0.0166656,0.537710597738624,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182626,0.0166677,0.554378297179937,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182626,0.0166668,0.571045096963644,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182648,0.0166668,0.587711896747351,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182648,0.0166673,0.604379197582603,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182648,0.0166672,0.621046397835016,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182648,0.0166665,0.637712897732854,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182648,0.0166668,0.654379697516561,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182648,0.0166672,0.671046897768974,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182648,0.016672,0.687718898057938,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182648,0.0166669,0.704385798424482,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182648,0.0166675,0.721053298562765,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182648,0.0166663,0.737719599157572,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182648,0.0166673,0.754386899992824,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182648,0.016667,0.771053899079561,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182648,0.0188461,0.789899999275804,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182648,0.0166682,0.806568199768662,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182648,0.016667,0.8232351988554,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182648,0.0166674,0.839902598410845,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182648,0.0166673,0.856569899246097,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182648,0.0166664,0.873236298561096,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182648,0.0166675,0.889903798699379,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182648,0.0166668,0.906570598483086,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182648,0.0166664,0.923236997798085,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182648,0.016667,0.939903996884823,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182648,0.0166678,0.956571796908975,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182648,0.0166665,0.973238296806812,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182726,0.0166675,0.989905796945095,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182726,0.0166661,1.00657189637423,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182726,0.0166673,1.02323919720948,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182726,0.0166667,1.03990589641035,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182726,0.0166672,1.05657309666276,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182726,0.0166668,1.07323989644647,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182748,0.0166668,1.08990669623017,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182748,0.0166679,1.10657459683716,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182748,0.0166657,1.12324029766023,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182748,0.016667,1.13990729674697,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182748,0.0166668,1.15657409653068,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182748,0.0166671,1.17324119620025,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182748,0.0166673,1.1899084970355,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182748,0.0166667,1.20657519623637,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182748,0.0166675,1.22324269637465,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182748,0.0166664,1.23990909568965,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182748,0.0166668,1.25657589547336,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182748,0.0166682,1.27324409596622,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182748,0.0166662,1.28991029597819,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182748,0.0166668,1.3065770957619,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182748,0.0166669,1.32324399612844,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182748,0.0166671,1.33991109579802,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182748,0.0166669,1.35657799616456,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182748,0.0166671,1.37324509583414,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182748,0.0166671,1.38991219550371,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182748,0.0166668,1.40657899528742,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182748,0.0166666,1.42324559576809,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182748,0.0166672,1.43991279602051,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182748,0.0166668,1.45657959580421,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182748,0.0166669,1.47324649617076,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182826,0.0166697,1.48991619609296,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182826,0.0166645,1.50658069550991,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182826,0.0166671,1.52324779517949,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182826,0.016667,1.53991479426622,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182826,0.0166671,1.5565818939358,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182826,0.016667,1.57324889302254,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182848,0.0166662,1.58991509303451,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182848,0.0166682,1.60658329352736,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182848,0.0166657,1.62324899435043,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182848,0.0166678,1.63991679437459,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182848,0.016666,1.65658279508352,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182848,0.01692,1.67350279539824,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182848,0.0166668,1.69016959518194,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182848,0.0166675,1.70683709532022,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182848,0.0166668,1.72350389510393,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182848,0.0166676,1.74017149582505,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182848,0.0166661,1.75683759525418,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182848,0.0166668,1.77350439503789,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182848,0.0166672,1.7901715952903,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182848,0.016668,1.80683959461749,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
182848,0.016666,1.82350559532642,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
