F,DT,T,tau1,tau2,tau3,tau4,tau5,tau6,tau7,con_x,con_y,con_z
350034,0.0349271,0.034927099943161,-0.513087689876556,-21.83616065979,0.609468638896942,15.8661947250366,0.995258450508118,2.61650776863098,0.405739605426788,-1.28575587449312,0.45948616084537,-0.284390129326563
350036,0.0166688,0.051595900207758,-0.513087689876556,-21.83616065979,0.609468638896942,15.8661947250366,0.995258450508118,2.61650776863098,0.405739605426788,-1.28575587449312,0.45948616084537,-0.284390129326563
350040,0.0166664,0.0682622995227575,-0.513087689876556,-21.83616065979,0.506319224834442,15.8899984359741,0.970539212226868,2.64946675300598,0.380104839801788,-1.38033272036906,0.43101802565328,-0.190190084941466
350044,0.016667,0.0849292986094952,-0.687648236751556,-21.7845859527588,0.355562388896942,15.8661947250366,1.01265347003937,2.58995747566223,0.392922222614288,-1.38145532279677,0.414885103155334,-0.106853847168295
350046,0.0166682,0.101597499102354,-0.687648236751556,-21.7845859527588,0.355562388896942,15.8661947250366,1.01265347003937,2.58995747566223,0.392922222614288,-1.38145532279677,0.414885103155334,-0.106853847168295
350050,0.0166655,0.118262998759747,-0.640040814876556,-21.883768081665,0.430940806865692,15.9653768539429,0.988849759101868,2.61650776863098,0.380104839801788,-1.44078248691611,0.422410905847136,-0.0977513785359044
350052,0.0166669,0.134929899126291,-0.640040814876556,-21.883768081665,0.430940806865692,15.9653768539429,0.988849759101868,2.61650776863098,0.380104839801788,-1.44078248691611,0.422410905847136,-0.0977513785359044
350056,0.0166669,0.151596799492836,-0.612269818782806,-21.9829502105713,0.482515513896942,15.9891805648804,1.01265347003937,2.61650776863098,0.386513531208038,-1.42568033967899,0.393145963232658,-0.073908720560674
350060,0.0166669,0.168263699859381,-0.965358197689056,-21.8123569488525,0.133394420146942,15.9177694320679,1.06666958332062,2.58995747566223,0.444191753864288,-1.25068284280305,0.365255701389146,-0.342255665820026
350064,0.0166669,0.184930600225925,-0.965358197689056,-21.8123569488525,0.133394420146942,15.9177694320679,1.06666958332062,2.58995747566223,0.444191753864288,-1.25068284280305,0.365255701389146,-0.342255665820026
350066,0.0166688,0.201599400490522,-0.687648236751556,-21.8599643707275,0.307954967021942,15.9177694320679,1.03645718097687,2.60369038581848,0.431374371051788,-1.41384046583992,0.350752581815761,0.0251933743234428
350070,0.0166653,0.218264700844884,-0.588466107845306,-21.9829502105713,0.482515513896942,15.9415731430054,1.03096401691437,2.60369038581848,0.412148296833038,-1.55725542573832,0.44650060756907,0.0685778425399185
350072,0.0166665,0.234931200742722,-0.588466107845306,-21.9829502105713,0.482515513896942,15.9415731430054,1.03096401691437,2.60369038581848,0.412148296833038,-1.55725542573832,0.44650060756907,0.0685778425399185
350078,0.0166673,0.251598501577973,-0.489283978939056,-21.883768081665,0.557893931865692,15.9653768539429,1.09596645832062,2.57714009284973,0.450600445270538,-1.49956699274125,0.231403684429933,0.0872282762347608
350080,0.0166669,0.268265401944518,-0.489283978939056,-22.0067539215088,0.581697642803192,16.0169525146484,1.10786831378937,2.58354878425598,0.463417828083038,-1.5728287725679,0.257861828613756,0.3578907875728
350084,0.0166665,0.284931901842356,-0.513087689876556,-22.05832862854,0.506319224834442,16.0169525146484,1.05476772785187,2.61009907722473,0.444191753864288,-1.72315421821806,0.455893717770279,0.152690673375067
350086,0.0166805,0.301612401381135,-0.513087689876556,-22.05832862854,0.506319224834442,16.0169525146484,1.05476772785187,2.61009907722473,0.444191753864288,-1.72315421821806,0.455893717770279,0.152690673375067
350090,0.0166668,0.318279201164842,-0.640040814876556,-22.0067539215088,0.407137095928192,15.9177694320679,1.09596645832062,2.55058979988098,0.469826519489288,-1.7079336123874,0.314659387151084,0.401108856458031
350092,0.0166675,0.334946701303124,-0.640040814876556,-22.0067539215088,0.407137095928192,15.9177694320679,1.09596645832062,2.55058979988098,0.469826519489288,-1.7079336123874,0.314659387151084,0.401108856458031
350098,0.0166669,0.351613601669669,-0.790797650814056,-21.9591464996338,0.430940806865692,15.9415731430054,1.10237514972687,2.53777241706848,0.418556988239288,-1.92429827116824,0.258148870457805,0.647928340922622
350100,0.0166676,0.36828120239079,-0.687648236751556,-21.8599643707275,0.407137095928192,15.8899984359741,1.11977016925812,2.52495503425598,0.476235210895538,-2.04042491029926,0.138877872520368,0.835153845691621
350104,0.0166662,0.384947402402759,-0.687648236751556,-21.8599643707275,0.407137095928192,15.8899984359741,1.11977016925812,2.52495503425598,0.476235210895538,-2.04042491029926,0.138877872520368,0.835153845691621
350106,0.0166665,0.401613902300596,-0.687648236751556,-21.83616065979,0.407137095928192,15.8423910140991,1.09047329425812,2.53777241706848,0.418556988239288,-2.0608358194888,0.155356664824247,0.817223247890294
350110,0.0166676,0.418281503021717,-0.612269818782806,-21.7607822418213,0.458711802959442,15.8185873031616,1.11977016925812,2.52495503425598,0.476235210895538,-2.17768984258489,0.251648477748278,0.756841370829328
350112,0.0166661,0.434947602450848,-0.612269818782806,-21.7607822418213,0.458711802959442,15.8185873031616,1.11977016925812,2.52495503425598,0.476235210895538,-2.17768984258489,0.251648477748278,0.756841370829328
350118,0.0166673,0.451614903286099,-0.715419232845306,-21.7845859527588,0.407137095928192,15.7908163070679,1.11427700519562,2.55058979988098,0.463417828083038,-2.08745357799062,0.282855599381886,0.52486450834639
350120,0.0166665,0.468281403183937,-0.640040814876556,-21.7369785308838,0.430940806865692,15.7670125961304,1.09047329425812,2.52495503425598,0.431374371051788,-2.17009290328886,0.170271705998394,0.487928632044092
350124,0.0166672,0.484948603436351,-0.640040814876556,-21.7369785308838,0.430940806865692,15.7670125961304,1.09047329425812,2.52495503425598,0.431374371051788,-2.17009290328886,0.170271705998394,0.487928632044092
350126,0.0166673,0.501615904271603,-0.663844525814056,-21.9829502105713,0.383333384990692,15.8185873031616,1.11977016925812,2.57073140144348,0.431374371051788,-2.40566981514571,-0.00899732934466134,0.92975598154226
350130,0.0166674,0.518283303827047,-0.663844525814056,-21.9075717926025,0.407137095928192,15.8423910140991,1.10237514972687,2.57714009284973,0.405739605426788,-2.40300917309064,0.0189977674323496,0.814301505685944
350132,0.0166665,0.534949803724885,-0.663844525814056,-21.9075717926025,0.407137095928192,15.8423910140991,1.10237514972687,2.57714009284973,0.405739605426788,-2.40300917309064,0.0189977674323496,0.814301505685944
350138,0.0166675,0.551617303863168,-0.640040814876556,-21.9591464996338,0.430940806865692,15.8423910140991,1.10237514972687,2.58995747566223,0.463417828083038,-2.53719321976342,-0.0115096932726618,0.829212760647826
350140,0.0166663,0.568283604457974,-0.640040814876556,-21.9591464996338,0.430940806865692,15.8423910140991,1.10237514972687,2.58995747566223,0.463417828083038,-2.53719321976342,-0.0115096932726618,0.829212760647826
350144,0.0166674,0.584951004013419,-0.687648236751556,-21.9353427886963,0.355562388896942,15.7670125961304,1.11977016925812,2.59636616706848,0.424965679645538,-2.56819005999729,0.0376910928899157,0.667350819607867
350146,0.0166665,0.601617503911257,-0.687648236751556,-21.9353427886963,0.355562388896942,15.7670125961304,1.11977016925812,2.59636616706848,0.424965679645538,-2.56819005999729,0.0376910928899157,0.667350819607867
350150,0.0166678,0.618285303935409,-0.739222943782806,-21.9591464996338,0.407137095928192,15.7432088851929,1.10786831378937,2.57714009284973,0.431374371051788,-2.59180425071992,0.062828369294409,0.676649673864795
350152,0.01667,0.634955303743482,-0.763026654720306,-22.0067539215088,0.383333384990692,15.7908163070679,1.10786831378937,2.58354878425598,0.444191753864288,-2.63630481283252,-0.0167007295327134,0.723726624496909
350158,0.0166638,0.651619104668498,-0.763026654720306,-22.0067539215088,0.383333384990692,15.7908163070679,1.10786831378937,2.58354878425598,0.444191753864288,-2.63630481283252,-0.0167007295327134,0.723726624496909
350160,0.0166667,0.668285803869367,-0.663844525814056,-21.9829502105713,0.383333384990692,15.7432088851929,1.10237514972687,2.57073140144348,0.412148296833038,-2.61966210114752,-0.0849721538442928,0.701765893879577
350164,0.0166667,0.684952503070235,-0.739222943782806,-21.9075717926025,0.383333384990692,15.6678304672241,1.10786831378937,2.56432271003723,0.463417828083038,-2.75836941048262,-0.0490325894047494,0.648783826466559
350166,0.016667,0.701619502156973,-0.739222943782806,-21.9075717926025,0.383333384990692,15.6678304672241,1.10786831378937,2.56432271003723,0.463417828083038,-2.75836941048262,-0.0490325894047494,0.648783826466559
350170,0.0166717,0.718291202560067,-0.715419232845306,-21.9591464996338,0.430940806865692,15.7432088851929,1.10786831378937,2.58354878425598,0.437783062458038,-2.71018153316325,-0.0941280122552847,0.727370576728447
350172,0.0166703,0.734961502254009,-0.715419232845306,-21.9591464996338,0.430940806865692,15.7432088851929,1.10786831378937,2.58354878425598,0.437783062458038,-2.71018153316325,-0.0941280122552847,0.727370576728447
350178,0.0166628,0.751624302938581,-0.715419232845306,-21.9591464996338,0.430940806865692,15.7432088851929,1.10786831378937,2.58354878425598,0.437783062458038,-2.71018153316325,-0.0941280122552847,0.727370576728447
350180,0.0166669,0.768291203305125,-0.763026654720306,-21.9829502105713,0.355562388896942,15.7670125961304,1.09047329425812,2.56432271003723,0.405739605426788,-2.74654574963034,-0.0752333045810898,0.62475608611261
350184,0.0166667,0.784957902505994,-0.763026654720306,-21.9829502105713,0.355562388896942,15.7670125961304,1.09047329425812,2.56432271003723,0.405739605426788,-2.74654574963034,-0.0752333045810898,0.62475608611261
350186,0.016667,0.801624901592731,-0.763026654720306,-21.9829502105713,0.355562388896942,15.7670125961304,1.09047329425812,2.56432271003723,0.405739605426788,-2.74654574963034,-0.0752333045810898,0.62475608611261
350190,0.0166668,0.818291701376438,-0.687648236751556,-22.0345249176025,0.407137095928192,15.7908163070679,1.07216274738312,2.57073140144348,0.386513531208038,-2.80574889555338,-0.0957877353571037,0.787882693185439
350192,0.0166668,0.834958501160145,-0.687648236751556,-22.0345249176025,0.407137095928192,15.7908163070679,1.07216274738312,2.57073140144348,0.386513531208038,-2.80574889555338,-0.0957877353571037,0.787882693185439
350198,0.016668,0.851626500487328,-0.588466107845306,-21.9075717926025,0.482515513896942,15.6440267562866,1.06666958332062,2.54418110847473,0.399330914020538,-2.80851935540464,-0.224382954973244,0.867936344449217
350200,0.0166659,0.868292400613427,-0.588466107845306,-21.9075717926025,0.482515513896942,15.6440267562866,1.06666958332062,2.54418110847473,0.399330914020538,-2.80851935540464,-0.224382954973244,0.867936344449217
350204,0.0166678,0.884960200637579,-0.663844525814056,-21.9591464996338,0.482515513896942,15.6440267562866,1.06026089191437,2.56432271003723,0.360878765583038,-2.7934161193248,-0.231432775694927,0.874934860216108
350206,0.016666,0.901626201346517,-0.715419232845306,-21.83616065979,0.407137095928192,15.5448446273804,1.06666958332062,2.55699849128723,0.373696148395538,-2.90079018749967,-0.208921987777484,0.75024237260177
350210,0.0166675,0.918293701484799,-0.715419232845306,-21.83616065979,0.407137095928192,15.5448446273804,1.06666958332062,2.55699849128723,0.373696148395538,-2.90079018749967,-0.208921987777484,0.75024237260177
350212,0.0166819,0.934975601732731,-0.715419232845306,-21.83616065979,0.407137095928192,15.5448446273804,1.06666958332062,2.55699849128723,0.373696148395538,-2.90079018749967,-0.208921987777484,0.75024237260177
350218,0.0166676,0.951643202453852,-0.790797650814056,-21.9353427886963,0.458711802959442,15.6440267562866,1.04835903644562,2.57073140144348,0.302285015583038,-2.95041338633309,-0.37749656698148,0.761128562395927
350220,0.0166663,0.968309503048658,-0.790797650814056,-21.9353427886963,0.458711802959442,15.6440267562866,1.04835903644562,2.57073140144348,0.302285015583038,-2.95041338633309,-0.37749656698148,0.761128562395927
350224,0.0166775,0.984987003728747,-0.739222943782806,-21.9075717926025,0.355562388896942,15.6202230453491,1.04286587238312,2.55058979988098,0.270241558551788,-3.02582949334968,-0.442414989543614,0.767937439918525
350226,0.0166671,1.00165410339832,-0.739222943782806,-21.9075717926025,0.355562388896942,15.6202230453491,1.04286587238312,2.55058979988098,0.270241558551788,-3.02582949334968,-0.442414989543614,0.767937439918525
350230,0.0166668,1.01832090318203,-0.739222943782806,-21.9075717926025,0.355562388896942,15.6202230453491,1.04286587238312,2.55058979988098,0.270241558551788,-3.02582949334968,-0.442414989543614,0.767937439918525
350232,0.0166662,1.034987103194,-0.640040814876556,-21.9591464996338,0.407137095928192,15.6440267562866,1.04286587238312,2.57073140144348,0.257424175739288,-2.88107370937961,-0.456807535156379,0.699179013482151
350238,0.0166692,1.0516563039273,-0.640040814876556,-21.9591464996338,0.407137095928192,15.6440267562866,1.04286587238312,2.57073140144348,0.257424175739288,-2.88107370937961,-0.456807535156379,0.699179013482151
350240,0.0166664,1.0683227032423,-0.640040814876556,-21.9591464996338,0.458711802959442,15.6916341781616,1.02455532550812,2.55699849128723,0.23178942501545,-2.9154747163424,-0.407026980269866,0.667441053527661
350244,0.0166691,1.08499180339277,-0.739222943782806,-21.9591464996338,0.458711802959442,15.6678304672241,1.02455532550812,2.55699849128723,0.2381981164217,-2.84483842384513,-0.559260768426254,0.663642005386081
350246,0.0166642,1.10165600292385,-0.739222943782806,-21.9591464996338,0.458711802959442,15.6678304672241,1.02455532550812,2.55699849128723,0.2381981164217,-2.84483842384513,-0.559260768426254,0.663642005386081
350250,0.016667,1.11832300201058,-0.814601361751556,-21.9591464996338,0.407137095928192,15.6678304672241,1.03096401691437,2.56432271003723,0.2381981164217,-2.80253509113809,-0.675791107708947,0.716191589070781
350252,0.0166673,1.13499030284584,-0.814601361751556,-21.9591464996338,0.407137095928192,15.6678304672241,1.03096401691437,2.56432271003723,0.2381981164217,-2.80253509113809,-0.675791107708947,0.716191589070781
350258,0.0166676,1.15165790356696,-0.715419232845306,-21.9591464996338,0.430940806865692,15.6916341781616,1.01906216144562,2.55699849128723,0.2253807336092,-2.72867759598318,-0.588477679435253,0.730724885069703
350260,0.016668,1.16832590289414,-0.612269818782806,-21.9829502105713,0.430940806865692,15.7194051742554,1.03645718097687,2.55699849128723,0.24460680782795,-2.6947344819796,-0.644389664646184,0.736878615357921
350264,0.0166965,1.18502240255475,-0.612269818782806,-21.9829502105713,0.430940806865692,15.7194051742554,1.03645718097687,2.55699849128723,0.24460680782795,-2.6947344819796,-0.644389664646184,0.736878615357921
350266,0.0166442,1.20166660286486,-0.739222943782806,-21.9353427886963,0.458711802959442,15.6916341781616,1.03645718097687,2.54418110847473,0.24460680782795,-2.6934464525039,-0.626753919256946,0.733548035666634
350270,0.0166664,1.21833300217986,-0.739222943782806,-21.9591464996338,0.482515513896942,15.7194051742554,1.02455532550812,2.55058979988098,0.20615465939045,-2.65646497509984,-0.57639443956273,0.751235234421294
350272,0.0166667,1.23499970138073,-0.739222943782806,-21.9591464996338,0.482515513896942,15.7194051742554,1.02455532550812,2.55058979988098,0.20615465939045,-2.65646497509984,-0.57639443956273,0.751235234421294
350278,0.0166678,1.25166750140488,-0.663844525814056,-21.9829502105713,0.506319224834442,15.7670125961304,1.01906216144562,2.54418110847473,0.19333727657795,-2.57416055967071,-0.589739677237103,0.811434814494622
350280,0.0166703,1.26833780109882,-0.663844525814056,-21.9829502105713,0.506319224834442,15.7670125961304,1.01906216144562,2.54418110847473,0.19333727657795,-2.57416055967071,-0.589739677237103,0.811434814494622
350284,0.016663,1.28500080108643,-0.763026654720306,-22.0067539215088,0.430940806865692,15.8185873031616,1.03645718097687,2.55058979988098,0.21897204220295,-2.54353176469072,-0.608062681219194,0.818733804613901
350286,0.0166674,1.30166820064187,-0.640040814876556,-21.9591464996338,0.430940806865692,15.7670125961304,1.02455532550812,2.54418110847473,0.23178942501545,-2.56548687758525,-0.527687822917566,0.795150623514221
350290,0.0166681,1.31833630055189,-0.640040814876556,-21.9591464996338,0.430940806865692,15.7670125961304,1.02455532550812,2.54418110847473,0.23178942501545,-2.56548687758525,-0.527687822917566,0.795150623514221
350292,0.0166779,1.33501419983804,-0.687648236751556,-21.9591464996338,0.430940806865692,15.8185873031616,1.01265347003937,2.54418110847473,0.21897204220295,-2.53957912243334,-0.501016808278654,0.812758873751512
350298,0.0166673,1.35168150067329,-0.715419232845306,-22.0345249176025,0.534090220928192,15.8661947250366,1.01906216144562,2.55699849128723,0.2125633507967,-2.39110813173215,-0.451844344146557,0.841769000552633
350300,0.0166673,1.36834880150855,-0.715419232845306,-22.0345249176025,0.534090220928192,15.8661947250366,1.01906216144562,2.55699849128723,0.2125633507967,-2.39110813173215,-0.451844344146557,0.841769000552633
