F,DT,T,LeapPos_X,LeapPos_Y,LeapPos_Z,LeapRot_X,LeapRot_Y,LeapRot_Z,LeapRot_W,Grab,Pinch,cmdPos_X,cmdPos_Y,cmdPos_Z,cmdRot_X,cmdRot_Y,cmdRot_Z,cmdRot_W
372932,0.0175764,0.0175764001905918,1.079785,0.572401,-0.246938,0.4855303,-0.3934424,0.7190268,0.3040789,0,0,0.4014016,0.1292678,0.1433369,0.9834761,0.01687277,0.1720547,0.05373314
372936,0.0166682,0.0342446006834507,1.080344,0.5722557,-0.2471867,-0.4693187,0.4129519,-0.7152612,-0.3124297,0,0,0.401938,0.1297846,0.143401,0.9811972,0.02658328,0.1790447,0.06699593
372938,0.0166668,0.0509114004671574,1.080712,0.5720587,-0.2474503,0.4583983,-0.4248611,0.7124714,0.3189802,0,0,0.4021868,0.130344,0.1432557,0.9777995,0.04249514,0.1856065,0.08747922
372942,0.0166666,0.0675780009478331,1.081411,0.5725175,-0.2481841,-0.441728,0.4421304,-0.7082483,-0.3283012,0,0,0.4024504,0.1307116,0.1430587,0.9753671,0.05246624,0.1886833,0.1015139
372944,0.0166669,0.0842449013143778,1.081714,0.5729179,-0.2484703,0.4351625,-0.4476224,0.7073647,0.3315164,0,0,0.4031842,0.1314107,0.1435175,0.9712481,0.06753466,0.1929762,0.1219684
372948,0.0166668,0.100911701098084,1.082085,0.573918,-0.2488796,-0.427386,0.4527044,-0.7070661,-0.3353472,0,0,0.4034704,0.1317139,0.1439179,0.9697947,0.07347738,0.1936854,0.1287843
372950,0.0166668,0.117578500881791,1.082178,0.5743217,-0.2489493,0.4243603,-0.4545077,0.7070211,0.3368421,0,0,0.4038796,0.1320851,0.144918,0.9683585,0.08036634,0.1932377,0.1359498
372956,0.017515,0.135093500837684,1.082387,0.5748078,-0.2489852,-0.4170476,0.4588583,-0.7069733,-0.3401607,0,0,0.4039493,0.1321779,0.1453217,0.9678192,0.08301856,0.1929098,0.138635
372958,0.0166667,0.151760200038552,1.082453,0.5751159,-0.2491106,0.4138049,-0.4609591,0.7073676,0.3404605,0,0,0.4039853,0.132387,0.1458078,0.9664599,0.08951813,0.1922355,0.1448697
372962,0.0166675,0.168427700176835,1.082427,0.5757027,-0.2492279,-0.4052814,0.4667759,-0.7076956,-0.3421029,0,0,0.4041107,0.132453,0.1461159,0.9658126,0.09290805,0.1925287,0.1466523
372964,0.0166714,0.18509910069406,1.082336,0.5759659,-0.249317,0.4012381,-0.4698656,0.7075793,0.3428787,0,0,0.404228,0.1324268,0.1467027,0.9639167,0.1014047,0.1932842,0.1523909
372968,0.0166652,0.201764300465584,1.082097,0.5762335,-0.2491792,-0.3928862,0.4740053,-0.7090093,-0.3438973,0,0,0.4043171,0.1323357,0.1469659,0.9628749,0.1054237,0.1939619,0.1553594
372972,0.0166667,0.218430999666452,1.082071,0.5763311,-0.2491157,0.3889251,-0.4762843,0.7090911,0.3450806,0,0,0.4041794,0.1320973,0.1472335,0.9613423,0.1138534,0.1935161,0.1594052
