F,DT,T,fps,Start,Hand,Grip,Tracked,Controlling
276792,0.0256328,0.0256328005343676,39.01252,False,R,False,True,True
276798,0.0166683,0.0423010997474194,59.99412,False,R,False,True,True
276800,0.0190822,0.0613832995295525,52.40486,False,R,False,True,True
276804,0.0166674,0.0780506990849972,59.99736,False,R,False,True,True
276806,0.0174468,0.0954974982887506,57.3171,False,R,False,True,True
276810,0.0166672,0.112164698541164,59.99808,False,R,False,True,True
276812,0.0166667,0.128831397742033,59.99988,False,R,False,True,True
276818,0.016668,0.145499397069216,59.9952,False,R,False,True,True
276820,0.0166655,0.162164896726608,60.0042,False,R,False,True,True
276824,0.0166681,0.178832996636629,59.99484,False,R,False,True,True
276826,0.0189314,0.19776439666748,52.8223,False,R,False,True,True
276830,0.0166687,0.214433096349239,59.99268,False,R,False,True,True
276832,0.0166654,0.231098495423794,60.00456,False,R,False,True,True
276838,0.0166683,0.247766794636846,59.99412,False,R,False,True,True
276840,0.016666,0.264432795345783,60.0024,False,R,False,True,True
276844,0.0166682,0.281100995838642,59.99448,False,R,False,True,True
276846,0.0166651,0.297766095027328,60.00564,False,R,False,True,True
276850,0.0166689,0.314434995874763,59.99196,False,R,False,True,True
276852,0.0166652,0.331100195646286,60.00528,False,R,False,True,True
276856,0.016668,0.347768194973469,59.9952,False,R,False,True,True
276858,0.016667,0.364435194060206,59.9988,False,R,False,True,True
276862,0.0166668,0.381101993843913,59.99952,False,R,False,True,True
276866,0.016667,0.397768992930651,59.9988,False,R,False,True,True
276868,0.0166677,0.414436692371964,59.99628,False,R,False,True,True
276874,0.0166666,0.43110329285264,60.00024,False,R,False,True,True
276878,0.0166664,0.44776969216764,60.00096,False,R,False,True,True
276880,0.016666,0.464435692876577,60.0024,False,R,False,True,True
276884,0.0166674,0.481103092432022,59.99736,False,R,False,True,True
276886,0.0166662,0.497769292443991,60.00168,False,R,False,True,True
276890,0.0166681,0.514437392354012,59.99484,False,R,False,True,True
276896,0.0183999,0.532837292179465,54.34812,False,R,False,True,True
276898,0.0180039,0.550841191783547,55.54352,False,R,False,True,True
276900,0.0166686,0.567509790882468,59.99305,False,R,False,True,True
276904,0.0166665,0.584176290780306,60.0006,False,R,False,True,True
276906,0.0166683,0.600844589993358,59.99412,False,R,False,True,True
276910,0.0166656,0.617510190233588,60.00384,False,R,False,True,True
276912,0.0166687,0.634178889915347,59.99268,False,R,False,True,True
276918,0.016668,0.65084688924253,59.9952,False,R,False,True,True
276920,0.0166661,0.66751298867166,60.00204,False,R,False,True,True
276924,0.0166663,0.684179289266467,60.00132,False,R,False,True,True
276926,0.0166687,0.700847988948226,59.99268,False,R,False,True,True
276930,0.0166662,0.717514188960195,60.00168,False,R,False,True,True
276932,0.016667,0.734181188046932,59.9988,False,R,False,True,True
276938,0.0166678,0.750848988071084,59.99592,False,R,False,True,True
276940,0.0166659,0.767514888197184,60.00276,False,R,False,True,True
276944,0.0166674,0.784182287752628,59.99736,False,R,False,True,True
276946,0.0166665,0.800848787650466,60.0006,False,R,False,True,True
276950,0.0166667,0.817515486851335,59.99988,False,R,False,True,True
276952,0.0166667,0.834182186052203,59.99988,False,R,False,True,True
276958,0.016667,0.850849185138941,59.9988,False,R,False,True,True
276960,0.0166675,0.867516685277224,59.997,False,R,False,True,True
276964,0.0166668,0.88418348506093,59.99952,False,R,False,True,True
276966,0.0166675,0.900850985199213,59.997,False,R,False,True,True
276972,0.0166673,0.917518286034465,59.99772,False,R,False,True,True
276974,0.0166677,0.934185985475779,59.99628,False,R,False,True,True
