F,DT,T,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ,HMDRotationW
276792,0.0256328,0.0256328005343676,1.001941,0.5601376,-0.6234573,0.08046631,0.01686346,-0.03075429,0.9961401
276798,0.0166683,0.0423010997474194,1.00189,0.5601612,-0.6234081,0.08065315,0.01683185,-0.03072023,0.9961265
276800,0.0190822,0.0613832995295525,1.001892,0.5601667,-0.6233783,0.08070011,0.01681709,-0.03066375,0.9961247
276804,0.0166674,0.0780506990849972,1.001905,0.5601646,-0.6234043,0.08074482,0.0168195,-0.03052499,0.9961253
276806,0.0174468,0.0954974982887506,1.001927,0.560152,-0.6234018,0.08080316,0.01683243,-0.03048076,0.9961217
276810,0.0166672,0.112164698541164,1.001912,0.5601012,-0.6234037,0.08085626,0.01682774,-0.0304387,0.9961188
276812,0.0166667,0.128831397742033,1.00189,0.5601199,-0.6234066,0.08086903,0.01682574,-0.03044013,0.9961178
276818,0.016668,0.145499397069216,1.001867,0.5601023,-0.6234452,0.0808442,0.0168143,-0.0304723,0.996119
276820,0.0166655,0.162164896726608,1.001844,0.5601225,-0.6234527,0.08080094,0.01677242,-0.03047184,0.9961232
276824,0.0166681,0.178832996636629,1.001801,0.5601652,-0.6234819,0.08072397,0.01671031,-0.03043544,0.9961316
276826,0.0189314,0.19776439666748,1.001795,0.5601787,-0.6234896,0.08069783,0.01666767,-0.03043589,0.9961344
276830,0.0166687,0.214433096349239,1.001776,0.5602179,-0.6236079,0.08062688,0.01659052,-0.03041647,0.996142
276832,0.0166654,0.231098495423794,1.001765,0.5602322,-0.6236501,0.08061011,0.01657035,-0.03039644,0.9961444
276838,0.0166683,0.247766794636846,1.00173,0.5602552,-0.6237291,0.08057939,0.01652838,-0.03033659,0.9961494
276840,0.016666,0.264432795345783,1.001711,0.560254,-0.6237511,0.08054583,0.01649385,-0.03028054,0.9961544
276844,0.0166682,0.281100995838642,1.001649,0.5603276,-0.6237555,0.08046857,0.01638053,-0.0301302,0.996167
276846,0.0166651,0.297766095027328,1.001612,0.5603263,-0.6237631,0.080405,0.01629701,-0.03008382,0.9961749
276850,0.0166689,0.314434995874763,1.001538,0.5603902,-0.6237915,0.08032041,0.01607879,-0.03000187,0.9961877
276852,0.0166652,0.331100195646286,1.001491,0.5604027,-0.6238088,0.0802994,0.01600058,-0.02996041,0.996192
276856,0.016668,0.347768194973469,1.001446,0.5604032,-0.6238332,0.08032166,0.01587365,-0.02990956,0.9961937
276858,0.016667,0.364435194060206,1.001404,0.5603715,-0.6238603,0.0803462,0.01575555,-0.02980264,0.9961968
276862,0.0166668,0.381101993843913,1.001325,0.56036,-0.6239014,0.08035859,0.01562645,-0.02970345,0.9962008
276866,0.016667,0.397768992930651,1.001269,0.5603366,-0.6239137,0.08036277,0.01549707,-0.02959989,0.9962056
276870,0.0166677,0.414436692371964,1.001196,0.5603392,-0.6239249,0.08036958,0.01542203,-0.02949057,0.9962094
276874,0.0166666,0.43110329285264,1.001145,0.5603467,-0.6239712,0.0803488,0.0153318,-0.02936608,0.9962162
276878,0.0166664,0.44776969216764,1.001047,0.5603529,-0.6239606,0.08035348,0.01531581,-0.0292762,0.9962187
276880,0.016666,0.464435692876577,1.001014,0.5603713,-0.6239873,0.08036979,0.01531286,-0.02923261,0.9962187
276884,0.0166674,0.481103092432022,1.000919,0.5603894,-0.6240298,0.08031018,0.01525776,-0.02903577,0.9962301
276886,0.0166662,0.497769292443991,1.000858,0.5604159,-0.624029,0.08029902,0.01526664,-0.02889691,0.9962349
276890,0.0166681,0.514437392354012,1.000808,0.5604185,-0.6240793,0.08024011,0.01520599,-0.02876876,0.9962443
276896,0.0183999,0.532837292179465,1.000725,0.5604137,-0.624068,0.08023967,0.01507697,-0.02877598,0.9962461
276898,0.0180039,0.550841191783547,1.000689,0.5604118,-0.6240693,0.08026362,0.0150592,-0.02879719,0.9962438
276900,0.0166686,0.567509790882468,1.000654,0.5604299,-0.6240531,0.0803393,0.01503584,-0.02880559,0.9962378
276904,0.0166665,0.584176290780306,1.000569,0.5604489,-0.6240452,0.08043497,0.01492104,-0.02862897,0.9962369
276906,0.0166683,0.600844589993358,1.000534,0.5604714,-0.6240578,0.08043568,0.01486998,-0.02849157,0.9962416
276910,0.0166656,0.617510190233588,1.000447,0.5605251,-0.6240621,0.08035343,0.01470938,-0.02820702,0.9962587
276912,0.0166687,0.634178889915347,1.000414,0.5605459,-0.6240895,0.08027494,0.01455715,-0.02809583,0.9962704
276918,0.016668,0.65084688924253,1.000305,0.5605475,-0.6241182,0.080227,0.01431704,-0.02796332,0.9962814
276920,0.0166661,0.66751298867166,1.00025,0.5605481,-0.6241401,0.08021686,0.01419689,-0.02793996,0.9962847
276924,0.0166663,0.684179289266467,1.000157,0.5605637,-0.6241943,0.08021816,0.01401107,-0.02789376,0.9962885
276926,0.0166687,0.700847988948226,1.000139,0.5605378,-0.6242392,0.08017468,0.0138967,-0.02787961,0.996294
276930,0.0166662,0.717514188960195,1.000066,0.5605298,-0.6242899,0.08005869,0.0137329,-0.02779594,0.9963079
276932,0.016667,0.734181188046932,1.00003,0.5605496,-0.6242972,0.08001682,0.01369193,-0.02772315,0.9963139
276938,0.0166678,0.750848988071084,1.000008,0.5606025,-0.6243106,0.07989125,0.01362567,-0.02754834,0.9963297
276940,0.0166659,0.767514888197184,0.9999909,0.5605844,-0.6243382,0.07985047,0.01361733,-0.02752344,0.9963338
276944,0.0166674,0.784182287752628,0.9999554,0.5606151,-0.6243551,0.07989356,0.0136568,-0.02757387,0.9963284
276946,0.0166665,0.800848787650466,0.9999423,0.5606155,-0.6243746,0.07993535,0.01370771,-0.02759493,0.9963238
276950,0.0166667,0.817515486851335,0.9999236,0.5606515,-0.6244323,0.07988799,0.01372934,-0.02763767,0.9963261
276952,0.0166667,0.834182186052203,0.9999369,0.5606616,-0.624463,0.07981738,0.01373084,-0.02763908,0.9963316
276958,0.016667,0.850849185138941,0.9999579,0.5607128,-0.6245421,0.07965294,0.01373455,-0.02763916,0.9963447
276960,0.0166675,0.867516685277224,0.9999971,0.5607741,-0.6245646,0.07958212,0.01370231,-0.02766413,0.9963502
276964,0.0166668,0.88418348506093,1.000043,0.5607592,-0.6246186,0.07936536,0.01364842,-0.02777385,0.9963651
276966,0.0166675,0.900850985199213,1.000053,0.5607604,-0.6246583,0.079266,0.01363409,-0.02786886,0.9963706
276972,0.0166673,0.917518286034465,1.000071,0.5607942,-0.6247183,0.07909114,0.01363147,-0.02805763,0.9963793
276974,0.0166677,0.934185985475779,1.000079,0.5608189,-0.6247429,0.07899845,0.01363883,-0.02814607,0.996384
276978,0.0166658,0.95085178501904,1.000098,0.5608569,-0.6248212,0.07878883,0.01366198,-0.02828963,0.9963962
276980,0.0166662,0.967517985031009,1.000099,0.5608959,-0.6248363,0.07868276,0.01371942,-0.0283469,0.9964022
276984,0.0166676,0.98418558575213,1.000151,0.5609604,-0.6248499,0.07847402,0.01388598,-0.02840487,0.9964147
276988,0.0166654,1.00085098482668,1.00019,0.561009,-0.6248502,0.07837763,0.01394807,-0.02843764,0.9964204
276992,0.0166691,1.01752008497715,1.000238,0.5610294,-0.6248717,0.07821816,0.01407266,-0.02851862,0.9964289
276994,0.0166656,1.03418568521738,1.000252,0.5610486,-0.6248786,0.07814541,0.01414336,-0.02854401,0.996433
276998,0.0166672,1.05085288546979,1.000287,0.5610656,-0.6248738,0.07805755,0.01422252,-0.02859792,0.9964371
277000,0.0171885,1.06804138608277,1.000331,0.5610486,-0.6248981,0.07802126,0.01425488,-0.02861727,0.9964389
277006,0.0166705,1.08471188694239,1.000346,0.5610454,-0.6249068,0.07799903,0.01429183,-0.02860371,0.9964405
277008,0.018179,1.10289088636637,1.000357,0.5610371,-0.6249131,0.07797598,0.01432843,-0.02862306,0.9964413
277010,0.0166684,1.11955928616226,1.000379,0.561033,-0.6249282,0.07795594,0.01432969,-0.02868155,0.9964412
277014,0.0166684,1.13622768595815,1.000408,0.5610201,-0.6249138,0.07788857,0.01430663,-0.02880402,0.9964432
277016,0.0166658,1.15289348550141,1.000464,0.5609796,-0.624931,0.07783005,0.01422909,-0.02896908,0.9964441
277020,0.016667,1.16956048458815,1.000507,0.560992,-0.6248942,0.07779706,0.01415437,-0.02910827,0.9964437
277024,0.0166682,1.18622868508101,1.000551,0.5610094,-0.6248435,0.07777794,0.01409435,-0.02914467,0.9964449
277028,0.0166657,1.20289438590407,1.000632,0.5610095,-0.6248217,0.07781123,0.01404882,-0.02918194,0.9964419
277032,0.0166665,1.21956088580191,1.000719,0.5609649,-0.6248095,0.07788967,0.01412774,-0.02931837,0.9964307
277036,0.0168615,1.23642238602042,1.000787,0.5609335,-0.6247824,0.0779921,0.01431603,-0.0295213,0.9964139
277038,0.0178402,1.25426258519292,1.000834,0.5609232,-0.6247786,0.07803841,0.01444496,-0.02960844,0.9964059
277042,0.0166681,1.27093068510294,1.000923,0.5609721,-0.6247432,0.07812449,0.01476959,-0.0296769,0.9963924
277046,0.0201992,1.29112988524139,1.000972,0.5609788,-0.6247444,0.0781185,0.01490277,-0.02963252,0.9963922
277050,0.0166672,1.3077970854938,1.001006,0.5610346,-0.6247686,0.07801313,0.01514065,-0.02947945,0.9964014
277052,0.0199648,1.32776188477874,1.001011,0.5610366,-0.6247798,0.07792867,0.01520215,-0.02941352,0.996409
277058,0.0166671,1.34442898444831,1.001031,0.5610664,-0.6248349,0.07779294,0.01517039,-0.02946747,0.9964185
277060,0.0184643,1.3628932852298,1.00103,0.561071,-0.6248597,0.07772151,0.01508401,-0.02951749,0.9964239
277064,0.0166695,1.37956278584898,1.001019,0.5611132,-0.6249198,0.07764792,0.01488516,-0.02958777,0.9964305
277066,0.0171396,1.39670238643885,1.001017,0.5611138,-0.6249465,0.07760374,0.01479967,-0.02959285,0.9964351
277070,0.0166682,1.41337058693171,1.001033,0.5611372,-0.6249972,0.07748432,0.0146836,-0.02944992,0.9964504
277074,0.0175457,1.43091628700495,1.001026,0.5611497,-0.6250079,0.07744177,0.01467252,-0.02932657,0.9964575
277078,0.0166685,1.44758478738368,1.001044,0.5611953,-0.6250696,0.07729933,0.01475547,-0.0290481,0.9964755
277080,0.0169822,1.46456698700786,1.001063,0.5611989,-0.6250936,0.07724841,0.01482519,-0.02900396,0.9964797
277084,0.0166679,1.48123488761485,1.001081,0.5611924,-0.625163,0.07718634,0.01501246,-0.02904225,0.9964805
277086,0.016666,1.49790088832378,1.001125,0.5611988,-0.6251861,0.07717012,0.01512071,-0.02909574,0.9964786
277090,0.0166675,1.51456838846207,1.001182,0.5611826,-0.6252303,0.07708491,0.01533633,-0.02917469,0.9964796
277092,0.0166665,1.5312348883599,1.001214,0.5611952,-0.6252235,0.07704888,0.01542747,-0.02923195,0.9964793
277098,0.016668,1.54790288768709,1.001318,0.5612194,-0.6252342,0.07705259,0.01548888,-0.02940402,0.996473
277100,0.0166657,1.56456858851016,1.00136,0.5612097,-0.6252353,0.07707255,0.0155061,-0.02951189,0.996468
277104,0.0166676,1.58123618923128,1.001426,0.5611653,-0.6253119,0.07707731,0.01549305,-0.02968903,0.9964626
277106,0.0166662,1.59790238924325,1.001447,0.5611705,-0.6253064,0.07708032,0.01546441,-0.02979208,0.9964597
277112,0.0166687,1.614571088925,1.001459,0.5611785,-0.6252972,0.07705595,0.01548176,-0.02996569,0.9964561
277114,0.0167748,1.63134588859975,1.001469,0.5611966,-0.6253225,0.07701553,0.01552793,-0.03006044,0.9964557
277118,0.016668,1.64801388792694,1.001495,0.5612392,-0.6253477,0.07690189,0.01565105,-0.03014267,0.99646
277120,0.018427,1.66644088737667,1.001505,0.5612599,-0.6253637,0.07682738,0.01571139,-0.03017066,0.996464
277124,0.0166683,1.68310918658972,1.0015,0.56133,-0.6253894,0.07663667,0.01590162,-0.03015979,0.996476
277126,0.0166659,1.69977508671582,1.001498,0.5613515,-0.6254005,0.07655984,0.01599276,-0.03011358,0.9964818
