F,DT,T,LeapPos_X,LeapPos_Y,LeapPos_Z,LeapRot_X,LeapRot_Y,LeapRot_Z,LeapRot_W,Grab,Pinch,cmdPos_X,cmdPos_Y,cmdPos_Z,cmdRot_X,cmdRot_Y,cmdRot_Z,cmdRot_W
276792,0.0256328,0.0256328005343676,1.146693,0.2503974,-0.3118401,-0.4644827,0.3673293,-0.6990166,-0.4008751,0,0,0.3419217,0.1964714,0.2654991,0.98366,0.003832694,0.1103143,0.1422288
276798,0.0166683,0.0423010997474194,1.147025,0.2503387,-0.3120599,0.4635314,-0.3684639,0.6987872,0.4013348,0,0,0.3418401,0.1966925,0.2653974,0.9836684,0.003667407,0.1103622,0.1421377
276800,0.0190822,0.0613832995295525,1.147069,0.2502858,-0.3121915,-0.4632868,0.3688727,-0.6986079,-0.4015537,0,0,0.3420599,0.197025,0.2653387,0.9834497,0.004600089,0.1107552,0.143314
276804,0.0166674,0.0780506990849972,1.147274,0.250431,-0.312357,0.4628863,-0.3695481,0.6984521,0.4016655,0,0,0.3421914,0.1970691,0.2652858,0.9833596,0.00480257,0.1109271,0.1437919
276806,0.0174468,0.0954974982887506,1.147527,0.2503497,-0.312438,0.4626891,-0.3700165,0.6983227,0.4016865,0,0,0.342357,0.1972741,0.265431,0.9832356,0.005254133,0.1112984,0.1443361
276810,0.0166672,0.112164698541164,1.14769,0.250309,-0.3125344,0.4624886,-0.3705893,0.6980048,0.4019419,0,0,0.342438,0.1975269,0.2653497,0.9831508,0.005506316,0.111615,0.1446593
276812,0.0166667,0.128831397742033,1.147728,0.2502889,-0.3125479,0.4624012,-0.3709436,0.6979511,0.4018087,0,0,0.3425344,0.1976901,0.265309,0.983021,0.005658538,0.1119436,0.1452809
276818,0.016668,0.145499397069216,1.147687,0.2506008,-0.3124248,-0.4624459,0.3711481,-0.6977445,-0.4019272,0,0,0.3425479,0.1977283,0.2652889,0.9829685,0.005853989,0.1122647,0.1453799
276820,0.0166655,0.162164896726608,1.147605,0.2506886,-0.3124754,-0.4624387,0.371195,-0.697556,-0.4022194,0,0,0.3424248,0.1976873,0.2656007,0.9829131,0.005767765,0.1124298,0.1456304
276824,0.0166681,0.178832996636629,1.147516,0.2510329,-0.3124872,-0.4624532,0.370803,-0.6973962,-0.4028407,0,0,0.3424754,0.1976054,0.2656885,0.9828737,0.005638333,0.1123683,0.1459483
