F,DT,T,LeapPos_X,LeapPos_Y,LeapPos_Z,LeapRot_X,LeapRot_Y,LeapRot_Z,LeapRot_W,Grab,Pinch,cmdPos_X,cmdPos_Y,cmdPos_Z,cmdRot_X,cmdRot_Y,cmdRot_Z,cmdRot_W
419356,0.0215077,0.0215077009052038,1.054432,0.2174833,-0.4718851,-0.501243,0.3741945,-0.7253018,-0.2875261,0,0,0.5010551,0.1047644,0.2317118,0.9835588,0.014488,0.1755858,0.03964654
419358,0.0173806,0.0388883017003536,1.054212,0.2180155,-0.4721905,0.5007883,-0.3744204,0.725334,0.2879426,0,0,0.5018851,0.1044317,0.2324833,0.9835334,0.01410353,0.1758045,0.03944528
419362,0.0166681,0.0555564016103745,1.054048,0.2185455,-0.4725524,-0.5006455,0.3748299,-0.7251053,-0.288234,0,0,0.5021905,0.1042121,0.2330155,0.9835399,0.01446308,0.1756217,0.03996449
419366,0.016667,0.0722234006971121,1.054218,0.21898,-0.4729595,0.5006638,-0.3737142,0.7255344,0.2885711,0,0,0.5025524,0.1040481,0.2335455,0.983484,0.01454729,0.1758064,0.04049455
419370,0.0166659,0.0888893008232117,1.054176,0.219429,-0.4731068,-0.5006543,0.3729329,-0.7258918,-0.2886996,0,0,0.5029595,0.1042176,0.23398,0.983704,0.01427277,0.1746881,0.04008407
419372,0.0179746,0.106863901019096,1.054102,0.2194125,-0.473122,-0.4999986,0.3739251,-0.7253309,-0.2899596,0,0,0.5031068,0.1041757,0.234429,0.9838549,0.01414771,0.1739352,0.0396974
419376,0.0166697,0.1235336009413,1.054422,0.2192601,-0.4732167,0.4993492,-0.3742882,0.7254404,0.2903357,0,0,0.503122,0.1041024,0.2344125,0.983762,0.01447114,0.1740172,0.04148529
419380,0.0166643,0.140197901055217,1.054395,0.2190175,-0.4731024,-0.4990021,0.3751392,-0.7251148,-0.2906477,0,0,0.5032167,0.1044217,0.2342601,0.9837537,0.01507573,0.1738763,0.04205226
419384,0.0166679,0.156865801662207,1.054389,0.2188382,-0.4729411,0.496971,-0.3769532,0.7248136,0.292526,0,0,0.5031023,0.1043953,0.2340174,0.9836291,0.0154237,0.1743471,0.04288293
419386,0.0166658,0.173531601205468,1.054307,0.2188376,-0.4727449,-0.4964248,0.3768402,-0.7251006,-0.2928873,0,0,0.502941,0.1043888,0.2338382,0.9834897,0.01709766,0.1742497,0.04574721
419390,0.0166675,0.190199101343751,1.05459,0.2181455,-0.4722687,-0.4956909,0.3773711,-0.7250109,-0.2936676,0,0,0.5027449,0.1043071,0.2338376,0.9835604,0.01754206,0.1737401,0.04599594
419392,0.0166662,0.20686530135572,1.054661,0.2178765,-0.4720692,-0.4949515,0.3779149,-0.7249002,-0.2944879,0,0,0.5022687,0.10459,0.2331455,0.9835334,0.01809053,0.1735557,0.04704567
419396,0.0166678,0.223533101379871,1.054819,0.2171746,-0.4715294,-0.4941916,0.3784872,-0.7247458,-0.2954077,0,0,0.5020691,0.1046613,0.2328765,0.9835039,0.01862925,0.1733652,0.04814113
