F,DT,T,fps,Start,Hand,Grip,Tracked,Controlling
502848,0.030109,0.0301089994609356,33.21266,False,R,False,True,True
502852,0.0166665,0.0467754993587732,60.0006,False,R,False,True,True
502854,0.0166669,0.063442399725318,59.99916,False,R,False,True,True
502858,0.0166676,0.0801100004464388,59.99664,False,R,False,True,True
502860,0.0182672,0.0983771998435259,54.74293,False,R,False,True,True
502866,0.0166676,0.115044800564647,59.99664,False,R,False,True,True
502868,0.0166661,0.131710899993777,60.00204,False,R,False,True,True
502872,0.0166679,0.148378800600767,59.99556,False,R,False,True,True
502874,0.0181935,0.166572300717235,54.96468,False,R,False,True,True
502876,0.0166672,0.183239500969648,59.99808,False,R,False,True,True
502882,0.0166684,0.199907900765538,59.99376,False,R,False,True,True
502886,0.0166649,0.216572800651193,60.00636,False,R,False,True,True
502888,0.021948,0.238520801067352,45.56224,False,R,False,True,True
502892,0.0166684,0.255189200863242,59.99376,False,R,False,True,True
502896,0.0166655,0.271854700520635,60.0042,False,R,False,True,True
502900,0.0166694,0.28852410055697,59.99016,False,R,False,True,True
502902,0.0166649,0.305189000442624,60.00636,False,R,False,True,True
502906,0.0166689,0.321857901290059,59.99196,False,R,False,True,True
502908,0.0166645,0.338522400707006,60.0078,False,R,False,True,True
502912,0.0166681,0.355190500617027,59.99484,False,R,False,True,True
502916,0.0166659,0.371856400743127,60.00276,False,R,False,True,True
502920,0.0166694,0.388525800779462,59.99016,False,R,False,True,True
502922,0.0166643,0.405190100893378,60.00852,False,R,False,True,True
502926,0.016669,0.421859100461006,59.9916,False,R,False,True,True
502928,0.016665,0.438524100929499,60.006,False,R,False,True,True
502932,0.016668,0.455192100256681,59.9952,False,R,False,True,True
502934,0.0166659,0.471858000382781,60.00276,False,R,False,True,True
502940,0.0166703,0.488528300076723,59.98692,False,R,False,True,True
502942,0.0166641,0.505192400887609,60.00924,False,R,False,True,True
502946,0.0166675,0.521859901025891,59.997,False,R,False,True,True
502948,0.0166663,0.538526201620698,60.00132,False,R,False,True,True
502952,0.0166673,0.55519350245595,59.99772,False,R,False,True,True
502954,0.0166661,0.57185960188508,60.00204,False,R,False,True,True
502960,0.0166677,0.588527301326394,59.99628,False,R,False,True,True
502962,0.0166653,0.605192601680756,60.00492,False,R,False,True,True
502966,0.0166683,0.621860900893807,59.99412,False,R,False,True,True
502968,0.0166666,0.638527501374483,60.00024,False,R,False,True,True
502974,0.016668,0.655195500701666,59.9952,False,R,False,True,True
502976,0.016665,0.671860501170158,60.006,False,R,False,True,True
502980,0.0166686,0.688529100269079,59.99305,False,R,False,True,True
502982,0.0166654,0.705194499343634,60.00456,False,R,False,True,True
502986,0.0166681,0.721862599253654,59.99484,False,R,False,True,True
502988,0.0166656,0.738528199493885,60.00384,False,R,False,True,True
502994,0.0166692,0.755197400227189,59.99088,False,R,False,True,True
502996,0.0166645,0.771861899644136,60.0078,False,R,False,True,True
503000,0.0166687,0.788530599325895,59.99268,False,R,False,True,True
503002,0.0166658,0.805196398869157,60.00312,False,R,False,True,True
503006,0.0166677,0.821864098310471,59.99628,False,R,False,True,True
503008,0.0166655,0.838529597967863,60.0042,False,R,False,True,True
503014,0.0166724,0.855201998725533,59.97936,False,R,False,True,True
503016,0.0180957,0.873297698795795,55.26175,False,R,False,True,True
503020,0.0166684,0.889966098591685,59.99376,False,R,False,True,True
503022,0.0166662,0.906632298603654,60.00168,False,R,False,True,True
503026,0.0166695,0.923301799222827,59.9898,False,R,False,True,True
503028,0.0166639,0.939965698868036,60.00996,False,R,False,True,True
503032,0.0166682,0.956633899360895,59.99448,False,R,False,True,True
503036,0.0166662,0.973300099372864,60.00168,False,R,False,True,True
503040,0.0166682,0.989968299865723,59.99448,False,R,False,True,True
503042,0.0166654,1.00663369894028,60.00456,False,R,False,True,True
503046,0.0166681,1.0233017988503,59.99484,False,R,False,True,True
503048,0.0166659,1.0399676989764,60.00276,False,R,False,True,True
503054,0.0166683,1.05663599818945,59.99412,False,R,False,True,True
