F,DT,T,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ,HMDRotationW
53402,0.0271453,0.0271453000605106,0.915562,0.5635327,-0.6310225,0.05854977,0.02527806,-0.01297688,0.99788
53408,0.016668,0.0438132993876934,0.9154896,0.5635203,-0.6310858,0.05861447,0.02521051,-0.01281483,0.99788
53410,0.0166658,0.0604790989309549,0.9154497,0.5635245,-0.6311281,0.05863215,0.02519261,-0.01273542,0.9978805
53414,0.0166678,0.0771468989551067,0.915381,0.5635471,-0.6311907,0.0586688,0.02513327,-0.0126196,0.9978813
53416,0.0166666,0.0938134994357824,0.9153202,0.5635402,-0.6312426,0.05866836,0.02512507,-0.01255917,0.9978823
53420,0.0166676,0.110481100156903,0.9152313,0.5635474,-0.6312885,0.05864114,0.02510927,-0.01250668,0.9978849
53422,0.0166664,0.127147499471903,0.9152166,0.5635433,-0.6312686,0.05859224,0.02512294,-0.01252848,0.9978872
53426,0.0166669,0.143814399838448,0.9151667,0.5636039,-0.6312826,0.05845755,0.02516067,-0.01250326,0.9978945
53428,0.016667,0.160481398925185,0.9151311,0.5636346,-0.6312718,0.05834728,0.02519441,-0.01247187,0.9979005
53434,0.016667,0.177148398011923,0.9150563,0.5636759,-0.6312762,0.05814521,0.02527691,-0.0123707,0.9979115
53436,0.0166677,0.193816097453237,0.9150009,0.5636826,-0.6313046,0.05809363,0.02531779,-0.01232835,0.9979139
53440,0.0166665,0.210482597351074,0.9149668,0.5636802,-0.63134,0.0581037,0.02535116,-0.01230961,0.9979127
53442,0.0166673,0.227149898186326,0.9149473,0.5636908,-0.6313534,0.05814675,0.02533021,-0.01227112,0.9979112
53446,0.0166664,0.243816297501326,0.9148927,0.5637323,-0.6313707,0.05818412,0.02531258,-0.0121096,0.9979115
53450,0.0166669,0.26048319786787,0.9149056,0.5637318,-0.6313615,0.05817981,0.02529934,-0.01200602,0.9979133
53454,0.0166671,0.277150297537446,0.9148874,0.5637114,-0.6312891,0.05821473,0.02528644,-0.01182914,0.9979137
53456,0.0166668,0.293817097321153,0.9148899,0.5636974,-0.6312906,0.0582579,0.02529362,-0.01175423,0.9979119
53460,0.016667,0.31048409640789,0.9148676,0.563625,-0.631188,0.05840856,0.02530387,-0.01155605,0.9979051
53462,0.0166668,0.327150896191597,0.9148598,0.5635725,-0.6311603,0.05852471,0.02532212,-0.01144749,0.9978991
53466,0.0166669,0.343817796558142,0.9147751,0.5635877,-0.6310862,0.05876384,0.02535335,-0.01112849,0.9978879
53470,0.016667,0.360484795644879,0.9147238,0.563575,-0.6310929,0.05888474,0.0253755,-0.01088359,0.9978829
53474,0.0166668,0.377151595428586,0.914652,0.5635558,-0.6311063,0.05905884,0.02542565,-0.01038409,0.9978766
53476,0.0166672,0.393818795681,0.9146428,0.563539,-0.6311036,0.059119,0.02545796,-0.01016376,0.9978746
53480,0.016667,0.410485794767737,0.9145911,0.5635325,-0.6311512,0.05918916,0.02554893,-0.009639829,0.9978732
53482,0.0166664,0.427152194082737,0.9145552,0.5635127,-0.631142,0.05923036,0.02560582,-0.009423469,0.9978714
53486,0.016669,0.443821193650365,0.914484,0.5634943,-0.6311575,0.05931108,0.02575996,-0.008886214,0.9978676
53490,0.0166653,0.460486494004726,0.9144477,0.5634794,-0.6311632,0.05935231,0.02582402,-0.008508124,0.9978667
53494,0.0166671,0.477153593674302,0.9143904,0.5635034,-0.6311957,0.0594605,0.02605546,-0.007353747,0.9978635
53496,0.0166668,0.493820393458009,0.9143732,0.5635117,-0.6312171,0.05948187,0.02616443,-0.006436862,0.9978657
53500,0.0167917,0.510612092912197,0.9143314,0.5635232,-0.6312687,0.05941274,0.02638691,-0.003492513,0.9978786
53502,0.0166668,0.527278892695904,0.9142964,0.5635426,-0.6313273,0.05929227,0.02650872,-0.001628851,0.9978873
53508,0.0166665,0.543945392593741,0.9141514,0.5636578,-0.6313408,0.05895709,0.02683295,0.002482551,0.9978967
53510,0.0166673,0.560612693428993,0.9140396,0.5637357,-0.6313192,0.05876846,0.02700511,0.004862173,0.9978945
53514,0.016667,0.577279692515731,0.9137445,0.5638514,-0.6313272,0.05860328,0.02739302,0.00933968,0.9978617
53516,0.0166677,0.593947391957045,0.9135719,0.5638908,-0.6313376,0.05859786,0.02757873,0.01164276,0.9978328
53520,0.016666,0.610613392665982,0.913174,0.5640115,-0.6312928,0.05863138,0.02791201,0.01614226,0.9977589
53522,0.0166676,0.627280993387103,0.9129763,0.5640486,-0.6313138,0.05866464,0.02812223,0.01862024,0.9977078
53526,0.0166674,0.643948392942548,0.9124834,0.5640667,-0.6313352,0.05880018,0.02841115,0.02296473,0.9976011
53530,0.0166688,0.660617193207145,0.9122515,0.5640998,-0.6313428,0.05893141,0.02855792,0.025278,0.9975333
53534,0.016665,0.677282193675637,0.911684,0.5640962,-0.6313184,0.05923389,0.02883617,0.02917497,0.997401
53536,0.0166672,0.693949393928051,0.9114037,0.5640665,-0.631314,0.05936568,0.02893193,0.03088912,0.9973388
53540,0.0166668,0.710616193711758,0.9108403,0.5640604,-0.6312733,0.05963223,0.02908983,0.03385525,0.9972219
53542,0.0166688,0.727284993976355,0.9105443,0.5640609,-0.6312288,0.05976752,0.02915952,0.03531078,0.9971613
53546,0.0166655,0.743950493633747,0.9099894,0.5640779,-0.6311363,0.059996,0.02920837,0.03792012,0.9970503
53550,0.0166661,0.760616593062878,0.9097052,0.5640561,-0.6310784,0.06013145,0.02920832,0.03904022,0.996999
53554,0.0166672,0.777283793315291,0.9091609,0.5640234,-0.6309949,0.06040093,0.0291684,0.04100753,0.9969049
53556,0.0166662,0.79394999332726,0.9089138,0.5640317,-0.6309764,0.06056634,0.02909939,0.04199559,0.9968557
53560,0.0166681,0.810618093237281,0.9084229,0.5640161,-0.6308649,0.06087601,0.02901754,0.04357537,0.9967715
53562,0.016668,0.827286092564464,0.9081808,0.5640088,-0.6308033,0.06103343,0.02897886,0.04422225,0.9967344
53566,0.0166667,0.843952791765332,0.9077443,0.563985,-0.6306813,0.06132272,0.02885286,0.04566383,0.9966553
53570,0.0166662,0.860618991777301,0.907532,0.5639334,-0.6306157,0.06141143,0.02880859,0.04620775,0.9966261
53574,0.0167471,0.877366092056036,0.907074,0.5638861,-0.6304837,0.06165406,0.02874972,0.04739828,0.9965569
53580,0.0253139,0.902679992839694,0.9065106,0.5638334,-0.6303018,0.06206651,0.02873725,0.04858425,0.9964746
53582,0.0208152,0.923495192080736,0.9063254,0.563814,-0.6302301,0.06224528,0.02873481,0.04885394,0.9964503
53586,0.0166693,0.940164491534233,0.9059719,0.5637324,-0.6301081,0.06271295,0.02872051,0.04930421,0.9963992
53588,0.016667,0.956831490620971,0.9058082,0.563692,-0.6300677,0.06301741,0.02871602,0.04950329,0.9963703
53592,0.0166666,0.973498091101646,0.9054891,0.5636327,-0.6300069,0.06354102,0.02874127,0.0498524,0.9963189
53596,0.0170027,0.99050079099834,0.9052131,0.5635571,-0.6299314,0.06404041,0.02886463,0.05006396,0.9962727
53598,0.0206399,1.01114069111645,0.9050748,0.5635051,-0.6299053,0.06426382,0.02894138,0.05011543,0.9962535
