F,DT,T,Pos_X,Pos_Y,Pos_Z,Rot_X,Rot_Y,Rot_Z,Rot_W,Grip_pos,Grip_vel,Grip_eff
0,0.0166671,0.0166670996695757,-0.005354227,0.5999465,0.4922706,-0.01428537,0.02611935,0.9990461,-0.03194731,0.0398865900933743,0,0
0,0.0166663,0.0333334002643824,-0.005354227,0.5999465,0.4922706,-0.01428537,0.02611935,0.9990461,-0.03194731,0.0398865900933743,0,0
0,0.0166678,0.0500012002885342,-0.005353076,0.5999462,0.49227,-0.01427914,0.02611979,0.9990461,-0.03194922,0.0398865900933743,0,0
0,0.0166663,0.0666675008833408,-0.005353076,0.5999462,0.49227,-0.01427914,0.02611979,0.9990461,-0.03194922,0.0398865900933743,0,0
0,0.0166666,0.0833341013640165,-0.005353076,0.5999462,0.49227,-0.01427914,0.02611979,0.9990461,-0.03194922,0.0398865900933743,0,0
0,0.0166675,0.100001601502299,-0.005356536,0.5999476,0.4922694,-0.01428248,0.02612032,0.9990461,-0.03194704,0.0398865900933743,0,0
0,0.0166665,0.116668101400137,-0.005352333,0.5999448,0.492271,-0.01427628,0.02611812,0.9990462,-0.03194934,0.0398865900933743,0,0
0,0.0166669,0.133335001766682,-0.005352333,0.5999448,0.492271,-0.01427628,0.02611812,0.9990462,-0.03194934,0.0398865900933743,0,0
0,0.0166669,0.150001902133226,-0.00535128,0.5999443,0.4922705,-0.01427321,0.02611719,0.9990463,-0.03194867,0.0398865900933743,0,0
0,0.0166677,0.16666960157454,-0.00535128,0.5999443,0.4922705,-0.01427321,0.02611719,0.9990463,-0.03194867,0.0398859344422817,0,0
0,0.0166662,0.183335801586509,-0.00535128,0.5999443,0.4922705,-0.01427321,0.02611719,0.9990463,-0.03194867,0.0398859344422817,0,0
0,0.0166701,0.20000590197742,-0.005354621,0.5999441,0.4922709,-0.01427413,0.02611763,0.9990463,-0.03194741,0.0398859344422817,0,0
0,0.0166664,0.216672301292419,-0.005354621,0.5999441,0.4922709,-0.01427413,0.02611763,0.9990463,-0.03194741,0.0398859344422817,0,0
0,0.0166671,0.233339400961995,-0.005354621,0.5999441,0.4922709,-0.01427413,0.02611763,0.9990463,-0.03194741,0.0398859344422817,0,0
0,0.0166668,0.250006200745702,-0.005354747,0.5999451,0.492272,-0.01427592,0.02612003,0.9990461,-0.03194904,0.0398859344422817,0,0
0,0.0166681,0.266674300655723,-0.005354747,0.5999451,0.492272,-0.01427592,0.02612003,0.9990461,-0.03194904,0.0398865900933743,0,0
0,0.0166662,0.283340500667691,-0.005354745,0.5999464,0.4922699,-0.0142721,0.02611938,0.9990462,-0.03194931,0.0398865900933743,0,0
0,0.016667,0.300007499754429,-0.005354745,0.5999464,0.4922699,-0.0142721,0.02611938,0.9990462,-0.03194931,0.0398865900933743,0,0
0,0.0166667,0.316674198955297,-0.005354745,0.5999464,0.4922699,-0.0142721,0.02611938,0.9990462,-0.03194931,0.0398865900933743,0,0
0,0.0166666,0.333340799435973,-0.005352426,0.5999418,0.4922712,-0.01426769,0.026115,0.9990464,-0.03194759,0.0398865900933743,0,0
0,0.016667,0.350007798522711,-0.005351968,0.5999461,0.4922706,-0.01426854,0.02611975,0.9990463,-0.03194848,0.0398865900933743,0,0
0,0.0166678,0.366675598546863,-0.005351968,0.5999461,0.4922706,-0.01426854,0.02611975,0.9990463,-0.03194848,0.0398865900933743,0,0
0,0.0166658,0.383341398090124,-0.005355513,0.5999447,0.4922704,-0.01426712,0.02611803,0.9990464,-0.0319469,0.0398865900933743,0,0
0,0.0166682,0.400009598582983,-0.005355513,0.5999447,0.4922704,-0.01426712,0.02611803,0.9990464,-0.0319469,0.0398865900933743,0,0
0,0.016666,0.416675599291921,-0.005355513,0.5999447,0.4922704,-0.01426712,0.02611803,0.9990464,-0.0319469,0.0398865900933743,0,0
0,0.0166676,0.433343200013042,-0.005355323,0.5999447,0.4922702,-0.01426638,0.02611903,0.9990463,-0.03194791,0.0398865900933743,0,0
