F,DT,T,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
19538,0.0304724,0.0304723996669054,-1.067923,0.657966,-0.3770328,23.00748,254.8604,351.2319
19542,0.0166688,0.0471411999315023,-1.070422,0.6577744,-0.3815795,23.10637,253.667,350.8661
19544,0.0166679,0.0638091005384922,-1.071544,0.6578275,-0.3838445,23.16756,253.0127,350.7195
19548,0.0166653,0.0804744008928537,-1.074297,0.6586359,-0.3901554,23.33646,251.7452,350.5879
19550,0.0166667,0.0971411000937223,-1.075901,0.6593396,-0.3942185,23.47515,250.915,350.546
19554,0.0166667,0.113807799294591,-1.078817,0.6608862,-0.4017719,23.82115,249.2671,350.4379
19558,0.0166695,0.130477299913764,-1.080404,0.661836,-0.4058303,24.02504,248.4683,350.4031
19562,0.0166677,0.147144999355078,-1.084142,0.6641024,-0.4155983,24.48025,246.8747,350.327
19564,0.0166643,0.163809299468994,-1.085871,0.6650469,-0.4198775,24.71723,246.0491,350.252
19568,0.0166669,0.180476199835539,-1.090084,0.6671968,-0.4306695,25.32062,244.3514,350.2044
19570,0.0166674,0.197143599390984,-1.092579,0.6682457,-0.4369289,25.66667,243.5288,350.2025
19574,0.0166673,0.213810900226235,-1.097718,0.6698222,-0.4494398,26.47984,241.9266,350.1529
19578,0.0166661,0.230476999655366,-1.100421,0.6702876,-0.4558638,27.04424,241.1025,350.1567
19582,0.0166676,0.247144600376487,-1.10645,0.6705815,-0.4693615,28.44063,239.6254,350.1976
19584,0.0166664,0.263810999691486,-1.109781,0.6704854,-0.4763227,29.2205,238.9869,350.2461
19588,0.016667,0.280477998778224,-1.117332,0.6702684,-0.4913194,30.74732,237.9348,350.4916
19590,0.0166666,0.2971445992589,-1.121514,0.6702213,-0.499151,31.5599,237.42,350.6715
19594,0.0166669,0.313811499625444,-1.130858,0.6704429,-0.5158531,32.93126,236.6118,351.1436
19598,0.0166665,0.330477999523282,-1.136431,0.6709162,-0.5256382,33.49813,236.3284,351.4285
19602,0.0166683,0.347146298736334,-1.149167,0.6744711,-0.5512318,34.4957,235.9581,352.0909
19604,0.0166663,0.363812599331141,-1.154892,0.6753694,-0.5611761,34.93289,235.8315,352.4944
19608,0.0166668,0.380479399114847,-1.167371,0.6783216,-0.5828081,35.59985,235.756,353.3616
19610,0.0166664,0.397145798429847,-1.173683,0.679786,-0.5938188,35.86379,235.8002,353.7996
19616,0.0166674,0.413813197985291,-1.187481,0.6834224,-0.6178673,36.25332,236.0119,354.6018
19618,0.016667,0.430480197072029,-1.194063,0.685298,-0.6294615,36.41557,236.1771,355.0481
19622,0.0166677,0.447147896513343,-1.208345,0.6896495,-0.654573,36.6069,236.5736,355.7982
19624,0.0166662,0.463814096525311,-1.215562,0.6918867,-0.6670693,36.66099,236.7625,356.0238
19628,0.016667,0.480481095612049,-1.231395,0.6971561,-0.6942698,36.78103,237.2703,356.3888
19630,0.0166666,0.497147696092725,-1.239498,0.6997259,-0.7079643,36.85896,237.5063,356.441
19636,0.016667,0.513814695179462,-1.256218,0.7046487,-0.7360604,37.11627,237.9222,356.3695
19638,0.0166667,0.530481394380331,-1.264525,0.7068297,-0.7499309,37.33676,238.14,356.2542
19642,0.0166673,0.547148695215583,-1.282246,0.7109467,-0.7787741,37.92724,238.5365,355.9724
19644,0.0166677,0.563816394656897,-1.291279,0.7127296,-0.7931641,38.30722,238.722,355.8549
19648,0.0166661,0.580482494086027,-1.309837,0.716142,-0.8219891,38.96894,239.0764,355.6618
19650,0.0166669,0.597149394452572,-1.319879,0.7176781,-0.8370199,39.20441,239.2596,355.4961
19656,0.0166671,0.613816494122148,-1.338864,0.7205203,-0.8636829,39.70902,239.7123,354.9369
19658,0.0166665,0.630482994019985,-1.348537,0.7217764,-0.8772714,39.90524,239.9796,354.7396
19662,0.0166688,0.647151794284582,-1.368039,0.7243854,-0.9028814,40.23366,240.6681,354.5507
19664,0.0166656,0.663817394524813,-1.377853,0.7255841,-0.9154702,40.30431,241.0702,354.5327
19668,0.0166717,0.680489094927907,-1.39767,0.7274264,-0.9397697,40.19338,241.9034,354.4745
19670,0.016666,0.697155095636845,-1.407764,0.7282799,-0.9515961,40.08892,242.3463,354.5271
19676,0.0166667,0.713821794837713,-1.428193,0.729636,-0.9744003,39.9306,243.1398,354.7882
19678,0.0166666,0.730488395318389,-1.438674,0.7301121,-0.9853779,39.91932,243.4674,354.9062
19682,0.0166672,0.747155595570803,-1.4587,0.7307146,-1.005457,40.09375,244.0832,354.9205
19684,0.016667,0.76382259465754,-1.468874,0.7308507,-1.015079,40.25241,244.3682,354.8652
19688,0.0170977,0.78092029504478,-1.488493,0.7311808,-1.032614,40.70042,245.0503,354.731
19690,0.0166667,0.797586994245648,-1.498212,0.7312124,-1.040663,40.98376,245.4706,354.6281
19696,0.0166667,0.814253693446517,-1.51894,0.7313513,-1.056578,41.49736,246.2849,354.3519
19698,0.0166671,0.830920793116093,-1.52885,0.7315059,-1.06372,41.72052,246.754,354.1921
19702,0.0166672,0.847587993368506,-1.548293,0.7323058,-1.078095,42.12746,247.9061,353.916
19704,0.0166665,0.864254493266344,-1.558352,0.732601,-1.084263,42.26945,248.4621,353.7878
19708,0.0166673,0.880921794101596,-1.5788,0.7332193,-1.096021,42.41814,249.6571,353.5148
19710,0.0166664,0.897588193416595,-1.58873,0.7335817,-1.101127,42.40469,250.3078,353.3499
19716,0.0166669,0.91425509378314,-1.609634,0.7342848,-1.110869,42.2597,251.5999,353.0387
19718,0.0166665,0.930921593680978,-1.619446,0.7345344,-1.114985,42.16079,252.2155,352.9129
19722,0.016668,0.947589593008161,-1.639107,0.734584,-1.123427,41.89608,253.6335,352.6821
19724,0.0166663,0.964255893602967,-1.649479,0.7342257,-1.127219,41.73641,254.427,352.5801
19728,0.0166666,0.980922494083643,-1.67088,0.7337164,-1.133985,41.42181,255.8977,352.4368
19730,0.0166686,0.997591093182564,-1.681276,0.733156,-1.136799,41.24574,256.7122,352.397
19734,0.0166664,1.01425749249756,-1.703824,0.7313546,-1.142119,40.9257,258.2592,352.3433
19738,0.0166669,1.03092439286411,-1.714032,0.730292,-1.144179,40.74949,259.0608,352.2936
19742,0.0166667,1.04759109206498,-1.737838,0.7271765,-1.147967,40.33469,260.6786,352.2306
19744,0.0166669,1.06425799243152,-1.750004,0.7254038,-1.149941,40.08464,261.5613,352.2803
19748,0.0166667,1.08092469163239,-1.773373,0.7213299,-1.153308,39.54377,263.327,352.5731
19750,0.0166666,1.09759129211307,-1.786005,0.7186456,-1.155365,39.26974,264.3113,352.8346
19754,0.0166688,1.11426009237766,-1.811271,0.7128065,-1.159395,38.84761,266.3163,353.4893
19758,0.0166676,1.13092769309878,-1.824881,0.7095909,-1.16155,38.70139,267.1583,353.7566
19762,0.0166671,1.14759479276836,-1.850971,0.7030185,-1.166096,38.17281,268.9678,354.1127
19764,0.016667,1.1642617918551,-1.864916,0.6991348,-1.168425,37.73145,270.0544,354.1769
19768,0.0166664,1.1809281911701,-1.891414,0.6909295,-1.172505,36.87722,272.2718,354.2671
19770,0.0166671,1.19759529083967,-1.904434,0.6875419,-1.173787,36.5702,273.3717,354.3542
19776,0.0166676,1.21426289156079,-1.928905,0.6800771,-1.175504,36.35643,275.5717,354.437
19776,0.0166658,1.23092869110405,-1.939778,0.6767222,-1.17601,36.44487,276.6716,354.5217
19782,0.0166676,1.24759629182518,-1.961192,0.6712188,-1.175681,36.71252,278.8997,354.9785
19784,0.016667,1.26426329091191,-1.970679,0.6693928,-1.17497,36.83911,279.9732,355.2446
19788,0.0166667,1.28092999011278,-1.988648,0.6668584,-1.17228,37.11858,282.0892,355.5191
19790,0.016667,1.29759698919952,-1.996588,0.6666308,-1.170457,37.25327,283.2397,355.6911
19794,0.0166678,1.31426478922367,-2.009766,0.6678866,-1.165716,37.48543,285.502,356.2978
19798,0.0166668,1.33093158900738,-2.016052,0.6692552,-1.162694,37.61805,286.582,356.6345
19802,0.0166671,1.34759868867695,-2.025435,0.6734431,-1.156816,37.92381,288.7899,357.2671
19804,0.0166667,1.36426538787782,-2.029232,0.6762982,-1.153671,38.08813,290.0583,357.64
19808,0.0166667,1.38093208707869,-2.034876,0.6820485,-1.14758,38.42667,292.3404,358.3963
19810,0.0166672,1.3975992873311,-2.036798,0.6848683,-1.144758,38.55399,293.5229,358.777
19814,0.0166669,1.41426618769765,-2.039831,0.690797,-1.138903,38.83554,296.0169,359.3612
19818,0.0166669,1.43093308806419,-2.040674,0.6935018,-1.136204,38.94242,297.2306,359.5697
19822,0.0166673,1.44760038889945,-2.040663,0.6981601,-1.131352,39.02119,299.6538,359.9108
19824,0.0166665,1.46426688879728,-2.040725,0.700073,-1.129414,39.02636,300.8032,359.9873
19828,0.016667,1.48093388788402,-2.039613,0.7030919,-1.12593,38.98716,303.4283,359.8089
19830,0.0166674,1.49760128743947,-2.038625,0.7039464,-1.124471,38.92109,304.8874,359.5909
19834,0.0176413,1.51524258777499,-2.036339,0.7050321,-1.122434,38.50777,307.9064,359.1496
19838,0.0166662,1.53190878778696,-2.034993,0.7050121,-1.121842,38.13759,309.4502,358.9579
19842,0.0166692,1.54857798852026,-2.031997,0.7035927,-1.121101,37.13617,312.6959,358.652
19844,0.0166662,1.56524418853223,-2.030406,0.7023652,-1.121146,36.62038,314.1624,358.5344
19848,0.0166674,1.58191158808768,-2.02723,0.6979077,-1.12199,35.38247,317.4793,358.2934
19850,0.0166661,1.59857768751681,-2.025569,0.6951415,-1.12272,34.7802,319.0911,358.2278
19856,0.0166677,1.61524538695812,-2.022229,0.6873496,-1.124917,33.62566,322.3725,358.1851
19858,0.0166665,1.63191188685596,-2.020561,0.6825002,-1.126626,33.11886,324.0099,358.1509
19862,0.0166705,1.64858238771558,-2.01739,0.6710288,-1.13076,32.35918,326.858,357.9684
