F,DT,T,LPos_X,LPos_Y,LPos_Z,LRot_X,LRot_Y,LRot_Z,LRot_W,LGrab,LPinch,RPos_X,RPos_Y,RPos_Z,RRot_X,RRot_Y,RRot_Z,RRot_W,RGrab,RPinch
19538,0.0304724,0.0304723996669054,0.8211299,0.4241651,-0.1329591,-0.7164425,0.1085855,0.6799549,-0.1121646,0,0,1.07887,0.4241651,-0.1329591,0.7164425,0.1085855,0.6799549,0.1121646,0,0
19542,0.0166688,0.0471411999315023,0.8211299,0.4241651,-0.1329591,-0.7164425,0.1085855,0.6799549,-0.1121646,0,0,1.07887,0.4241651,-0.1329591,0.7164425,0.1085855,0.6799549,0.1121646,0,0
19544,0.0166679,0.0638091005384922,0.8211299,0.4241651,-0.1329591,-0.7164425,0.1085855,0.6799549,-0.1121646,0,0,1.07887,0.4241651,-0.1329591,0.7164425,0.1085855,0.6799549,0.1121646,0,0
19548,0.0166653,0.0804744008928537,0.8211299,0.4241651,-0.1329591,-0.7164425,0.1085855,0.6799549,-0.1121646,0,0,1.07887,0.4241651,-0.1329591,0.7164425,0.1085855,0.6799549,0.1121646,0,0
19550,0.0166667,0.0971411000937223,0.8211299,0.4241651,-0.1329591,-0.7164425,0.1085855,0.6799549,-0.1121646,0,0,1.07887,0.4241651,-0.1329591,0.7164425,0.1085855,0.6799549,0.1121646,0,0
19554,0.0166667,0.113807799294591,0.8211299,0.4241651,-0.1329591,-0.7164425,0.1085855,0.6799549,-0.1121646,0,0,1.07887,0.4241651,-0.1329591,0.7164425,0.1085855,0.6799549,0.1121646,0,0
19558,0.0166695,0.130477299913764,0.8211299,0.4241651,-0.1329591,-0.7164425,0.1085855,0.6799549,-0.1121646,0,0,1.07887,0.4241651,-0.1329591,0.7164425,0.1085855,0.6799549,0.1121646,0,0
19562,0.0166677,0.147144999355078,0.8211299,0.4241651,-0.1329591,-0.7164425,0.1085855,0.6799549,-0.1121646,0,0,1.07887,0.4241651,-0.1329591,0.7164425,0.1085855,0.6799549,0.1121646,0,0
19564,0.0166643,0.163809299468994,0.8211299,0.4241651,-0.1329591,-0.7164425,0.1085855,0.6799549,-0.1121646,0,0,1.07887,0.4241651,-0.1329591,0.7164425,0.1085855,0.6799549,0.1121646,0,0
19568,0.0166669,0.180476199835539,0.8211299,0.4241651,-0.1329591,-0.7164425,0.1085855,0.6799549,-0.1121646,0,0,1.07887,0.4241651,-0.1329591,0.7164425,0.1085855,0.6799549,0.1121646,0,0
19570,0.0166674,0.197143599390984,0.8211299,0.4241651,-0.1329591,-0.7164425,0.1085855,0.6799549,-0.1121646,0,0,1.07887,0.4241651,-0.1329591,0.7164425,0.1085855,0.6799549,0.1121646,0,0
19574,0.0166673,0.213810900226235,0.8211299,0.4241651,-0.1329591,-0.7164425,0.1085855,0.6799549,-0.1121646,0,0,1.07887,0.4241651,-0.1329591,0.7164425,0.1085855,0.6799549,0.1121646,0,0
19578,0.0166661,0.230476999655366,0.8211299,0.4241651,-0.1329591,-0.7164425,0.1085855,0.6799549,-0.1121646,0,0,1.07887,0.4241651,-0.1329591,0.7164425,0.1085855,0.6799549,0.1121646,0,0
19582,0.0166676,0.247144600376487,0.8211299,0.4241651,-0.1329591,-0.7164425,0.1085855,0.6799549,-0.1121646,0,0,1.07887,0.4241651,-0.1329591,0.7164425,0.1085855,0.6799549,0.1121646,0,0
19584,0.0166664,0.263810999691486,0.8211299,0.4241651,-0.1329591,-0.7164425,0.1085855,0.6799549,-0.1121646,0,0,1.07887,0.4241651,-0.1329591,0.7164425,0.1085855,0.6799549,0.1121646,0,0
19588,0.016667,0.280477998778224,0.8211299,0.4241651,-0.1329591,-0.7164425,0.1085855,0.6799549,-0.1121646,0,0,1.07887,0.4241651,-0.1329591,0.7164425,0.1085855,0.6799549,0.1121646,0,0
19590,0.0166666,0.2971445992589,0.8211299,0.4241651,-0.1329591,-0.7164425,0.1085855,0.6799549,-0.1121646,0,0,1.07887,0.4241651,-0.1329591,0.7164425,0.1085855,0.6799549,0.1121646,0,0
19594,0.0166669,0.313811499625444,0.8211299,0.4241651,-0.1329591,-0.7164425,0.1085855,0.6799549,-0.1121646,0,0,1.07887,0.4241651,-0.1329591,0.7164425,0.1085855,0.6799549,0.1121646,0,0
19598,0.0166665,0.330477999523282,0.8211299,0.4241651,-0.1329591,-0.7164425,0.1085855,0.6799549,-0.1121646,0,0,1.07887,0.4241651,-0.1329591,0.7164425,0.1085855,0.6799549,0.1121646,0,0
