F,DT,T,Pos_X,Pos_Y,Pos_Z,Rot_X,Rot_Y,Rot_Z,Rot_W,Grip_pos,Grip_vel,Grip_eff
134526,0.0168766,0.0168766006827354,-0.007971558,0.5989533,0.4882745,-0.001314545,0.0352992,0.9987047,-0.03662104,0.0398721434175968,0,0
134528,0.0166668,0.0335434004664421,-0.007971558,0.5989533,0.4882745,-0.001314545,0.0352992,0.9987047,-0.03662104,0.0398721434175968,0,0
134532,0.016668,0.0502113997936249,-0.00797313,0.5989531,0.4882758,-0.001315304,0.03529707,0.9987048,-0.03662133,0.0398721434175968,0,0
134534,0.0213675,0.0715788993984461,-0.00797313,0.5989531,0.4882758,-0.001315304,0.03529707,0.9987048,-0.03662133,0.0398721434175968,0,0
134540,0.0166667,0.0882455985993147,-0.007973522,0.5989558,0.4882752,-0.001314572,0.03530075,0.9987047,-0.03662102,0.0398721434175968,0,0
134542,0.0177213,0.105966897681355,-0.007973522,0.5989558,0.4882752,-0.001314572,0.03530075,0.9987047,-0.03662102,0.0398721434175968,0,0
134546,0.0166682,0.122635098174214,-0.007973522,0.5989558,0.4882752,-0.001314572,0.03530075,0.9987047,-0.03662102,0.0398721434175968,0,0
134552,0.0166667,0.139301797375083,-0.007973231,0.5989552,0.4882752,-0.001313354,0.03530071,0.9987047,-0.03662136,0.0398727990686893,0,0
134554,0.0198737,0.159175496548414,-0.007973231,0.5989552,0.4882752,-0.001313354,0.03530071,0.9987047,-0.03662136,0.0398727990686893,0,0
134558,0.0166684,0.175843896344304,-0.007973231,0.5989552,0.4882752,-0.001313354,0.03530071,0.9987047,-0.03662136,0.0398727990686893,0,0
134560,0.016666,0.192509897053242,-0.007971439,0.5989544,0.4882744,-0.001312542,0.03529873,0.9987047,-0.03662156,0.0398727990686893,0,0
134564,0.0168933,0.20940319634974,-0.007971439,0.5989544,0.4882744,-0.001312542,0.03529873,0.9987047,-0.03662156,0.0398727990686893,0,0
134566,0.0174271,0.226830296218395,-0.007971439,0.5989544,0.4882744,-0.001312542,0.03529873,0.9987047,-0.03662156,0.0398727990686893,0,0
134568,0.0166676,0.243497896939516,-0.007971439,0.5989544,0.4882744,-0.001312542,0.03529873,0.9987047,-0.03662156,0.0398727990686893,0,0
134574,0.0166705,0.260168397799134,-0.007970313,0.5989555,0.4882753,-0.001313535,0.0353005,0.9987047,-0.03662196,0.0398727990686893,0,0
134576,0.016663,0.276831397786736,-0.007970313,0.5989555,0.4882753,-0.001313535,0.0353005,0.9987047,-0.03662196,0.0398727990686893,0,0
134580,0.0166675,0.293498897925019,-0.007971233,0.5989561,0.4882751,-0.00131395,0.03530001,0.9987047,-0.03662106,0.0398727990686893,0,0
134582,0.0166662,0.310165097936988,-0.007971233,0.5989561,0.4882751,-0.00131395,0.03530001,0.9987047,-0.03662106,0.0398727990686893,0,0
134586,0.0166676,0.326832698658109,-0.007974087,0.5989544,0.4882751,-0.00131467,0.03529889,0.9987047,-0.03662155,0.0398727990686893,0,0
134590,0.0166677,0.343500398099422,-0.007974087,0.5989544,0.4882751,-0.00131467,0.03529889,0.9987047,-0.03662155,0.0398727990686893,0,0
134594,0.0166711,0.360171498730779,-0.007974087,0.5989544,0.4882751,-0.00131467,0.03529889,0.9987047,-0.03662155,0.0398727990686893,0,0
134596,0.0166615,0.376832999289036,-0.007973082,0.5989528,0.4882754,-0.00131547,0.03529701,0.9987048,-0.03662169,0.0398727990686893,0,0
134600,0.0166677,0.39350069873035,-0.007974022,0.5989549,0.4882749,-0.001317343,0.03529933,0.9987047,-0.03662146,0.0398727990686893,0,0
134604,0.0166662,0.410166898742318,-0.007974022,0.5989549,0.4882749,-0.001317343,0.03529933,0.9987047,-0.03662146,0.0398727990686893,0,0
134606,0.0182749,0.428441798314452,-0.007974022,0.5989549,0.4882749,-0.001317343,0.03529933,0.9987047,-0.03662146,0.0398727990686893,0,0
134610,0.0166682,0.445109998807311,-0.00797181,0.5989527,0.4882759,-0.001314885,0.03529834,0.9987048,-0.03662073,0.0398721434175968,0,0
134614,0.0174666,0.462576597929001,-0.00797181,0.5989527,0.4882759,-0.001314885,0.03529834,0.9987048,-0.03662073,0.0398721434175968,0,0
134618,0.0166692,0.479245798662305,-0.007972315,0.5989537,0.4882757,-0.001313539,0.03529774,0.9987048,-0.03662076,0.0398721434175968,0,0
134620,0.016665,0.495910799130797,-0.007972315,0.5989537,0.4882757,-0.001313539,0.03529774,0.9987048,-0.03662076,0.0398721434175968,0,0
134624,0.0166684,0.512579198926687,-0.007971148,0.598952,0.4882776,-0.001313302,0.0352974,0.9987048,-0.03662054,0.0398721434175968,0,0
134626,0.0166658,0.529244998469949,-0.007971148,0.598952,0.4882776,-0.001313302,0.0352974,0.9987048,-0.03662054,0.0398721434175968,0,0
134632,0.0166683,0.545913297683001,-0.007971148,0.598952,0.4882776,-0.001313302,0.0352974,0.9987048,-0.03662054,0.0398721434175968,0,0
134634,0.0226097,0.568522997200489,-0.007971148,0.598952,0.4882776,-0.001313302,0.0352974,0.9987048,-0.03662054,0.0398721434175968,0,0
134638,0.0166679,0.585190897807479,-0.007971984,0.5989532,0.4882763,-0.001315627,0.03529702,0.9987048,-0.0366209,0.0398721434175968,0,0
134640,0.0166667,0.601857597008348,-0.007971984,0.5989532,0.4882763,-0.001315627,0.03529702,0.9987048,-0.0366209,0.0398721434175968,0,0
134646,0.0166671,0.618524696677923,-0.007971984,0.5989532,0.4882763,-0.001315627,0.03529702,0.9987048,-0.0366209,0.0398721434175968,0,0
134648,0.0166665,0.635191196575761,-0.007970656,0.598959,0.4882744,-0.001313462,0.03530474,0.9987046,-0.03662087,0.0398721434175968,0,0
134652,0.0166669,0.651858096942306,-0.007970656,0.598959,0.4882744,-0.001313462,0.03530474,0.9987046,-0.03662087,0.0398721434175968,0,0
134654,0.0166669,0.66852499730885,-0.007974043,0.5989532,0.4882769,-0.001317115,0.03529745,0.9987048,-0.03662062,0.0398721434175968,0,0
134660,0.0166677,0.685192696750164,-0.007974043,0.5989532,0.4882769,-0.001317115,0.03529745,0.9987048,-0.03662062,0.0398721434175968,0,0
134664,0.018672,0.703864697366953,-0.007974043,0.5989532,0.4882769,-0.001317115,0.03529745,0.9987048,-0.03662062,0.0398721434175968,0,0
134666,0.0193922,0.723256897181273,-0.007974422,0.5989552,0.4882775,-0.00131562,0.03530097,0.9987047,-0.03662086,0.0398721434175968,0,0
134670,0.0166679,0.739924797788262,-0.007974422,0.5989552,0.4882775,-0.00131562,0.03530097,0.9987047,-0.03662086,0.0398721434175968,0,0
134672,0.0177421,0.757666897028685,-0.007973921,0.5989549,0.4882765,-0.001315289,0.03529903,0.9987047,-0.03662148,0.0398721434175968,0,0
134678,0.0166675,0.774334397166967,-0.007975047,0.5989571,0.4882747,-0.001317217,0.03530209,0.9987046,-0.03662143,0.0398721434175968,0,0
134680,0.0202768,0.794611196964979,-0.007975047,0.5989571,0.4882747,-0.001317217,0.03530209,0.9987046,-0.03662143,0.0398721434175968,0,0
134684,0.0166682,0.811279397457838,-0.007975047,0.5989571,0.4882747,-0.001317217,0.03530209,0.9987046,-0.03662143,0.0398721434175968,0,0
134686,0.0174467,0.828726097941399,-0.00797158,0.5989569,0.4882763,-0.001312145,0.03530153,0.9987047,-0.03662073,0.0398721434175968,0,0
134692,0.0166679,0.845393998548388,-0.00797158,0.5989569,0.4882763,-0.001312145,0.03530153,0.9987047,-0.03662073,0.0398721434175968,0,0
134694,0.0167302,0.862124199047685,-0.00797158,0.5989569,0.4882763,-0.001312145,0.03530153,0.9987047,-0.03662073,0.0398714877665043,0,0
134698,0.0166678,0.878791999071836,-0.007971586,0.5989575,0.4882759,-0.001312802,0.03530129,0.9987047,-0.0366208,0.0398714877665043,0,0
134700,0.0186123,0.897404298186302,-0.007971586,0.5989575,0.4882759,-0.001312802,0.03530129,0.9987047,-0.0366208,0.0398714877665043,0,0
134704,0.016668,0.914072297513485,-0.0079733,0.5989573,0.4882766,-0.001314314,0.03530345,0.9987046,-0.03662035,0.0398714877665043,0,0
