F,DT,T,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
134526,0.0168766,0.0168766006827354,-0.724844,0.6533282,-0.2170703,36.367,1.310655,2.985133
134528,0.0166668,0.0335434004664421,-0.7238166,0.6538399,-0.2169753,36.36277,1.739354,3.052994
134532,0.016668,0.0502113997936249,-0.7198787,0.6558685,-0.2168028,36.39163,3.146387,3.21552
134534,0.0213675,0.0715788993984461,-0.7175796,0.6571209,-0.2168238,36.38568,3.984991,3.295722
134540,0.0166667,0.0882455985993147,-0.7113454,0.6601117,-0.2170846,36.30724,6.256784,3.571246
134542,0.0177213,0.105966897681355,-0.707411,0.6619081,-0.2173696,36.22912,7.675065,3.773846
134546,0.0166682,0.122635098174214,-0.696513,0.6664153,-0.2188135,35.9058,12.27248,4.526251
134552,0.0166667,0.139301797375083,-0.6842088,0.6709486,-0.2213699,35.52949,17.30584,5.492648
134554,0.0198737,0.159175496548414,-0.677588,0.6731792,-0.2231506,35.31896,20.20247,6.12132
134558,0.0166684,0.175843896344304,-0.6627296,0.6779082,-0.2280259,34.85416,27.04115,7.735857
134560,0.016666,0.192509897053242,-0.6542901,0.6804188,-0.231315,34.56032,30.9416,8.683722
134564,0.0168933,0.20940319634974,-0.6345174,0.686067,-0.2406156,33.72723,39.83043,10.69409
134566,0.0174271,0.226830296218395,-0.6249635,0.6887735,-0.2457984,33.25921,43.84873,11.52234
134568,0.0166676,0.243497896939516,-0.6159045,0.6913215,-0.2511567,32.69702,48.18118,12.38593
134574,0.0166705,0.260168397799134,-0.5963774,0.6965504,-0.2635011,31.44656,56.48292,13.89364
134576,0.016663,0.276831397786736,-0.5878098,0.6987014,-0.2696147,30.80985,60.23151,14.44514
134580,0.0166675,0.293498897925019,-0.5700142,0.7026384,-0.2834354,29.38973,68.07908,15.27027
134582,0.0166662,0.310165097936988,-0.5607437,0.7042361,-0.2908329,28.68644,71.91934,15.46833
134586,0.0166676,0.326832698658109,-0.5448332,0.7056183,-0.3044035,27.50741,78.35701,15.57063
134590,0.0166677,0.343500398099422,-0.5369318,0.7054342,-0.3113416,26.9663,81.15829,15.47848
134594,0.0166711,0.360171498730779,-0.5228128,0.7033981,-0.3237665,26.05461,85.94498,15.15226
134596,0.0166615,0.376832999289036,-0.5153362,0.7012045,-0.3305149,25.77653,87.78706,14.99343
134600,0.0166677,0.39350069873035,-0.501266,0.6953824,-0.343084,25.43966,91.26857,14.69622
134604,0.0166662,0.410166898742318,-0.489118,0.689529,-0.3528483,25.39472,93.70768,14.56755
134606,0.0182749,0.428441798314452,-0.4822205,0.6859286,-0.3581797,25.45089,94.88296,14.52146
134610,0.0166682,0.445109998807311,-0.4657958,0.677527,-0.3697235,25.72459,97.06374,14.47409
134614,0.0174666,0.462576597929001,-0.4584567,0.6740908,-0.3744377,25.88453,97.80423,14.44695
134618,0.0166692,0.479245798662305,-0.4420895,0.6669476,-0.3840832,26.18728,98.94257,14.26621
134620,0.016665,0.495910799130797,-0.4337247,0.6634933,-0.3887004,26.38291,99.36656,14.10754
134624,0.0166684,0.512579198926687,-0.4152981,0.6569839,-0.3982565,27.10451,100.0408,13.80614
134626,0.0166658,0.529244998469949,-0.4059924,0.6543643,-0.4027963,27.5648,100.3244,13.75192
134632,0.0166683,0.545913297683001,-0.3831709,0.6496187,-0.4134142,28.73366,100.8491,13.9107
134634,0.0226097,0.568522997200489,-0.3720274,0.6480762,-0.4184316,29.27075,100.9529,14.00161
134638,0.0166679,0.585190897807479,-0.3457308,0.6455103,-0.43043,30.53655,101.0407,14.00005
134640,0.0166667,0.601857597008348,-0.3340503,0.6448384,-0.4357983,31.09636,101.0132,13.9065
134646,0.0166671,0.618524696677923,-0.3070922,0.6442103,-0.4480518,32.32326,100.841,13.50404
134648,0.0166665,0.635191196575761,-0.2941102,0.6442575,-0.45389,32.88781,100.6847,13.25252
134652,0.0166669,0.651858096942306,-0.2662383,0.6450309,-0.4660295,34.22991,100.2149,12.66439
134654,0.0166669,0.66852499730885,-0.2510394,0.6458203,-0.4724547,34.87128,99.96703,12.35676
134660,0.0166677,0.685192696750164,-0.2168806,0.6481699,-0.4861249,36.45035,99.20784,11.58511
134664,0.018672,0.703864697366953,-0.1841076,0.6514092,-0.4984259,37.8363,98.34136,10.78165
134666,0.0193922,0.723256897181273,-0.1647819,0.6536797,-0.5054808,38.52026,97.79969,10.30385
134670,0.0166679,0.739924797788262,-0.1292057,0.6581787,-0.5183448,39.55474,96.72871,9.625263
134672,0.0177421,0.757666897028685,-0.108774,0.6607103,-0.5254134,40.05206,96.05138,9.381824
134678,0.0166675,0.774334397166967,-0.06687552,0.6657594,-0.5392997,40.85565,94.3701,8.926508
134680,0.0202768,0.794611196964979,-0.04476449,0.6680212,-0.5463686,41.06323,93.47456,8.674144
134684,0.0166682,0.811279397457838,-0.002675547,0.6722926,-0.5591835,41.38358,91.86921,8.348552
134686,0.0174467,0.828726097941399,0.01685072,0.6741256,-0.5648008,41.59077,91.1236,8.305533
134692,0.0166679,0.845393998548388,0.05464415,0.6775028,-0.5750251,42.0833,89.52913,8.421896
134694,0.0167302,0.862124199047685,0.07340662,0.6790335,-0.5798085,42.3284,88.49915,8.549988
134698,0.0166678,0.878791999071836,0.1074204,0.6812491,-0.587943,42.76176,86.688,8.669658
134700,0.0186123,0.897404298186302,0.1253175,0.6822819,-0.5918911,43.09727,85.6568,8.578267
134704,0.016668,0.914072297513485,0.1572213,0.6839922,-0.5979553,43.78752,83.94301,8.186882
134706,0.0166663,0.930738598108292,0.1718474,0.6848146,-0.6002666,44.15666,83.15366,7.983217
134710,0.0166683,0.947406897321343,0.2007127,0.6864303,-0.6039044,44.99891,81.66888,7.609464
134714,0.0166657,0.964072598144412,0.215266,0.6872835,-0.6051446,45.517,80.95065,7.446304
134718,0.0166678,0.980740398168564,0.2402255,0.6887691,-0.6063618,46.61726,79.69068,7.173284
134720,0.0166659,0.997406298294663,0.2541548,0.6896879,-0.6065322,47.23174,79.05686,7.06565
134724,0.0166677,1.01407399773598,0.280268,0.6916996,-0.6053148,48.35051,77.92618,6.997711
134726,0.0166658,1.03073979727924,0.2927369,0.6926799,-0.604228,48.88108,77.37312,6.990952
134730,0.0166681,1.04740789718926,0.312281,0.6942386,-0.6015496,49.63887,76.54148,6.978559
134732,0.016668,1.06407589651644,0.3225989,0.6951222,-0.599704,49.99807,76.12093,6.95523
134738,0.0166665,1.08074239641428,0.3432066,0.6967636,-0.5951455,50.59575,75.33755,6.871807
134740,0.0166658,1.09740819595754,0.3542614,0.6975843,-0.5922672,50.79008,74.99822,6.844582
134744,0.0166677,1.11407589539886,0.3733173,0.6988273,-0.5865681,50.91348,74.44822,6.910965
134746,0.0166657,1.13074159622192,0.3840632,0.699378,-0.5829747,50.86515,74.16182,7.02575
134752,0.0166677,1.14740929566324,0.4009798,0.6999384,-0.5767294,50.62662,73.68215,7.275514
134754,0.0166656,1.16407489590347,0.4107087,0.7000932,-0.5727909,50.42202,73.3917,7.461662
134758,0.0166688,1.18074369616807,0.4296084,0.6997723,-0.5645843,49.86538,72.70932,7.98386
134760,0.017115,1.19785869680345,0.4388957,0.6991911,-0.5600932,49.55825,72.33774,8.280315
134764,0.016668,1.21452669613063,0.4559421,0.6974807,-0.5513476,48.8959,71.38593,8.869211
134768,0.0192054,1.23373209685087,0.4646983,0.6962924,-0.5464945,48.57467,70.77735,9.081435
134772,0.0166675,1.25039959698915,0.4811807,0.6933463,-0.5363678,47.89475,69.21945,9.261889
134774,0.0166661,1.26706569641829,0.4885599,0.6918768,-0.5314697,47.56226,68.39841,9.270037
134776,0.0166678,1.28373349644244,0.4969835,0.690178,-0.5255741,47.1256,67.27388,9.224461
134782,0.0166668,1.30040029622614,0.5142921,0.6858766,-0.5120708,45.92215,64.0998,8.980267
134786,0.0166678,1.3170680962503,0.5283372,0.6818564,-0.4994983,44.78308,61.01955,8.566365
134788,0.02312,1.34018809534609,0.5351231,0.6798149,-0.4928924,44.05131,59.06136,8.091492
134792,0.0166682,1.35685629583895,0.5446358,0.6766754,-0.4829687,42.63025,55.98677,7.115196
134794,0.0166673,1.3735235966742,0.5547802,0.6729448,-0.4715082,41.04874,52.95999,6.207791
134798,0.016671,1.39019459672272,0.5632746,0.6694929,-0.461134,39.61492,50.07592,5.57837
134802,0.0166629,1.40685749612749,0.5716667,0.6658992,-0.4499844,38.29717,46.817,5.012712
134804,0.0166674,1.42352489568293,0.578425,0.663132,-0.4401863,37.25897,43.74509,4.534148
134808,0.0166662,1.4401910956949,0.5856535,0.6600864,-0.4289489,36.31783,40.8223,4.119571
134812,0.0166669,1.45685799606144,0.5915418,0.6577092,-0.4192475,35.48048,38.22038,3.762652
134814,0.0166661,1.47352409549057,0.5943657,0.6566748,-0.4144164,35.04151,36.79713,3.589555
134820,0.016668,1.49019209481776,0.5995319,0.6550979,-0.4053253,34.36168,34.65956,3.51837
134822,0.0166664,1.50685849413276,0.6023291,0.6544639,-0.4003358,33.90242,33.34549,3.60953
134826,0.0166683,1.52352679334581,0.6072236,0.6541526,-0.3918453,33.1082,31.37783,3.862886
134828,0.0166659,1.54019269347191,0.6093721,0.6543643,-0.3884078,32.76504,30.61001,3.96401
134832,0.016667,1.55685969255865,0.6135681,0.6550344,-0.3826029,32.17111,29.25326,4.078939
134834,0.0166736,1.57353329285979,0.6154982,0.6553435,-0.3804528,31.93254,28.69281,4.115751
134838,0.0166619,1.59019519202411,0.6181328,0.6556828,-0.3782157,31.74386,28.1107,4.092864
134842,0.0166657,1.60686089284718,0.6207223,0.6558629,-0.3767121,31.49888,27.52878,3.994392
134844,0.0166666,1.62352749332786,0.6232027,0.6560147,-0.375756,31.15624,27.14342,3.932796
