F,DT,T,fps,Start,Hand,Grip,Tracked,Controlling
169158,0.0428155,0.0428154990077019,23.35603,False,R,False,True,False
169162,0.016671,0.0594864990562201,59.98441,False,R,False,True,False
169164,0.016664,0.0761504992842674,60.0096,False,R,False,True,False
169170,0.0166667,0.092817198485136,59.99988,False,R,False,True,False
169172,0.0166669,0.109484098851681,59.99916,False,R,False,True,False
169176,0.0166669,0.126150999218225,59.99916,False,R,False,True,False
169178,0.0166671,0.142818098887801,59.99844,False,R,False,True,False
169182,0.016667,0.159485097974539,59.9988,False,R,False,True,False
169184,0.0166675,0.176152598112822,59.997,False,R,False,True,False
169190,0.0166665,0.192819098010659,60.0006,False,R,False,True,False
169192,0.0166666,0.209485698491335,60.00024,False,R,False,True,False
169196,0.0166673,0.226152999326587,59.99772,False,R,False,True,False
169198,0.0166664,0.242819398641586,60.00096,False,R,False,True,False
169202,0.0166668,0.259486198425293,59.99952,False,R,False,True,False
169204,0.0166669,0.276153098791838,59.99916,False,R,False,True,False
169210,0.0166676,0.292820699512959,59.99664,False,R,False,True,False
169212,0.0166658,0.30948649905622,60.00312,False,R,False,True,False
169216,0.0166676,0.326154099777341,59.99664,False,R,False,True,False
169218,0.0166673,0.342821400612593,59.99772,False,R,False,True,False
169222,0.0166663,0.359487701207399,60.00132,False,R,False,True,False
169224,0.0166668,0.376154500991106,59.99952,False,R,False,True,False
169230,0.0166678,0.392822301015258,59.99592,False,R,False,True,False
169232,0.0166668,0.409489100798965,59.99952,False,R,False,True,False
169236,0.0166663,0.426155401393771,60.00132,False,R,False,True,False
169238,0.0166669,0.442822301760316,59.99916,False,R,False,True,False
169242,0.0166676,0.459489902481437,59.99664,False,R,False,True,False
169246,0.0166662,0.476156102493405,60.00168,False,R,False,True,False
169250,0.0166676,0.492823703214526,59.99664,False,R,False,True,False
169252,0.0166668,0.509490502998233,59.99952,False,R,False,True,False
169256,0.0166673,0.526157803833485,59.99772,False,R,False,True,False
169258,0.0166661,0.542823903262615,60.00204,False,R,False,True,False
169262,0.0166675,0.559491403400898,59.997,False,R,False,True,False
169266,0.0166962,0.57618760317564,59.89387,False,R,False,True,False
169270,0.0166665,0.592854103073478,60.0006,False,R,False,True,False
169272,0.0166669,0.609521003440022,59.99916,False,R,False,True,False
169276,0.0166668,0.626187803223729,59.99952,False,R,False,True,False
169278,0.0166669,0.642854703590274,59.99916,False,R,False,True,False
169282,0.0166669,0.659521603956819,59.99916,False,R,False,True,False
169286,0.0166666,0.676188204437494,60.00024,False,R,False,True,False
169290,0.0166667,0.692854903638363,59.99988,False,R,False,True,False
169292,0.0166673,0.709522204473615,59.99772,False,R,False,True,False
169296,0.0166695,0.726191705092788,59.9898,False,R,False,True,False
169298,0.0166637,0.742855405434966,60.01068,False,R,False,True,False
169302,0.0166698,0.759525205940008,59.98872,False,R,False,True,False
169304,0.0166647,0.776189906522632,60.00708,False,R,False,True,False
169310,0.0166666,0.792856507003307,60.00024,False,R,False,True,False
169312,0.016667,0.809523506090045,59.9988,False,R,False,True,False
169316,0.016668,0.826191505417228,59.9952,False,R,False,True,False
169318,0.0166661,0.842857604846358,60.00204,False,R,False,True,False
169322,0.0166679,0.859525505453348,59.99556,False,R,False,True,False
169324,0.0166656,0.876191105693579,60.00384,False,R,False,True,False
169330,0.0166669,0.892858006060123,59.99916,False,R,False,True,False
169332,0.0166674,0.909525405615568,59.99736,False,R,False,True,False
169336,0.0166674,0.926192805171013,59.99736,False,R,False,True,False
169338,0.0166655,0.942858304828405,60.0042,False,R,False,True,False
169342,0.0166676,0.959525905549526,59.99664,False,R,False,True,False
169344,0.0166758,0.976201705634594,59.96714,False,R,False,True,False
169350,0.0166612,0.992862906306982,60.01968,False,R,False,True,False
169352,0.016664,1.00952690653503,60.0096,False,R,False,True,False
169356,0.0166681,1.02619500644505,59.99484,False,R,False,True,False
169358,0.0166647,1.04285970702767,60.00708,False,R,False,True,False
169362,0.016668,1.05952770635486,59.9952,False,R,False,True,False
169364,0.0166661,1.07619380578399,60.00204,False,R,False,True,False
169370,0.0166693,1.09286310523748,59.99052,False,R,False,True,False
169372,0.0166655,1.10952860489488,60.0042,False,R,False,True,False
169376,0.0166662,1.12619480490685,60.00168,False,R,False,True,False
169378,0.0166672,1.14286200515926,59.99808,False,R,False,True,False
169382,0.0166669,1.1595289055258,59.99916,False,R,False,True,False
169386,0.0166667,1.17619560472667,59.99988,False,R,False,True,False
169390,0.0166672,1.19286280497909,59.99808,False,R,False,True,False
169392,0.016666,1.20952880568802,60.0024,False,R,False,True,False
169396,0.0166677,1.22619650512934,59.99628,False,R,False,True,False
169398,0.0166663,1.24286280572414,60.00132,False,R,False,True,False
169402,0.0166686,1.25953140482306,59.99305,False,R,False,True,False
169404,0.0166651,1.27619650401175,60.00564,False,R,False,True,False
169410,0.0166676,1.29286410473287,59.99664,False,R,False,True,False
169412,0.0166665,1.30953060463071,60.0006,False,R,False,True,False
169416,0.0166677,1.32619830407202,59.99628,False,R,False,True,False
169418,0.0166666,1.3428649045527,60.00024,False,R,False,True,False
169422,0.0166665,1.35953140445054,60.0006,False,R,False,True,False
169424,0.0166671,1.37619850412011,59.99844,False,R,False,True,False
169430,0.016668,1.39286650344729,59.9952,False,R,False,True,False
169432,0.0166654,1.40953190252185,60.00456,False,R,False,True,False
169436,0.0166679,1.42619980312884,59.99556,False,R,False,True,False
169438,0.0166665,1.44286630302668,60.0006,False,R,False,True,False
169442,0.0166672,1.45953350327909,59.99808,False,R,False,True,False
169444,0.0166671,1.47620060294867,59.99844,False,R,False,True,False
169450,0.0166664,1.49286700226367,60.00096,False,R,False,True,False
169452,0.0166667,1.50953370146453,59.99988,False,R,False,True,False
169456,0.0166674,1.52620110101998,59.99736,False,R,False,True,False
169458,0.0166664,1.54286750033498,60.00096,False,R,False,True,False
169462,0.01668,1.55954750068486,59.95204,False,R,False,True,False
169464,0.0166669,1.5762144010514,59.99916,False,R,False,True,False
169470,0.0166664,1.5928808003664,60.00096,False,R,False,True,False
169472,0.0166667,1.60954749956727,59.99988,False,R,False,True,False
169476,0.0166671,1.62621459923685,59.99844,False,R,False,True,False
169478,0.0166665,1.64288109913468,60.0006,False,R,False,True,False
169482,0.0166674,1.65954849869013,59.99736,False,R,False,True,False
169484,0.0166665,1.67621499858797,60.0006,False,R,False,True,False
169490,0.0166674,1.69288239814341,59.99736,False,R,False,True,False
169492,0.0174568,1.71033919788897,57.28427,False,R,False,True,False
169496,0.0166672,1.72700639814138,59.99808,False,R,False,True,False
169498,0.0166701,1.7436764985323,59.98764,False,R,False,True,False
169502,0.0166645,1.76034099794924,60.0078,False,R,False,True,False
169504,0.0166668,1.77700779773295,59.99952,False,R,False,True,False
169508,0.016667,1.79367479681969,59.9988,False,R,False,True,False
169512,0.0166663,1.81034109741449,60.00132,False,R,False,True,False
169516,0.0166669,1.82700799778104,59.99916,False,R,False,True,False
169518,0.0166674,1.84367539733648,59.99736,False,R,False,True,False
169524,0.0166666,1.86034199781716,60.00024,False,R,False,True,False
169526,0.0166663,1.87700829841197,60.00132,False,R,False,True,False
169530,0.0166664,1.89367469772697,60.00096,False,R,False,True,False
169532,0.0166679,1.91034259833395,59.99556,False,R,False,True,False
169536,0.0166669,1.9270094987005,59.99916,False,R,False,True,False
169538,0.0166669,1.94367639906704,59.99916,False,R,False,True,False
169542,0.0166672,1.96034359931946,59.99808,False,R,False,True,False
169544,0.0166666,1.97701019980013,60.00024,False,R,False,True,False
169550,0.0166672,1.99367740005255,59.99808,False,R,False,True,False
169552,0.0166667,2.01034409925342,59.99988,False,R,False,True,False
169556,0.0166669,2.02701099961996,59.99916,False,R,False,True,False
169558,0.0166666,2.04367760010064,60.00024,False,R,False,True,False
169562,0.0166674,2.06034499965608,59.99736,False,R,False,True,False
169564,0.0166673,2.07701230049133,59.99772,False,R,False,True,False
169570,0.016667,2.09367929957807,59.9988,False,R,False,True,False
169572,0.0166707,2.11034999974072,59.98548,False,R,False,True,False
169576,0.0166672,2.12701719999313,59.99808,False,R,False,True,False
169578,0.0166689,2.14368610084057,59.99196,False,R,False,True,False
169582,0.0166654,2.16035149991512,60.00456,False,R,False,True,False
169584,0.016667,2.17701849900186,59.9988,False,R,False,True,False
169590,0.0166673,2.19368579983711,59.99772,False,R,False,True,False
169592,0.0166659,2.21035169996321,60.00276,False,R,False,True,False
169596,0.0166674,2.22701909951866,59.99736,False,R,False,True,False
169598,0.0166669,2.2436859998852,59.99916,False,R,False,True,False
169602,0.0166668,2.26035279966891,59.99952,False,R,False,True,False
169604,0.0166665,2.27701929956675,60.0006,False,R,False,True,False
169610,0.0166671,2.29368639923632,59.99844,False,R,False,True,False
169612,0.0166669,2.31035329960287,59.99916,False,R,False,True,False
169616,0.0166672,2.32702049985528,59.99808,False,R,False,True,False
169618,0.016669,2.34368949942291,59.9916,False,R,False,True,False
169622,0.0166651,2.36035459861159,60.00564,False,R,False,True,False
169624,0.0166669,2.37702149897814,59.99916,False,R,False,True,False
169630,0.0166667,2.39368819817901,59.99988,False,R,False,True,False
169632,0.0166682,2.41035639867187,59.99448,False,R,False,True,True
169636,0.0166658,2.42702219821513,60.00312,False,R,False,True,True
169638,0.0166668,2.44368899799883,59.99952,False,R,False,True,True
169642,0.016667,2.46035599708557,59.9988,False,R,False,True,True
169644,0.0166672,2.47702319733799,59.99808,False,R,False,True,True
169650,0.0166668,2.49368999712169,59.99952,False,R,False,True,True
169652,0.0166696,2.51035959646106,59.98944,False,R,False,True,True
169656,0.0166648,2.52702439576387,60.00672,False,R,False,True,True
169658,0.0166701,2.54369449615479,59.98764,False,R,False,True,True
169662,0.0166638,2.5603582970798,60.01032,False,R,False,True,True
169664,0.0166681,2.57702639698982,59.99484,False,R,False,True,True
169670,0.016666,2.59369239769876,60.0024,False,R,False,True,True
169672,0.016667,2.6103593967855,59.9988,False,R,False,True,True
169676,0.0166669,2.62702629715204,59.99916,False,R,False,True,True
169678,0.0166676,2.64369389787316,59.99664,False,R,False,True,True
169682,0.0166664,2.66036029718816,60.00096,False,R,False,True,True
169684,0.0166668,2.67702709697187,59.99952,False,R,False,True,True
169690,0.0166673,2.69369439780712,59.99772,False,R,False,True,True
169692,0.0166679,2.71036229841411,59.99556,False,R,False,True,True
169696,0.0166665,2.72702879831195,60.0006,False,R,False,True,True
169698,0.0166666,2.74369539879262,60.00024,False,R,False,True,True
169702,0.0166667,2.76036209799349,59.99988,False,R,False,True,True
169704,0.0166667,2.77702879719436,59.99988,False,R,False,True,True
169710,0.0166671,2.79369589686394,59.99844,False,R,False,True,True
169712,0.0166674,2.81036329641938,59.99736,False,R,False,True,True
169716,0.0166665,2.82702979631722,60.0006,False,R,False,True,True
169718,0.0166668,2.84369659610093,59.99952,False,R,False,True,True
169722,0.0166673,2.86036389693618,59.99772,False,R,False,True,True
169726,0.0166678,2.87703169696033,59.99592,False,R,False,True,True
169730,0.0166664,2.89369809627533,60.00096,False,R,False,True,True
169732,0.0166668,2.91036489605904,59.99952,False,R,False,True,True
169736,0.0166671,2.92703199572861,59.99844,False,R,False,True,True
169738,0.0166666,2.94369859620929,60.00024,False,R,False,True,True
169742,0.016667,2.96036559529603,59.9988,False,R,False,True,True
169744,0.0166668,2.97703239507973,59.99952,False,R,False,True,True
169750,0.0166668,2.99369919486344,59.99952,False,R,False,True,True
169752,0.0166669,3.01036609522998,59.99916,False,R,False,True,True
169756,0.0166673,3.02703339606524,59.99772,False,R,False,True,True
169758,0.0180549,3.04508829675615,55.38662,False,R,False,True,True
169762,0.0166702,3.06175849586725,59.98729,False,R,False,True,True
169764,0.0166638,3.07842229679227,60.01032,False,R,False,True,True
169770,0.0166705,3.09509279765189,59.9862,False,R,False,True,True
169772,0.0166669,3.11175969801843,59.99916,False,R,False,True,True
169776,0.01667,3.1284296978265,59.988,False,R,False,True,True
169778,0.0166647,3.14509439840913,60.00708,False,R,False,True,True
169782,0.0166731,3.16176749765873,59.97685,False,R,False,True,True
169786,0.0174429,3.17921039834619,57.32991,False,R,False,True,True
169790,0.016668,3.19587839767337,59.9952,False,R,False,True,True
169792,0.0166657,3.21254409849644,60.00348,False,R,False,True,True
169796,0.0166678,3.22921189852059,59.99592,False,R,False,True,True
169798,0.0166667,3.24587859772146,59.99988,False,R,False,True,True
169802,0.0166668,3.26254539750516,59.99952,False,R,False,True,True
169806,0.0166667,3.27921209670603,59.99988,False,R,False,True,True
169810,0.0166683,3.29588039591908,59.99412,False,R,False,True,True
169812,0.0166658,3.31254619546235,60.00312,False,R,False,True,True
169816,0.016667,3.32921319454908,59.9988,False,R,False,True,True
169818,0.0166667,3.34587989374995,59.99988,False,R,False,True,True
169822,0.016667,3.36254689283669,59.9988,False,R,False,True,True
169826,0.0166671,3.37921399250627,59.99844,False,R,False,True,True
169830,0.0166695,3.39588349312544,59.9898,False,R,False,True,True
169832,0.0166644,3.41254789382219,60.00816,False,R,False,True,True
169836,0.0166665,3.42921439372003,60.0006,False,R,False,True,True
169838,0.0166669,3.44588129408658,59.99916,False,R,False,True,True
169842,0.0166776,3.46255889348686,59.96067,False,R,False,True,True
169846,0.0166668,3.47922569327056,59.99952,False,R,False,True,True
169850,0.016667,3.4958926923573,59.9988,False,R,False,True,True
169854,0.0166666,3.51255929283798,60.00024,False,R,False,True,True
169856,0.0166669,3.52922619320452,59.99916,False,R,False,True,True
169860,0.0167898,3.54601599276066,59.55997,False,R,False,True,True
169862,0.0166679,3.56268389336765,59.99556,False,R,False,True,True
169866,0.0166673,3.5793511942029,59.99772,False,R,False,True,True
169868,0.0166664,3.5960175935179,60.00096,False,R,False,True,True
169874,0.0166666,3.61268419399858,60.00024,False,R,False,True,True
169876,0.0166668,3.62935099378228,59.99952,False,R,False,True,True
169880,0.0166673,3.64601829461753,59.99772,False,R,False,True,True
169882,0.0166666,3.66268489509821,60.00024,False,R,False,True,True
169886,0.0166669,3.67935179546475,59.99916,False,R,False,True,True
169888,0.0166661,3.69601789489388,60.00204,False,R,False,True,True
169892,0.0166686,3.71268649399281,59.99305,False,R,False,True,True
169896,0.0166664,3.72935289330781,60.00096,False,R,False,True,True
169898,0.0166672,3.74602009356022,59.99808,False,R,False,True,True
169902,0.0166664,3.76268649287522,60.00096,False,R,False,True,True
169906,0.0166669,3.77935339324176,59.99916,False,R,False,True,True
169908,0.0166664,3.79601979255676,60.00096,False,R,False,True,True
169914,0.0166672,3.81268699280918,59.99808,False,R,False,True,True
169916,0.0166668,3.82935379259288,59.99952,False,R,False,True,True
169920,0.0166671,3.84602089226246,59.99844,False,R,False,True,True
169922,0.0166671,3.86268799193203,59.99844,False,R,False,True,True
169926,0.0166668,3.87935479171574,59.99952,False,R,False,True,True
169928,0.0166669,3.89602169208229,59.99916,False,R,False,True,True
169934,0.01667,3.91269169189036,59.988,False,R,False,True,True
169936,0.0166643,3.92935599200428,60.00852,False,R,False,True,True
169940,0.0166667,3.94602269120514,59.99988,False,R,False,True,True
169942,0.0166666,3.96268929168582,60.00024,False,R,False,True,True
169944,0.0166682,3.97935749217868,59.99448,False,R,False,True,True
169950,0.0166662,3.99602369219065,60.00168,False,R,False,True,True
169954,0.0166667,4.01269039139152,59.99988,True,R,False,True,True
169956,0.016668,4.0293583907187,59.9952,True,R,False,True,True
169960,0.0166679,4.04602629132569,59.99556,True,R,False,True,True
169962,0.0166661,4.06269239075482,60.00204,True,R,False,True,True
169964,0.0166677,4.07936009019613,59.99628,True,R,False,True,True
169970,0.016667,4.09602708928287,59.9988,True,R,False,True,True
169974,0.0166669,4.11269398964942,59.99916,True,R,False,True,True
169976,0.0166664,4.12936038896441,60.00096,True,R,False,True,True
169978,0.0166669,4.14602728933096,59.99916,True,R,False,True,True
169982,0.0166669,4.1626941896975,59.99916,True,R,False,True,True
169984,0.016667,4.17936118878424,59.9988,True,R,False,True,True
169990,0.0166671,4.19602828845382,59.99844,True,R,False,True,True
169992,0.0169558,4.2129840888083,58.97687,True,R,False,True,True
169996,0.0166665,4.22965058870614,60.0006,True,R,False,True,True
169998,0.0166671,4.24631768837571,59.99844,True,R,False,True,True
170002,0.0166669,4.26298458874226,59.99916,True,R,False,True,True
170006,0.0166667,4.27965128794312,59.99988,True,R,False,True,True
170010,0.0166671,4.2963183876127,59.99844,True,R,False,True,True
170014,0.0167143,4.31303268671036,59.82901,True,R,False,True,True
170016,0.0166665,4.3296991866082,60.0006,True,R,False,True,True
170020,0.016667,4.34636618569493,59.9988,True,R,False,True,True
170022,0.0166656,4.36303178593516,60.00384,True,R,False,True,True
170024,0.016669,4.37970078550279,59.9916,True,R,False,True,True
170028,0.016666,4.39636678621173,60.0024,True,R,False,True,True
170034,0.0166675,4.41303428635001,59.997,True,R,False,True,True
170036,0.0166661,4.42970038577914,60.00204,True,R,False,True,True
170040,0.0166688,4.44636918604374,59.99232,True,R,False,True,True
170042,0.0166652,4.46303438581526,60.00528,True,R,False,True,True
170046,0.0166674,4.47970178537071,59.99736,True,R,False,True,True
170048,0.0166664,4.49636818468571,60.00096,True,R,False,True,True
170054,0.016667,4.51303518377244,59.9988,True,R,False,True,True
170056,0.0166671,4.52970228344202,59.99844,True,R,False,True,True
170060,0.016667,4.54636928252876,59.9988,True,R,False,True,True
170062,0.016666,4.5630352832377,60.0024,True,R,False,True,True
170064,0.0166686,4.57970388233662,59.99305,True,R,False,True,True
170070,0.0166669,4.59637078270316,59.99916,True,R,False,True,True
170072,0.0166687,4.61303948238492,59.99268,True,R,False,True,True
170076,0.0166647,4.62970418296754,60.00708,True,R,False,True,True
170080,0.0166829,4.64638708345592,59.94162,True,R,False,True,True
170082,0.016663,4.66305008344352,60.0132,True,R,False,True,True
170084,0.0166671,4.6797171831131,59.99844,True,R,False,True,True
170088,0.016667,4.69638418219984,59.9988,True,R,False,True,True
170092,0.0166677,4.71305188164115,59.99628,True,R,False,True,True
170096,0.0166662,4.72971808165312,60.00168,True,R,False,True,True
170098,0.0166666,4.74638468213379,60.00024,True,R,False,True,True
170102,0.0166667,4.76305138133466,59.99988,True,R,False,True,True
170104,0.0166669,4.77971828170121,59.99916,True,R,False,True,True
170110,0.0166669,4.79638518206775,59.99916,True,R,False,True,True
170112,0.0166675,4.81305268220603,59.997,True,R,False,True,True
170116,0.0166666,4.82971928268671,60.00024,True,R,False,True,True
170118,0.0166672,4.84638648293912,59.99808,True,R,False,True,True
170122,0.0166665,4.86305298283696,60.0006,True,R,False,True,True
170124,0.0166681,4.87972108274698,59.99484,True,R,False,True,True
170130,0.0166659,4.89638698287308,60.00276,True,R,False,True,True
170132,0.0166665,4.91305348277092,60.0006,True,R,False,True,True
170136,0.0166669,4.92972038313746,59.99916,True,R,False,True,True
170138,0.0166676,4.94638798385859,59.99664,True,R,False,True,True
170142,0.0166663,4.96305428445339,60.00132,True,R,False,True,True
170144,0.0166678,4.97972208447754,59.99592,True,R,False,True,True
170150,0.0166666,4.99638868495822,60.00024,True,R,False,True,True
170152,0.0166672,5.01305588521063,59.99808,True,R,False,True,True
170156,0.0166667,5.0297225844115,59.99988,True,R,False,True,True
170158,0.0166682,5.04639078490436,59.99448,True,R,False,True,True
170162,0.0166657,5.06305648572743,60.00348,True,R,False,True,True
170164,0.0166667,5.0797231849283,59.99988,True,R,False,True,True
170170,0.0166667,5.09638988412917,59.99988,True,R,False,True,True
170172,0.0166686,5.11305848322809,59.99305,True,R,False,True,True
170176,0.0166657,5.12972418405116,60.00348,True,R,False,True,True
170178,0.0166668,5.14639098383486,59.99952,True,R,False,True,True
170182,0.0166674,5.16305838339031,59.99736,True,R,False,True,True
170184,0.0166667,5.17972508259118,59.99988,True,R,False,True,True
170190,0.0166669,5.19639198295772,59.99916,True,R,False,True,True
170192,0.0166678,5.21305978298187,59.99592,True,R,False,True,True
170196,0.0166663,5.22972608357668,60.00132,True,R,False,True,True
170198,0.0166703,5.24639638327062,59.98692,True,R,False,True,True
170202,0.0166637,5.2630600836128,60.01068,True,R,False,True,True
170206,0.0166668,5.27972688339651,59.99952,True,R,False,True,True
170208,0.016667,5.29639388248324,59.9988,True,R,False,True,True
170214,0.0166678,5.3130616825074,59.99592,True,R,False,True,True
170216,0.0166663,5.3297279831022,60.00132,True,R,False,True,True
170220,0.0166668,5.34639478288591,59.99952,True,R,False,True,True
170224,0.0166672,5.36306198313832,59.99808,True,R,False,True,True
170226,0.0179177,5.38097968325019,55.81073,True,R,False,True,True
170228,0.0166675,5.39764718338847,59.997,True,R,False,True,True
170234,0.0166688,5.41431598365307,59.99232,True,R,False,True,True
170236,0.016665,5.43098098412156,60.006,True,R,False,True,True
170240,0.0166674,5.44764838367701,59.99736,True,R,False,True,True
170242,0.0166665,5.46431488357484,60.0006,True,R,False,True,True
170246,0.0166692,5.48098408430815,59.99088,True,R,False,True,True
170248,0.0166654,5.4976494833827,60.00456,True,R,False,True,True
170254,0.0166713,5.51432078331709,59.98333,True,R,False,True,True
170256,0.0166622,5.53098298422992,60.01608,True,R,False,True,True
170260,0.0166682,5.54765118472278,59.99448,True,R,False,True,True
170262,0.016671,5.5643221847713,59.98441,True,R,False,True,True
170266,0.0166625,5.58098468557,60.015,True,R,False,True,True
170270,0.0166659,5.5976505856961,60.00276,True,R,False,True,True
170274,0.0166675,5.61431808583438,59.997,True,R,False,True,True
170276,0.0166665,5.63098458573222,60.0006,True,R,False,True,True
170280,0.016669,5.64765358529985,59.9916,True,R,False,True,True
170282,0.0166651,5.66431868448853,60.00564,True,R,False,True,True
170286,0.0166695,5.68098818510771,59.9898,True,R,False,True,True
170290,0.0166641,5.69765228591859,60.00924,True,R,False,True,True
170294,0.0166688,5.71432108618319,59.99232,True,R,False,True,True
170296,0.0166663,5.730987386778,60.00132,True,R,False,True,True
170300,0.0166672,5.74765458703041,59.99808,True,R,False,True,True
170302,0.016667,5.76432158611715,59.9988,True,R,False,True,True
170306,0.0166666,5.78098818659782,60.00024,True,R,False,True,True
170310,0.0166666,5.7976547870785,60.00024,True,R,False,True,True
170314,0.0166689,5.81432368792593,59.99196,True,R,False,True,True
170316,0.0166652,5.83098888769746,60.00528,True,R,False,True,True
170320,0.0166693,5.84765818715096,59.99052,True,R,False,True,True
170322,0.0166648,5.86432298645377,60.00672,True,R,False,True,True
170326,0.0166702,5.88099318556488,59.98729,True,R,False,True,True
170330,0.0166635,5.89765668474138,60.01141,True,R,False,True,True
170334,0.0166686,5.9143252838403,59.99305,True,R,False,True,True
170336,0.0166676,5.93099288456142,59.99664,True,R,False,True,True
170340,0.0166656,5.94765848480165,60.00384,True,R,False,True,True
170342,0.0166673,5.9643257856369,59.99772,True,R,False,True,True
170346,0.016668,5.98099378496408,59.9952,True,R,False,True,True
170348,0.0166665,5.99766028486192,60.0006,True,R,False,True,True
170354,0.0166673,6.01432758569717,59.99772,True,R,False,True,True
170356,0.0166671,6.03099468536675,59.99844,True,R,False,True,True
170360,0.0166702,6.04766488447785,59.98729,True,R,False,True,True
170362,0.0166629,6.06432778388262,60.01357,True,R,False,True,True
170366,0.0166833,6.08101108297706,59.94018,True,R,False,True,True
170370,0.0166658,6.09767688252032,60.00312,True,R,False,True,True
170374,0.0166679,6.11434478312731,59.99556,True,R,False,True,True
170376,0.0166656,6.13101038336754,60.00384,True,R,False,True,True
170380,0.0166695,6.14767988398671,59.9898,True,R,False,True,True
170382,0.0166646,6.1643444839865,60.00744,True,R,False,True,True
170386,0.0166693,6.18101378343999,59.99052,True,R,False,True,True
170390,0.0166651,6.19767888262868,60.00564,True,R,False,True,True
170394,0.0166672,6.21434608288109,59.99808,True,R,False,True,True
170396,0.0166696,6.23101568222046,59.98944,True,R,False,True,True
170400,0.0166647,6.24768038280308,60.00708,True,R,False,True,True
170402,0.016667,6.26434738188982,59.9988,True,R,False,True,True
170406,0.0166669,6.28101428225636,59.99916,True,R,False,True,True
170410,0.0166682,6.29768248274922,59.99448,True,R,False,True,True
170412,0.0166659,6.31434838287532,60.00276,True,R,False,True,True
170416,0.0166676,6.33101598359644,59.99664,True,R,False,True,True
170420,0.0166663,6.34768228419125,60.00132,True,R,False,True,True
170422,0.0166676,6.36434988491237,59.99664,True,R,False,True,True
170426,0.0166664,6.38101628422737,60.00096,True,R,False,True,True
170428,0.0166668,6.39768308401108,59.99952,True,R,False,True,True
170434,0.0166668,6.41434988379478,59.99952,True,R,False,True,True
170436,0.0166679,6.43101778440177,59.99556,True,R,False,True,True
170440,0.0166659,6.44768368452787,60.00276,True,R,False,True,True
170442,0.0166669,6.46435058489442,59.99916,True,R,False,True,True
170446,0.0166838,6.4810343850404,59.93838,True,R,False,True,True
170448,0.0166674,6.49770178459585,59.99736,True,R,False,True,True
170454,0.0166684,6.51437018439174,59.99376,True,R,False,True,True
170456,0.0166676,6.53103778511286,59.99664,True,R,False,True,True
170460,0.0166642,6.54770198464394,60.00888,True,R,False,True,True
170462,0.0166673,6.56436928547919,59.99772,True,R,False,True,True
170466,0.0166669,6.58103618584573,59.99916,True,R,False,True,True
170468,0.0166668,6.59770298562944,59.99952,True,R,False,True,True
170474,0.0166673,6.61437028646469,59.99772,True,R,False,True,True
170476,0.0166663,6.6310365870595,60.00132,True,R,False,True,True
170480,0.0166669,6.64770348742604,59.99916,True,R,False,True,True
170482,0.0166668,6.66437028720975,59.99952,True,R,False,True,True
170486,0.0166671,6.68103738687932,59.99844,True,R,False,True,True
170490,0.0166684,6.69770578667521,59.99376,True,R,False,True,True
170494,0.0166665,6.71437228657305,60.0006,True,R,False,True,True
170496,0.0166664,6.73103868588805,60.00096,True,R,False,True,True
170500,0.0166667,6.74770538508892,59.99988,True,R,False,True,True
170502,0.0166668,6.76437218487263,59.99952,True,R,False,True,True
170506,0.0166669,6.78103908523917,59.99916,True,R,False,True,True
170510,0.016667,6.79770608432591,59.9988,True,R,False,True,True
170514,0.0166665,6.81437258422375,60.0006,True,R,False,True,True
170516,0.0166672,6.83103978447616,59.99808,True,R,False,True,True
170520,0.0166669,6.84770668484271,59.99916,True,R,False,True,True
170522,0.0166672,6.86437388509512,59.99808,True,R,False,True,True
170528,0.0166667,6.88104058429599,59.99988,True,R,False,True,True
170530,0.0166661,6.89770668372512,60.00204,True,R,False,True,True
170534,0.0166675,6.9143741838634,59.997,True,R,False,True,True
170536,0.0166678,6.93104198388755,59.99592,True,R,False,True,True
170540,0.0166663,6.94770828448236,60.00132,True,R,False,True,True
170542,0.0166672,6.96437548473477,59.99808,True,R,False,True,True
170546,0.0166666,6.98104208521545,60.00024,True,R,False,True,True
170548,0.0166669,6.99770898558199,59.99916,True,R,False,True,True
170554,0.0166709,7.01437988504767,59.98476,True,R,False,True,True
170556,0.0166671,7.03104698471725,59.99844,True,R,False,True,True
170560,0.0166662,7.04771318472922,60.00168,True,R,False,True,True
170562,0.0166673,7.06438048556447,59.99772,True,R,False,True,True
170566,0.0166668,7.08104728534818,59.99952,True,R,False,True,True
170570,0.016668,7.09771528467536,59.9952,True,R,False,True,True
170574,0.0166662,7.11438148468733,60.00168,True,R,False,True,True
170576,0.0166664,7.13104788400233,60.00096,True,R,False,True,True
