F,DT,T,LPos_X,LPos_Y,LPos_Z,LRot_X,LRot_Y,LRot_Z,LRot_W,LGrab,LPinch,RPos_X,RPos_Y,RPos_Z,RRot_X,RRot_Y,RRot_Z,RRot_W,RGrab,RPinch
169158,0.0428155,0.0428154990077019,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169162,0.016671,0.0594864990562201,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169164,0.016664,0.0761504992842674,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169170,0.0166667,0.092817198485136,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169172,0.0166669,0.109484098851681,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169176,0.0166669,0.126150999218225,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169178,0.0166671,0.142818098887801,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169182,0.016667,0.159485097974539,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169184,0.0166675,0.176152598112822,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169190,0.0166665,0.192819098010659,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169192,0.0166666,0.209485698491335,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169196,0.0166673,0.226152999326587,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169198,0.0166664,0.242819398641586,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169202,0.0166668,0.259486198425293,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169204,0.0166669,0.276153098791838,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169210,0.0166676,0.292820699512959,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169212,0.0166658,0.30948649905622,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169216,0.0166676,0.326154099777341,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169218,0.0166673,0.342821400612593,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169222,0.0166663,0.359487701207399,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169224,0.0166668,0.376154500991106,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169230,0.0166678,0.392822301015258,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169232,0.0166668,0.409489100798965,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169236,0.0166663,0.426155401393771,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169238,0.0166669,0.442822301760316,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169242,0.0166676,0.459489902481437,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169246,0.0166662,0.476156102493405,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169250,0.0166676,0.492823703214526,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
