F,DT,T,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ,HMDRotationW
372932,0.0175764,0.0175764001905918,-2.328841,0.452355,-1.613653,0.1179679,0.1393469,-0.05629744,0.9815786
372936,0.0166682,0.0342446006834507,-2.328934,0.4523395,-1.613731,0.1178811,0.1393297,-0.05665453,0.981571
372938,0.0166668,0.0509114004671574,-2.328963,0.4523557,-1.613767,0.1177786,0.1392966,-0.05685772,0.9815762
372942,0.0166666,0.0675780009478331,-2.329001,0.452375,-1.613843,0.1175032,0.1392208,-0.05719731,0.9816003
372944,0.0166669,0.0842449013143778,-2.329009,0.4524035,-1.61385,0.1173451,0.1391841,-0.05731076,0.9816177
372948,0.0166668,0.100911701098084,-2.329072,0.4523781,-1.613918,0.1169363,0.1390636,-0.05753285,0.9816706
372950,0.0166668,0.117578500881791,-2.329038,0.4524082,-1.613869,0.1167752,0.138999,-0.05758211,0.9816961
372956,0.017515,0.135093500837684,-2.328967,0.452448,-1.613782,0.1164709,0.1388623,-0.05759799,0.9817507
372958,0.0166667,0.151760200038552,-2.328956,0.4525298,-1.613717,0.116399,0.138808,-0.05758761,0.9817675
372962,0.0166675,0.168427700176835,-2.328892,0.4525586,-1.61363,0.1163958,0.1387395,-0.05757607,0.9817782
372964,0.0166714,0.18509910069406,-2.328977,0.452597,-1.61366,0.1164805,0.1387298,-0.05758236,0.9817691
372968,0.0166652,0.201764300465584,-2.328992,0.4525512,-1.613647,0.1166971,0.1387372,-0.05762221,0.9817401
372972,0.0166667,0.218430999666452,-2.328945,0.4525519,-1.613633,0.1168054,0.1387559,-0.05764733,0.9817231
372976,0.0166669,0.235097900032997,-2.328887,0.4525241,-1.613556,0.1169764,0.1387965,-0.05762856,0.981698
372978,0.0166666,0.251764500513673,-2.328891,0.4524714,-1.613566,0.1170592,0.1388022,-0.05762362,0.9816877
372982,0.0166681,0.268432600423694,-2.328917,0.452429,-1.613512,0.1172242,0.1387493,-0.05757615,0.9816782
372984,0.0166686,0.285101199522614,-2.328935,0.4523742,-1.613513,0.1173415,0.1386829,-0.05756338,0.9816744
372990,0.0166659,0.301767099648714,-2.328859,0.452406,-1.613347,0.1175503,0.1384791,-0.05758362,0.9816769
372992,0.0166682,0.318435300141573,-2.328846,0.4524015,-1.613312,0.1176266,0.1383427,-0.05760894,0.9816856
372996,0.0166657,0.335101000964642,-2.328801,0.452398,-1.613146,0.1177365,0.1380871,-0.05764381,0.9817063
372998,0.0166668,0.351767800748348,-2.328802,0.4523891,-1.613129,0.1177379,0.1379395,-0.05767737,0.9817249
373002,0.0166679,0.368435701355338,-2.328721,0.4523511,-1.613013,0.117747,0.1376484,-0.05771879,0.9817623
373004,0.0166674,0.385103100910783,-2.328675,0.4523199,-1.612967,0.1177323,0.137551,-0.05773996,0.9817764
373010,0.0166659,0.401769001036882,-2.328668,0.4522559,-1.612915,0.1177636,0.1374255,-0.05788236,0.9817819
373012,0.0166668,0.418435800820589,-2.328637,0.4522339,-1.61288,0.1178387,0.1374106,-0.05799052,0.9817685
373016,0.0166669,0.435102701187134,-2.328536,0.4521627,-1.612817,0.1179769,0.1374547,-0.058129,0.9817376
373018,0.0166668,0.45176950097084,-2.328543,0.4521012,-1.612792,0.1180495,0.1375061,-0.05820841,0.981717
373022,0.0166669,0.468436401337385,-2.328497,0.4520501,-1.612684,0.1180957,0.1376228,-0.05844016,0.9816813
373024,0.0166672,0.485103601589799,-2.328459,0.4520313,-1.612608,0.1180943,0.1376617,-0.05856255,0.9816687
373028,0.0166668,0.501770401373506,-2.328359,0.4519936,-1.61246,0.1181496,0.1377251,-0.05881359,0.9816381
373030,0.0166668,0.518437201157212,-2.328339,0.451961,-1.612411,0.1182674,0.1377205,-0.05886574,0.9816215
373036,0.0166674,0.535104600712657,-2.328345,0.4519002,-1.612331,0.1186511,0.1377137,-0.05888168,0.9815752
373038,0.0166666,0.551771201193333,-2.328313,0.4518714,-1.612273,0.1188921,0.1376938,-0.05887308,0.9815494
373042,0.0166773,0.568448500707746,-2.328316,0.4517948,-1.612168,0.1193133,0.1376306,-0.05884848,0.9815086
373044,0.016667,0.585115499794483,-2.328301,0.4517985,-1.612063,0.1194868,0.1375881,-0.05884157,0.9814938
373048,0.0166672,0.601782700046897,-2.328247,0.4517434,-1.611899,0.1197552,0.137433,-0.05888618,0.9814802
373052,0.0166666,0.618449300527573,-2.328258,0.4517227,-1.611844,0.1198603,0.1373912,-0.05890774,0.9814719
373056,0.0166669,0.635116200894117,-2.328298,0.4516557,-1.611781,0.1199927,0.1373524,-0.05890438,0.9814613
373058,0.016667,0.651783199980855,-2.328311,0.4516357,-1.611741,0.1200565,0.1373515,-0.05888277,0.981455
373062,0.0166668,0.668449999764562,-2.328324,0.4516198,-1.6117,0.1201251,0.1373304,-0.05877526,0.981456
373064,0.0166684,0.685118399560452,-2.328376,0.4516129,-1.61172,0.1201324,0.1373453,-0.05870612,0.9814571
373068,0.0166668,0.701785199344158,-2.328362,0.45163,-1.611762,0.1200428,0.1373685,-0.05855993,0.9814736
373072,0.016666,0.718451200053096,-2.328404,0.4516518,-1.611853,0.1199739,0.1373853,-0.0585108,0.9814826
373076,0.0166667,0.735117899253964,-2.328347,0.451684,-1.611966,0.1198901,0.1373964,-0.05846392,0.9814941
373078,0.016667,0.751784898340702,-2.328317,0.4517063,-1.611967,0.1198926,0.1374472,-0.05843705,0.9814883
373082,0.0166672,0.768452098593116,-2.3282,0.4516326,-1.612076,0.1198969,0.1375467,-0.05839615,0.9814762
373084,0.0166675,0.785119598731399,-2.328193,0.4516889,-1.612185,0.1199125,0.1376296,-0.05839472,0.9814628
373088,0.0166665,0.801786098629236,-2.327998,0.4516036,-1.612264,0.1199351,0.1377845,-0.05843084,0.9814361
373092,0.0166675,0.818453598767519,-2.327935,0.4516914,-1.612285,0.1199221,0.1379046,-0.05846258,0.981419
373096,0.0166667,0.835120297968388,-2.327765,0.4516962,-1.612336,0.1198203,0.1380845,-0.05859598,0.9813982
373098,0.0166667,0.851786997169256,-2.327703,0.4516944,-1.612357,0.1197705,0.1381898,-0.05868061,0.9813843
373102,0.0166675,0.868454497307539,-2.32762,0.4516787,-1.612384,0.1196522,0.1383622,-0.0588925,0.9813618
373104,0.0166662,0.885120697319508,-2.327472,0.4517012,-1.612359,0.1196207,0.1384592,-0.05901145,0.9813448
373108,0.0166667,0.901787396520376,-2.327134,0.4516494,-1.612232,0.1196318,0.1386067,-0.05926836,0.9813071
373112,0.016668,0.918455395847559,-2.327048,0.4516158,-1.612155,0.1196673,0.1386799,-0.05935249,0.9812874
373116,0.0166662,0.935121595859528,-2.32679,0.4516613,-1.612037,0.1197374,0.1388145,-0.0595587,0.9812473
373118,0.0166674,0.951788995414972,-2.326803,0.4515856,-1.612021,0.1197435,0.1388747,-0.05962792,0.9812339
373122,0.0166664,0.968455394729972,-2.326689,0.4516189,-1.611992,0.1197672,0.1390154,-0.05974837,0.9812037
373124,0.0166676,0.985122995451093,-2.326614,0.451616,-1.611973,0.119778,0.1390748,-0.05980471,0.9811905
373128,0.0166667,1.00178969465196,-2.326425,0.4515527,-1.61189,0.1197786,0.1391607,-0.05993794,0.9811701
373132,0.0166673,1.01845699548721,-2.326429,0.4515457,-1.611904,0.1197451,0.1392147,-0.05999534,0.9811631
373136,0.0166681,1.03512509539723,-2.326411,0.4514114,-1.611778,0.1197042,0.1393598,-0.06013253,0.9811391
373138,0.0166653,1.0517903957516,-2.326437,0.4513789,-1.6118,0.1196766,0.1394531,-0.06017875,0.9811263
373142,0.0166674,1.06845779530704,-2.326335,0.4513089,-1.611778,0.1196342,0.139677,-0.06028334,0.9810933
