F,DT,T,LeapPos_X,LeapPos_Y,LeapPos_Z,LeapRot_X,LeapRot_Y,LeapRot_Z,LeapRot_W,Grab,Pinch,cmdPos_X,cmdPos_Y,cmdPos_Z,cmdRot_X,cmdRot_Y,cmdRot_Z,cmdRot_W
251978,0.021693,0.0216930005699396,1.182085,0.2189276,-0.293355,-0.5211304,0.2638842,-0.7450106,-0.3220986,0,0,0.3229241,0.232551,0.2338873,0.9960774,-0.03843898,0.07968976,-0.001378093
251980,0.0223979,0.0440909005701542,1.181774,0.2173563,-0.2957057,0.5184559,-0.2663049,0.745986,0.3221647,0,0,0.323355,0.2320854,0.2339276,0.9963827,-0.03809738,0.07586723,0.003807557
251984,0.016668,0.060758899897337,1.181597,0.2162113,-0.2957421,-0.5203083,0.2591998,-0.7475787,-0.3212801,0,0,0.3257056,0.2317736,0.2323563,0.9964442,-0.0347192,0.07659169,0.005231501
251988,0.016667,0.0774258989840746,1.181542,0.2169811,-0.2953255,0.5238185,-0.2500724,0.7503666,0.3162721,0,0,0.3257421,0.2315972,0.2312114,0.9967107,-0.03770381,0.0717377,0.0002622169
251992,0.0212119,0.0986377988010645,1.181587,0.2167183,-0.2955108,0.5273839,-0.2420961,0.7509193,0.3152396,0,0,0.3253255,0.2315424,0.2319811,0.9968169,-0.04123781,0.06754397,-0.009657181
251994,0.0166675,0.115305298939347,1.181324,0.2168385,-0.2965905,-0.5318416,0.2276656,-0.7547167,-0.3093792,0,0,0.3255108,0.2315871,0.2317183,0.9968292,-0.04632129,0.06289731,-0.0151591
252000,0.0166671,0.131972398608923,1.18077,0.2171757,-0.2967438,-0.5313967,0.2265122,-0.756029,-0.3077824,0,0,0.3265905,0.2313244,0.2318385,0.9967239,-0.05178437,0.05505808,-0.02878131
252002,0.0166666,0.148638999089599,1.180759,0.2173788,-0.2967201,0.5317351,-0.2229232,0.7566685,0.3082464,0,0,0.3267438,0.2307704,0.2321757,0.996739,-0.05087736,0.05446189,-0.03093115
252006,0.0166677,0.165306698530912,1.180354,0.2170444,-0.2971634,0.5336255,-0.2227017,0.7557044,0.3075039,0,0,0.3267201,0.2307587,0.2323788,0.9967818,-0.05219145,0.05141243,-0.03254088
252008,0.0168872,0.182193897664547,1.180774,0.2174047,-0.2967663,0.5339341,-0.2200856,0.7568771,0.3059635,0,0,0.3271633,0.2303544,0.2320444,0.9966041,-0.05403927,0.05245193,-0.03330068
252012,0.0166675,0.19886139780283,1.180924,0.216688,-0.2968471,-0.5342712,0.2173045,-0.7580055,-0.3045665,0,0,0.3267662,0.2307742,0.2324047,0.9965647,-0.05430831,0.05097559,-0.03620471
