F,DT,T,Pos_X,Pos_Y,Pos_Z,Rot_X,Rot_Y,Rot_Z,Rot_W,Grip_pos,Grip_vel,Grip_eff
276792,0.0256328,0.0256328005343676,0.2118192,0.3657404,0.3265383,0.02518109,0.08973806,0.9921136,0.08380698,0.0398734584450722,0,0
276798,0.0166683,0.0423010997474194,0.2118311,0.3656804,0.3264863,0.02500742,0.08970738,0.9921195,0.08382208,0.0398734584450722,0,0
276800,0.0190822,0.0613832995295525,0.2118311,0.3656804,0.3264863,0.02500742,0.08970738,0.9921195,0.08382208,0.0398734584450722,0,0
276804,0.0166674,0.0780506990849972,0.2118681,0.3655498,0.3263611,0.02475136,0.08963818,0.9921286,0.08386482,0.0398734584450722,0,0
276806,0.0174468,0.0954974982887506,0.2118681,0.3655498,0.3263611,0.02475136,0.08963818,0.9921286,0.08386482,0.0398734584450722,0,0
276810,0.0166672,0.112164698541164,0.2119049,0.3654661,0.3262799,0.02465044,0.08958645,0.9921332,0.08389445,0.0398734584450722,0,0
276812,0.0166667,0.128831397742033,0.2119049,0.3654661,0.3262799,0.02465044,0.08958645,0.9921332,0.08389445,0.0398734584450722,0,0
276818,0.016668,0.145499397069216,0.2120033,0.3653831,0.3261816,0.02462728,0.08955043,0.9921341,0.0839294,0.0398734584450722,0,0
276820,0.0166655,0.162164896726608,0.2120033,0.3653831,0.3261816,0.02462728,0.08955043,0.9921341,0.0839294,0.0398734584450722,0,0
276824,0.0166681,0.178832996636629,0.2121371,0.3653262,0.3260961,0.02455631,0.08954488,0.9921357,0.08393721,0.0398734584450722,0,0
276826,0.0189314,0.19776439666748,0.2121371,0.3653262,0.3260961,0.02455631,0.08954488,0.9921357,0.08393721,0.0398734584450722,0,0
276830,0.0166687,0.214433096349239,0.212277,0.3652644,0.326011,0.02446776,0.08953744,0.9921375,0.08394954,0.0398734584450722,0,0
276832,0.0166654,0.231098495423794,0.212277,0.3652644,0.326011,0.02446776,0.08953744,0.9921375,0.08394954,0.0398734584450722,0,0
276838,0.0166683,0.247766794636846,0.212277,0.3652644,0.326011,0.02446776,0.08953744,0.9921375,0.08394954,0.0398734584450722,0,0
276840,0.016666,0.264432795345783,0.2124087,0.3651944,0.325931,0.02445673,0.08951633,0.992137,0.08398088,0.0398734584450722,0,0
276844,0.0166682,0.281100995838642,0.2124087,0.3651944,0.325931,0.02445673,0.08951633,0.992137,0.08398088,0.0398734584450722,0,0
276846,0.0166651,0.297766095027328,0.2124087,0.3651944,0.325931,0.02445673,0.08951633,0.992137,0.08398088,0.0398734584450722,0,0
276850,0.0166689,0.314434995874763,0.2126794,0.3651,0.325769,0.02449499,0.08950478,0.9921353,0.08400249,0.0398734584450722,0,0
276852,0.0166652,0.331100195646286,0.2126794,0.3651,0.325769,0.02449499,0.08950478,0.9921353,0.08400249,0.0398734584450722,0,0
276856,0.016668,0.347768194973469,0.2126794,0.3651,0.325769,0.02449499,0.08950478,0.9921353,0.08400249,0.0398734584450722,0,0
276858,0.016667,0.364435194060206,0.2127818,0.3650688,0.3257036,0.02444463,0.08951081,0.9921362,0.08399961,0.0398734584450722,0,0
276862,0.0166668,0.381101993843913,0.2128676,0.3650621,0.3256501,0.02442064,0.08953711,0.9921355,0.08398768,0.0398734584450722,0,0
276866,0.016667,0.397768992930651,0.2128676,0.3650621,0.3256501,0.02442064,0.08953711,0.9921355,0.08398768,0.0398734584450722,0,0
276870,0.0166677,0.414436692371964,0.2128676,0.3650621,0.3256501,0.02442064,0.08953711,0.9921355,0.08398768,0.0398734584450722,0,0
276874,0.0166666,0.43110329285264,0.2129237,0.3650614,0.3256131,0.02441399,0.08955961,0.9921343,0.08397996,0.0398734584450722,0,0
276878,0.0166664,0.44776969216764,0.2129237,0.3650614,0.3256131,0.02441399,0.08955961,0.9921343,0.08397996,0.0398734584450722,0,0
276880,0.016666,0.464435692876577,0.2129565,0.3650606,0.325592,0.0243312,0.08958051,0.9921352,0.08397108,0.0398734584450722,0,0
276884,0.0166674,0.481103092432022,0.2129565,0.3650606,0.325592,0.0243312,0.08958051,0.9921352,0.08397108,0.0398734584450722,0,0
276886,0.0166662,0.497769292443991,0.2129859,0.3650623,0.3255729,0.02435674,0.08959407,0.9921334,0.08396973,0.0398734584450722,0,0
276890,0.0166681,0.514437392354012,0.2129859,0.3650623,0.3255729,0.02435674,0.08959407,0.9921334,0.08396973,0.0398734584450722,0,0
276896,0.0183999,0.532837292179465,0.2129859,0.3650623,0.3255729,0.02435674,0.08959407,0.9921334,0.08396973,0.0398734584450722,0,0
276898,0.0180039,0.550841191783547,0.2130434,0.3650616,0.325535,0.02427989,0.08962844,0.992133,0.0839606,0.0398734584450722,0,0
276900,0.0166686,0.567509790882468,0.2130434,0.3650616,0.325535,0.02427989,0.08962844,0.992133,0.0839606,0.0398734584450722,0,0
276904,0.0166665,0.584176290780306,0.2130825,0.3650626,0.3255105,0.02429886,0.08964371,0.9921314,0.0839571,0.0398734584450722,0,0
276906,0.0166683,0.600844589993358,0.2131493,0.3650631,0.325467,0.02430003,0.08966793,0.9921302,0.08394562,0.0398734584450722,0,0
276910,0.0166656,0.617510190233588,0.2131493,0.3650631,0.325467,0.02430003,0.08966793,0.9921302,0.08394562,0.0398734584450722,0,0
276912,0.0166687,0.634178889915347,0.2131493,0.3650631,0.325467,0.02430003,0.08966793,0.9921302,0.08394562,0.0398734584450722,0,0
276918,0.016668,0.65084688924253,0.2132093,0.3650642,0.3254266,0.02430079,0.08968768,0.9921296,0.08393059,0.0398734584450722,0,0
276920,0.0166661,0.66751298867166,0.2132093,0.3650642,0.3254266,0.02430079,0.08968768,0.9921296,0.08393059,0.0398734584450722,0,0
276924,0.0166663,0.684179289266467,0.2132515,0.3650697,0.3254004,0.02427499,0.08970857,0.9921296,0.08391574,0.0398734584450722,0,0
276926,0.0166687,0.700847988948226,0.2132515,0.3650697,0.3254004,0.02427499,0.08970857,0.9921296,0.08391574,0.0398734584450722,0,0
276930,0.0166662,0.717514188960195,0.2132515,0.3650697,0.3254004,0.02427499,0.08970857,0.9921296,0.08391574,0.0398734584450722,0,0
276932,0.016667,0.734181188046932,0.2132515,0.3650697,0.3254004,0.02427499,0.08970857,0.9921296,0.08391574,0.0398734584450722,0,0
276938,0.0166678,0.750848988071084,0.2132953,0.3650796,0.3253718,0.02428635,0.08972967,0.9921289,0.08389851,0.0398734584450722,0,0
276940,0.0166659,0.767514888197184,0.2132953,0.3650796,0.3253718,0.02428635,0.08972967,0.9921289,0.08389851,0.0398734584450722,0,0
276944,0.0166674,0.784182287752628,0.2133461,0.3651894,0.3253833,0.02424704,0.08985013,0.992126,0.08381504,0.0398734584450722,0,0
276946,0.0166665,0.800848787650466,0.2133461,0.3651894,0.3253833,0.02424704,0.08985013,0.992126,0.08381504,0.0398734584450722,0,0
276950,0.0166667,0.817515486851335,0.2133461,0.3651894,0.3253833,0.02424704,0.08985013,0.992126,0.08381504,0.0398734584450722,0,0
276952,0.0166667,0.834182186052203,0.2133736,0.3653325,0.3254358,0.02419753,0.08998989,0.9921228,0.08371803,0.0398734584450722,0,0
276958,0.016667,0.850849185138941,0.2134055,0.3655272,0.3254964,0.02415303,0.09018058,0.9921178,0.08358467,0.0398734584450722,0,0
276960,0.0166675,0.867516685277224,0.2134055,0.3655272,0.3254964,0.02415303,0.09018058,0.9921178,0.08358467,0.0398734584450722,0,0
276964,0.0166668,0.88418348506093,0.2134316,0.3657384,0.3255469,0.0241065,0.09039026,0.9921124,0.08343506,0.0398734584450722,0,0
276966,0.0166675,0.900850985199213,0.2134316,0.3657384,0.3255469,0.0241065,0.09039026,0.9921124,0.08343506,0.0398734584450722,0,0
276972,0.0166673,0.917518286034465,0.2134473,0.36593,0.3255834,0.02405934,0.09058005,0.9921076,0.0832997,0.0398734584450722,0,0
