F,DT,T,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ,HMDRotationW
419356,0.0215077,0.0215077009052038,0.9118562,0.556465,-0.725473,0.09837482,0.02126629,-0.003135925,0.9949173
419358,0.0173806,0.0388883017003536,0.9118404,0.5564905,-0.7255228,0.09838312,0.02127402,-0.003126695,0.9949163
419362,0.0166681,0.0555564016103745,0.9118384,0.5565168,-0.725578,0.09834658,0.02126034,-0.003123489,0.9949203
419366,0.016667,0.0722234006971121,0.9118401,0.5565503,-0.7257255,0.09823468,0.02113147,-0.003101916,0.9949341
419370,0.0166659,0.0888893008232117,0.9118143,0.5565722,-0.7257943,0.0981588,0.02102292,-0.003093532,0.9949439
419372,0.0179746,0.106863901019096,0.9118119,0.5565939,-0.7258513,0.09811614,0.02095211,-0.00312559,0.9949495
419376,0.0166697,0.1235336009413,0.9117765,0.5566005,-0.7259448,0.09804948,0.02078797,-0.003240557,0.9949592
419380,0.0166643,0.140197901055217,0.9117832,0.5566419,-0.7260019,0.09799363,0.0207102,-0.003295089,0.9949661
419384,0.0166679,0.156865801662207,0.911797,0.5566672,-0.7260564,0.09787187,0.02059669,-0.003441642,0.9949799
419386,0.0166658,0.173531601205468,0.9118001,0.556689,-0.7260775,0.09783409,0.02055654,-0.003520203,0.9949842
419390,0.0166675,0.190199101343751,0.9117923,0.5567223,-0.7261451,0.09768073,0.02056399,-0.003632901,0.9949987
419392,0.0166662,0.20686530135572,0.9118085,0.5567496,-0.7261671,0.09759114,0.02054976,-0.003685239,0.9950076
419396,0.0166678,0.223533101379871,0.9118689,0.5567656,-0.7261794,0.09739286,0.02062221,-0.003840345,0.995025
419400,0.0166659,0.240199001505971,0.9119055,0.5568061,-0.7261587,0.09733127,0.02065785,-0.003935618,0.9950299
419404,0.0166679,0.256866902112961,0.9119686,0.5568199,-0.7260845,0.09721386,0.02071762,-0.004159564,0.9950392
419406,0.0166658,0.273532701656222,0.9119994,0.5568309,-0.7260364,0.09721413,0.02074718,-0.00430014,0.995038
419410,0.016669,0.29020170122385,0.9120474,0.5568271,-0.7259372,0.09722026,0.02082752,-0.004607381,0.9950343
419412,0.0166653,0.306867001578212,0.9120753,0.5568353,-0.7258711,0.09725837,0.02088761,-0.004691342,0.9950289
419418,0.0166679,0.323534902185202,0.9121481,0.5567878,-0.7257222,0.09735188,0.02103264,-0.004730623,0.9950165
419420,0.0178347,0.341369602829218,0.9121659,0.5567864,-0.7256351,0.09742545,0.02112869,-0.004703548,0.9950075
419424,0.0166698,0.35803940333426,0.9122289,0.5566878,-0.7254499,0.09761422,0.02135627,-0.004722107,0.994984
419426,0.0170706,0.375110004097223,0.9122534,0.5566616,-0.7253435,0.09779194,0.02142875,-0.004798148,0.9949646
419430,0.016672,0.391782004386187,0.9123135,0.5565685,-0.7251104,0.09814393,0.02160189,-0.004929832,0.9949256
419434,0.0193805,0.411162504926324,0.9123486,0.5565231,-0.7249913,0.09834436,0.02165752,-0.004994833,0.9949042
419438,0.0166675,0.427830005064607,0.9123859,0.5564101,-0.7247731,0.09878337,0.02175817,-0.0049728,0.9948587
419440,0.0166657,0.444495705887675,0.9124058,0.5563905,-0.7246289,0.09901434,0.02177516,-0.004912543,0.9948356
419444,0.0166679,0.461163606494665,0.9124434,0.5563061,-0.7243705,0.09943077,0.02174129,-0.004811989,0.9947953
419446,0.0166658,0.477829406037927,0.9124432,0.5562443,-0.7242447,0.09965904,0.02168922,-0.004781794,0.9947737
419452,0.0166671,0.494496505707502,0.9124468,0.5560697,-0.7240201,0.1001024,0.02154412,-0.004810801,0.9947323
419454,0.0167899,0.511286405846477,0.912456,0.5559759,-0.723909,0.1003319,0.02144982,-0.004826541,0.9947111
419458,0.0166678,0.527954205870628,0.9124258,0.5558097,-0.7236816,0.1007341,0.02126109,-0.004783025,0.9946747
419460,0.0172571,0.545211305841804,0.9124159,0.555739,-0.7235711,0.1009226,0.02114304,-0.004735737,0.9946584
419466,0.0166683,0.561879605054855,0.9123994,0.5555446,-0.7233368,0.1013141,0.02090358,-0.004610544,0.9946242
419468,0.0192143,0.581093905493617,0.9123739,0.5554817,-0.7232264,0.1014901,0.02078728,-0.004491031,0.9946092
419472,0.0166679,0.597761806100607,0.9123667,0.5553257,-0.7229735,0.1018056,0.02057273,-0.004386385,0.9945819
419474,0.0182224,0.61598420701921,0.9123604,0.555275,-0.7228562,0.1019952,0.02050504,-0.004367149,0.9945639
