F,DT,T,LeapPos_X,LeapPos_Y,LeapPos_Z,LeapRot_X,LeapRot_Y,LeapRot_Z,LeapRot_W,Grab,Pinch,cmdPos_X,cmdPos_Y,cmdPos_Z,cmdRot_X,cmdRot_Y,cmdRot_Z,cmdRot_W
440398,0.0209717,0.0209717005491257,1.06895,0.1728133,-0.4113456,-0.5599233,0.3476073,-0.6729693,-0.3358087,0.0730641260743141,0,0.441321,0.1187728,0.1887644,0.9818,-0.07522825,0.1602699,0.06872404
440400,0.0166672,0.0376389008015394,1.069252,0.1722605,-0.4114789,0.560382,-0.347847,0.6729864,0.3347591,0.0743301883339882,0,0.4413456,0.1189503,0.1878133,0.980985,-0.07603303,0.1641432,0.07031696
440404,0.0168227,0.0544616002589464,1.069054,0.1714565,-0.4113177,0.5604754,-0.3504728,0.671325,0.3352,0.0749699547886848,0,0.4414788,0.1192521,0.1872605,0.9809,-0.0760737,0.1649774,0.06950142
440406,0.0171353,0.0715969000011683,1.06922,0.17129,-0.4113199,0.5605679,-0.3520902,0.6702573,0.3354869,0.0784181281924248,0,0.4413177,0.1190537,0.1864565,0.9803642,-0.07610637,0.1672209,0.07163142
440410,0.0166676,0.0882645007222891,1.069502,0.1706903,-0.4109281,-0.5613155,0.352156,-0.6698845,-0.3349117,0.0844053328037262,0,0.4413199,0.1192202,0.18629,0.9800212,-0.07617772,0.1686174,0.07296326
440414,0.0166661,0.10493060015142,1.069676,0.1706738,-0.4109138,-0.5615372,0.3530733,-0.6693331,-0.3346767,0.0904555395245552,0,0.4409281,0.1195015,0.1856903,0.979893,-0.0767903,0.1692785,0.07251094
440418,0.0166678,0.121598400175571,1.06984,0.1703169,-0.4104519,-0.5619986,0.3530264,-0.6690331,-0.3345515,0.0904969871044159,0,0.4409138,0.1196763,0.1856738,0.9796817,-0.07685196,0.1703034,0.07289929
440420,0.0166661,0.138264499604702,1.06986,0.1702003,-0.4102253,-0.5621623,0.3539636,-0.6683194,-0.3347127,0.0924440249800682,0,0.4404518,0.1198404,0.1853169,0.9796087,-0.07734279,0.1705505,0.0727835
440424,0.0166678,0.154932299628854,1.069887,0.1698278,-0.4097949,0.5628159,-0.3544157,0.6675461,0.3346792,0.0938593745231628,0,0.4402252,0.1198605,0.1852003,0.9793852,-0.07751372,0.171421,0.07356048
440426,0.0166668,0.17159909941256,1.069919,0.1696509,-0.4096316,0.5628873,-0.355108,0.6671479,0.334619,0.0894823223352432,0,0.4397949,0.1198874,0.1848278,0.9791712,-0.07822296,0.1721856,0.0738726
440430,0.0166673,0.188266400247812,1.069643,0.1695535,-0.40927,0.5637801,-0.354448,0.6666713,0.3347658,0.0907162129878998,0,0.4396316,0.1199195,0.184651,0.9790218,-0.0782112,0.1728672,0.07427215
440432,0.0166667,0.204933099448681,1.069538,0.1694362,-0.409319,0.5640285,-0.3553029,0.6660883,0.3346014,0.0922995284199715,0,0.43927,0.1196428,0.1845535,0.9789737,-0.07939462,0.1726951,0.07405071
440438,0.0166676,0.221600700169802,1.069288,0.1694975,-0.4096342,-0.5644912,0.355362,-0.6655765,-0.3347768,0.0926240831613541,0,0.439319,0.1195381,0.1844362,0.9787612,-0.07952904,0.1736544,0.07447037
440440,0.0171119,0.238712599501014,1.069217,0.1692369,-0.4096942,0.5647304,-0.3555779,0.6653705,0.3345535,0.0922986641526222,0,0.4396341,0.1192876,0.1844975,0.9786503,-0.08014821,0.1738904,0.07471319
440444,0.0166681,0.255380699411035,1.06902,0.1689836,-0.4099465,-0.5653655,0.3556416,-0.6647517,-0.3346433,0.0923576876521111,0,0.4396942,0.1192167,0.1842369,0.9785699,-0.08030849,0.1742917,0.07465885
440446,0.0166658,0.272046498954296,1.068698,0.1687843,-0.4100323,0.565982,-0.3563451,0.6635411,0.3352547,0.0932426750659943,0,0.4399465,0.1190203,0.1839836,0.978427,-0.08109256,0.1746545,0.07483638
440450,0.0166678,0.288714298978448,1.068402,0.1685863,-0.4102647,-0.5664157,0.3574825,-0.6624291,-0.3355104,0.0925065577030182,0,0.4400322,0.1186976,0.1837843,0.9781317,-0.08202954,0.1753965,0.07593145
440454,0.0167386,0.305452898144722,1.068285,0.1680956,-0.4102893,-0.56727,0.3569245,-0.661899,-0.3357074,0.0909945294260979,0,0.4402647,0.1184022,0.1835863,0.9777986,-0.08254904,0.1765597,0.07695583
440458,0.0166668,0.322119697928429,1.06819,0.1678208,-0.4104374,0.567481,-0.35703,0.6618477,0.3353394,0.0869386866688728,0,0.4402893,0.1182846,0.1830956,0.9777302,-0.08370271,0.1764423,0.07684849
440460,0.0193896,0.34150929749012,1.068084,0.1675211,-0.4105287,-0.5673383,0.3572965,-0.6617721,-0.3354461,0.087656132876873,0,0.4404374,0.1181898,0.1828208,0.9776836,-0.08377563,0.1767814,0.07658171
440464,0.0166687,0.358177997171879,1.067724,0.1670463,-0.4104639,-0.5679534,0.3569678,-0.6615392,-0.3352148,0.0881774574518204,0,0.4405287,0.118084,0.1825211,0.9776526,-0.08362968,0.1769071,0.07684702
440466,0.016666,0.374843997880816,1.067595,0.1668468,-0.4105462,0.5683946,-0.3569744,0.6613774,0.3347787,0.0878192707896233,0,0.4404639,0.1177241,0.1820463,0.9776059,-0.08428455,0.177022,0.07645984
440470,0.0166682,0.391512198373675,1.067554,0.1664357,-0.4102694,0.5691785,-0.3562112,0.6614389,0.3341377,0.0878778174519539,0,0.4405462,0.1175953,0.1818468,0.9775353,-0.08460899,0.1774194,0.07608189
440474,0.0166657,0.408177899196744,1.067577,0.1661521,-0.4103104,0.5697126,-0.3559839,0.6613209,0.333703,0.0859021469950676,0,0.4402694,0.1175535,0.1814357,0.9775617,-0.08532073,0.1773803,0.07503175
440478,0.0166672,0.424845099449158,1.067416,0.165662,-0.4099532,0.5698675,-0.3558206,0.6612712,0.3337112,0.086102120578289,0,0.4403104,0.1175768,0.1811521,0.9775186,-0.08577918,0.1776166,0.07451022
440480,0.0166668,0.441511899232864,1.067425,0.1654154,-0.4099097,-0.5692956,0.3563074,-0.6613528,-0.3340059,0.0871877521276474,0,0.4399531,0.1174156,0.180662,0.9775195,-0.08598226,0.1775495,0.07442404
440484,0.0166683,0.458180198445916,1.067064,0.1650878,-0.4096217,0.5689126,-0.3565755,0.6614279,0.3342239,0.0884628370404243,0,0.4399096,0.1174247,0.1804154,0.977524,-0.08539078,0.1775766,0.07497799
440486,0.0166657,0.474845899268985,1.066974,0.1648867,-0.4095578,0.5687503,-0.3568652,0.661643,0.3337647,0.0896390080451965,0,0.4396217,0.1170637,0.1800878,0.9775377,-0.08500956,0.1775353,0.075331
440494,0.0166677,0.491513598710299,1.066926,0.1644512,-0.4098833,0.5684952,-0.3589073,0.6607554,0.333768,0.0903758406639099,0,0.4395578,0.1169744,0.1798867,0.9775335,-0.08458166,0.1778738,0.07506711
440498,0.0268268,0.518340399488807,1.067309,0.1643035,-0.4100361,-0.5695203,0.3579341,-0.6610428,-0.3324941,0.0797202661633492,0,0.4398833,0.1169263,0.1794512,0.9771625,-0.08408761,0.1795759,0.07638803
440500,0.0190477,0.537388099357486,1.067325,0.1643845,-0.4099118,-0.5691115,0.3579912,-0.6616607,-0.3319029,0.0832869932055473,0,0.4400361,0.1173087,0.1793035,0.9772132,-0.0848186,0.1797029,0.07461309
440506,0.0166677,0.5540557987988,1.068201,0.1644556,-0.4096836,-0.5696098,0.3564694,-0.6626247,-0.3307612,0.0825837180018425,0,0.4399118,0.1173254,0.1793845,0.977313,-0.08406167,0.179748,0.07405046
440510,0.0279599,0.582015698775649,1.068265,0.1646479,-0.4095278,0.5700349,-0.356729,0.6620665,0.3308665,0.0837572813034058,0,0.4396836,0.1182006,0.1794556,0.9775745,-0.08428292,0.1790538,0.07200166
440514,0.0225956,0.604611298069358,1.068172,0.1648391,-0.4094975,0.5699881,-0.3569677,0.6620811,0.3306603,0.0834117978811264,0,0.4395278,0.1182655,0.1796478,0.9774289,-0.08480942,0.1794767,0.07230741
440518,0.0166671,0.621278397738934,1.068167,0.1650947,-0.4091988,-0.5706349,0.3552771,-0.6626369,-0.3302521,0.0843595936894417,0,0.4394974,0.1181722,0.1798391,0.9773985,-0.08463822,0.1797406,0.0722624
440520,0.0180073,0.639285698533058,1.067822,0.1654133,-0.4091459,0.5704207,-0.3560112,0.6621297,0.3308482,0.0825830921530724,0,0.4391987,0.1181667,0.1800947,0.977628,-0.0853844,0.1787114,0.07081908
440524,0.0166673,0.65595299936831,1.067902,0.1655872,-0.4087094,-0.5711381,0.3533474,-0.6630848,-0.3305531,0.0849188268184662,0,0.4391458,0.1178215,0.1804133,0.9774969,-0.08532767,0.1790432,0.07185196
440526,0.0168762,0.672829199582338,1.067664,0.165776,-0.4086463,-0.5709963,0.3537683,-0.6629536,-0.3306113,0.0801512822508812,0,0.4387094,0.1179021,0.1805872,0.9779006,-0.08630533,0.1771367,0.06988826
440530,0.016668,0.689497198909521,1.067476,0.1660023,-0.4088613,-0.5705206,0.3552121,-0.6621193,-0.331555,0.07546316832304,0,0.4386463,0.1176642,0.180776,0.9778429,-0.08612179,0.1774184,0.07020681
440534,0.0166658,0.706162998452783,1.06728,0.1661299,-0.4089052,0.5700207,-0.3559225,0.6619461,0.3319985,0.0747087672352791,0,0.4388613,0.1174758,0.1810023,0.9776078,-0.08584175,0.1781238,0.07201412
440538,0.016667,0.72282999753952,1.067209,0.1662816,-0.4090686,0.5696455,-0.3567493,0.6616388,0.3323674,0.0737497583031654,0,0.4389052,0.1172798,0.1811299,0.9775466,-0.08538029,0.1783368,0.07286212
440540,0.0166668,0.739496797323227,1.067118,0.1664712,-0.4092114,0.5698127,-0.357017,0.661355,0.3323584,0.0737704709172249,0,0.4390686,0.1172087,0.1812816,0.9774379,-0.08502246,0.1787483,0.07372579
440544,0.0166676,0.756164398044348,1.066975,0.1665522,-0.4094326,-0.5697254,0.3580438,-0.6605343,-0.3330347,0.0712922140955925,0,0.4392114,0.1171181,0.1814712,0.9773485,-0.08519108,0.1790818,0.07390615
440546,0.0177135,0.773877898231149,1.066896,0.1666483,-0.40951,-0.5697652,0.3584903,-0.660375,-0.3328023,0.0680169761180878,0,0.4394326,0.1169751,0.1815522,0.9771224,-0.08529601,0.1797176,0.07522022
440552,0.0166678,0.790545698255301,1.066793,0.1666383,-0.4098762,-0.5698898,0.3587977,-0.6601288,-0.3327458,0.0680450573563576,0,0.43951,0.1168957,0.1816483,0.9770321,-0.08519607,0.1802244,0.07529356
440554,0.0166656,0.807211298495531,1.066681,0.1667266,-0.4100938,-0.5699589,0.3592506,-0.6598134,-0.3327644,0.0687431916594505,0,0.4398761,0.1167926,0.1816383,0.9769446,-0.08528968,0.1805882,0.07545152
440558,0.0166682,0.82387949898839,1.066684,0.1669269,-0.4103033,-0.5701528,0.359201,-0.6596965,-0.3327176,0.0688031315803528,0,0.4400937,0.1166813,0.1817266,0.9768344,-0.08533785,0.1810268,0.0757725
440560,0.0166659,0.84054539911449,1.066639,0.1673631,-0.4106869,-0.5702113,0.3595759,-0.6594703,-0.3326608,0.0698490738868713,0,0.4403032,0.1166844,0.1819269,0.9768063,-0.08555154,0.1811026,0.07571116
440564,0.0166685,0.857213899493217,1.066501,0.1676591,-0.4111805,-0.5706953,0.3592923,-0.6591837,-0.3327053,0.0702762305736542,0,0.4406868,0.1166394,0.1823631,0.976718,-0.08556046,0.1814921,0.07590797
440566,0.0166655,0.87387939915061,1.066269,0.1679298,-0.4111595,-0.5711364,0.3587382,-0.6591516,-0.33261,0.0713150575757027,0,0.4411805,0.1165012,0.1826591,0.9766737,-0.08618174,0.1814795,0.07580499
440570,0.016667,0.890546398237348,1.065966,0.1681261,-0.4116031,0.5715347,-0.3588755,0.6587493,0.3325746,0.070764884352684,0,0.4411595,0.1162691,0.1829298,0.9767015,-0.08671426,0.1812502,0.07538696
440574,0.0166665,0.907212898135185,1.065897,0.1681988,-0.4116773,-0.571241,0.3588707,-0.6589251,-0.3327361,0.0709763020277023,0,0.4416031,0.1159655,0.1831261,0.97659,-0.08715905,0.1815999,0.07547691
440578,0.0166678,0.923880698159337,1.065867,0.1683061,-0.4118227,-0.5714433,0.359123,-0.6586891,-0.3325839,0.0704401731491089,0,0.4416773,0.1158975,0.1831988,0.9766455,-0.08688347,0.1813805,0.0756036
440580,0.0166657,0.940546398982406,1.065798,0.1685333,-0.4119735,-0.5714778,0.3590862,-0.6587195,-0.3325041,0.0690716132521629,0,0.4418226,0.1158673,0.1833061,0.976557,-0.0870315,0.1817707,0.07564062
440584,0.0166676,0.957213999703527,1.065696,0.1686927,-0.4117817,0.5717513,-0.358281,0.659147,0.3320549,0.0698479861021042,0,0.4419734,0.1157977,0.1835333,0.9765612,-0.08703987,0.1817846,0.07554285
440586,0.016666,0.973880000412464,1.065778,0.1687452,-0.4118007,0.5720987,-0.3578336,0.6591182,0.331996,0.067590743303299,0,0.4417816,0.1156957,0.1836927,0.9766933,-0.08723682,0.1813662,0.07460661
440592,0.0166704,0.990550400689244,1.065836,0.1686853,-0.4116546,0.5718122,-0.3574732,0.6595718,0.331977,0.0655561834573746,0,0.4418007,0.1157777,0.1837452,0.9767158,-0.08766526,0.1811703,0.07428615
440594,0.0166642,1.00721460022032,1.06582,0.168728,-0.4119475,0.5719143,-0.3580555,0.6592773,0.3317586,0.0633456781506538,0,0.4416546,0.115836,0.1836853,0.9768525,-0.08734988,0.1806988,0.07400724
440598,0.0166681,1.02388270013034,1.065692,0.168838,-0.4119446,0.5717991,-0.358026,0.6593501,0.3318444,0.0627797767519951,0,0.4419475,0.1158195,0.183728,0.9767198,-0.08731779,0.1813565,0.07418855
440600,0.0166659,1.04054860025644,1.065688,0.1688419,-0.4119294,-0.5713713,0.358202,-0.6596482,-0.331799,0.0601371973752975,0,0.4419446,0.1156924,0.183838,0.9767463,-0.08722249,0.1812375,0.07424157
440604,0.0166676,1.05721620097756,1.065762,0.1688563,-0.411663,0.5704591,-0.3594774,0.6596249,0.3320351,0.0592658333480358,0,0.4419293,0.1156883,0.1838419,0.9768022,-0.08667687,0.1811833,0.07427745
440606,0.0166667,1.07388290017843,1.065891,0.1686441,-0.4116106,0.5702904,-0.3598919,0.6594808,0.3321624,0.0569665469229221,0,0.441663,0.1157624,0.1838563,0.9767162,-0.08558098,0.1817601,0.07526425
440610,0.0166677,1.09055059961975,1.066027,0.1687818,-0.4114758,0.570049,-0.3604671,0.6593766,0.33216,0.0558714978396893,0,0.4416105,0.1158907,0.1836442,0.9766584,-0.08539966,0.1819979,0.07564436
440614,0.0166656,1.10721619985998,1.066136,0.1689108,-0.4112532,-0.5701599,0.3601831,-0.6593558,-0.3323189,0.0558725297451019,0,0.4414757,0.1160268,0.1837818,0.9765877,-0.08505888,0.1823883,0.07599995
440618,0.016668,1.12388419918716,1.066422,0.1690743,-0.4111091,-0.5699417,0.3601215,-0.6596259,-0.3322238,0.0544853918254375,0,0.4412531,0.1161361,0.1839108,0.976617,-0.08528855,0.1821346,0.0759749
440620,0.0166663,1.14055049978197,1.066452,0.1691446,-0.4109482,0.5692955,-0.3604884,0.6596712,0.3328435,0.0543236322700977,0,0.4411091,0.1164224,0.1840743,0.9766802,-0.08499229,0.1819964,0.07582501
440624,0.0166714,1.15722190029919,1.06626,0.1694886,-0.410722,0.5700513,-0.3598378,0.6591632,0.3332598,0.054846715182066,0,0.4409482,0.1164522,0.1841446,0.9767085,-0.08447151,0.1817598,0.07660626
440626,0.0166619,1.17388379946351,1.066282,0.1697004,-0.4108306,-0.5699561,0.3595155,-0.6593179,-0.3334645,0.0563833899796009,0,0.440722,0.1162596,0.1844886,0.9766676,-0.08561749,0.1814283,0.07664103
440630,0.0166679,1.1905517000705,1.066211,0.1698314,-0.4109153,-0.569696,0.3592519,-0.6594762,-0.3338799,0.0557641461491585,0,0.4408305,0.1162818,0.1847004,0.9767455,-0.08562698,0.1810135,0.07661765
440634,0.0173063,1.20785799995065,1.06619,0.1700011,-0.4109587,0.5701421,-0.3583153,0.6594532,0.33417,0.0568635687232018,0,0.4409153,0.1162105,0.1848314,0.9768353,-0.0855309,0.180488,0.07682125
440638,0.0166678,1.2245257999748,1.065789,0.170123,-0.4116112,0.5696842,-0.3598819,0.658421,0.3353009,0.056551244109869,0,0.4409586,0.1161898,0.1850011,0.9769238,-0.08627944,0.1797787,0.07652184
440640,0.0166666,1.24119240045547,1.065864,0.1702832,-0.4116719,-0.5691364,0.3600524,-0.6586962,-0.3355077,0.0590381771326065,0,0.4416111,0.1157892,0.185123,0.9766335,-0.08610379,0.180542,0.07859813
440642,0.0166676,1.2578600011766,1.065734,0.1703142,-0.4116732,-0.5696225,0.3592748,-0.6586907,-0.335527,0.0634499713778496,0,0.4416719,0.1158641,0.1852832,0.9767019,-0.08553154,0.1803289,0.07886294
440648,0.0166667,1.27452670037746,1.065378,0.1703236,-0.4117851,-0.5693477,0.3591053,-0.6589527,-0.3356605,0.0650834366679192,0,0.4416732,0.1157342,0.1853142,0.976763,-0.08618941,0.1798808,0.07841118
440652,0.0166666,1.29119330085814,1.065127,0.1703033,-0.4114494,-0.5691708,0.3588333,-0.6589296,-0.3362961,0.0683052763342857,0,0.4417851,0.1153781,0.1853236,0.9768495,-0.08593939,0.1795333,0.07840507
440654,0.0177982,1.30899150110781,1.065097,0.1701052,-0.4111869,-0.5687686,0.3594581,-0.6585538,-0.3370446,0.0685835257172585,0,0.4414493,0.1151273,0.1853033,0.9769107,-0.08604398,0.1789667,0.07882211
440658,0.0166691,1.32566060125828,1.065645,0.1697728,-0.4107423,-0.5678812,0.3591878,-0.6597899,-0.3364112,0.0691427141427994,0,0.4411868,0.1150972,0.1851053,0.9768239,-0.08584956,0.1790478,0.07991835
440660,0.0166652,1.3423258010298,1.065665,0.1698838,-0.4106017,-0.5677851,0.3589626,-0.6599959,-0.3364096,0.0686747208237648,0,0.4407423,0.1156446,0.1847728,0.9770986,-0.08453328,0.1785559,0.07905846
440664,0.0166691,1.35899490118027,1.065928,0.169883,-0.4104016,-0.5673665,0.3585587,-0.6604993,-0.3365585,0.0681455433368683,0,0.4406016,0.1156651,0.1848838,0.9771658,-0.08443961,0.1783022,0.0789012
440666,0.0166655,1.37566040083766,1.065958,0.1698523,-0.4102129,0.5672671,-0.3583134,0.6606308,0.3367293,0.0676524415612221,0,0.4404016,0.1159276,0.184883,0.9773288,-0.08404903,0.1776616,0.07874471
440672,0.0166674,1.3923278003931,1.066222,0.1697769,-0.4101131,0.5672433,-0.3584476,0.6605861,0.3367141,0.0672936141490936,0,0.4402129,0.115958,0.1848523,0.9773915,-0.08403196,0.1773265,0.0787398
440674,0.0166658,1.40899359993637,1.066262,0.1696493,-0.4100539,0.5672703,-0.358788,0.6603354,0.3367977,0.0669494718313217,0,0.4401131,0.1162217,0.1847769,0.9773692,-0.0839842,0.1774401,0.0788113
440678,0.0166687,1.42566229961813,1.066343,0.1695756,-0.4098362,-0.5675014,0.3583257,-0.6604093,-0.3367557,0.0659282132983208,0,0.4400539,0.1162615,0.1846493,0.9772882,-0.08402243,0.1777315,0.07911728
440680,0.0166657,1.44232800044119,1.066403,0.1694683,-0.4097578,-0.5680539,0.3575758,-0.6605251,-0.336394,0.0654577910900116,0,0.4398361,0.1163428,0.1845756,0.9773393,-0.08432046,0.1774533,0.07879245
440684,0.0166678,1.45899580046535,1.066304,0.1696203,-0.4099174,0.5684406,-0.358058,0.6598805,0.336493,0.0658027231693268,0,0.4397578,0.1164029,0.1844683,0.9774001,-0.08488141,0.1772018,0.07799855
440686,0.0166656,1.47566140070558,1.066135,0.169709,-0.4097815,-0.5685713,0.3578795,-0.6597721,-0.3366747,0.0662491321563721,0,0.4399174,0.1163043,0.1846204,0.9772148,-0.08533955,0.1778073,0.07844184
440692,0.0166683,1.49232969991863,1.06572,0.1699214,-0.4095331,0.5684703,-0.3580234,0.6597449,0.3367455,0.0661897733807564,0,0.4397814,0.1161351,0.184709,0.9772153,-0.08559404,0.1776514,0.07850999
440694,0.016666,1.50899570062757,1.065505,0.1699645,-0.4094777,-0.5683108,0.358131,-0.6597939,-0.3368042,0.0671928524971008,0,0.4395331,0.1157203,0.1849214,0.9772027,-0.08549299,0.1777019,0.07866409
440698,0.0166675,1.52566320076585,1.065306,0.1700957,-0.4092407,0.5676345,-0.3587731,0.6598544,0.3371426,0.0669910311698914,0,0.4394776,0.1155047,0.1849645,0.9772102,-0.08532045,0.1776927,0.07877793
440700,0.0166658,1.54232900030911,1.065184,0.1701284,-0.4091407,0.5676511,-0.3586842,0.6597413,0.3374303,0.0663763880729675,0,0.4392407,0.1153062,0.1850957,0.9771982,-0.08461253,0.1777895,0.07946863
440704,0.016668,1.55899699963629,1.064975,0.1702427,-0.4089228,-0.5677497,0.3587634,-0.6593181,-0.3380071,0.0662674754858017,0,0.4391406,0.1151844,0.1851284,0.9771982,-0.08477153,0.1776156,0.07968824
440708,0.0166659,1.57566289976239,1.065064,0.1705408,-0.4087209,-0.5678672,0.3583708,-0.6596843,-0.3375111,0.0655354112386703,0,0.4389227,0.1149746,0.1852427,0.9771304,-0.08514399,0.1775339,0.08030276
440712,0.0166677,1.59233059920371,1.065041,0.1707567,-0.4086377,-0.5678745,0.3582529,-0.6598872,-0.3372274,0.0654092207551003,0,0.4387209,0.1150642,0.1855408,0.9772147,-0.08509395,0.1774198,0.07957809
440714,0.0166658,1.60899639874697,1.06504,0.1707525,-0.4084713,0.5678727,-0.3573031,0.6604571,0.3371225,0.064693495631218,0,0.4386376,0.1150407,0.1857567,0.9772529,-0.08498442,0.1774185,0.07922856
440718,0.0171801,1.62617649883032,1.065256,0.1709072,-0.4083002,0.5676879,-0.3568653,0.6610827,0.336671,0.0651286840438843,0,0.4384713,0.1150399,0.1857525,0.9774562,-0.08502391,0.1765994,0.07850476
440720,0.0166665,1.64284299872816,1.065233,0.1708434,-0.4083483,0.5675188,-0.3570537,0.6609811,0.3369557,0.0593582578003407,0,0.4383002,0.1152564,0.1859073,0.9776081,-0.08464098,0.1762676,0.07776886
440724,0.016668,1.65951099805534,1.06536,0.1709671,-0.4084104,0.5676454,-0.3567829,0.6611852,0.3366287,0.0585554987192154,0,0.4383482,0.1152335,0.1858434,0.9775892,-0.08455233,0.1762454,0.078152
440726,0.0166655,1.67617649771273,1.065299,0.1708514,-0.4083465,0.5676547,-0.357101,0.6611014,0.3364403,0.0545290522277355,0,0.4384104,0.1153603,0.1859671,0.977636,-0.08457933,0.1761858,0.07767092
440730,0.0166676,1.69284409843385,1.065144,0.1710207,-0.4085374,-0.5667923,0.3583688,-0.6608285,-0.3370816,0.0553398691117764,0,0.4383464,0.1152987,0.1858514,0.9775781,-0.08447445,0.1765445,0.07769906
440734,0.0166661,1.70951019786298,1.065168,0.1710522,-0.4085755,0.5669988,-0.3581156,0.660937,0.3367906,0.0560007356107235,0,0.4385374,0.1151441,0.1860207,0.9774589,-0.08362462,0.1769974,0.07907577
440738,0.0166676,1.7261777985841,1.065393,0.1709556,-0.4084315,-0.5664123,0.3583404,-0.6614159,-0.3365984,0.0554343089461327,0,0.4385754,0.1151677,0.1860522,0.9774844,-0.08376069,0.1769833,0.07864707
440740,0.0166657,1.74284349940717,1.065349,0.1709884,-0.4084695,0.5656972,-0.3588916,0.6615738,0.3369029,0.0553411655128002,0,0.4384315,0.1153932,0.1859556,0.9775673,-0.08295754,0.1769415,0.07856219
440744,0.0166679,1.75951140001416,1.065517,0.1712122,-0.4085949,0.5656667,-0.3586236,0.661792,0.3368112,0.0549095161259174,0,0.4384695,0.115349,0.1859884,0.9775821,-0.08219781,0.1769483,0.07915847
440746,0.0166656,1.77617700025439,1.065542,0.1713398,-0.4086144,-0.56555,0.3588263,-0.6617448,-0.3368838,0.0558472275733948,0,0.4385948,0.1155174,0.1862122,0.9776488,-0.0821453,0.1767233,0.07889213
440752,0.0166683,1.79284529946744,1.065645,0.1716896,-0.4087083,0.5652316,-0.3590533,0.661709,0.3372466,0.0558296255767345,0,0.4386143,0.1155418,0.1863398,0.9776264,-0.08202118,0.1768179,0.07908529
440754,0.0166666,1.80951189994812,1.065833,0.1717969,-0.4088022,-0.5654767,0.3588929,-0.6617404,-0.3369446,0.0530646368861198,0,0.4387082,0.1156451,0.1866896,0.9776248,-0.08178817,0.1767232,0.07955717
440758,0.0166682,1.82618010044098,1.065919,0.1718577,-0.4089062,-0.5659299,0.3587065,-0.6613641,-0.337121,0.0518903844058514,0,0.4388022,0.1158333,0.186797,0.9776243,-0.08195592,0.1768171,0.07918172
440760,0.0166645,1.84284459985793,1.065908,0.1718573,-0.40882,-0.566278,0.3582625,-0.6613262,-0.3370829,0.0489026680588722,0,0.4389061,0.1159193,0.1868577,0.9775622,-0.08258988,0.1768277,0.07926523
440764,0.0166688,1.85951340012252,1.066,0.1718388,-0.4089122,0.5664015,-0.3585291,0.6608891,0.3374491,0.0497612506151199,0,0.4388199,0.1159082,0.1868573,0.9775858,-0.08302638,0.1766269,0.07896571
440766,0.0166665,1.87617990002036,1.065879,0.1716736,-0.408947,0.5661338,-0.3584787,0.6608323,0.3380626,0.0512591972947121,0,0.4389122,0.1159995,0.1868388,0.9774861,-0.08331405,0.1768021,0.07950229
