F,DT,T,fps,Start,Hand,Grip,Tracked,Controlling
53402,0.0271453,0.0271453000605106,36.83879,False,R,False,True,True
53408,0.016668,0.0438132993876934,59.9952,False,R,False,True,True
53410,0.0166658,0.0604790989309549,60.00312,False,R,False,True,True
53414,0.0166678,0.0771468989551067,59.99592,False,R,False,True,True
53416,0.0166666,0.0938134994357824,60.00024,False,R,False,True,True
53420,0.0166676,0.110481100156903,59.99664,False,R,False,True,True
53422,0.0166664,0.127147499471903,60.00096,False,R,False,True,True
53426,0.0166669,0.143814399838448,59.99916,False,R,False,True,True
53428,0.016667,0.160481398925185,59.9988,False,R,False,True,True
53434,0.016667,0.177148398011923,59.9988,False,R,False,True,True
53436,0.0166677,0.193816097453237,59.99628,False,R,False,True,True
53440,0.0166665,0.210482597351074,60.0006,False,R,False,True,True
53442,0.0166673,0.227149898186326,59.99772,False,R,False,True,True
53446,0.0166664,0.243816297501326,60.00096,False,R,False,True,True
53450,0.0166669,0.26048319786787,59.99916,False,R,False,True,True
53454,0.0166671,0.277150297537446,59.99844,False,R,False,True,True
53456,0.0166668,0.293817097321153,59.99952,False,R,False,True,True
53460,0.016667,0.31048409640789,59.9988,False,R,False,True,True
53462,0.0166668,0.327150896191597,59.99952,False,R,False,True,True
53466,0.0166669,0.343817796558142,59.99916,False,R,False,True,True
53470,0.016667,0.360484795644879,59.9988,False,R,False,True,True
53474,0.0166668,0.377151595428586,59.99952,False,R,False,True,True
53476,0.0166672,0.393818795681,59.99808,False,R,False,True,True
53480,0.016667,0.410485794767737,59.9988,False,R,False,True,True
53482,0.0166664,0.427152194082737,60.00096,False,R,False,True,True
53486,0.016669,0.443821193650365,59.9916,False,R,False,True,True
53490,0.0166653,0.460486494004726,60.00492,False,R,False,True,True
53494,0.0166671,0.477153593674302,59.99844,False,R,False,True,True
53496,0.0166668,0.493820393458009,59.99952,False,R,False,True,True
53500,0.0167917,0.510612092912197,59.55323,False,R,False,True,True
53502,0.0166668,0.527278892695904,59.99952,False,R,False,True,True
53508,0.0166665,0.543945392593741,60.0006,False,R,False,True,True
53510,0.0166673,0.560612693428993,59.99772,False,R,False,True,True
53514,0.016667,0.577279692515731,59.9988,False,R,False,True,True
53516,0.0166677,0.593947391957045,59.99628,False,R,False,True,True
53520,0.016666,0.610613392665982,60.0024,False,R,False,True,True
53522,0.0166676,0.627280993387103,59.99664,False,R,False,True,True
53526,0.0166674,0.643948392942548,59.99736,False,R,False,True,True
53530,0.0166688,0.660617193207145,59.99232,False,R,False,True,True
53534,0.016665,0.677282193675637,60.006,False,R,False,True,True
53536,0.0166672,0.693949393928051,59.99808,False,R,False,True,True
53540,0.0166668,0.710616193711758,59.99952,False,R,False,True,True
53542,0.0166688,0.727284993976355,59.99232,False,R,False,True,True
53546,0.0166655,0.743950493633747,60.0042,False,R,False,True,True
53550,0.0166661,0.760616593062878,60.00204,False,R,False,True,True
53554,0.0166672,0.777283793315291,59.99808,False,R,False,True,True
53556,0.0166662,0.79394999332726,60.00168,False,R,False,True,True
53560,0.0166681,0.810618093237281,59.99484,False,R,False,True,True
53562,0.016668,0.827286092564464,59.9952,False,R,False,True,True
53566,0.0166667,0.843952791765332,59.99988,False,R,False,True,True
53570,0.0166662,0.860618991777301,60.00168,False,R,False,True,True
53574,0.0167471,0.877366092056036,59.71183,False,R,False,True,True
53580,0.0253139,0.902679992839694,39.50399,False,R,False,True,True
53582,0.0208152,0.923495192080736,48.04182,False,R,False,True,True
53586,0.0166693,0.940164491534233,59.99052,False,R,False,True,True
53588,0.016667,0.956831490620971,59.9988,False,R,False,True,True
53592,0.0166666,0.973498091101646,60.00024,False,R,False,True,True
53596,0.0170027,0.99050079099834,58.81419,False,R,False,True,True
53598,0.0206399,1.01114069111645,48.44985,False,R,False,True,True
53604,0.0166683,1.0278089903295,59.99412,False,R,False,True,True
53606,0.0173903,1.04519928991795,57.50332,False,R,False,True,True
53610,0.0166682,1.0618674904108,59.99448,False,R,False,True,True
53614,0.0166667,1.07853418961167,59.99988,False,R,False,True,True
53618,0.016668,1.09520218893886,59.9952,False,R,False,True,True
53622,0.0184602,1.11366238817573,54.1706,False,R,False,True,True
53624,0.0207424,1.13440478779376,48.21043,False,R,False,True,True
53628,0.0166683,1.15107308700681,59.99412,False,R,False,True,True
53630,0.0166699,1.16774298623204,59.98837,False,R,False,True,True
53636,0.0166656,1.18440858647227,60.00384,False,R,False,True,True
53638,0.016665,1.20107358694077,60.006,False,R,False,True,True
53642,0.016667,1.2177405860275,59.9988,False,R,False,True,True
53644,0.0166668,1.23440738581121,59.99952,False,R,False,True,True
53648,0.0166682,1.25107558630407,59.99448,False,R,False,True,True
53650,0.0166661,1.2677416857332,60.00204,False,R,False,True,True
53656,0.0166666,1.28440828621387,60.00024,False,R,False,True,True
53658,0.0171348,1.3015430867672,58.36076,False,R,False,True,True
53662,0.0166698,1.31821288727224,59.98872,False,R,False,True,True
53664,0.0166644,1.33487728796899,60.00816,False,R,False,True,True
53668,0.0166675,1.35154478810728,59.997,False,R,False,True,True
53672,0.016666,1.36821078881621,60.0024,False,R,False,True,True
53676,0.0166673,1.38487808965147,59.99772,False,R,False,True,True
53678,0.0166661,1.4015441890806,60.00204,False,R,False,True,True
53682,0.0166677,1.41821188852191,59.99628,False,R,False,True,True
53684,0.0166671,1.43487898819149,59.99844,False,R,False,True,True
53688,0.0166673,1.45154628902674,59.99772,False,R,False,True,True
53692,0.0166658,1.46821208857,60.00312,False,R,False,True,True
53696,0.0166677,1.48487978801131,59.99628,False,R,False,True,True
53698,0.0166657,1.50154548883438,60.00348,False,R,False,True,True
53702,0.0166676,1.5182130895555,59.99664,False,R,False,True,True
53704,0.0166662,1.53487928956747,60.00168,False,R,False,True,True
53708,0.0166676,1.55154689028859,59.99664,False,R,False,True,True
53712,0.0166667,1.56821358948946,59.99988,False,R,False,True,True
53716,0.0166677,1.58488128893077,59.99628,False,R,False,True,True
53718,0.0171114,1.60199268907309,58.44057,False,R,False,True,True
53722,0.0166678,1.61866048909724,59.99592,False,R,False,True,True
53724,0.0166656,1.63532608933747,60.00384,False,R,False,True,True
53730,0.0166678,1.65199388936162,59.99592,False,R,False,True,True
53732,0.016666,1.66865989007056,60.0024,False,R,False,True,True
53736,0.0166674,1.685327289626,59.99736,False,R,False,True,True
53738,0.0166781,1.70200539007783,59.95887,False,R,False,True,True
53742,0.0166676,1.71867299079895,59.99664,False,R,False,True,True
53744,0.0166672,1.73534019105136,59.99808,False,R,False,True,True
53748,0.0166679,1.75200809165835,59.99556,False,R,False,True,True
53752,0.0170688,1.76907689124346,58.58643,False,R,False,True,True
53756,0.0166677,1.78574459068477,59.99628,False,R,False,True,True
53758,0.0166662,1.80241079069674,60.00168,False,R,False,True,True
53762,0.0166684,1.81907919049263,59.99376,False,R,False,True,True
53764,0.0166651,1.83574428968132,60.00564,False,R,False,True,True
53768,0.0166675,1.8524117898196,59.997,False,R,False,True,True
53772,0.0166662,1.86907798983157,60.00168,False,R,False,True,True
53776,0.016668,1.88574598915875,59.9952,False,R,False,True,True
53778,0.0166678,1.9024137891829,59.99592,False,R,False,True,True
53782,0.018187,1.9206007886678,54.98433,False,R,False,True,True
53784,0.016666,1.93726678937674,60.0024,False,R,False,True,True
53788,0.0166672,1.95393398962915,59.99808,False,R,False,True,True
53792,0.0166668,1.97060078941286,59.99952,False,R,False,True,True
53796,0.0166672,1.98726798966527,59.99808,False,R,False,True,True
53798,0.0170316,2.0042995903641,58.71439,False,R,False,True,True
53802,0.0166685,2.02096809074283,59.9934,False,R,False,True,True
53804,0.0166668,2.03763489052653,59.99952,False,R,False,True,True
53810,0.0166673,2.05430219136178,59.99772,False,R,False,True,True
53812,0.0166656,2.07096779160202,60.00384,False,R,False,True,True
53816,0.0166675,2.0876352917403,59.997,False,R,False,True,True
53818,0.0166694,2.10430469177663,59.99016,False,R,False,True,True
53822,0.0166664,2.12097109109163,60.00096,False,R,False,True,True
53824,0.016666,2.13763709180057,60.0024,False,R,False,True,True
53830,0.0166668,2.15430389158428,59.99952,False,R,False,True,True
53832,0.0166673,2.17097119241953,59.99772,False,R,False,True,True
53836,0.016666,2.18763719312847,60.0024,False,R,False,True,True
53838,0.0166668,2.20430399291217,59.99952,False,R,False,True,True
53842,0.0166675,2.22097149305046,59.997,False,R,False,True,True
53844,0.0166666,2.23763809353113,60.00024,False,R,False,True,True
53850,0.0166667,2.254304792732,59.99988,False,R,False,True,True
