F,DT,T,tau1,tau2,tau3,tau4,tau5,tau6,tau7,con_x,con_y,con_z
53402,0.0271453,0.0271453000605106,-0.564662396907806,-13.822244644165,-1.89785552024841,19.6152801513672,1.10786831378937,2.44621968269348,0.424965679645538,-1.56173933972899,0.657831329829723,-0.500978084364371
53408,0.016668,0.0438132993876934,-0.564662396907806,-13.822244644165,-1.89785552024841,19.6152801513672,1.10786831378937,2.44621968269348,0.424965679645538,-1.56173933972899,0.657831329829723,-0.500978084364371
53410,0.0166658,0.0604790989309549,-0.338527143001556,-14.0206089019775,-1.79867339134216,19.7660369873047,1.18568813800812,2.47917866706848,0.412148296833038,-1.44075048993986,0.581263586593273,-0.20549157426608
53414,0.0166678,0.0771468989551067,-0.338527143001556,-14.0206089019775,-1.79867339134216,19.7660369873047,1.18568813800812,2.47917866706848,0.412148296833038,-1.44075048993986,0.581263586593273,-0.20549157426608
53416,0.0166666,0.0938134994357824,-0.390101850032806,-13.8976230621338,-1.69949126243591,19.6668548583984,1.15547573566437,2.44621968269348,0.437783062458038,-1.56120920189395,0.414087710942631,-0.356897161105292
53420,0.0166676,0.110481100156903,-0.413905560970306,-13.6992588043213,-1.79867339134216,19.5914764404297,1.17378628253937,2.43340229988098,0.431374371051788,-1.42138217638522,0.550972407601179,-0.189140410128735
53422,0.0166664,0.127147499471903,-0.413905560970306,-13.6992588043213,-1.79867339134216,19.5914764404297,1.17378628253937,2.43340229988098,0.431374371051788,-1.42138217638522,0.550972407601179,-0.189140410128735
53426,0.0166669,0.143814399838448,-0.489283978939056,-13.6992588043213,-1.77486968040466,19.6906585693359,1.16188442707062,2.42607808113098,0.418556988239288,-1.24444103673917,0.760602922556805,-0.245926187708049
53428,0.016667,0.160481398925185,-0.413905560970306,-13.7984409332275,-1.89785552024841,19.8890228271484,1.17927944660187,2.45903706550598,0.424965679645538,-1.04192321865454,0.784641254838277,-0.293380507609285
53434,0.016667,0.177148398011923,-0.413905560970306,-13.7984409332275,-1.89785552024841,19.8890228271484,1.17927944660187,2.45903706550598,0.424965679645538,-1.04192321865454,0.784641254838277,-0.293380507609285
53436,0.0166677,0.193816097453237,-0.437709271907806,-13.5485019683838,-1.87405180931091,19.6430511474609,1.17378628253937,2.41966938972473,0.450600445270538,-1.1913763842666,0.67122877241085,-0.0262811442273941
53440,0.0166665,0.210482597351074,-0.437709271907806,-13.5485019683838,-1.87405180931091,19.6430511474609,1.17378628253937,2.41966938972473,0.450600445270538,-1.1913763842666,0.67122877241085,-0.0262811442273941
53442,0.0166673,0.227149898186326,-0.437709271907806,-13.5485019683838,-1.87405180931091,19.6430511474609,1.17378628253937,2.41966938972473,0.450600445270538,-1.1913763842666,0.67122877241085,-0.0262811442273941
53446,0.0166664,0.243816297501326,-0.763026654720306,-13.5485019683838,-2.25094389915466,19.7422332763672,1.13808071613312,2.40685200691223,0.463417828083038,-1.00759185803933,0.721648565198125,-0.165418164314567
53450,0.0166669,0.26048319786787,-0.763026654720306,-13.5485019683838,-2.25094389915466,19.7422332763672,1.13808071613312,2.40685200691223,0.463417828083038,-1.00759185803933,0.721648565198125,-0.165418164314567
53454,0.0166671,0.277150297537446,-0.588466107845306,-13.64768409729,-2.07241606712341,19.8890228271484,1.12617886066437,2.41326069831848,0.463417828083038,-0.982724430084197,0.926802881273888,-0.00200836505367599
53456,0.0166668,0.293817097321153,-0.588466107845306,-13.64768409729,-2.07241606712341,19.8890228271484,1.12617886066437,2.41326069831848,0.463417828083038,-0.982724430084197,0.926802881273888,-0.00200836505367599
53460,0.016667,0.31048409640789,-0.715419232845306,-13.4493198394775,-2.12399077415466,19.8414154052734,1.07216274738312,2.39403462409973,0.373696148395538,-0.981701053603341,0.87000659245171,-0.0693905013948126
53462,0.0166668,0.327150896191597,-0.715419232845306,-13.5485019683838,-2.12399077415466,19.8652191162109,1.06666958332062,2.39403462409973,0.399330914020538,-0.947435743129274,0.922091018825617,-0.0450343546272246
53466,0.0166669,0.343817796558142,-0.715419232845306,-13.5485019683838,-2.12399077415466,19.8652191162109,1.06666958332062,2.39403462409973,0.399330914020538,-0.947435743129274,0.922091018825617,-0.0450343546272246
53470,0.016667,0.360484795644879,-0.790797650814056,-13.3025302886963,-2.29855132102966,19.8890228271484,1.03096401691437,2.38671040534973,0.341652691364288,-0.730835219760312,1.01728055093308,-0.0512620727646278
53474,0.0166668,0.377151595428586,-0.814601361751556,-13.3501377105713,-2.25094389915466,20.0397796630859,1.07857143878937,2.38671040534973,0.392922222614288,-0.763763071062919,0.773161440207122,-0.0367085803218799
53476,0.0166672,0.393818795681,-0.814601361751556,-13.3501377105713,-2.25094389915466,20.0397796630859,1.07857143878937,2.38671040534973,0.392922222614288,-0.763763071062919,0.773161440207122,-0.0367085803218799
53480,0.016667,0.410485794767737,-0.838405072689056,-13.7468662261963,-2.25094389915466,20.4127044677734,1.13808071613312,2.43340229988098,0.348061382770538,-0.818358917546005,0.845893955044976,0.441586962233412
53482,0.0166664,0.427152194082737,-0.838405072689056,-13.7468662261963,-2.25094389915466,20.4127044677734,1.13808071613312,2.43340229988098,0.348061382770538,-0.818358917546005,0.845893955044976,0.441586962233412
53486,0.016669,0.443821193650365,-0.640040814876556,-13.4770908355713,-2.07241606712341,19.9644012451172,1.10786831378937,2.39403462409973,0.335243999958038,-0.658117478384493,0.932891219347502,0.335561993931144
53490,0.0166653,0.460486494004726,-0.513087689876556,-13.5723056793213,-1.87405180931091,19.9882049560547,1.13167202472687,2.39403462409973,0.251015484333038,-0.49036102608214,0.815006380695145,0.36141793577898
53494,0.0166671,0.477153593674302,-0.513087689876556,-13.5723056793213,-1.87405180931091,19.9882049560547,1.13167202472687,2.39403462409973,0.251015484333038,-0.49036102608214,0.815006380695145,0.36141793577898
53496,0.0166668,0.493820393458009,-0.338527143001556,-13.7984409332275,-1.74709868431091,20.3135223388672,1.09596645832062,2.37389302253723,0.21897204220295,-0.558400147711952,0.65121866774434,0.623832492150399
53500,0.0167917,0.510612092912197,-0.413905560970306,-13.6238803863525,-1.72329497337341,20.1151580810547,1.04835903644562,2.40044331550598,0.1997459679842,-0.487517826346691,0.720893199073875,0.529895262109954
53502,0.0166668,0.527278892695904,-0.413905560970306,-13.6238803863525,-1.72329497337341,20.1151580810547,1.04835903644562,2.40044331550598,0.1997459679842,-0.487517826346691,0.720893199073875,0.529895262109954
